feature,Counts
Hot drink temperature Very hot,2
Hot drink temperature Warm,1
Hypercholesterolemia,2
Hypotension NOS,1
IOP intraocular pressure genetic risk,7
Illnesses of adopted father,2
Illnesses of mother 0 Severe depression,1
Illnesses of mother 1 None group 1,1
Illnesses of mother 1 None group 2,1
Illnesses of mother 3 None group 2,1
Illnesses of siblings,3
Illnesses of siblings 0 None (group 1),2
Illnesses of siblings 0 Stroke,1
Illnesses of siblings 1 None (group 2),1
Inguinal hernia,1
"Iron deficiency anemias, unspecified or not due to blood loss",1
Irritability,2
K22.7 - Barrett's oesophagus,1
LDL direct Blood biochemistry,4
Leg fat free mass,5
Leg pain on walking,1
Leg pain when standing still or sitting,1
Lipoprotein A Blood biochemistry,5
Long standing illness disability or infirmity,3
Long term recurrent antibiotics as child or teenager,1
Long-term/recurrent antibiotics as child or teenager,1
"M13.99 - Arthritis, unspecified (Site unspecified)",1
"M15.9 - Polyarthrosis, unspecified",1
"M19.99 - Arthrosis, unspecified (Site unspecified)",1
M25.55 - Pain in joint (Pelvic region and thigh),1
MS multiple sclerosis genetic risk,2
Mean platelet thrombocyte volume,3
Meat substitutes  vegetarian,1
Medication for cholesterol blood pressure diabetes or take exogenous hormones Blood pressure medication,1
Medication for cholesterol blood pressure diabetes or take exogenous hormones Cholesterol lowering medication Blood pressure medication,1
Medication for cholesterol blood pressure diabetes or take exogenous hormones Hormone replacement therapy,1
Medication for cholesterol blood pressure or diabetes Medication Cholesterol lowering medication Blood pressure medication,1
"Medication for cholesterol, blood pressure or diabetes Cholesterol lowering medication|Blood pressure medication",1
"Medication for cholesterol, blood pressure or diabetes Medication Cholesterol lowering medication|Blood pressure medication",1
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones None of the above",1
Medium and low fat cheese,1
Mental health conditions ever diagnosed by a professional group,1
Mental health conditions ever diagnosed by a professional group depression,2
Mental health conditions ever diagnosed by a professional none of,1
Mental health conditions ever diagnosed by a professional of,6
Mental health conditions ever diagnosed by a professional of group,4
Mental health conditions ever diagnosed by a professional or,1
Mental health conditions ever diagnosed by a professional or nerves,1
Method of diagnosis when first had COVID 19 Confirmed by a positive PCR test,1
Method of diagnosis when first had COVID-19 Confirmed by a positive rapid lateral flow test,1
Microalbumin in urine,7
Mineral and other dietary supplements Glucosamine,2
Mineral and other dietary supplements None of the above,2
Mood swings,3
Most recent bowel cancer screening,4
Most recent bowel cancer screening Less than 1 year ago,1
Mouth teeth dental problems Bleeding gums,1
Mouth teeth dental problems Dentures,4
Mouth teeth dental problems Mouth ulcers,1
Mouth/teeth dental problems Bleeding gums,2
Myopia diagnosis moderate low myopia,1
Myopia diagnosis non myopic,2
Nervous feelings,1
Neuroticism score,6
Never eat eggs dairy wheat sugar Sugar or foods drinks containing sugar,1
"Never eat eggs, dairy, wheat, sugar I eat all of the above",3
"Never eat eggs, dairy, wheat, sugar Sugar or foods/drinks containing sugar",2
"Non-cancer illness code, self-reported |",5
Number of self reported cancers,2
Number of self reported non cancer illnesses,3
Number of treatments medications taken,1
OP osteoporosis genetic risk,3
Occlusion of cerebral arteries,1
Oily fish intake 2-4 times a week,2
Oily fish intake 5-6 times a week,1
Oily fish intake Never,2
Oily fish intake Once a week,2
Ongoing addiction or dependence on illicit or recreational drugs,1
"Osteoarthrosis, localized, primary",1
"Other chronic ischemic heart disease, unspecified",1
Other diseases of respiratory system NEC,3
Other mental disorder,1
Other non epithelial cancer of skin,2
Other non-epithelial cancer of skin,1
Other open wound of head and face,1
Other serious medical condition/disability diagnosed by doctor,2
Other specified gastritis,2
PC prostate cancer genetic risk,1
PD parkinson s disease genetic risk,5
POAG primary open angle glaucoma genetic risk,6
PSA Time since last prostate specific antigen test,1
PSO psoriasis genetic risk,4
"Panic attack caused by medical condition, medication, drugs or alcohol No, never",1
Peripheral enthesopathies and allied syndromes,3
Pleurisy pleural effusion,2
Polyp of corpus uteri,1
Potassium in urine,5
Precordial pain,1
Prolapse of vaginal walls,1
Pulse wave reflection index,5
RA rheumatoid arthritis genetic risk,1
Retention of urine,1
SCZ schizophrenia genetic risk,4
SHBG,5
SLE systemic lupus erythematosus genetic risk,1
Salt added to food Always,2
Salt added to food Never/rarely,3
Salt added to food Sometimes,3
Salt added to food Usually,1
Secondary malignancy of lymph nodes,1
Septal Deviations Turbinate Hypertrophy,2
Skin colour Black,2
Skin colour Brown,2
Skin colour Dark olive,1
Skin colour Fair,5
Skin colour Light olive,2
Skin colour Prefer not to answer,1
Skin colour Very fair,1
Sleep - Overall average,3
Sodium in urine,3
Standing height,4
Started insulin within one year diagnosis of diabetes,6
Stiffness method Direct entry,1
Surgery on leg arteries other than for varicose veins,2
Surgery/amputation of toe or leg,1
Symptoms concerning nutrition metabolism and development,1
Symptoms involving digestive system,1
Syncope and collapse,1
T1D type 1 diabetes genetic risk,2
Tachycardia NOS,1
Tea intake,1
Testosterone,3
Time spend outdoors in summer,6
Time spent outdoors in winter,6
Time spent outdoors in winter Less than an hour a day,2
Tobacco use disorder,2
Total protein,2
Total protein aliquot,2
Townsend deprivation index at recruitment,5
Triglycerides,2
Triglycerides Blood biochemistry,3
UC ulcerative colitis genetic risk,3
Urate,5
Urea,4
Urinary incontinence,1
Urinary tract infection,3
VTE venous thromboembolic disease genetic risk,5
Variation in diet Never/rarely,1
Variation in diet Sometimes,2
Varicose veins of lower extremity,1
Vascular heart problems diagnosed by doctor High blood pressure,2
Vascular/heart problems diagnosed by doctor None of the above,1
Vitamin D,4
Water intake,3
Weight (p21002),2
Weight change during worst episode of depression,1
Weight change during worst episode of depression Gained weight,1
Weight p21002,1
Wheeze or whistling in the chest in last year,5
Y95 - Nosocomial condition,1
Z51.5 - Palliative care,1
Z82 4  Family history of ischaemic heart disease and other diseases of the circulatory system,1
Z90.4 - Acquired absence of other parts of digestive tract,1
Z92.1 - Personal history of long-term (current) use of anticoagulants,2
appendicitis,1
back problem,1
chronic bronchitis,1
depression,1
dietary changes in the last 5 years,2
"dietary changes in the last 5 years Yes, because of other reasons",1
disc slipped,1
emphysema chronic,1
eye,1
high cholesterol,1
hypertension,1
hypothyroidism,1
medication amlodipine,1
medication atenolol,1
medication bendroflumethiazide,1
medication capsule,1
medication cream,1
medication diclofenac,1
medication entry unable,1
medication evening,1
medication evening primrose,1
medication ibuprofen,1
medication oil,1
medication omeprazole,1
medication primrose oil,1
medication simvastatin,1
medication tamsulosin,1
myxoedema,1
osteoarthritis,2
problem,1
slipped disc,1
soft tissue,1
stones,1
uterine,1
