Feature_Name,Util_Explanation,Utility,Utility_Score
(LDL_SF) low density lipoprotein cholesterol genetic risk,"Genetic predisposition to elevated LDL could affect cholesterol gallstones, but evidence is too weak for robust clinical use.",FALSE,2
Vitamin D,"Possible minor role in metabolism/inflammation, but negative correlation is weak and not strongly actionable in gallbladder care.",FALSE,2
Sleep - Overall average,General health factor with unclear and weak link to gallbladder disease; low direct utility for clinical decisions.,FALSE,2
(AD) alzheimer's disease genetic risk,No recognized mechanistic overlap with gallbladder disease; offers no practical predictive or management utility.,FALSE,1
(SCZ) schizophrenia genetic risk,Psychiatric genetic risk does not meaningfully inform gallbladder disease risk or management.,FALSE,1
Started insulin within one year diagnosis of diabetes_No,Diabetes severity (requiring insulin early) can raise gallbladder risk; moderate usefulness for risk stratification.,TRUE,3
Bipolar and major depression status_None,"Mood disorder status has limited direct bearing on gallbladder disease, offering slight or indirect utility at best.",FALSE,2
Z90.7 - Acquired absence of genital organ(s),No clear pathophysiologic link to gallbladder disease; not useful in gallbladder risk profiling.,FALSE,1
Other specified gastritis,Non-specific GI inflammation connection is weak; only marginally useful for gallbladder risk considerations.,FALSE,2
Townsend deprivation index at recruitment,"Socioeconomic deprivation can correlate with obesity and healthcare access, making it moderately relevant to gallbladder disease.",TRUE,3
Treatment/medication code | Array 0__omeprazole,"PPI usage is not strongly associated with gallbladder disease; correlation is weak, so limited utility.",FALSE,2
(AAM) age at menopause genetic risk,"Hormonal influences do matter, but negative correlation is weak; slight potential utility only.",FALSE,2
M79.66 - Pain in limb (Lower leg),No direct or recognized link to gallbladder pathology; no practical predictive value.,FALSE,1
Acetone,"Reflects certain metabolic states (ketosis), but not strongly tied to gallbladder disease for clinical application.",FALSE,2
Ever addicted to a behaviour or miscellanous_Yes,Behavioral addiction lacks clear association with gallbladder disease risk; no actionable utility.,FALSE,1
Time spend outdoors in summer_2,"Might link to healthier habits, but correlation is too weak to yield concrete clinical utility.",FALSE,2
Acetate,"A short-chain fatty acid with possible metabolic influences, but no strong evidence for gallbladder disease management.",FALSE,2
"Epilepsy, recurrent seizures, convulsions",No known mechanism or clinical reason to connect seizure disorders with gallbladder disease.,FALSE,1
Behavioural and miscellaneous addictions_Something else not mentioned,No recognized relationship to gallbladder disease; no clear utility.,FALSE,1
(ISS) ischaemic stroke genetic risk,"Shares some metabolic risk factors with gallbladder disease, but correlation is weak; limited clinical usefulness.",FALSE,2
(POAG) primary open angle glaucoma genetic risk,"Distinct pathophysiology, offering no relevant insight for gallbladder disease risk.",FALSE,1
Behavioural and miscellaneous addictions_A behaviour,Lacks specific linkage to gallbladder disease; not useful in risk or management.,FALSE,1
Fed-up feelings_Yes,"Psychological distress is non-specific; while it can co-occur with chronic illness, it offers little direct predictive utility.",FALSE,2
(RA) rheumatoid arthritis genetic risk,"Systemic inflammation might tangentially affect gallbladder, but correlation is weak; slight potential utility only.",FALSE,2
Concentration of Very Large HDL Particles,Higher HDL could reduce cholesterol gallstones; moderately useful lipid marker for gallbladder risk profiling.,TRUE,3
Degeneration of intervertebral disc,No connection to gallbladder disease risk; provides no clinically relevant information.,FALSE,1
Neuroticism score,"Weak psychological correlate, not robustly predictive or clinically actionable for gallbladder disease.",FALSE,2
Concentration of Very Large VLDL Particles,Elevated VLDL (triglyceride-rich) can influence bile cholesterol; moderately useful metabolic marker for risk assessment.,TRUE,3
Apolipoprotein B to Apolipoprotein A1 ratio,"Reflects atherogenic vs. protective lipoproteins; relevant to cholesterol stone risk, moderately useful in lipid-related gallbladder assessment.",TRUE,3
