feature_name,raw_name,shortest_path_length,Co-occurrence Count,Cooccurrence P-Value,Odds Ratio,Query Count,feature_importance,p_val,corr,MutualInfoTarget,cui,Target,boring_pred,boring_cot,boring
tract,"Non-cancer illness code, self-reported | Array 5__tract",1,13578,1.0,10.171,571996,0.0,0.036,0.005,0.0,C1185740,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The feature 'Non-cancer illness code, self-reported | Array 5--tract' is related to the target disease 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis'. The association between the two is well established in medical literature. Chronic inflammation of the biliary tract is a known risk factor for the development of cholelithiasis, gallstones, and gallbladder disease. The presence of a tract or abnormality in the biliary system can lead to stasis, infection, and inflammation, which can increase the risk of developing these conditions. Therefore, the feature 'Non-cancer illness code, self-reported | Array 5--tract' is a known risk factor for the target disease.",True
cancer,"Non-cancer illness code, self-reported | Array 4__cancer",1,24378,1.0,1.952,5226660,0.0,0.035,0.005,0.0,C0006826,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between the feature 'cancer' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well known and explained by existing knowledge. According to the provided documents, cholelithiasis is the most important risk factor for gallbladder cancer, and up to 85% of patients with carcinoma of the gallbladder have gallstones. Additionally, chronic inflammation of the gallbladder, cholelithiasis, porcelain gallbladder, gallbladder polyps, and congenital gallbladder cysts are also associated with an increased risk of gallbladder cancer. Therefore, the feature 'cancer' is a known risk factor for the target disease.",True
or cysts,"Non-cancer illness code, self-reported | Array 2__or cysts",1,2194,1.0,4.989,166601,0.0,0.027,0.005,0.0,C0010709,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The feature 'Non-cancer illness code, self-reported | Array 2--or cysts' is related to the target disease 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis'. The association between the two is well established in medical literature. The presence of gallstones or cysts in the gallbladder is a known risk factor for developing cholelithiasis, gallstone disease, cholecystitis, and cholangitis. This is because gallstones can cause chronic inflammation, obstruction, and infection, leading to these conditions. Therefore, the feature 'Non-cancer illness code, self-reported | Array 2--or cysts' is a known risk factor for the target disease.",True
ulcers,"Non-cancer illness code, self-reported | Array 0__ulcers",1,4373,1.0,5.573,303243,0.0,0.012,0.005,0.0,C0041582,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The association between the feature 'ulcers' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is not directly related. Ulcers are more commonly associated with gastrointestinal issues such as peptic ulcers, rather than gallbladder or biliary tract diseases. However, the presence of ulcers could be a symptom of a more complex underlying condition that may also affect the biliary system, such as peptic ulcer disease with complications like gastric outlet obstruction or gastric varices, which can lead to biliary colic or pancreatitis. But this is not a direct risk factor for cholelithiasis or gallbladder disease. Therefore, the association is not well known or explained by existing knowledge.",False
diabetes,"Non-cancer illness code, self-reported | Array 2__diabetes",1,3042,1.0,1.134,992085,0.001,0.002,0.007,0.0,C0011847,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between diabetes and cholelithiasis or gallstone disease is well established in medical literature. Diabetes mellitus is known to increase the risk of developing gallstones, and this is due to several factors, including the metabolic changes that occur in diabetes, such as increased cholesterol levels and insulin resistance. Additionally, diabetes can lead to reduced gallbladder contractility, which can further increase the risk of gallstone formation. Furthermore, the presence of diabetes is also associated with an increased risk of complications from gallstones, such as cholecystitis and cholangitis. Therefore, the association between diabetes and cholelithiasis or gallstone disease is well known and explained by existing knowledge.",True
Hypercholesterolemia,Hypercholesterolemia,1,317,1.0,2.303,50957,0.004,0.002,-0.003,0.0,C0020443,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between 'Hypercholesterolemia' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well known. Hypercholesterolemia is a risk factor for the development of gallstones, which are a type of cholelithiasis. The relationship between high cholesterol levels and gallstone formation is explained by the supersaturation of bile with cholesterol, leading to the precipitation of cholesterol crystals and the formation of gallstones. This is a well-established concept in the pathophysiology of gallstone disease.",True
stomach,"Non-cancer illness code, self-reported | Array 2__stomach",1,2954,1.0,3.547,315479,0.0,0.001,0.008,0.0,C0038351,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The relationship between the feature'stomach' and the target disease 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is not explicitly mentioned in the provided documents. However, it can be inferred that the feature'stomach' is related to the biliary system and gallbladder, which are directly linked to the target diseases. The documents mention that biliary colic has a female predominance due to the influence of estrogen on the formation of gallstones, and that obesity and elevated cholesterol are strongly correlated to biliary colic and gallbladder disease. Therefore, the association between the feature'stomach' and the target disease is not well known or explained by existing knowledge.",False
stone ureter,"Non-cancer illness code, self-reported | Array 2__stone ureter",1,48,1.0,1.851,9577,0.0,0.0,0.008,0.0,C0006736,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The feature'stone ureter' is related to the target disease 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' as it is a symptom that can be caused by gallstones or gallbladder disease. The presence of a stone in the ureter can be a complication of gallstone disease, specifically choledocholithiasis, which is a type of gallstone that forms in the common bile duct. This condition can lead to symptoms such as pain, jaundice, and infection, which can be related to the feature'stone ureter'. Therefore, the association between the feature'stone ureter' and the target disease is well known and explained by existing knowledge.",True
"Medication for cholesterol, blood pressure or diabetes Medication","Medication for cholesterol, blood pressure or diabetes Medication_None",1,1185,1.0,1.135,385243,0.018,0.0,0.022,0.031,C0008377,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between the feature 'Medication for cholesterol, blood pressure or diabetes Medication' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well known and explained by existing knowledge. Medications such as ezetimide, which inhibit cholesterol transport into the intestine and intestinal cholesterol absorption, promote cholesterol synthesis, which is typically downregulated with increased dietary absorption. This can lead to an imbalance between the synthesis, dietary absorption, and recirculation of cholesterol, contributing to hypercholesterolemia and gallstone formation. Additionally, medications such as fibrates, which block the rate-limiting enzyme 7-alpha-hydroxylase, can cause increased cholesterol and decreased bile acid production, further contributing to gallstone formation. Therefore, the feature 'Medication for cholesterol, blood pressure or diabetes Medication' is a known risk factor for the target disease.",True
Cancer diagnosed by doctor,Cancer diagnosed by doctor_No,1,238,1.0,1.711,51388,0.0,0.0,-0.01,0.028,C0006826,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between 'Cancer diagnosed by doctor' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well known. The documents provided show that cholelithiasis is the most important risk factor for gallbladder cancer, and that patients with gallstones have a higher risk of developing cancer. Additionally, the documents mention that chronic inflammation of the gallbladder, cholelithiasis, porcelain gallbladder, gallbladder polyps, and congenital gallbladder cysts are all associated with an increased risk of gallbladder cancer. Therefore, the feature 'Cancer diagnosed by doctor' is a known risk factor for the target disease.",True
Abdominal pain,Abdominal pain,1,5694,1.0,19.851,117048,0.038,0.0,0.021,0.002,C0000737,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between 'Abdominal pain' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well established in medical literature. Abdominal pain is a common symptom of gallbladder disease, including cholelithiasis, gallstones, gallbladder disease, cholecystitis, and cholangitis. The pain is often described as right upper quadrant pain, which can radiate to the back or right shoulder. The pain is usually caused by the obstruction of the cystic duct or common bile duct by gallstones, leading to inflammation and infection. Therefore, abdominal pain is a known risk factor for these conditions.",True
Benign neoplasm of colon,missing_Benign neoplasm of colon,1,1327,1.0,3.306,150142,0.001,0.0,-0.014,0.012,C0009368,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The feature 'Benign neoplasm of colon' is not directly related to the target disease 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis'. The target disease is primarily associated with gallstones, chronic inflammation, and other risk factors, but not directly with benign neoplasms of the colon. The relationship between the two is not well established in the provided documents.",False
Calculus of kidney,missing_Calculus of kidney,1,387,1.0,4.575,31550,0.003,0.0,-0.019,0.002,C0006736,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The feature 'Calculus of kidney' is related to the formation of kidney stones, not gallstones. The formation of kidney stones is a different process from gallstone formation. Gallstones are formed in the gallbladder, while kidney stones are formed in the kidneys. The risk factors and mechanisms for gallstone formation are different from those for kidney stone formation. Therefore, the association between 'Calculus of kidney' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is not well known or explained by existing knowledge.",False
Cholelithiasis with other cholecystitis,missing_Cholelithiasis with other cholecystitis,1,666,1.0,inf,663,0.026,0.0,0.016,0.003,C0149520,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The feature 'Cholelithiasis with other cholecystitis' is related to the development of complications such as acute cholecystitis, cholangitis, and pancreatitis. The presence of gallstones is a known risk factor for these complications. The relationship between cholelithiasis and cholecystitis is well established in medical literature. Cholelithiasis can cause chronic inflammation of the gallbladder, leading to cholecystitis. The risk of developing complications increases with the size and chronicity of the gallstones. Therefore, the association between the feature 'Cholelithiasis with other cholecystitis' and the target disease 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well known and explained by existing knowledge.",True
Colon cancer,Colon cancer,1,1419,1.0,3.165,167727,0.0,0.0,0.008,0.0,C0007102,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The relationship between colon cancer and gallbladder disease is not directly related. However, both conditions share a common underlying factor, chronic inflammation. Chronic inflammation is a known risk factor for both colon cancer and gallbladder disease. Additionally, primary sclerosing cholangitis, a condition associated with chronic inflammation of the biliary tract, is a known risk factor for both colon cancer and gallbladder cancer. Furthermore, the presence of colon cancer can lead to an increased risk of gallstones due to the chronic inflammation and changes in bile composition. Therefore, while the association between colon cancer and gallbladder disease is not a direct one, it is part of the broader context of chronic inflammation and its impact on the gastrointestinal system.",True
Constipation,missing_Constipation,1,319,1.0,3.277,36156,0.0,0.0,-0.018,0.006,C0009806,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The relationship between constipation and gallbladder disease is not explicitly mentioned in the provided documents. However, the documents do mention that lower fiber intake decreases colonic motility and increases the production of stone-forming secondary bile acids, which can lead to gallstone formation. This suggests that constipation, which is characterized by infrequent bowel movements and hard stools, may be related to an increased risk of gallstone formation. However, the specific relationship between constipation and the target disease is not explicitly stated in the documents. Therefore, the association between the feature 'Constipation' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is not well known or explained by existing knowledge.",False
Direct bilirubin,Direct bilirubin,1,285,1.0,21.488,5170,0.037,0.0,0.01,0.002,C0005437,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The feature 'Direct bilirubin' is a known risk factor for cholelithiasis, gallstone, gallbladder disease, cholecystitis, and cholangitis. Elevated levels of direct bilirubin are associated with an increased risk of these conditions. This is because direct bilirubin is a marker of biliary obstruction, which can lead to the formation of gallstones and other biliary diseases. The relationship between direct bilirubin and these conditions is well established in medical literature and is considered a key indicator of biliary disease.",True
Obesity,missing_Obesity,1,2464,1.0,1.914,480805,0.0,0.0,-0.027,0.006,C0028754,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between the feature 'Obesity' and the target disease 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well established in medical literature. Obesity is a known risk factor for gallstone formation, and it is associated with an increased incidence of gallbladder disease. The risk factors for gallstone disease include obesity, female gender, age, and other factors, and obesity is one of the most significant risk factors. The relationship between obesity and gallstone disease is well understood, and it is a common topic in medical literature. Therefore, the association between the feature 'Obesity' and the target disease is well known.",True
Other disorders of stomach and duodenum,Other disorders of stomach and duodenum,1,23,1.0,14.569,603,0.001,0.0,0.015,0.0,C0013303,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between 'Other disorders of stomach and duodenum' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is not explicitly mentioned in the provided documents. However, it can be inferred that certain conditions such as peptic ulcer disease, Helicobacter pylori-related inflammation, and gastric bezoars can cause obstruction of the cystic duct, leading to cholecystitis. Additionally, conditions like Crohn disease and gastric volvulus can also cause obstruction of the duodenum, which may lead to complications such as cholangitis. Therefore, while the association is not explicitly stated, it can be inferred that 'Other disorders of stomach and duodenum' may have a positive correlation with the target disease.",True
Regional enteritis,missing_Regional enteritis,1,1049,1.0,5.697,69268,0.004,0.0,-0.022,0.003,C0010346,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The feature'missing_Regional enteritis' is related to the target disease 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis'. However, the relationship between the two is not explicitly mentioned in the provided documents. The documents discuss various risk factors and complications of gallbladder disease, but 'Regional enteritis' is not mentioned as a risk factor or complication. Therefore, the association between'missing_Regional enteritis' and the target disease is not well known or explained by existing knowledge.",False
Secondary malignant neoplasm of liver,missing_Secondary malignant neoplasm of liver,1,1512,1.0,8.979,64204,0.002,0.0,0.016,0.003,C0006826,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The association between 'Secondary malignant neoplasm of liver' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is not directly related. The feature 'Secondary malignant neoplasm of liver' is more related to liver cancer, which is a different disease entity from gallbladder disease. However, it is worth noting that liver cancer can cause biliary obstruction, which may lead to cholangitis. But this is a more indirect association. Therefore, the association is not well known or explained by existing knowledge.",False
Septicemia,missing_Septicemia,1,2328,1.0,3.765,233356,0.0,0.0,-0.008,0.002,C0036690,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The relationship between septicemia and cholelithiasis or gallstone disease is not directly related. Septicemia is a condition characterized by the presence of bacteria in the blood, which can be a complication of various infections, including those related to the biliary system. However, it is not a direct risk factor for the development of cholelithiasis or gallstone disease. The formation of gallstones is primarily related to the supersaturation of bile with cholesterol or bilirubin, stasis of bile, or other factors. While septicemia can be a complication of untreated or severe gallstone disease, it is not a known risk factor for the development of gallstones or cholelithiasis. Therefore, the association between septicemia and the target disease is not well known or explained by existing knowledge.",False
bladder stone,"Non-cancer illness code, self-reported | Array 2__bladder stone",1,386,1.0,21.473,7013,0.0,0.0,0.008,0.0,C0006736,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The feature 'bladder stone' is related to the formation of gallstones, which is a known risk factor for cholelithiasis, gallstone, gallbladder disease, cholecystitis, and cholangitis. The formation of gallstones is a complex process involving multiple factors, including genetic predisposition, diet, and environmental factors. The presence of a bladder stone is a known risk factor for the development of gallstones, which can then lead to the mentioned diseases. This association is well established in medical literature and is not a new or surprising finding.",True
bowel,"Non-cancer illness code, self-reported | Array 2__bowel",1,9631,1.0,6.594,593588,0.0,0.0,0.008,0.001,C0021853,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),B,"The association between the feature 'bowel' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is not explicitly mentioned in the provided documents. However, it can be inferred that the 'bowel' is related to the gastrointestinal system, which is connected to the gallbladder and bile ducts. The documents mention that gallstones can cause biliary colic, cholecystitis, and cholangitis, which are all related to the gallbladder and bile ducts. Therefore, it is plausible that the 'bowel' could be related to these conditions, but the exact nature of this relationship is not explicitly stated in the provided documents.",False
cholelithiasis gall,"Non-cancer illness code, self-reported | Array 1__cholelithiasis gall",1,1786,1.0,inf,1786,0.003,0.0,0.016,0.0,C0856727,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between the feature 'cholelithiasis gall' and the target disease 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well established in medical literature. Cholelithiasis is a known risk factor for the development of gallstones, which can lead to complications such as cholecystitis, cholangitis, and gallbladder cancer. The presence of gallstones is a strong predictor of these conditions, and the feature 'cholelithiasis gall' is a self-reported indicator of this risk. Therefore, the association between this feature and the target disease is well known and explained by existing knowledge.",True
cholesterol,"Non-cancer illness code, self-reported | Array 1__cholesterol",1,5717,1.0,6.642,337943,0.003,0.0,-0.011,0.001,C0008377,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between the feature 'cholesterol' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well known and explained by existing knowledge. Cholesterol stones are a common type of gallstone, and high levels of cholesterol in the blood can increase the risk of developing gallstones. This is because cholesterol stones form when there is an imbalance between the synthesis, dietary absorption, and recirculation of cholesterol. When deactivated, genes that promote hepatic cholesterol secretion into bile may increase sensitivity to dietary cholesterol intake, contributing to hypercholesterolemia and coronary artery disease, and when overexpressed, promote cholesterol secretion into the gallbladder, predisposing to stones. Therefore, the feature 'cholesterol' is a known risk factor for the target disease.",True
gastric,"Non-cancer illness code, self-reported | Array 1__gastric",1,5052,1.0,4.091,476595,0.0,0.0,0.012,0.0,C0038351,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The feature 'gastric' is related to the gallbladder and its functions. The gallbladder is a part of the digestive system and is involved in the storage and concentration of bile. Gastric issues, such as those related to the stomach, can be related to the gallbladder and its functions. For example, gastric reflux or ulcers can be related to the gallbladder's ability to empty bile into the small intestine. Additionally, the gallbladder's function is closely linked to the digestive process, and issues with the stomach, such as gastritis or gastric ulcers, can be related to the gallbladder's ability to concentrate bile. Therefore, the association between the feature 'gastric' and the target disease 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well known and explained by existing knowledge.",True
high cholesterol,"Non-cancer illness code, self-reported | Array 1__high cholesterol",1,1396,1.0,3.185,163962,0.003,0.0,-0.011,0.0,C0020443,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between 'high cholesterol' and 'Cholelithiasis OR Gallstone OR Gallbladder disease OR cholecystitis OR Cholangitis' is well established in medical literature. High cholesterol is a known risk factor for the development of gallstones, which are a major cause of cholelithiasis, gallbladder disease, cholecystitis, and cholangitis. The relationship between high cholesterol and gallstone formation is thought to be due to the increased secretion of cholesterol into the bile, which can lead to the formation of cholesterol stones. This is supported by studies that have shown that individuals with high cholesterol are more likely to develop gallstones than those with normal cholesterol levels. Therefore, the association between 'high cholesterol' and the target disease is well known and established.",True
kidney stone,"Non-cancer illness code, self-reported | Array 2__kidney stone",1,363,1.0,4.254,31791,0.0,0.0,0.008,0.0,C0006736,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),A,"The association between kidney stones and gallbladder disease is well established in medical literature. Kidney stones and gallstones share common risk factors such as obesity, high cholesterol levels, and certain genetic predispositions. The formation of kidney stones can be a risk factor for the development of gallstones, and vice versa. Additionally, the presence of kidney stones can indicate a higher risk of developing gallbladder disease, including cholelithiasis, cholecystitis, and cholangitis. This is because both conditions are related to the abnormal metabolism of bile and cholesterol, which can lead to the formation of stones in both the gallbladder and the kidneys. Therefore, the association between kidney stones and gallbladder disease is well known and supported by existing knowledge.",True
