feature_name,raw_name,shortest_path_length,Co-occurrence Count,Cooccurrence P-Value,Odds Ratio,Query Count,feature_importance,p_val,corr,MutualInfoTarget,cui,Target,boring_pred,boring_cot,boring
Shortness of breath,Shortness of breath,1,2298,1.0,3.763,75187,0.001,0.054,0.013,0.0,C0013404,Heart attack,A,"The feature 'Shortness of breath' is a symptom that can be associated with heart attack. It is a known risk factor for heart attack, as it can be a sign of cardiac ischemia or other cardiac issues. The association between shortness of breath and heart attack is well established in medical literature. Shortness of breath can be a symptom of heart failure, which is a common complication of heart attack. Additionally, shortness of breath can be a symptom of other cardiac conditions, such as coronary artery disease, which is a major risk factor for heart attack. Therefore, the association between the feature 'Shortness of breath' and 'Heart attack' is well known and explained by existing knowledge.",True
thrombosis,"Non-cancer illness code, self-reported | Array 3__thrombosis",1,21697,1.0,10.565,282026,0.0,0.05,0.01,0.003,C0040053,Heart attack,A,"The association between the feature 'thrombosis' and 'Heart attack' is well established in medical literature. Thrombosis is a known risk factor for heart attack, and it is a critical component of the Virchow's triad, which includes three main factors that contribute to the formation of blood clots: blood flow, blood composition, and blood vessel wall. The presence of thrombosis can lead to the formation of a blood clot that can travel to the heart and cause a heart attack. This association is not only known but also well-documented in medical literature, and it is considered a crucial factor in the development of heart disease.",True
venous thrombosis,"Non-cancer illness code, self-reported | Array 3__venous thrombosis",1,2910,1.0,3.534,101307,0.0,0.05,0.01,0.0,C0042487,Heart attack,A,"The association between the feature'venous thrombosis' and 'Heart attack' is well established in medical literature. Both conditions share common risk factors such as age, obesity, smoking, and hyperlipidemia. Additionally, the presence of a venous thrombosis can lead to a higher risk of developing arterial thrombosis, including heart attack. Furthermore, the use of oral contraceptives, which is a risk factor for venous thrombosis, is also a risk factor for heart attack. Therefore, the association between the feature'venous thrombosis' and 'Heart attack' is well known and explained by existing knowledge.",True
Chronic airway obstruction,Chronic airway obstruction,1,2047,1.0,2.353,105722,0.0,0.035,-0.002,0.002,C0024117,Heart attack,A,"The relationship between chronic airway obstruction and heart attack is well established in medical literature. Chronic airway obstruction, often seen in conditions such as chronic obstructive pulmonary disease (COPD), is a known risk factor for heart disease. The inflammation and oxidative stress associated with chronic airway obstruction can lead to atherosclerosis, which increases the risk of heart attack. Furthermore, patients with COPD often have comorbidities such as smoking, hypertension, and diabetes, which further increase the risk of heart disease. Therefore, the association between chronic airway obstruction and heart attack is well known and is part of the known risk factors for cardiovascular disease.",True
medication amlodipine,Treatment/medication code | Array 0__amlodipine,1,147,1.0,5.799,3157,0.0,0.025,0.012,0.0,C0051696,Heart attack,A,"Amlodipine is a calcium channel blocker used to treat hypertension and angina. It is known to reduce the risk of heart attack by lowering blood pressure and improving blood flow to the heart. The association between amlodipine and heart attack is well established in medical literature. Studies have shown that amlodipine can reduce the risk of heart attack by 20-30% compared to placebo. Amlodipine is also known to be effective in reducing the risk of cardiovascular events, including heart attack, in patients with hypertension and diabetes. The combination of amlodipine with other antihypertensive medications, such as benazepril, has been shown to be more effective in reducing cardiovascular events than monotherapy with either medication. Therefore, the association between amlodipine and heart attack is well known and established.",True
gout,"Non-cancer illness code, self-reported | Array 5__gout",1,351,1.0,1.812,23360,0.0,0.022,0.012,0.002,C0018099,Heart attack,A,"The association between the feature 'gout' and 'Heart attack' is well known and explained by existing knowledge. Gout is a form of inflammatory arthritis that can increase the risk of cardiovascular disease, including heart attack. This is because gout is associated with chronic inflammation, which can lead to atherosclerosis and increase the risk of heart attack. Additionally, studies have shown that individuals with gout are more likely to have risk factors for cardiovascular disease, such as hypertension, diabetes, and obesity. Therefore, the association between gout and heart attack is a well-established risk factor.",True
"Medication for cholesterol, blood pressure or diabetes Cholesterol lowering medication|Insulin","Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Insulin",1,6349,1.0,1.509,509112,0.0,0.019,0.012,0.0,C0011847,Heart attack,A,"The association between the feature 'Medication for cholesterol, blood pressure or diabetes Cholesterol lowering medication|Insulin' and 'Heart attack' is well established in medical literature. Cholesterol lowering medication, such as statins, and insulin therapy are known to reduce the risk of heart attack by lowering LDL cholesterol levels and improving cardiovascular health. This is supported by numerous clinical trials and studies, including the IMPROVE-IT study, which showed that ezetimibe, a cholesterol-lowering medication, reduced the risk of major adverse cardiovascular events in patients with diabetes. Additionally, insulin therapy is known to reduce the risk of heart attack and stroke in patients with diabetes. Therefore, the association between this feature and the target disease is well known and established.",True
"Medication for cholesterol, blood pressure or diabetes Medication Cholesterol lowering medication|Insulin","Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Insulin",1,6349,1.0,1.509,509112,0.0,0.019,0.012,0.0,C0011847,Heart attack,A,"The association between 'Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Insulin' and 'Heart attack' is well established in medical literature. Cholesterol-lowering medications, such as statins, have been shown to reduce the risk of heart attack by lowering LDL cholesterol levels. Insulin, on the other hand, is used to manage diabetes, which is a known risk factor for heart disease. The combination of these medications can help mitigate the risk of heart attack by addressing multiple risk factors. This association is supported by numerous studies and is a key component of cardiovascular disease prevention guidelines.",True
"Medication for cholesterol, blood pressure or diabetes","Medication for cholesterol, blood pressure or diabetes_None",1,32862,1.0,4.384,1002264,0.004,0.01,-0.013,0.002,C0011847,Heart attack,A,"The association between the feature 'Medication for cholesterol, blood pressure or diabetes' and 'Heart attack' is well known and explained by existing knowledge. Medications for cholesterol, blood pressure, and diabetes are commonly used to prevent and manage cardiovascular diseases, including heart attacks. The use of these medications is a well-established risk factor for heart attack, and their effectiveness in reducing the risk of heart attack is supported by numerous clinical trials and studies. Therefore, this association is not new or surprising, but rather a well-established and widely recognized relationship.",True
"Medication for cholesterol, blood pressure or diabetes Medication","Medication for cholesterol, blood pressure or diabetes Medication_None",1,15444,1.0,5.166,385243,0.0,0.01,-0.013,0.001,C0011847,Heart attack,A,"The feature 'Medication for cholesterol, blood pressure or diabetes Medication_None' is related to the management of risk factors for heart disease. Medications for cholesterol, blood pressure, and diabetes are used to reduce the risk of heart attack. The association between this feature and 'Heart attack' is well established in medical literature. Studies have shown that managing these conditions through medication can significantly reduce the risk of heart attack. This is a known risk factor, and the relationship is supported by existing knowledge.",True
Sex,Sex,1,18538,1.0,2.2,1052677,0.004,0.008,-0.014,0.005,C0009253,Heart attack,A,"The feature 'Sex' is a known risk factor for heart attack. Men are at a higher risk of heart attack than women, especially before the age of 50. This is due to the protective effect of female sex hormones, which is lost after menopause. The risk of heart attack in women increases beyond the age of 50. This is a well-established fact and is part of the known risk factors for heart attack.",True
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None",1,602,1.0,9.557,8092,0.0,0.006,0.014,0.004,C0011847,Heart attack,A,"The association between the feature 'Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones' and 'Heart attack' is well known and explained by existing knowledge. The feature is a known risk factor for heart attack, as it is related to the management of conditions that contribute to cardiovascular disease, such as high cholesterol, hypertension, and diabetes. The use of medications for these conditions is a common practice in clinical settings, and their effectiveness in reducing the risk of heart attack is well established. Additionally, the use of exogenous hormones, such as estrogen, has been studied in relation to cardiovascular health, and its effects on heart attack risk are also well understood. Therefore, the association between this feature and heart attack is not new or surprising, but rather a well-established relationship.",True
Obesity,Obesity,1,6317,1.0,1.592,480805,0.0,0.006,-0.005,0.002,C0028754,Heart attack,A,"Obesity is a well-known risk factor for heart disease, including heart attack. It is associated with an increased risk of developing conditions such as hypertension, diabetes, and dyslipidemia, which are all risk factors for heart disease. The relationship between obesity and heart disease is complex and multifactorial, involving genetic, environmental, and lifestyle factors. Obesity is also linked to insulin resistance, which can lead to an increased risk of heart disease. Furthermore, obesity is associated with an increased risk of cardiovascular mortality, and the risk of heart attack is higher in obese individuals. Therefore, the association between obesity and heart attack is well known and explained by existing knowledge.",True
pneumonia,"Non-cancer illness code, self-reported | Array 3__pneumonia",1,4906,1.0,1.12,525625,0.0,0.005,0.015,0.0,C0032285,Heart attack,A,"The association between pneumonia and heart attack is well established in medical literature. Pneumonia is a known risk factor for heart attack, as it can lead to complications such as sepsis, which can increase the risk of heart attack. Additionally, pneumonia can also lead to inflammation and oxidative stress, which can damage the cardiovascular system and increase the risk of heart attack. Therefore, the association between pneumonia and heart attack is not new or surprising, but rather a well-established relationship.",True
depression,"Non-cancer illness code, self-reported | Array 4__depression",1,8310,1.0,1.523,662225,0.0,0.005,0.014,0.0,C0011581,Heart attack,A,"The association between depression and heart attack is well established in medical literature. Studies have shown that individuals with depression are at a higher risk of developing cardiovascular diseases, including heart attack. This is due to various factors, including physiological changes, lifestyle factors, and the impact of depression on overall health. The relationship between depression and heart attack is complex and multifaceted, involving both direct and indirect mechanisms. For instance, depression can lead to poor adherence to treatment plans, unhealthy lifestyle choices, and increased stress levels, all of which can contribute to an increased risk of heart attack. Furthermore, depression can also affect the body's physiological response to stress, leading to changes in the cardiovascular system that may increase the risk of heart attack. Therefore, the association between depression and heart attack is well known and is part of the known risk factors for cardiovascular disease.",True
diabetic,"Non-cancer illness code, self-reported | Array 2__diabetic",1,32340,1.0,4.218,1021412,0.0,0.004,0.014,0.001,C0241863,Heart attack,A,"The association between the feature 'diabetic' and 'Heart attack' is well established in medical literature. Diabetes mellitus is considered a coronary heart disease (CHD) equivalent, and patients with diabetes have a similar risk of myocardial infarction compared to those without diabetes but with a prior myocardial infarction. The risk of heart attack is increased in individuals with diabetes, and this association is due to the underlying pathophysiological mechanisms, including endothelial dysfunction, increased lipoprotein peroxidation, increased inflammation, a prothrombotic state, and associated metabolic abnormalities. Therefore, the association between the feature 'diabetic' and 'Heart attack' is well known and explained by existing knowledge.",True
disorder,"Non-cancer illness code, self-reported | Array 6__disorder",1,138876,1.0,3.06,7862316,0.0,0.004,0.015,0.002,C0004936,Heart attack,B,"The feature 'Non-cancer illness code, self-reported | Array 6--disorder' is related to the target disease 'Heart attack'. The association between the two is not directly related to the known risk factors or pathways. However, considering the provided documents, it is not explicitly stated that this feature is a known risk factor for heart attack. Therefore, the association is not well known or explained by existing knowledge.",False
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones Hormone replacement therapy","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Hormone replacement therapy",1,600,1.0,9.822,7864,0.0,0.003,-0.015,0.0,C0011847,Heart attack,A,"The feature 'Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones Hormone replacement therapy' is related to the target disease 'Heart attack'. The association between the feature and the target disease is well established in medical literature. Medications for cholesterol, blood pressure, diabetes, and hormone replacement therapy are known to have an impact on the risk of heart attack. For instance, medications for cholesterol and blood pressure are used to reduce the risk of heart attack, while hormone replacement therapy has been shown to increase the risk of heart attack. Therefore, the association between this feature and the target disease is not new or surprising, but rather a well-established relationship.",True
age,age,1,55770,1.0,2.266,3304552,0.024,0.003,0.012,0.002,C0001779,Heart attack,A,"The association between the feature 'age' and 'Heart attack' is well known and explained by existing knowledge. Age is a known risk factor for heart attack, and the risk increases with age. This is supported by multiple documents, including Document [3] which states that while MIs can occur at any age, the frequency rises progressively with aging and with increasing risk factors for atherosclerosis. Document [4] also mentions that the '2013 ACC/AHA Guideline on the Assessment of Cardiovascular Risk' added the pooled cohort ASCVD risk equation as a reliable tool for non-Hispanic African American or non-Hispanic white patients who are 40 to 79 years of age. Document [5] further emphasizes that primary screening for stable ischemic heart disease starts with identifying risk factors associated with the development of atherosclerosis, including older age, male gender, smoking, hypertension, diabetes mellitus, and hyperlipidemia, as well as family history of premature coronary artery disease.",True
Complications of surgical and medical procedures,missing_Complications of surgical and medical procedures,1,9999,1.0,4.077,308395,0.0,0.001,-0.017,0.0,C0009566,Heart attack,A,"The feature 'Complications of surgical and medical procedures' is related to predicting the target disease 'Heart attack'. The association between the feature and the target disease is well known and explained by existing knowledge. Complications of surgical and medical procedures are a known risk factor for heart attack. This is because surgical and medical procedures can increase the risk of heart attack due to various factors such as blood clots, cardiac stress, and pre-existing heart conditions. Therefore, the feature is part of known risk factors for heart attack.",True
type diabetes,"Non-cancer illness code, self-reported | Array 1__type diabetes",1,8978,1.0,2.807,395818,0.0,0.001,0.018,0.001,C0011854,Heart attack,A,"The association between 'type diabetes' and 'Heart attack' is well established in medical literature. Diabetes mellitus is a known risk factor for cardiovascular disease, including heart attacks. The Centers for Disease Control (CDC) reports that individuals with diabetes have a higher risk of heart disease, with a 2.5 times higher risk in men and 2.4 times higher risk in women compared to those without diabetes. A 2017 meta-analysis also found that patients with diabetes with an A1C > 7.0 had an 85% higher likelihood of cardiovascular mortality compared to those with an A1C < 7.0. Furthermore, the American Heart Association has designated diabetes as a 'CHD risk equivalent', indicating that type 2 DM patients without a prior MI have a similar risk for coronary artery-related events as nondiabetic individuals who have had a prior MI. Therefore, the association between 'type diabetes' and 'Heart attack' is well known and explained by existing knowledge.",True
(T2D) type 2 diabetes genetic risk,(T2D) type 2 diabetes genetic risk,1,46,1.0,2.043,2719,0.009,0.0,0.021,0.002,C0011860,Heart attack,A,"The association between (T2D) type 2 diabetes genetic risk and 'Heart attack' is well established in medical literature. Type 2 diabetes is a known risk factor for cardiovascular disease, including heart attacks. Studies have shown that individuals with type 2 diabetes have a higher risk of developing cardiovascular disease, including heart attacks, due to the underlying pathophysiological mechanisms of insulin resistance, hyperglycemia, and dyslipidemia. The genetic risk factors for type 2 diabetes, such as genetic polymorphisms in genes like TCF7L2, PPARγ, and others, contribute to the development of insulin resistance and hyperglycemia, which in turn increase the risk of cardiovascular disease, including heart attacks. Therefore, the association between (T2D) type 2 diabetes genetic risk and 'Heart attack' is well known and explained by existing knowledge.",True
Other anemias,missing_Other anemias,1,403,1.0,1.264,38251,0.0,0.0,-0.031,0.002,C0002871,Heart attack,A,"The feature 'Other anemias' is related to predicting the target disease 'Heart attack'. Anemia is a known risk factor for heart disease, and other anemias, such as normocytic normochromic anemia, can contribute to an increased risk of heart attack. The relationship between anemia and heart disease is well established, and anemia is considered a modifiable risk factor. Therefore, the association between 'Other anemias' and 'Heart attack' is well known and explained by existing knowledge.",True
Alcohol intake frequency. Never,Alcohol intake frequency._Never,1,46,1.0,2.625,2126,0.004,0.0,0.04,0.0,C0001948,Heart attack,B,"The association between 'Alcohol intake frequency. Never' and 'Heart attack' is not well known or explained by existing knowledge. The provided documents do not explicitly state that not drinking alcohol is a risk factor for heart attack. In fact, moderate alcohol consumption is mentioned to have a protective effect on heart disease in some documents. Therefore, the relationship between 'Alcohol intake frequency. Never' and 'Heart attack' is not well established or explained by existing knowledge.",False
Doctor diagnosed COPD (chronic obstructive pulmonary disease),Doctor diagnosed COPD (chronic obstructive pulmonary disease)_No,1,54,1.0,2.555,2563,0.005,0.0,-0.051,0.002,C0024117,Heart attack,A,"The relationship between 'Doctor diagnosed COPD (chronic obstructive pulmonary disease)' and 'Heart attack' is well established in medical literature. COPD is a known risk factor for cardiovascular diseases, including heart attack. The chronic inflammation and oxidative stress associated with COPD can lead to cardiovascular complications, including atherosclerosis and cardiac arrhythmias, which can increase the risk of heart attack. Additionally, patients with COPD often have comorbidities such as hypertension, diabetes, and smoking, which further increase the risk of heart attack. Therefore, the association between 'Doctor diagnosed COPD (chronic obstructive pulmonary disease)' and 'Heart attack' is a well-known and established relationship.",True
Cholesterol in Very Large VLDL,Cholesterol in Very Large VLDL,1,33,1.0,3.685,1096,0.0,0.0,0.015,0.0,C0008377,Heart attack,A,"The association between 'Cholesterol in Very Large VLDL' and 'Heart attack' is well established in the medical literature. Very Low Density Lipoprotein (VLDL) is known to be a risk factor for heart disease, and high levels of cholesterol in VLDL are associated with an increased risk of atherosclerotic cardiovascular disease, which can lead to heart attacks. This is because VLDL is a precursor to Low Density Lipoprotein (LDL), which is often referred to as 'bad cholesterol' due to its role in the development of atherosclerotic plaques. The relationship between VLDL and heart disease is well understood, and it is considered a key risk factor in the development of cardiovascular disease.",True
Method of diagnosis when first had COVID-19,Method of diagnosis when first had COVID-19_None,1,158,1.0,1.732,10990,0.0,0.0,0.055,0.005,C5203670,Heart attack,B,"The association between the feature 'Method of diagnosis when first had COVID-19' (raw: 'Method of diagnosis when first had COVID-19-None') and 'Heart attack' is related to the underlying pathophysiology of COVID-19. The disease is known to cause cardiac injury, myocardial ischemia/infarction, and myocarditis, which are all risk factors for heart attack. The feature 'Method of diagnosis when first had COVID-19' is a proxy for the severity of COVID-19 infection, and a 'None' value indicates that the patient did not have a severe infection. This suggests that the patient is less likely to have a heart attack. However, the relationship between the feature and the target disease is not as direct as other known risk factors such as hypertension, diabetes, and coronary artery disease. Therefore, the association is not well known or explained by existing knowledge.",False
(CAD) coronary artery disease genetic risk,(CAD) coronary artery disease genetic risk,1,914,1.0,11.729,10189,0.187,0.0,0.099,0.006,C0010068,Heart attack,A,"The association between (CAD) coronary artery disease genetic risk and 'Heart attack' is well established in medical literature. Coronary artery disease is a multifactorial phenomenon, and genetic factors are one of the non-modifiable risk factors that contribute to its development. The genetic risk of CAD is associated with an increased risk of heart attack, which is a common outcome of CAD. This association is supported by various studies and reviews, including the Framingham Heart Study and other cohort studies. Therefore, the feature '(CAD) coronary artery disease genetic risk' is a known risk factor for 'Heart attack'.",True
Acute renal failure,missing_Acute renal failure,1,5187,1.0,5.811,112636,0.0,0.0,-0.029,0.0,C0022660,Heart attack,A,"The relationship between acute renal failure and heart attack is well established in medical literature. Acute renal failure is a known risk factor for heart attack, as it can lead to a cascade of events that increase the risk of cardiovascular disease, including heart attack. This includes factors such as fluid overload, electrolyte imbalances, and the release of pro-inflammatory cytokines, which can contribute to the development of atherosclerosis and cardiac damage. Additionally, patients with acute renal failure are more likely to have underlying conditions such as hypertension, diabetes, and cardiovascular disease, which further increase their risk of heart attack. Therefore, the association between acute renal failure and heart attack is not only known but also well-established and supported by existing knowledge.",True
Age high blood pressure diagnosed,Age high blood pressure diagnosed_None,1,7844,1.0,8.512,119743,0.018,0.0,-0.069,0.01,C0001779,Heart attack,A,"The association between the feature 'Age high blood pressure diagnosed' and 'Heart attack' is well known and explained by existing knowledge. High blood pressure is a well-established risk factor for heart attack, and age is also a significant risk factor for the development of high blood pressure. The relationship between age, high blood pressure, and heart attack is a continuous and graded one, with the risk increasing with each increment of systolic and diastolic blood pressure. This is supported by various studies, including the Framingham Heart Study, which demonstrated a continuous and graded influence of both systolic and diastolic blood pressure on CHD mortality, extending down to systolic blood pressures of 120 mmHg. Additionally, the Multiple Risk Factor Intervention Trial (MRFIT) showed that the risk of death from coronary heart disease was greater with each increment of SBP. Therefore, the association between the feature 'Age high blood pressure diagnosed' and 'Heart attack' is not only known but also well-explained by existing knowledge.",True
Angina pectoris,missing_Angina pectoris,1,20186,1.0,78.491,52818,0.003,0.0,-0.108,0.008,C0002962,Heart attack,A,"The feature'missing Angina pectoris' is related to the target disease 'Heart attack'. Angina pectoris is a symptom of coronary artery disease, which is a major risk factor for heart attack. The absence of angina pectoris, or'missing Angina pectoris', would imply that the individual does not have coronary artery disease, which would reduce their risk of having a heart attack. This is a well-known relationship in the medical field, and it is a part of the known risk factors for heart attack. Therefore, the association between the feature 'Angina pectoris' and 'Heart attack' is already known and is a part of known risk factors.",True
Cardiomegaly,missing_Cardiomegaly,1,4393,1.0,9.162,62041,0.0,0.0,-0.027,0.002,C0018800,Heart attack,A,"The feature 'Cardiomegaly' is related to the target disease 'Heart attack' as it is a known risk factor for heart failure, which is a major cause of heart attack. Cardiomegaly is characterized by an enlarged heart, which can lead to heart failure, and heart failure is a significant risk factor for heart attack. Therefore, the association between 'Cardiomegaly' and 'Heart attack' is well known and explained by existing knowledge.",True
Chest pain or discomfort,Chest pain or discomfort_Yes,1,27391,1.0,26.919,159445,0.011,0.0,0.076,0.006,C0008031,Heart attack,A,"The feature 'Chest pain or discomfort' is a well-known symptom of heart attack. It is a classic presentation of myocardial ischemia, which is a primary clinical concern in patients presenting with chest symptoms. The imbalance between myocardial oxygen requirements and supply leads to insufficient delivery of oxygen to meet the heart's metabolic demands, resulting in chest pain or discomfort. This symptom is often described as a heavy, squeezing, or crushing sensation in the chest, which may radiate to the arms, neck, or jaw. The presence of chest pain or discomfort is a key indicator of potential heart attack, and it is often used as a risk factor in clinical decision-making. Therefore, the association between 'Chest pain or discomfort' and 'Heart attack' is well known and explained by existing knowledge.",True
Cholesterol in Very Large HDL,Cholesterol in Very Large HDL,1,320,1.0,6.81,5903,0.003,0.0,-0.012,0.0,C0008377,Heart attack,A,"The association between 'Cholesterol in Very Large HDL' and 'Heart attack' is well known and explained by existing knowledge. High-density lipoprotein (HDL) cholesterol is considered a protective factor against heart disease, and low levels of HDL cholesterol are associated with an increased risk of heart attack. The relationship between HDL cholesterol and heart disease is supported by numerous studies, including the Framingham Heart Study, which demonstrated that higher HDL cholesterol levels are associated with a lower risk of heart disease. Additionally, the protective role of HDL cholesterol is thought to be due to its ability to remove excess cholesterol from the bloodstream and transport it to the liver for excretion, thereby reducing the risk of atherosclerosis and heart attack. Therefore, the association between 'Cholesterol in Very Large HDL' and 'Heart attack' is well known and explained by existing knowledge.",True
