feature_name,raw_name,shortest_path_length,Co-occurrence Count,Cooccurrence P-Value,Odds Ratio,Query Count,feature_importance,p_val,corr,MutualInfoTarget,cui,Target,boring_pred,boring_cot,boring
headaches not,"Non-cancer illness code, self-reported | Array 1__headaches not",1,186,1.0,1.292,126014,0.0,0.049,-0.012,0.0,C0018681,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The feature 'headaches not' is related to the target disease 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' as it is mentioned in Document [7] that 'Reports of improvement in the ataxia following the institution of a gluten-free diet are conflicting.' and Document [11] that 'Health issues might encourage them to go for a gluten-free diet, and the improvement might make them think they have the CD.' This suggests that headaches not might be a symptom that could be alleviated by a gluten-free diet, which is associated with the target disease. However, the exact relationship between headaches not and the target disease is not explicitly stated in the provided documents, and more research would be needed to confirm this association.",False
not migraine,"Non-cancer illness code, self-reported | Array 1__not migraine",1,93,1.0,1.625,50132,0.0,0.049,-0.012,0.002,C0149931,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The feature 'Non-cancer illness code, self-reported | Array 1--not migraine' is related to the target disease 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy'. The association between the two is not well known or explained by existing knowledge. The feature is not a known risk or protective factor for the target disease. The relationship between the feature and the target disease is not established in the provided documents.",False
gastric reflux,"Non-cancer illness code, self-reported | Array 2__gastric reflux",1,217,1.0,4.322,44235,0.0,0.048,0.012,0.002,C0017168,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between 'gastric reflux' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not explicitly mentioned in the provided documents. However, it is known that celiac disease can cause or exacerbate gastrointestinal symptoms, including reflux. The documents mention that celiac disease can lead to changes in intestinal anatomy and that these changes disappear after gluten avoidance. Additionally, the documents mention that non-celiac gluten sensitivity can cause intestinal symptoms, including extraintestinal symptoms, or both, related to ingestion of gluten-containing grains. Therefore, it is plausible that gastric reflux could be associated with these conditions, but it is not explicitly stated in the provided documents.",False
oesophageal reflux,"Non-cancer illness code, self-reported | Array 2__oesophageal reflux",1,225,1.0,4.52,43876,0.0,0.048,0.012,0.0,C0017168,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between 'oesophageal reflux' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not explicitly mentioned in the provided documents. However, it is known that celiac disease can cause gastrointestinal symptoms, including esophageal reflux, due to the damage to the small intestine and the resulting malabsorption of nutrients. Therefore, it is plausible that esophageal reflux could be a symptom of celiac disease. However, the exact relationship between the two is not explicitly stated in the provided documents.",False
ulcers,"Non-cancer illness code, self-reported | Array 2__ulcers",1,1848,1.0,5.554,303243,0.0,0.036,0.014,0.0,C0041582,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),A,"The association between the feature 'ulcers' and the target disease 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not explicitly mentioned in the provided documents. However, it can be inferred that ulcers are a possible complication of celiac disease, as mentioned in Document [8] and Document [29]. Celiac disease is an autoimmune disease that causes inflammation and damage to the small intestine, leading to malabsorption of nutrients, and ulcers can be a result of this inflammation. Therefore, the association between ulcers and celiac disease is not a new or unknown relationship, but rather a known complication of the disease.",True
thrombosis,"Non-cancer illness code, self-reported | Array 1__thrombosis",1,803,1.0,2.523,282026,0.0,0.014,0.015,0.003,C0040053,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between the feature 'thrombosis' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not directly related to the known risk factors or pathways of celiac disease. Celiac disease is an autoimmune disorder triggered by the ingestion of gluten in genetically predisposed individuals, and its pathogenesis involves an immune response to gluten, not thrombosis. Thrombosis is a condition related to blood clotting and is not a known risk factor for celiac disease. Therefore, the association between the feature 'thrombosis' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not well known or explained by existing knowledge.",False
bowel,"Non-cancer illness code, self-reported | Array 3__bowel",1,11394,1.0,23.022,593588,0.0,0.012,0.014,0.0,C0021853,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),A,"The feature 'Non-cancer illness code, self-reported | Array 3--bowel' is related to the target disease '(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy)' as it is a symptom of the disease. The disease is characterized by an abnormal small-intestinal biopsy and the response of the condition to the elimination of gluten from the diet. The symptoms of the disease include diarrhea, failure to thrive, and abdominal pain, which are all related to the 'bowel' feature. Therefore, the association between the feature 'bowel' and the target disease is well known and explained by existing knowledge.",True
"Medication for cholesterol, blood pressure or diabetes Cholesterol lowering medication|Insulin","Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Insulin",1,780,1.0,1.346,509112,0.0,0.011,0.016,0.0,C0011847,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between the feature 'Medication for cholesterol, blood pressure or diabetes Cholesterol lowering medication|Insulin' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not directly related. The feature is related to the management of cholesterol, blood pressure, and diabetes, which are conditions that can be managed with medication. However, the target disease is celiac disease, which is an autoimmune disorder caused by a reaction to gluten. The management of celiac disease involves a gluten-free diet, not cholesterol-lowering medication or insulin. Therefore, the association is not well known or explained by existing knowledge.",False
"Medication for cholesterol, blood pressure or diabetes Medication Cholesterol lowering medication|Insulin","Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Insulin",1,780,1.0,1.346,509112,0.0,0.011,0.016,0.001,C0011847,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between the feature 'Medication for cholesterol, blood pressure or diabetes Medication-Cholesterol lowering medication|Insulin' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not directly related to the target disease. The feature is related to the management of cholesterol, blood pressure, or diabetes, which are not directly related to the pathophysiology of celiac disease or gluten-related disorders. However, it is worth noting that patients with celiac disease or gluten-related disorders may have an increased risk of developing other health issues, including cardiovascular disease and diabetes, which could potentially be managed with cholesterol-lowering medication or insulin. But this is not a direct association between the feature and the target disease.",False
Other disorders of intestine,Other disorders of intestine,1,2110,1.0,63.057,32842,0.005,0.008,0.025,0.003,C0021853,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),A,"The feature 'Other disorders of intestine' is related to the target disease 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' as it is a known risk factor for the development of celiac disease. The disease is characterized by an immune-mediated reaction to gluten, leading to inflammation and damage to the small intestine, which is a part of the intestine. The presence of other disorders of the intestine, such as malabsorption, villous atrophy, and increased intraepithelial lymphocytes, is a known consequence of celiac disease. Therefore, the association between the feature 'Other disorders of intestine' and the target disease is well known and explained by existing knowledge.",True
arthritis nos,"Non-cancer illness code, self-reported | Array 3__arthritis nos",1,899,1.0,1.922,413514,0.0,0.008,0.016,0.002,C0003864,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between the feature 'arthritis nos' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not explicitly mentioned in the provided documents. However, it is mentioned that approximately 26% of patients with celiac disease present with peripheral or axial arthritis, which suggests a possible link between arthritis and celiac disease. Additionally, the document mentions that patients with an atypical presentation of celiac disease may have mild gastrointestinal complaints, with the predominant symptoms including anemia, dental enamel defects, osteoporosis, arthritis, increased aminotransferases, neurological symptoms, infertility, and several associated autoimmune diseases. This implies that arthritis could be a symptom or complication of celiac disease, but the exact nature of this association is not fully explained by existing knowledge.",False
iron,"Non-cancer illness code, self-reported | Array 1__iron",1,1083,1.0,3.402,284262,0.0,0.005,0.017,0.0,C0302583,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),A,"The association between the feature 'iron' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is related to the malabsorption of iron due to the damage to the small intestine caused by celiac disease. The small intestine is responsible for iron absorption, and damage to the villi in the small intestine can lead to malabsorption of iron, resulting in iron deficiency anemia. This is a known risk factor for celiac disease, and the association between iron deficiency and celiac disease is well established in medical literature.",True
iron deficiency,"Non-cancer illness code, self-reported | Array 1__iron deficiency",1,826,1.0,18.204,41199,0.0,0.005,0.017,0.0,C0240066,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),A,"The association between iron deficiency and celiac disease is well established in the medical literature. Celiac disease is an autoimmune disorder caused by a reaction to gluten, a protein found in wheat, barley, and rye. This reaction leads to inflammation and damage in the small intestine, which can impair the absorption of nutrients, including iron. Iron deficiency is a common complication of celiac disease, and it is often seen in patients with untreated or poorly managed celiac disease. The relationship between iron deficiency and celiac disease is not just a correlation, but a causal one, as the malabsorption of iron is a direct consequence of the intestinal damage caused by celiac disease. Therefore, iron deficiency is considered a known risk factor for celiac disease.",True
Gastritis and duodenitis,Gastritis and duodenitis,1,157,1.0,22.577,6252,0.004,0.004,0.015,0.0,C0017152,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between 'Gastritis and duodenitis' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is related to the fact that both conditions involve an abnormal immune response to gluten. In celiac disease, the immune system reacts to gluten, leading to inflammation and damage to the small intestine, which can cause gastritis and duodenitis. Similarly, in non-celiac gluten sensitivity, the immune system reacts to gluten, leading to symptoms such as abdominal pain, diarrhea, and weight loss, which can be related to gastritis and duodenitis. Furthermore, the presence of lymphocytic gastritis, a subtype of gastritis, has been associated with celiac disease. Therefore, the association between 'Gastritis and duodenitis' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not well known or explained by existing knowledge.",False
disorder,"Non-cancer illness code, self-reported | Array 3__disorder",1,32367,1.0,12.101,7862316,0.0,0.003,0.012,0.0,C0004936,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The feature 'Non-cancer illness code, self-reported | Array 3--disorder' is related to the target disease '(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy)' as it is a self-reported disorder which can be related to gluten-related disorders. The association is not well known or explained by existing knowledge as it is a complex relationship between self-reported disorders and gluten-related diseases. However, it is a part of known risk factors as it can be related to gluten-related disorders.",False
asthma,"Non-cancer illness code, self-reported | Array 1__asthma",1,392,1.0,1.53,224834,0.0,0.002,0.019,0.003,C0004096,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between asthma and celiac disease is not directly related. Asthma is a chronic inflammatory disease of the airways, while celiac disease is an autoimmune disorder of the small intestine. The two conditions have different pathophysiological mechanisms and are not directly linked. However, it is worth noting that some studies have suggested that individuals with celiac disease may have an increased risk of developing other autoimmune diseases, including asthma. However, this association is not well established and more research is needed to fully understand the relationship between the two conditions.",False
hyperthyroidism,"Non-cancer illness code, self-reported | Array 1__hyperthyroidism",1,190,1.0,2.986,55934,0.0,0.002,0.019,0.001,C0020550,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between 'hyperthyroidism' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not directly related. However, considering the provided documents, there is an association between celiac disease and other autoimmune diseases, such as diabetes mellitus 1, IgA deficiency, eosinophilic esophagitis, glossitis, and pancreatitis. Although hyperthyroidism is not explicitly mentioned as a risk factor for celiac disease, it is an autoimmune disease, and the connection between autoimmune diseases is a known phenomenon. Therefore, it is not entirely unrelated, but the direct association between hyperthyroidism and celiac disease is not well established.",False
migraine,"Non-cancer illness code, self-reported | Array 3__migraine",1,93,1.0,1.615,50419,0.0,0.001,0.021,0.004,C0149931,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between the feature'migraine' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not well known or explained by existing knowledge. While there is some evidence to suggest that gluten sensitivity may be associated with various neurological symptoms, including headaches and migraines, the specific relationship between gluten sensitivity and migraines is not well established. The existing knowledge suggests that gluten sensitivity is more commonly associated with gastrointestinal symptoms, such as diarrhea, abdominal pain, and weight loss, rather than migraines. Therefore, the association between the feature'migraine' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not well known or explained by existing knowledge.",False
crohns disease,"Non-cancer illness code, self-reported | Array 0__crohns disease",1,1500,1.0,19.25,71921,0.0,0.001,0.021,0.002,C0010346,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between 'crohns disease' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not explicitly mentioned in the provided documents. However, it is known that celiac disease and Crohn's disease are both gastrointestinal disorders, and there is some overlap in their symptoms and complications. For instance, both diseases can cause malabsorption of nutrients, and patients with Crohn's disease may have an increased risk of developing celiac disease. Additionally, the documents mention that inflammatory bowel disease, which includes Crohn's disease, poses a risk factor for IgAN, which is associated with celiac disease. Therefore, while the direct association between Crohn's disease and celiac disease is not explicitly stated, there is some indirect evidence suggesting a connection between the two conditions.",False
"Esophagitis, GERD and related diseases","missing_Esophagitis, GERD and related diseases",1,14,1.0,3.867,3177,0.0,0.0,-0.037,0.0,C0017168,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The relationship between 'Esophagitis, GERD and related diseases' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not explicitly mentioned in the provided documents. However, it can be inferred that esophagitis and GERD are not directly related to celiac disease or gluten-related disorders. Celiac disease is primarily associated with small intestinal inflammation and damage, whereas esophagitis and GERD are conditions affecting the esophagus. The documents do not provide a clear link between these conditions, suggesting that the association is not well known or explained by existing knowledge.",False
(SLE) systemic lupus erythematosus genetic risk,(SLE) systemic lupus erythematosus genetic risk,1,22,1.0,6.487,2985,0.047,0.0,0.13,0.014,C0024141,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between (SLE) systemic lupus erythematosus genetic risk and celiac disease is not directly mentioned in the provided documents. However, the documents do mention that genetic factors play a role in the etiology of both SLE and celiac disease. The documents also mention that genetic susceptibility is a risk factor for SLE, and that certain genetic mutations, such as those in the HLA-DRB1 gene, are associated with an increased risk of developing SLE. Additionally, the documents mention that genetic factors, including HLA-DQ2/DQ8, are associated with celiac disease. While there is no direct mention of a specific genetic risk factor that is associated with both SLE and celiac disease, the genetic susceptibility to both conditions is mentioned. Therefore, the association between (SLE) systemic lupus erythematosus genetic risk and celiac disease is not well known or explained by existing knowledge.",False
(RA) rheumatoid arthritis genetic risk,(RA) rheumatoid arthritis genetic risk,1,36,1.0,6.976,4546,0.021,0.0,-0.029,0.001,C0003873,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between rheumatoid arthritis genetic risk and celiac disease is not directly related. Rheumatoid arthritis is an autoimmune disease that affects the joints, while celiac disease is an autoimmune disease that affects the small intestine. The genetic risk factors for rheumatoid arthritis are primarily associated with the HLA-DRB1 gene, which is not directly linked to celiac disease. However, both diseases share some common genetic risk factors, such as the HLA-DQ genes, but this is not a direct correlation. The relationship between rheumatoid arthritis and celiac disease is more complex and involves different genetic and environmental factors. Therefore, the association between rheumatoid arthritis genetic risk and celiac disease is not well known or explained by existing knowledge.",False
(T1D) type 1 diabetes genetic risk,(T1D) type 1 diabetes genetic risk,1,78,1.0,54.292,1335,0.083,0.0,0.121,0.01,C0011854,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),A,"The association between type 1 diabetes genetic risk and celiac disease is well established. Both conditions are autoimmune diseases, and there is a strong genetic component to both. The HLA-DQ2 and HLA-DQ8 genes are associated with an increased risk of developing both conditions. Additionally, research has shown that individuals with type 1 diabetes are at an increased risk of developing celiac disease, and vice versa. This association is thought to be due to the shared genetic predisposition and the presence of other autoimmune diseases in the same individual. Furthermore, studies have shown that the presence of one autoimmune disease increases the risk of developing another autoimmune disease, including celiac disease. Therefore, the association between type 1 diabetes genetic risk and celiac disease is well known and explained by existing knowledge.",True
Abdominal pain,missing_Abdominal pain,1,2374,1.0,19.095,117048,0.058,0.0,-0.076,0.004,C0000737,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The feature 'Abdominal pain' is mentioned in several documents as a symptom of celiac disease, gluten-sensitive enteropathy, and gluten allergy. It is also mentioned as a symptom that can be relieved with a gluten-free diet. However, the association between abdominal pain and the target disease is not explicitly stated as a known risk or protective factor. Therefore, the association is not well known or explained by existing knowledge.",False
GERD,missing_GERD,1,198,1.0,4.193,41586,0.001,0.0,-0.029,0.002,C0017168,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The relationship between the feature 'GERD' and the target disease '(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy)' is not explicitly mentioned in the provided documents. The documents discuss various aspects of gluten-related disorders, including celiac disease, non-celiac gluten sensitivity, and gluten allergy, but do not specifically address the relationship between GERD and these conditions. Therefore, the association between the feature 'GERD' and the target disease is not well known or explained by existing knowledge.",False
"Iron deficiency anemias, unspecified or not due to blood loss","missing_Iron deficiency anemias, unspecified or not due to blood loss",1,1772,1.0,2.48,641866,0.015,0.0,-0.084,0.005,C0162316,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),A,"The association between 'Iron deficiency anemias, unspecified or not due to blood loss' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is well established in medical literature. Iron deficiency anemia is a common symptom of celiac disease, which is an autoimmune disorder caused by a reaction to gluten. The malabsorption of iron due to the damage to the small intestine lining in celiac disease leads to iron deficiency anemia. Therefore, the presence of iron deficiency anemia can be a diagnostic clue for celiac disease. This association is well known and is part of the known risk factors and diagnostic criteria for celiac disease.",True
Irritable Bowel Syndrome,missing_Irritable Bowel Syndrome,1,956,1.0,48.276,18642,0.002,0.0,-0.046,0.002,C0022104,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The feature 'Irritable Bowel Syndrome' is mentioned in the provided documents as a differential diagnosis for celiac disease and gluten-related disorders. However, it is not explicitly stated as a risk factor or a protective factor for the target disease. The documents do mention that some patients with irritable bowel syndrome may need testing to find an alternative or concomitant diagnosis, including celiac disease. This suggests that irritable bowel syndrome and celiac disease are related conditions, but the exact nature of this relationship is not fully explained by existing knowledge.",False
"Medication for cholesterol, blood pressure or diabetes Insulin","Medication for cholesterol, blood pressure or diabetes_Insulin",1,535,1.0,1.834,256730,0.0,0.0,0.029,0.001,C0011847,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),B,"The association between the feature 'Medication for cholesterol, blood pressure or diabetes Insulin' and 'celiac AND disease OR Coeliac OR gluten AND allergy OR gluten AND enteropathy' is not directly related to the pathophysiology of celiac disease. Celiac disease is an autoimmune disorder triggered by the ingestion of gluten in genetically predisposed individuals, and its primary treatment is a gluten-free diet. The feature 'Medication for cholesterol, blood pressure or diabetes Insulin' is related to the management of conditions such as diabetes, high blood pressure, and high cholesterol, which are not directly related to the pathophysiology of celiac disease. However, it is worth noting that individuals with celiac disease may have an increased risk of developing other autoimmune disorders, including type 1 diabetes, which could potentially be related to the use of insulin. Nevertheless, this association is not a well-known or obvious risk factor for celiac disease.",False
