feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length
Apolipoprotein B to Apolipoprotein A1 ratio,C0003593,Apolipoproteins B,"Apolipoproteins B. Major structural proteins of triacylglycerol-rich LIPOPROTEINS. There are two forms, apolipoprotein B-100 and apolipoprotein B-48, both derived from a single gene. ApoB-100 expressed in the liver is found in low-density lipoproteins (LIPOPROTEINS, LDL; LIPOPROTEINS, VLDL). ApoB-48 expressed in the intestine is found in CHYLOMICRONS. They are important in the biosynthesis, transport, and metabolism of triacylglycerol-rich lipoproteins. Plasma Apo-B levels are high in atherosclerotic patients but non-detectable in ABETALIPOPROTEINEMIA.",0,0.692,0.0,0.0,0.0,0.0041,0.0,-0.033,0.1361,Apolipoprotein B to Apolipoprotein A1 ratio,1.28,5102,-2.50 <= Apolipoprotein B to Apolipoprotein A1 ratio < -1.60,0.07,0.07,2
Acetoacetate,C0000988,Acetoacetates,Acetoacetates. Salts and derivatives of acetoacetic acid.,0,0.86,0.0,0.0,0.0,0.0038,0.0,0.034,0.1366,Acetoacetate,1.24,9070,Acetoacetate >= 0.62,0.09,0.09,2
Diverticulosis,C1510475,Diverticulosis,"Diverticulosis. A finding indicating the presence of multiple pouches, usually in the colonic or gastric wall.",0,0.798,0.0,0.0,0.0,0.0036,0.7367,0.002,0.0007,Diverticulosis,1.38,1508,-1.40 <= Diverticulosis < -0.09,-0.08,-0.08,2
(VTE) venous thromboembolic disease genetic risk,C1997614,Thromboembolism of vein,Thromboembolism of vein. ,0,0.361,0.0,0.0,0.0,0.0032,0.7621,0.001,0.3077,(VTE) venous thromboembolic disease genetic risk,1.0,91418,(VTE) venous thromboembolic disease genetic risk < 3.60,0.04,0.04,2
Concentration of Very Large HDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0032,0.0,-0.032,0.0566,Concentration of Very Large HDL Particles,1.36,1434,-2.80 <= Concentration of Very Large HDL Particles < -2.10,0.01,0.01,2
Diaphragmatic hernia,C0019284,Diaphragmatic Hernia,Diaphragmatic Hernia. Protrusion of abdominal structures into the THORAX as a result of congenital or traumatic defects in the respiratory DIAPHRAGM.,0,0.889,0.0,0.0,0.0,0.0028,0.3485,0.002,0.0001,Diaphragmatic hernia,1.13,2977,-4.40 <= Diaphragmatic hernia < -0.05,0.01,0.01,2
Secondary malignancy of lymph nodes,C3266877,Secondary Malignant Neoplasm,"Secondary Malignant Neoplasm. A malignant neoplasm that arises from a pre-existing lower grade lesion, or as a result of a primary lesion that has spread to secondary sites, or due to a complication of a cancer treatment.",0,0.771,0.0,0.0,0.0,0.0028,0.0131,-0.007,0.0007,Secondary malignancy of lymph nodes,1.01,90047,-0.31 <= Secondary malignancy of lymph nodes < 0.12,0.03,0.03,2
Sleep - Overall average,C0037313,Sleep,"Sleep. A readily reversible suspension of sensorimotor interaction with the environment, usually associated with recumbency and immobility.",1,0.635,0.0,1.0,0.3,0.0025,0.5912,0.009,0.0357,Sleep - Overall average,1.02,80971,-0.12 <= Sleep - Overall average < 2.60,-0.0,0.08,1
Cholesterol in IDL,C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",1,0.494,0.0,1.0,0.5,0.0024,0.0,-0.038,0.0679,Cholesterol in IDL,1.76,1026,-4.60 <= Cholesterol in IDL < -3.20,0.02,0.02,1
Concentration of IDL Particles,C0086045,Mental concentration,"Mental concentration. The act or process of concentrating, focusing the attention and mental energy on a single object to the exclusion of others.",0,0.152,0.0,0.0,0.0,0.0024,0.0,-0.033,0.0604,Concentration of IDL Particles,1.43,2252,-3.80 <= Concentration of IDL Particles < -2.40,0.0,0.0,2
Meat substitutes - vegetarian,C0042441,Vegetarian (finding,"Vegetarian (finding. A person who eats no meat; some may eat fish, eggs, or dairy products.",0,0.727,0.0,0.0,0.0,0.0022,0.255,0.004,0.0001,Meat substitutes - vegetarian,1.01,80042,-0.18 <= Meat substitutes - vegetarian < 3.10,0.0,0.0,2
Circulatory disease NEC,C0135615,Proprotein Convertase 1,Proprotein Convertase 1. A CALCIUM-dependent endopeptidase that has specificity for cleavage at ARGININE that is near paired basic residues. It cleaves a variety of prohormones including PRO-OPIOMELANOCORTIN; PRORENIN; proenkephalins; prodynorphin; prosomatostatin; and PROINSULIN.,0,0.161,0.0,0.0,0.0,0.0022,0.039,-0.002,0.0007,Circulatory disease NEC,1.39,1979,-4.80 <= Circulatory disease NEC < -0.20,0.14,0.15,2
Average Diameter for LDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.466,0.0,0.0,0.0,0.0021,0.0,-0.027,0.0039,Average Diameter for LDL Particles,1.21,7036,-5.50 <= Average Diameter for LDL Particles < -0.75,-0.09,-0.09,2
Fluid intelligence score,,,,0,1.0,0.0,0.0,0.0,0.0021,0.0108,-0.008,0.0001,Fluid intelligence score,1.26,1102,-3.60 <= Fluid intelligence score < -2.80,-0.02,-0.02,2
Average Diameter for VLDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.421,0.0,0.0,0.0,0.002,0.0,0.031,0.0285,Average Diameter for VLDL Particles,1.87,986,3.30 <= Average Diameter for VLDL Particles < 5.90,-0.11,-0.11,2
Cholesterol in Small VLDL,C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",1,0.563,0.0,1.0,0.5,0.002,0.001,-0.012,0.0544,Cholesterol in Small VLDL,1.0,81085,-3.70 <= Cholesterol in Small VLDL < 0.00,-0.12,-0.12,1
Pneumococcal pneumonia,C0032300,Lobar Pneumonia,Lobar Pneumonia. ,0,0.591,0.0,0.0,0.0,0.0019,0.1003,-0.004,0.0002,Pneumococcal pneumonia,1.0,90494,-4.70 <= Pneumococcal pneumonia < 5.00,0.13,0.13,2
Z87.3 - Personal history of diseases of the musculoskeletal system and connective tissue,C0262926,Medical History,"Medical History. A record of a patient's background regarding health and the occurrence of disease events of the individual. In addition, personal medical history may be a variable in epidemiologic studies.",1,0.365,0.0,2.0,0.2,0.0019,0.0097,0.01,0.0003,Z87.3 - Personal history of diseases of the musculoskeletal system and connective tissue,1.0,90836,-0.03 <= Z87.3 - Personal history of diseases of the musculoskeletal system and connective tissue < 1.10,0.17,0.17,1
Gastritis and duodenitis,C0017152,Gastritis,"Gastritis. Inflammation of the GASTRIC MUCOSA, a lesion observed in a number of unrelated disorders.",0,0.733,0.0,0.0,0.0,0.0019,0.2051,0.008,0.0004,Gastritis and duodenitis,1.27,2228,0.49 <= Gastritis and duodenitis < 4.60,0.22,0.22,2
Concentration of Medium LDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0019,0.0,-0.017,0.0594,Concentration of Medium LDL Particles,1.38,1141,-3.70 <= Concentration of Medium LDL Particles < -2.80,-0.1,-0.1,2
Concentration of Large HDL Particles,C0549177,Large,"Large. Of considerable or relatively great size, extent, or capacity.",0,0.245,0.0,0.0,0.0,0.0018,0.0,-0.025,0.0679,Concentration of Large HDL Particles,1.47,954,-3.10 <= Concentration of Large HDL Particles < -2.30,0.02,0.02,2
Cancer of bronchus; lung,C0007121,Bronchogenic Carcinoma,Bronchogenic Carcinoma. Malignant neoplasm arising from the epithelium of the BRONCHI. It represents a large group of epithelial lung malignancies which can be divided into two clinical groups: SMALL CELL LUNG CANCER and NON-SMALL-CELL LUNG CARCINOMA.,0,0.815,0.0,0.0,0.0,0.0018,0.426,0.005,0.0004,Cancer of bronchus; lung,1.0,90707,-0.09 <= Cancer of bronchus; lung < 0.51,-0.01,-0.01,2
M79.66 - Pain in limb (Lower leg),C0030193,Pain,Pain. An unpleasant sensation induced by noxious stimuli which are detected by NERVE ENDINGS of NOCICEPTIVE NEURONS.,2,0.307,0.0,1.0,0.2,0.0018,0.1388,0.006,0.0002,M79.66 - Pain in limb (Lower leg),1.0,90618,-0.49 <= M79.66 - Pain in limb (Lower leg) < 0.39,0.13,0.14,1
M54.56 - Low back pain (Lumbar region),,,,0,1.0,0.0,0.0,0.0,0.0017,0.0004,0.012,0.0002,M54.56 - Low back pain (Lumbar region),1.0,91086,-17.00 <= M54.56 - Low back pain (Lumbar region) < 0.75,0.07,0.07,2
Noninfectious gastroenteritis,C0267418,Noninfectious gastroenteritis,Noninfectious gastroenteritis. ,0,0.984,0.0,0.0,0.0,0.0016,0.669,0.003,0.0002,Noninfectious gastroenteritis,1.23,1370,-11.00 <= Noninfectious gastroenteritis < -1.60,0.1,0.1,99
Concentration of VLDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0016,0.0074,0.004,0.0524,Concentration of VLDL Particles,1.22,962,3.60 <= Concentration of VLDL Particles < 6.20,-0.09,-0.09,2
Umbilical hernia,C0019322,Umbilical hernia,Umbilical hernia. Protrusion of the abdominal cavity contents through the abdominal wall at the umbilicus.,0,0.952,0.0,0.0,0.0,0.0014,0.0074,-0.005,0.0002,Umbilical hernia,1.0,89838,-1.20 <= Umbilical hernia < 0.56,0.05,0.05,2
Concentration of Small HDL Particles,,,,0,1.0,0.0,0.0,0.0,0.001,0.0,0.01,0.0542,Concentration of Small HDL Particles,1.44,1117,2.10 <= Concentration of Small HDL Particles < 2.70,-0.02,-0.02,2
Concentration of HDL Particles,,,,0,1.0,0.0,0.0,0.0,0.001,0.1116,0.002,0.0387,Concentration of HDL Particles,1.21,2381,Concentration of HDL Particles < -2.30,0.01,0.01,2
M47.82 - Other spondylosis (Cervical region),C0556956,Cervical region (surface region of back),Cervical region (surface region of back). ,0,0.414,0.0,0.0,0.0,0.001,0.1002,-0.005,0.0002,M47.82 - Other spondylosis (Cervical region),1.0,90852,-0.73 <= M47.82 - Other spondylosis (Cervical region) < 0.34,0.04,0.17,99
Cholesterol in Medium VLDL,C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",1,0.506,0.0,1.0,0.5,0.001,0.0,-0.029,0.0607,Cholesterol in Medium VLDL,1.64,1417,Cholesterol in Medium VLDL < -2.90,-0.12,-0.12,1
Z96.6 - Presence of orthopaedic joint implants,C3854307,Presence (property),Presence (property). ,0,0.242,0.0,0.0,0.0,0.0009,0.0006,-0.007,0.0003,Z96.6 - Presence of orthopaedic joint implants,1.33,1458,-6.30 <= Z96.6 - Presence of orthopaedic joint implants < -0.35,0.1,0.43,99
Cholesterol in Large LDL,C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",1,0.659,0.0,1.0,0.2,0.0008,0.0,-0.027,0.0572,Cholesterol in Large LDL,1.33,3998,-4.40 <= Cholesterol in Large LDL < -1.80,0.04,0.04,1
Bacterial infection NOS,C0004623,Bacterial Infections,"Bacterial Infections. Infections by bacteria, general or unspecified.",0,0.959,0.0,0.0,0.0,0.0007,0.1737,-0.0,0.0004,Bacterial infection NOS,1.32,1113,0.04 <= Bacterial infection NOS < 7.50,0.16,0.16,2
Concentration of Small LDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0007,0.0,-0.017,0.0486,Concentration of Small LDL Particles,1.0,80534,-2.80 <= Concentration of Small LDL Particles < 0.19,-0.08,-0.08,2
Syncope and collapse,C0039070,Syncope,"Syncope. A transient loss of consciousness and postural tone caused by diminished blood flow to the brain (i.e., BRAIN ISCHEMIA). Presyncope refers to the sensation of lightheadedness and loss of strength that precedes a syncopal event or accompanies an incomplete syncope. (From Adams et al., Principles of Neurology, 6th ed, pp367-9)",0,0.682,0.0,0.0,0.0,0.0006,0.0264,-0.003,0.0003,Syncope and collapse,1.37,988,-5.90 <= Syncope and collapse < -0.17,-0.04,-0.04,2
Average Diameter for HDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.455,0.0,0.0,0.0,0.0006,0.0,-0.021,0.03,Average Diameter for HDL Particles,1.15,7281,-3.00 <= Average Diameter for HDL Particles < -0.96,-0.02,-0.02,2
Congenital anomalies of great vessels,C0000768,Congenital Abnormality,Congenital Abnormality. Malformations of organs or body parts during development in utero.,0,0.48,0.0,0.0,0.0,0.0006,0.1697,0.005,0.0002,Congenital anomalies of great vessels,1.0,90650,-2.30 <= Congenital anomalies of great vessels < 0.41,0.01,0.01,2
Concentration of Very Small VLDL Particles,C0597177,Particle,Particle. An object with finite mass and size parameters.,0,0.241,0.0,0.0,0.0,0.0006,0.001,-0.01,0.066,Concentration of Very Small VLDL Particles,1.12,7399,-3.90 <= Concentration of Very Small VLDL Particles < -0.95,-0.12,-0.12,2
"Other diseases of respiratory system, NEC",C0029896,Otorhinolaryngologic Diseases,"Otorhinolaryngologic Diseases. Pathological processes of the ear, the nose, and the throat, also known as the ENT diseases.",0,0.353,0.0,0.0,0.0,0.0005,0.0058,-0.006,0.0003,"Other diseases of respiratory system, NEC",1.01,1693,"Other diseases of respiratory system, NEC >= 2.10",0.13,0.22,2
Y83.6 - Removal of other organ (partial) (total),C0015252,removal technique,removal technique. The surgical removal of an organ or a part of an organ.,0,0.663,0.0,0.0,0.0,0.0005,0.0694,-0.006,0.0002,Y83.6 - Removal of other organ (partial) (total),1.0,90691,-6.50 <= Y83.6 - Removal of other organ (partial) (total) < 3.20,0.06,0.06,2
Complications of transplants and reattached limbs,,,,0,1.0,0.0,0.0,0.0,0.0005,0.1044,-0.002,0.0002,Complications of transplants and reattached limbs,0.99,89350,-1.40 <= Complications of transplants and reattached limbs < 0.39,0.08,0.22,2
