name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,cui_nomenclature,feature_level_min_kg_hits,feature_level_sum_kg_hits,sim_score
Glaucoma,0.01833,0.01639,-0.003,-0.003,12460,0.00198,Glaucoma,0.97,12175,94.38,-0.07 <= Glaucoma < 0.29,Glaucoma,Glaucoma,0,0,0.0
Apolipoprotein B Blood biochemistry,0.01787,0.0,-0.045,-0.037,12460,0.0002,Apolipoprotein B Blood biochemistry,1.63,208,2.73,Apolipoprotein B Blood biochemistry < -2.00,Apolipoprotein B Blood biochemistry,Apolipoprotein B Blood biochemistry,0,0,0.0
Acceptability of each blow result (text) | Array 0,0.01784,0.00117,0.029,0.029,12460,0.0,Acceptability of each blow result (text) | Array 0,1.04,10008,83.79,Acceptability of each blow result (text) | Array 0 >= -0.76,Acceptability of each blow result (text) | Array 0,Acceptability of each blow result (text) | Array 0,0,0,0.0
Sodium in urine,0.01722,0.31033,-0.01,-0.008,12460,0.00219,Sodium in urine,1.16,1757,16.37,Sodium in urine < -1.00,Sodium in urine,Sodium in urine,0,0,0.0
Treatment/medication code | Array 0 aspirin,0.01647,0.0,0.064,0.063,12460,0.00496,Treatment/medication code | Array 0__aspirin,1.48,1807,21.51,Treatment/medication code | Array 0__aspirin >= 0.63,Treatment/medication code | Array 0 aspirin,Treatment/medication code | Array 0 aspirin,0,0,0.0
Z86.6 - Personal history of diseases of the nervous system and sense organs,0.01584,0.00041,0.029,0.029,12460,0.00261,Z86.6 - Personal history of diseases of the nervous system and sense organs,0.96,12067,93.42,-0.05 <= Z86.6 - Personal history of diseases of the nervous system and sense organs < 0.68,Z86.6 - Personal history of diseases of the nervous system and sense organs,Z86.6 - Personal history of diseases of the nervous system and sense organs,0,0,0.0
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication",0.01513,0.0,0.043,0.043,12460,0.0,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication",1.69,427,5.78,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication >= 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication",0,0,0.0
Mental health conditions ever diagnosed by a professional group group,0.01455,6e-05,-0.038,-0.037,12460,0.00137,Mental health conditions ever diagnosed by a professional__group group,1.07,9271,79.78,Mental health conditions ever diagnosed by a professional__group group < 0.11,Mental health conditions ever diagnosed by a professional group group,Mental health conditions ever diagnosed by a professional group group,0,0,0.0
Concentration of Medium VLDL Particles,0.01425,0.11793,-0.009,-0.008,12460,0.00154,Concentration of Medium VLDL Particles,0.99,12141,96.55,Concentration of Medium VLDL Particles >= -2.40,Concentration of Medium VLDL Particles,Concentration of Medium VLDL Particles,0,0,0.0
Z92.2 - Personal history of long-term (current) use of other medicaments,0.01354,0.23863,0.021,0.021,12460,0.00316,Z92.2 - Personal history of long-term (current) use of other medicaments,1.92,245,3.77,2.20 <= Z92.2 - Personal history of long-term (current) use of other medicaments < 3.80,Z92.2 - Personal history of long-term (current) use of other medicaments,Z92.2 - Personal history of long-term (current) use of other medicaments,0,0,0.0
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_infrequent_",0.01335,0.0,0.041,0.041,12460,0.0,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_infrequent_",0.99,12359,98.07,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_infrequent_ < 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_infrequent_","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_infrequent_",0,0,0.0
Total protein,0.01307,0.04236,0.017,0.014,12460,0.0001,Total protein,1.2,980,9.47,Total protein >= 1.50,Total protein,Total protein,0,0,0.0
(CAD) coronary artery disease genetic risk,0.01266,0.01553,0.017,0.014,12460,0.00213,(CAD) coronary artery disease genetic risk,1.15,3479,32.18,-0.52 <= (CAD) coronary artery disease genetic risk < 0.16,(CAD) coronary artery disease genetic risk,(CAD) coronary artery disease genetic risk,0,0,0.0
Pulse wave reflection index,0.01238,0.35534,0.009,0.009,12460,2e-05,Pulse wave reflection index,1.93,166,2.57,0.47 <= Pulse wave reflection index < 0.53,Pulse wave reflection index,Pulse wave reflection index,0,0,0.0
"Never eat eggs, dairy, wheat, sugar_I eat all of the above",0.01235,5e-05,-0.036,-0.036,12460,0.00111,"Never eat eggs, dairy, wheat, sugar_I eat all of the above",1.17,3528,33.23,"Never eat eggs, dairy, wheat, sugar_I eat all of the above < 0.50","Never eat eggs, dairy, wheat, sugar_I eat all of the above","Never eat eggs, dairy, wheat, sugar_I eat all of the above",0,0,0.0
"Non-cancer illness code, self-reported | Array 1 diabetes",0.01218,0.0,0.061,0.06,12460,0.00151,"Non-cancer illness code, self-reported | Array 1__diabetes",2.02,391,6.34,"Non-cancer illness code, self-reported | Array 1__diabetes >= 0.71","Non-cancer illness code, self-reported | Array 1 diabetes","Non-cancer illness code, self-reported | Array 1 diabetes",0,0,0.0
"Non-cancer illness code, self-reported | Array 0 hypertension",0.01217,0.0,0.064,0.064,12460,0.00367,"Non-cancer illness code, self-reported | Array 0__hypertension",1.3,3611,37.64,"Non-cancer illness code, self-reported | Array 0__hypertension >= 0.61","Non-cancer illness code, self-reported | Array 0 hypertension","Non-cancer illness code, self-reported | Array 0 hypertension",0,0,0.0
age,0.01211,0.00148,0.029,0.024,12460,0.0,age,1.3,354,3.69,age >= 1.50,age,age,0,0,0.0
Other serious medical condition/disability diagnosed by doctor_No,0.01206,0.0,-0.053,-0.053,12460,0.00327,Other serious medical condition/disability diagnosed by doctor_No,1.26,3412,34.43,Other serious medical condition/disability diagnosed by doctor_No < 0.50,Other serious medical condition/disability diagnosed by doctor_No,Other serious medical condition/disability diagnosed by doctor_No,0,0,0.0
Diabetes diagnosed by doctor_Yes,0.01185,0.0,0.077,0.077,12460,0.00438,Diabetes diagnosed by doctor_Yes,1.8,958,13.8,Diabetes diagnosed by doctor_Yes >= 0.50,Diabetes diagnosed by doctor_Yes,Diabetes diagnosed by doctor_Yes,0,0,0.0
Lipoprotein A Blood biochemistry,0.01182,0.27144,0.004,0.004,12460,0.00031,Lipoprotein A Blood biochemistry,1.09,1876,16.45,Lipoprotein A Blood biochemistry >= 0.91,Lipoprotein A Blood biochemistry,Lipoprotein A Blood biochemistry,0,0,0.0
"Long-standing illness, disability or infirmity_No",0.01141,0.0,-0.071,-0.071,12460,0.00418,"Long-standing illness, disability or infirmity_No",1.25,5224,52.49,"Long-standing illness, disability or infirmity_No < 0.50","Long-standing illness, disability or infirmity_No","Long-standing illness, disability or infirmity_No",0,0,0.0
had_disease_past,0.01104,0.0,0.155,0.155,12460,0.00568,had_disease_past,0.98,12427,97.35,had_disease_past < 9.70,had_disease_past,had_disease_past,0,0,0.0
Mental health conditions ever diagnosed by a professional group,0.01093,2e-05,-0.039,-0.037,12460,0.00079,Mental health conditions ever diagnosed by a professional__group,1.08,8959,77.45,Mental health conditions ever diagnosed by a professional__group < 0.15,Mental health conditions ever diagnosed by a professional group,Mental health conditions ever diagnosed by a professional group,0,0,0.0
Most recent bowel cancer screening_5,0.01089,0.00224,0.027,0.027,12460,0.00392,Most recent bowel cancer screening_5,1.61,224,2.89,Most recent bowel cancer screening_5 >= 0.50,Most recent bowel cancer screening_5,Most recent bowel cancer screening_5,0,0,0.0
Skin colour_Light olive,0.01057,0.00679,-0.024,-0.024,12460,0.0,Skin colour_Light olive,1.03,10318,85.55,Skin colour_Light olive < 0.50,Skin colour_Light olive,Skin colour_Light olive,0,0,0.0
(HDL) high density lipoprotein cholesterol genetic risk,0.01012,0.46182,-0.005,-0.004,12460,0.00405,(HDL) high density lipoprotein cholesterol genetic risk,1.0,12146,97.67,-2.80 <= (HDL) high density lipoprotein cholesterol genetic risk < 2.10,(HDL) high density lipoprotein cholesterol genetic risk,(HDL) high density lipoprotein cholesterol genetic risk,0,0,0.0
Mental health conditions ever diagnosed by a professional group depression,0.00965,0.0058,-0.021,-0.02,12460,0.00034,Mental health conditions ever diagnosed by a professional__group depression,1.02,11785,96.23,Mental health conditions ever diagnosed by a professional__group depression < 0.15,Mental health conditions ever diagnosed by a professional group depression,Mental health conditions ever diagnosed by a professional group depression,0,0,0.0
Albumin,0.00927,0.72271,0.004,0.004,12460,0.00068,Albumin,0.99,12134,96.47,-2.60 <= Albumin < 2.80,Albumin,Albumin,0,0,0.0
Acetone,0.00877,0.68577,-0.002,-0.001,12460,0.00119,Acetone,1.24,275,2.73,Acetone >= 2.70,Acetone,Acetone,0,0,0.0
Average Diameter for HDL Particles,0.00873,0.25769,-0.01,-0.01,12460,0.00363,Average Diameter for HDL Particles,0.99,12007,95.67,-2.40 <= Average Diameter for HDL Particles < 3.60,Average Diameter for HDL Particles,Average Diameter for HDL Particles,0,0,0.0
Treatment/medication code | Array 0 tablet,0.0085,0.02747,-0.017,-0.017,12460,0.00266,Treatment/medication code | Array 0__tablet,1.01,11580,94.22,Treatment/medication code | Array 0__tablet < 0.10,Treatment/medication code | Array 0 tablet,Treatment/medication code | Array 0 tablet,0,0,0.0
Apolipoprotein B,0.00844,0.00012,-0.031,-0.027,12460,0.00287,Apolipoprotein B,1.95,164,2.57,Apolipoprotein B < -2.30,Apolipoprotein B,Apolipoprotein B,0,0,0.0
Chemotherapy,0.00807,0.00155,0.02,0.02,12460,0.0,Chemotherapy,0.99,12151,96.15,Chemotherapy < 1.80,Chemotherapy,Chemotherapy,0,0,0.0
HDL cholesterol Blood biochemistry,0.00797,0.10706,-0.016,-0.013,12460,0.0,HDL cholesterol Blood biochemistry,1.1,3606,31.94,-2.00 <= HDL cholesterol Blood biochemistry < -0.54,HDL cholesterol Blood biochemistry,HDL cholesterol Blood biochemistry,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 hypothyroidism",0.00777,0.00057,-0.031,-0.031,12460,0.0,"Non-cancer illness code, self-reported | Array 0__hypothyroidism",1.01,12237,99.44,"Non-cancer illness code, self-reported | Array 0__hypothyroidism < 0.29","Non-cancer illness code, self-reported | Array 0 hypothyroidism","Non-cancer illness code, self-reported | Array 0 hypothyroidism",0,0,0.0
Skin colour_Brown,0.00769,0.0,0.042,0.042,12460,0.0,Skin colour_Brown,1.8,300,4.33,Skin colour_Brown >= 0.50,Skin colour_Brown,Skin colour_Brown,0,0,0.0
Eye problems/disorders_infrequent_,0.00729,0.0,0.065,0.065,12460,0.00218,Eye problems/disorders_infrequent_,2.76,152,3.37,Eye problems/disorders_infrequent_ >= 0.50,Eye problems/disorders_infrequent_,Eye problems/disorders_infrequent_,0,0,0.0
Concentration of IDL Particles,0.00727,0.00175,-0.016,-0.015,12460,0.00131,Concentration of IDL Particles,1.36,516,5.62,-2.70 <= Concentration of IDL Particles < -1.40,Concentration of IDL Particles,Concentration of IDL Particles,0,0,0.0
Average Diameter for VLDL Particles,0.00721,0.32973,0.008,0.007,12460,0.00159,Average Diameter for VLDL Particles,1.18,221,2.09,Average Diameter for VLDL Particles >= 2.90,Average Diameter for VLDL Particles,Average Diameter for VLDL Particles,0,0,0.0
Illnesses of siblings_0_None of the above (group 1),0.00709,1e-05,-0.039,-0.039,12460,0.00376,Illnesses of siblings_0_None of the above (group 1),1.09,7654,67.09,Illnesses of siblings_0_None of the above (group 1) < 0.50,Illnesses of siblings_0_None of the above (group 1),Illnesses of siblings_0_None of the above (group 1),0,0,0.0
Treatment/medication code | Array 0 ibuprofen,0.00708,0.00147,-0.029,-0.029,12460,0.00051,Treatment/medication code | Array 0__ibuprofen,1.02,11936,97.51,Treatment/medication code | Array 0__ibuprofen < 0.35,Treatment/medication code | Array 0 ibuprofen,Treatment/medication code | Array 0 ibuprofen,0,0,0.0
"Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar",0.00692,9e-05,0.035,0.035,12460,0.0,"Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar",1.21,2506,24.32,"Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar >= 0.50","Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar","Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar",0,0,0.0
Age diabetes diagnosed,0.00686,0.00098,-0.002,-0.002,12460,0.00211,Age diabetes diagnosed,1.5,513,6.18,Age diabetes diagnosed >= 0.68,Age diabetes diagnosed,Age diabetes diagnosed,0,0,0.0
Most recent bowel cancer screening_Less than 1 year ago,0.00679,0.00043,0.032,0.032,12460,0.00123,Most recent bowel cancer screening_Less than 1 year ago,1.27,1353,13.8,Most recent bowel cancer screening_Less than 1 year ago >= 0.50,Most recent bowel cancer screening_Less than 1 year ago,Most recent bowel cancer screening_Less than 1 year ago,0,0,0.0
Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer,0.00662,0.0,0.045,0.045,12460,0.00227,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer,1.24,3073,30.5,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer >= 0.50,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer,0,0,0.0
Most recent bowel cancer screening_None,0.00649,0.0,-0.047,-0.047,12460,0.00205,Most recent bowel cancer screening_None,1.17,5102,47.83,Most recent bowel cancer screening_None < 0.50,Most recent bowel cancer screening_None,Most recent bowel cancer screening_None,0,0,0.0
Cholesterol in Very Small VLDL,0.00641,0.00442,-0.023,-0.021,12460,0.00153,Cholesterol in Very Small VLDL,1.56,147,1.85,-0.32 <= Cholesterol in Very Small VLDL < -0.07,Cholesterol in Very Small VLDL,Cholesterol in Very Small VLDL,0,0,0.0
Varicose veins of lower extremity,0.00638,0.09761,0.013,0.013,12460,0.0,Varicose veins of lower extremity,1.0,12282,99.04,-4.30 <= Varicose veins of lower extremity < 5.80,Varicose veins of lower extremity,Varicose veins of lower extremity,0,0,0.0
"Non-cancer illness code, self-reported | Array 1 disease",0.00601,0.00024,0.031,0.03,12460,0.00298,"Non-cancer illness code, self-reported | Array 1__disease",0.99,12313,97.83,"Non-cancer illness code, self-reported | Array 1__disease < 0.19","Non-cancer illness code, self-reported | Array 1 disease","Non-cancer illness code, self-reported | Array 1 disease",0,0,0.0
"Non-cancer illness code, self-reported | Array 1 glaucoma",0.00599,0.0,0.083,0.083,12460,0.00227,"Non-cancer illness code, self-reported | Array 1__glaucoma",0.98,12367,97.11,"Non-cancer illness code, self-reported | Array 1__glaucoma < 0.50","Non-cancer illness code, self-reported | Array 1 glaucoma","Non-cancer illness code, self-reported | Array 1 glaucoma",0,0,0.0
Benign neoplasm of colon,0.00595,0.09908,0.011,0.01,12460,0.0,Benign neoplasm of colon,1.0,12179,97.91,-2.30 <= Benign neoplasm of colon < 4.40,Benign neoplasm of colon,Benign neoplasm of colon,0,0,0.0
Eye problems/disorders_Glaucoma,0.00586,0.0,0.062,0.062,12460,0.00128,Eye problems/disorders_Glaucoma,2.37,228,4.33,Eye problems/disorders_Glaucoma >= 0.50,Eye problems/disorders_Glaucoma,Eye problems/disorders_Glaucoma,0,0,0.0
Fluid intelligence score,0.0058,0.69768,0.005,0.005,12460,0.0,Fluid intelligence score,1.26,198,2.01,Fluid intelligence score < -2.80,Fluid intelligence score,Fluid intelligence score,0,0,0.0
Apolipoprotein B to Apolipoprotein A1 ratio,0.00579,0.00775,-0.026,-0.022,12460,0.00462,Apolipoprotein B to Apolipoprotein A1 ratio,1.68,333,4.49,Apolipoprotein B to Apolipoprotein A1 ratio < -2.00,Apolipoprotein B to Apolipoprotein A1 ratio,Apolipoprotein B to Apolipoprotein A1 ratio,0,0,0.0
"Other chronic ischemic heart disease, unspecified",0.00576,0.06146,0.02,0.019,12460,0.0,"Other chronic ischemic heart disease, unspecified",2.13,155,2.65,"3.30 <= Other chronic ischemic heart disease, unspecified < 4.50","Other chronic ischemic heart disease, unspecified","Other chronic ischemic heart disease, unspecified",0,0,0.0
Abdominal pain,0.00569,0.36459,0.005,0.005,12460,0.0,Abdominal pain,1.12,169,1.52,-3.40 <= Abdominal pain < -2.10,Abdominal pain,Abdominal pain,0,0,0.0
Medium and low fat cheese,0.00534,0.49319,-0.007,-0.007,12460,0.00075,Medium and low fat cheese,1.08,1419,12.28,Medium and low fat cheese < -0.40,Medium and low fat cheese,Medium and low fat cheese,0,0,0.0
Average Diameter for LDL Particles,0.00511,0.02904,-0.017,-0.016,12460,0.0,Average Diameter for LDL Particles,1.53,131,1.61,2.30 <= Average Diameter for LDL Particles < 2.60,Average Diameter for LDL Particles,Average Diameter for LDL Particles,0,0,0.0
"Non-cancer illness code, self-reported | Array 1 retinal",0.0051,0.0,0.04,0.04,12460,0.00233,"Non-cancer illness code, self-reported | Array 1__retinal",0.99,12427,99.12,"Non-cancer illness code, self-reported | Array 1__retinal < 0.41","Non-cancer illness code, self-reported | Array 1 retinal","Non-cancer illness code, self-reported | Array 1 retinal",0,0,0.0
Vascular/heart problems diagnosed by doctor_None of the above,0.00503,0.0,-0.085,-0.085,12460,0.0042,Vascular/heart problems diagnosed by doctor_None of the above,1.31,5013,52.73,Vascular/heart problems diagnosed by doctor_None of the above < 0.50,Vascular/heart problems diagnosed by doctor_None of the above,Vascular/heart problems diagnosed by doctor_None of the above,0,0,0.0
Z82.4 - Family history of ischaemic heart disease and other diseases of the circulatory system,0.00488,0.14102,0.007,0.007,12460,0.00209,Z82.4 - Family history of ischaemic heart disease and other diseases of the circulatory system,1.67,174,2.33,-5.70 <= Z82.4 - Family history of ischaemic heart disease and other diseases of the circulatory system < -0.43,Z82.4 - Family history of ischaemic heart disease and other diseases of the circulatory system,Z82.4 - Family history of ischaemic heart disease and other diseases of the circulatory system,0,0,0.0
"Medication for cholesterol, blood pressure or diabetes Medication_None of the above",0.00482,0.0,-0.042,-0.042,12460,0.00279,"Medication for cholesterol, blood pressure or diabetes Medication_None of the above",1.08,9069,78.33,"Medication for cholesterol, blood pressure or diabetes Medication_None of the above < 0.50","Medication for cholesterol, blood pressure or diabetes Medication_None of the above","Medication for cholesterol, blood pressure or diabetes Medication_None of the above",0,0,0.0
"Non-cancer illness code, self-reported | Array 0 myxoedema",0.00467,0.00057,-0.031,-0.031,12460,0.00314,"Non-cancer illness code, self-reported | Array 0__myxoedema",1.01,12237,99.44,"Non-cancer illness code, self-reported | Array 0__myxoedema < 0.29","Non-cancer illness code, self-reported | Array 0 myxoedema","Non-cancer illness code, self-reported | Array 0 myxoedema",0,0,0.0
Concentration of Very Small VLDL Particles,0.00463,0.06051,-0.014,-0.013,12460,0.00309,Concentration of Very Small VLDL Particles,1.56,307,3.85,Concentration of Very Small VLDL Particles < -2.40,Concentration of Very Small VLDL Particles,Concentration of Very Small VLDL Particles,0,0,0.0
Diabetes diagnosed by doctor_No,0.00451,0.0,-0.077,-0.077,12460,0.0,Diabetes diagnosed by doctor_No,1.77,1036,14.69,Diabetes diagnosed by doctor_No < 0.50,Diabetes diagnosed by doctor_No,Diabetes diagnosed by doctor_No,0,0,0.0
Cholesterol in Small VLDL,0.00445,0.10146,-0.015,-0.014,12460,0.00051,Cholesterol in Small VLDL,1.63,190,2.49,-0.95 <= Cholesterol in Small VLDL < -0.61,Cholesterol in Small VLDL,Cholesterol in Small VLDL,0,0,0.0
Other abnormal blood chemistry,0.00442,0.12452,0.017,0.017,12460,0.00081,Other abnormal blood chemistry,0.98,12212,96.39,-2.60 <= Other abnormal blood chemistry < 3.70,Other abnormal blood chemistry,Other abnormal blood chemistry,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 syndrome",0.00435,0.00398,-0.027,-0.027,12460,0.0,"Non-cancer illness code, self-reported | Array 0__syndrome",1.01,12361,99.92,"Non-cancer illness code, self-reported | Array 0__syndrome < 0.21","Non-cancer illness code, self-reported | Array 0 syndrome","Non-cancer illness code, self-reported | Array 0 syndrome",0,0,0.0
Illnesses of mother_2_Heart disease,0.00433,0.00384,0.026,0.026,12460,0.00025,Illnesses of mother_2_Heart disease,1.38,500,5.54,Illnesses of mother_2_Heart disease >= 0.50,Illnesses of mother_2_Heart disease,Illnesses of mother_2_Heart disease,0,0,0.0
Qualifications_CSEs or equivalent|NVQ or HND or HNC or equivalent,0.00428,0.06516,0.017,0.017,12460,0.0,Qualifications_CSEs or equivalent|NVQ or HND or HNC or equivalent,1.0,12364,98.8,Qualifications_CSEs or equivalent|NVQ or HND or HNC or equivalent < 0.50,Qualifications_CSEs or equivalent|NVQ or HND or HNC or equivalent,Qualifications_CSEs or equivalent|NVQ or HND or HNC or equivalent,0,0,0.0
Other mental disorder,0.00427,0.09335,0.01,0.01,12460,0.00218,Other mental disorder,1.39,208,2.33,1.60 <= Other mental disorder < 2.20,Other mental disorder,Other mental disorder,0,0,0.0
"Non-cancer illness code, self-reported | Array 1 tissue",0.00426,0.03163,-0.019,-0.019,12460,0.0,"Non-cancer illness code, self-reported | Array 1__tissue",1.0,12418,100.0,"Non-cancer illness code, self-reported | Array 1__tissue < 0.21","Non-cancer illness code, self-reported | Array 1 tissue","Non-cancer illness code, self-reported | Array 1 tissue",0,0,0.0
Angina pectoris,0.00402,0.65154,0.01,0.01,12460,0.0,Angina pectoris,1.55,155,1.93,Angina pectoris >= 3.60,Angina pectoris,Angina pectoris,0,0,0.0
