feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,Novel/Interesting?,Makes Sense?,COMMENTS
"Non-cancer illness code, self-reported | Array 3 gout","Non-cancer illness code, self-reported | Array 3__gout",0.025,0.0,0.162,0.007,0,0.96,"Non-cancer illness code, self-reported | Array 3__gout < 0.50",49,oesophagus cancer,0.0,,,
(MS) multiple sclerosis genetic risk,(MS) multiple sclerosis genetic risk,0.023,0.001,0.011,0.307,0,1.18,(MS) multiple sclerosis genetic risk >= 2.10,3798,oesophagus cancer,0.0,,,
"Medication for cholesterol, blood pressure or diabetes_None of the above","Medication for cholesterol, blood pressure or diabetes_None of the above",0.015,0.0,-0.072,0.003,7,1.18,"Medication for cholesterol, blood pressure or diabetes_None of the above < 0.50",20327,oesophagus cancer,0.0,,,
(HDL) high density lipoprotein cholesterol genetic risk,(HDL) high density lipoprotein cholesterol genetic risk,0.014,0.0,-0.021,0.307,2,1.15,(HDL) high density lipoprotein cholesterol genetic risk < -1.40,5729,oesophagus cancer,0.0,,,
SHBG,SHBG,0.014,0.0,-0.071,0.051,10,1.68,SHBG < -1.40,10111,oesophagus cancer,0.0,,,
Home area population density - urban or rural_Scotland - Other Urban Area,Home area population density - urban or rural_Scotland - Other Urban Area,0.013,0.0,-0.027,0.0,0,1.01,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,282,oesophagus cancer,0.0,,,
had_disease_past,had_disease_past,0.013,0.0,0.122,0.004,0,0.98,had_disease_past < 9.80,259,oesophagus cancer,0.0,,,
Apolipoprotein A1,Apolipoprotein A1,0.013,0.007,0.004,0.056,4,1.31,2.40 <= Apolipoprotein A1 < 5.30,15543,oesophagus cancer,0.0,,,
Atrial fibrillation and flutter,Atrial fibrillation and flutter,0.012,0.197,-0.001,0.002,2,2.0,-5.10 <= Atrial fibrillation and flutter < -1.20,7439,oesophagus cancer,0.0,,,
(RA) rheumatoid arthritis genetic risk,(RA) rheumatoid arthritis genetic risk,0.012,0.142,0.003,0.307,0,1.09,1.50 <= (RA) rheumatoid arthritis genetic risk < 3.70,4546,oesophagus cancer,0.0,,,
Direct bilirubin,Direct bilirubin,0.011,0.0,0.032,0.004,7,1.29,2.20 <= Direct bilirubin < 6.50,5170,oesophagus cancer,0.0,,,
Age high blood pressure diagnosed_None,Age high blood pressure diagnosed_None,0.011,0.0,-0.112,0.006,4,1.41,Age high blood pressure diagnosed_None < 0.50,6888,oesophagus cancer,0.0,,,
(CVD) cardiovascular disease genetic risk,(CVD) cardiovascular disease genetic risk,0.01,0.0,0.028,0.308,0,1.09,0.38 <= (CVD) cardiovascular disease genetic risk < 3.00,71879,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 4 gout","Non-cancer illness code, self-reported | Array 4__gout",0.01,0.0,0.113,0.003,0,0.98,"Non-cancer illness code, self-reported | Array 4__gout < 0.50",26,oesophagus cancer,0.0,,,
(T2D) type 2 diabetes genetic risk,(T2D) type 2 diabetes genetic risk,0.009,0.0,0.02,0.307,1,1.11,(T2D) type 2 diabetes genetic risk >= 1.20,2719,oesophagus cancer,0.0,,,
(HT) hypertension genetic risk,(HT) hypertension genetic risk,0.009,0.0,0.035,0.307,1,1.23,(HT) hypertension genetic risk >= 1.20,19216,oesophagus cancer,0.0,,,
Date of all cause dementia report,Date of all cause dementia report,0.008,0.0,-0.023,0.002,0,1.0,-5.20 <= Date of all cause dementia report < 1.10,803,oesophagus cancer,0.0,,,
(AMD) age-related macular degeneration genetic risk,(AMD) age-related macular degeneration genetic risk,0.008,0.165,0.005,0.307,0,1.09,-1.20 <= (AMD) age-related macular degeneration genetic risk < -0.88,2129,oesophagus cancer,0.0,,,
Neuroticism score,Neuroticism score,0.008,0.254,0.003,0.0,0,1.13,0.23 <= Neuroticism score < 0.58,3686,oesophagus cancer,0.0,,,
Congestive heart failure (CHF) NOS,Congestive heart failure (CHF) NOS,0.007,0.07,0.007,0.002,0,0.98,-0.20 <= Congestive heart failure (CHF) NOS < 0.76,473,oesophagus cancer,0.0,,,
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None",0.006,0.0,0.035,0.001,0,1.05,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None >= 0.50",8277,oesophagus cancer,0.0,,,
Pulse wave reflection index,Pulse wave reflection index,0.006,0.661,-0.001,0.001,0,1.07,-2.20 <= Pulse wave reflection index < -0.67,1707,oesophagus cancer,0.0,,,
"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication","Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication",0.005,0.0,0.055,0.001,6,1.49,"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication >= 0.50",18986,oesophagus cancer,0.0,,,
Meat substitutes - vegetarian,Meat substitutes - vegetarian,0.005,0.255,0.004,0.0,0,1.01,-0.18 <= Meat substitutes - vegetarian < 3.10,64,oesophagus cancer,0.0,,,
Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,0.004,0.007,0.009,0.0,0,1.1,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse >= 0.50,278,oesophagus cancer,0.0,,,
Alcohol intake frequency._Special occasions only,Alcohol intake frequency._Special occasions only,0.004,0.0,-0.022,0.0,0,1.02,Alcohol intake frequency._Special occasions only < 0.50,99,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 5 gout","Non-cancer illness code, self-reported | Array 5__gout",0.004,0.0,0.08,0.002,0,0.99,"Non-cancer illness code, self-reported | Array 5__gout < 0.50",25,oesophagus cancer,0.0,,,
Home area population density - urban or rural_England/Wales - Urban - less sparse,Home area population density - urban or rural_England/Wales - Urban - less sparse,0.004,0.0,0.034,0.001,0,1.05,Home area population density - urban or rural_England/Wales - Urban - less sparse >= 0.50,278,oesophagus cancer,0.0,,,
Cholesterol in IDL,Cholesterol in IDL,0.004,0.0,-0.038,0.068,0,1.76,-4.60 <= Cholesterol in IDL < -3.20,1207,oesophagus cancer,0.0,,,
(AD) alzheimer's disease genetic risk,(AD) alzheimer's disease genetic risk,0.004,0.263,-0.003,0.307,0,1.01,(AD) alzheimer's disease genetic risk >= 1.80,15450,oesophagus cancer,0.0,,,
(VTE) venous thromboembolic disease genetic risk,(VTE) venous thromboembolic disease genetic risk,0.004,0.762,0.001,0.308,0,1.0,(VTE) venous thromboembolic disease genetic risk < 3.60,1205,oesophagus cancer,0.0,,,
3-Hydroxybutyrate,3-Hydroxybutyrate,0.004,0.0,0.023,0.143,1,1.11,-0.49 <= 3-Hydroxybutyrate < -0.02,9429,oesophagus cancer,0.0,,,
Overall health rating_Poor,Overall health rating_Poor,0.003,0.0,0.056,0.001,7,1.6,Overall health rating_Poor >= 0.50,15987,oesophagus cancer,0.0,,,
Concentration of Very Large VLDL Particles,Concentration of Very Large VLDL Particles,0.003,0.0,0.029,0.07,0,1.4,2.10 <= Concentration of Very Large VLDL Particles < 5.40,385,oesophagus cancer,0.0,,,
Apolipoprotein B to Apolipoprotein A1 ratio,Apolipoprotein B to Apolipoprotein A1 ratio,0.003,0.0,-0.033,0.136,0,1.28,-2.50 <= Apolipoprotein B to Apolipoprotein A1 ratio < -1.60,1541,oesophagus cancer,0.0,,,
Acetoacetate,Acetoacetate,0.003,0.0,0.034,0.137,0,1.24,Acetoacetate >= 0.62,5088,oesophagus cancer,0.0,,,
Sleep - Overall average,Sleep - Overall average,0.003,0.591,0.009,0.036,5,1.02,-0.12 <= Sleep - Overall average < 2.60,16183,oesophagus cancer,0.0,,,
Concentration of Medium LDL Particles,Concentration of Medium LDL Particles,0.003,0.0,-0.017,0.059,0,1.38,-3.70 <= Concentration of Medium LDL Particles < -2.80,236,oesophagus cancer,0.0,,,
Overall health rating_Good,Overall health rating_Good,0.002,0.0,-0.048,0.001,10,1.15,Overall health rating_Good < 0.50,16240,oesophagus cancer,0.0,,,
Concentration of IDL Particles,Concentration of IDL Particles,0.002,0.0,-0.033,0.06,0,1.43,-3.80 <= Concentration of IDL Particles < -2.40,296,oesophagus cancer,0.0,,,
Concentration of Very Large HDL Particles,Concentration of Very Large HDL Particles,0.002,0.0,-0.032,0.057,0,1.36,-2.80 <= Concentration of Very Large HDL Particles < -2.10,736,oesophagus cancer,0.0,,,
Cholesterol in Very Large HDL,Cholesterol in Very Large HDL,0.002,0.0,-0.043,0.07,0,1.97,-4.10 <= Cholesterol in Very Large HDL < -2.50,5903,oesophagus cancer,0.0,,,
Concentration of Small LDL Particles,Concentration of Small LDL Particles,0.002,0.0,-0.017,0.049,0,1.0,-2.80 <= Concentration of Small LDL Particles < 0.19,992,oesophagus cancer,0.0,,,
Z87.4 - Personal history of diseases of the genito-urinary system,Z87.4 - Personal history of diseases of the genito-urinary system,0.002,0.763,0.003,0.0,6,0.99,-2.00 <= Z87.4 - Personal history of diseases of the genito-urinary system < 0.02,6015,oesophagus cancer,0.0,,,
M79.66 - Pain in limb (Lower leg),M79.66 - Pain in limb (Lower leg),0.002,0.139,0.006,0.0,2,1.0,-0.49 <= M79.66 - Pain in limb (Lower leg) < 0.39,9586,oesophagus cancer,0.0,,,
Altered mental status,Altered mental status,0.001,0.169,-0.005,0.0,7,1.0,-13.00 <= Altered mental status < 2.40,8587,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 3 kidney","Non-cancer illness code, self-reported | Array 3__kidney",0.001,0.0,0.029,0.0,7,0.99,"Non-cancer illness code, self-reported | Array 3__kidney < 0.11",2253,oesophagus cancer,0.0,,,
M54.56 - Low back pain (Lumbar region),M54.56 - Low back pain (Lumbar region),0.001,0.0,0.012,0.0,0,1.0,-17.00 <= M54.56 - Low back pain (Lumbar region) < 0.75,3127,oesophagus cancer,0.0,,,
M47.82 - Other spondylosis (Cervical region),M47.82 - Other spondylosis (Cervical region),0.001,0.1,-0.005,0.0,0,1.0,-0.73 <= M47.82 - Other spondylosis (Cervical region) < 0.34,79,oesophagus cancer,0.0,,,
Rash and other nonspecific skin eruption,Rash and other nonspecific skin eruption,0.001,0.073,-0.004,0.0,0,1.0,-1.00 <= Rash and other nonspecific skin eruption < 0.34,27,oesophagus cancer,0.0,,,
"Other diseases of respiratory system, NEC","Other diseases of respiratory system, NEC",0.001,0.006,-0.006,0.0,0,1.01,"Other diseases of respiratory system, NEC >= 2.10",35,oesophagus cancer,0.0,,,
Osteoarthritis; localized,Osteoarthritis; localized,0.001,0.018,-0.004,0.0,0,1.12,-5.50 <= Osteoarthritis; localized < -0.13,7024,oesophagus cancer,0.0,,,
Concentration of Medium HDL Particles,Concentration of Medium HDL Particles,0.001,0.003,0.004,0.06,0,1.18,3.70 <= Concentration of Medium HDL Particles < 8.70,232,oesophagus cancer,0.0,,,
Cholesterol in Very Small VLDL,Cholesterol in Very Small VLDL,0.001,0.0,-0.029,0.052,0,1.29,-4.60 <= Cholesterol in Very Small VLDL < -1.30,1167,oesophagus cancer,0.0,,,
Concentration of Small HDL Particles,Concentration of Small HDL Particles,0.001,0.0,0.01,0.054,0,1.44,2.10 <= Concentration of Small HDL Particles < 2.70,880,oesophagus cancer,0.0,,,
Average Diameter for VLDL Particles,Average Diameter for VLDL Particles,0.001,0.0,0.031,0.028,0,1.87,3.30 <= Average Diameter for VLDL Particles < 5.90,27,oesophagus cancer,0.0,,,
Average Diameter for LDL Particles,Average Diameter for LDL Particles,0.001,0.0,-0.027,0.004,0,1.21,-5.50 <= Average Diameter for LDL Particles < -0.75,58,oesophagus cancer,0.0,,,
Concentration of HDL Particles,Concentration of HDL Particles,0.001,0.112,0.002,0.039,0,1.21,Concentration of HDL Particles < -2.30,2966,oesophagus cancer,0.0,,,
Average Diameter for HDL Particles,Average Diameter for HDL Particles,0.001,0.0,-0.021,0.03,0,1.15,-3.00 <= Average Diameter for HDL Particles < -0.96,49,oesophagus cancer,0.0,,,
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above",0.001,0.0,-0.067,0.003,0,1.07,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above < 0.50",8270,oesophagus cancer,0.0,,,
Overall health rating_Fair,Overall health rating_Fair,0.001,0.0,0.05,0.001,0,1.24,Overall health rating_Fair >= 0.50,3361,oesophagus cancer,0.0,,,
Z96.6 - Presence of orthopaedic joint implants,Z96.6 - Presence of orthopaedic joint implants,0.001,0.001,-0.007,0.0,0,1.33,-6.30 <= Z96.6 - Presence of orthopaedic joint implants < -0.35,1189,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 6 gout","Non-cancer illness code, self-reported | Array 6__gout",0.001,0.0,0.058,0.001,0,0.99,"Non-cancer illness code, self-reported | Array 6__gout < 0.50",36,oesophagus cancer,0.0,,,
Age high blood pressure diagnosed_23,Age high blood pressure diagnosed_23,0.001,0.0,0.017,0.0,10,1.0,Age high blood pressure diagnosed_23 < 0.50,19788,oesophagus cancer,0.0,,,
Pneumococcal pneumonia,Pneumococcal pneumonia,0.001,0.1,-0.004,0.0,4,1.0,-4.70 <= Pneumococcal pneumonia < 5.00,10528,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 1 diabetes","Non-cancer illness code, self-reported | Array 1__diabetes",0.001,0.0,0.022,0.0,2,1.33,"Non-cancer illness code, self-reported | Array 1__diabetes >= 0.43",3395,oesophagus cancer,0.0,,,
Concentration of Medium VLDL Particles,Concentration of Medium VLDL Particles,0.001,0.12,-0.007,0.066,0,0.99,-2.90 <= Concentration of Medium VLDL Particles < 3.90,154,oesophagus cancer,0.0,,,
Umbilical hernia,Umbilical hernia,0.001,0.007,-0.005,0.0,6,1.0,-1.20 <= Umbilical hernia < 0.56,6026,oesophagus cancer,0.0,,,
M25.56 - Pain in joint (Lower leg),M25.56 - Pain in joint (Lower leg),0.001,0.055,0.008,0.0,0,0.99,-0.65 <= M25.56 - Pain in joint (Lower leg) < 0.29,3680,oesophagus cancer,0.0,,,
Fluid intelligence score,Fluid intelligence score,0.001,0.011,-0.008,0.0,0,1.26,-3.60 <= Fluid intelligence score < -2.80,836,oesophagus cancer,0.0,,,
Complications of transplants and reattached limbs,Complications of transplants and reattached limbs,0.001,0.104,-0.002,0.0,0,0.99,-1.40 <= Complications of transplants and reattached limbs < 0.39,21,oesophagus cancer,0.0,,,
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication",0.001,0.0,0.014,0.0,0,1.23,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication >= 0.50",8272,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 1 asthma","Non-cancer illness code, self-reported | Array 1__asthma",0.001,0.0,0.026,0.0,0,1.36,"Non-cancer illness code, self-reported | Array 1__asthma >= 0.50",719,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 1 depression","Non-cancer illness code, self-reported | Array 1__depression",0.001,0.054,-0.006,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 1__depression < 0.12",1191,oesophagus cancer,0.0,,,
Concentration of Very Small VLDL Particles,Concentration of Very Small VLDL Particles,0.001,0.001,-0.01,0.066,0,1.12,-3.90 <= Concentration of Very Small VLDL Particles < -0.95,395,oesophagus cancer,0.0,,,
Qualifications_None,Qualifications_None,0.001,0.005,0.009,0.0,1,1.27,Qualifications_None >= 0.50,744,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 1 hypertension","Non-cancer illness code, self-reported | Array 1__hypertension",0.001,0.0,0.049,0.001,1,1.63,"Non-cancer illness code, self-reported | Array 1__hypertension >= 0.68",1244,oesophagus cancer,0.0,,,
Overall health rating_Excellent,Overall health rating_Excellent,0.001,0.0,-0.046,0.001,1,1.05,Overall health rating_Excellent < 0.50,6069,oesophagus cancer,0.0,,,
Circulatory disease NEC,Circulatory disease NEC,0.001,0.039,-0.002,0.001,1,1.39,-4.80 <= Circulatory disease NEC < -0.20,61,oesophagus cancer,0.0,,,
Concentration of Large LDL Particles,Concentration of Large LDL Particles,0.001,0.0,-0.024,0.068,0,1.16,-3.50 <= Concentration of Large LDL Particles < -0.85,709,oesophagus cancer,0.0,,,
Other specified cardiac dysrhythmias,Other specified cardiac dysrhythmias,0.0,0.163,0.006,0.0,0,0.99,-0.12 <= Other specified cardiac dysrhythmias < 0.98,119,oesophagus cancer,0.0,,,
Cholesterol in Large HDL,Cholesterol in Large HDL,0.0,0.0,-0.031,0.064,0,1.21,-2.80 <= Cholesterol in Large HDL < -0.90,5909,oesophagus cancer,0.0,,,
Calculus of bile duct,Calculus of bile duct,0.0,0.123,0.004,0.0,9,1.0,-16.00 <= Calculus of bile duct < 6.80,7611,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 2 failure","Non-cancer illness code, self-reported | Array 2__failure",0.0,0.0,0.035,0.0,8,1.0,"Non-cancer illness code, self-reported | Array 2__failure < 0.18",3664,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 1 angina","Non-cancer illness code, self-reported | Array 1__angina",0.0,0.0,0.038,0.001,0,1.74,"Non-cancer illness code, self-reported | Array 1__angina >= 0.50",75,oesophagus cancer,0.0,,,
Age angina diagnosed_infrequent_,Age angina diagnosed_infrequent_,0.0,0.0,0.021,0.0,0,1.0,Age angina diagnosed_infrequent_ < 0.50,38,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 1 hypothyroidism","Non-cancer illness code, self-reported | Array 1__hypothyroidism",0.0,0.125,-0.005,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 1__hypothyroidism < 0.29",120,oesophagus cancer,0.0,,,
"Z13.9 - Special screening examination, unspecified","Z13.9 - Special screening examination, unspecified",0.0,0.099,-0.002,0.0,1,1.0,"Z13.9 - Special screening examination, unspecified >= -0.92",162,oesophagus cancer,0.0,,,
Congenital anomalies of great vessels,Congenital anomalies of great vessels,0.0,0.17,0.005,0.0,1,1.0,-2.30 <= Congenital anomalies of great vessels < 0.41,10418,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 1 osteoarthritis","Non-cancer illness code, self-reported | Array 1__osteoarthritis",0.0,0.0,0.012,0.0,0,1.2,"Non-cancer illness code, self-reported | Array 1__osteoarthritis >= 0.50",429,oesophagus cancer,0.0,,,
Occlusion of cerebral arteries,Occlusion of cerebral arteries,0.0,0.018,-0.005,0.0,0,1.0,-2.60 <= Occlusion of cerebral arteries < 0.04,10643,oesophagus cancer,0.0,,,
"Non-cancer illness code, self-reported | Array 1 high cholesterol","Non-cancer illness code, self-reported | Array 1__high cholesterol",0.0,0.007,0.009,0.0,0,1.1,"Non-cancer illness code, self-reported | Array 1__high cholesterol >= 0.29",481,oesophagus cancer,0.0,,,
Other disorders of male genital organs,Other disorders of male genital organs,0.0,0.199,-0.004,0.0,2,1.0,-0.17 <= Other disorders of male genital organs < 8.00,4848,oesophagus cancer,0.0,,,
Chronic ulcer of skin,Chronic ulcer of skin,0.0,0.123,0.009,0.0,4,1.0,-3.30 <= Chronic ulcer of skin < 1.10,8151,oesophagus cancer,0.0,,,
"Medication for cholesterol, blood pressure or diabetes_Blood pressure medication","Medication for cholesterol, blood pressure or diabetes_Blood pressure medication",0.0,0.0,0.055,0.001,6,1.49,"Medication for cholesterol, blood pressure or diabetes_Blood pressure medication >= 0.50",19083,oesophagus cancer,0.0,,,
