feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length
Pulse wave reflection index,,,,0,1.0,0.0,0.0,0.0,0.0054,0.6607,-0.001,0.0009,Pulse wave reflection index,1.07,4830,-2.20 <= Pulse wave reflection index < -0.67,-0.1,-0.1,2
Apolipoprotein B to Apolipoprotein A1 ratio,C0003593,Apolipoproteins B,"Apolipoproteins B. Major structural proteins of triacylglycerol-rich LIPOPROTEINS. There are two forms, apolipoprotein B-100 and apolipoprotein B-48, both derived from a single gene. ApoB-100 expressed in the liver is found in low-density lipoproteins (LIPOPROTEINS, LDL; LIPOPROTEINS, VLDL). ApoB-48 expressed in the intestine is found in CHYLOMICRONS. They are important in the biosynthesis, transport, and metabolism of triacylglycerol-rich lipoproteins. Plasma Apo-B levels are high in atherosclerotic patients but non-detectable in ABETALIPOPROTEINEMIA.",1,0.692,0.0,1.0,0.1,0.0043,0.0,-0.033,0.1361,Apolipoprotein B to Apolipoprotein A1 ratio,1.28,5102,-2.50 <= Apolipoprotein B to Apolipoprotein A1 ratio < -1.60,0.16,0.16,1
(AD) alzheimer's disease genetic risk,C0002395,Alzheimer's Disease,"Alzheimer's Disease. A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA. Impairment of MEMORY, judgment, attention span, and problem solving skills are followed by severe APRAXIAS and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of SENILE PLAQUES; NEUROFIBRILLARY TANGLES; and NEUROPIL THREADS. (From Adams et al., Principles of Neurology, 6th ed, pp1049-57)",0,0.675,0.0,0.0,0.0,0.0033,0.2627,-0.003,0.3071,(AD) alzheimer's disease genetic risk,1.01,5427,(AD) alzheimer's disease genetic risk >= 1.80,0.19,0.2,2
(VTE) venous thromboembolic disease genetic risk,C1997614,Thromboembolism of vein,Thromboembolism of vein. ,0,0.361,0.0,0.0,0.0,0.0031,0.7621,0.001,0.3077,(VTE) venous thromboembolic disease genetic risk,1.0,91418,(VTE) venous thromboembolic disease genetic risk < 3.60,0.05,0.05,2
Meat substitutes - vegetarian,C0042441,Vegetarian (finding,"Vegetarian (finding. A person who eats no meat; some may eat fish, eggs, or dairy products.",0,0.727,0.0,0.0,0.0,0.0028,0.255,0.004,0.0001,Meat substitutes - vegetarian,1.01,80042,-0.18 <= Meat substitutes - vegetarian < 3.10,-0.02,-0.02,2
3-Hydroxybutyrate,C0106006,3-Hydroxybutyrate,3-Hydroxybutyrate. A hydroxy fatty acid anion and ketone body synthesized in the liver from acetyl-Coenzyme A (acetyl-CoA) by the enzyme 3-hydroxybutyrate dehydrogenase. 3-hydroxybutyrate can be used as an energy source when glucose levels drop. Elevated urine and serum levels of 3-hydroxybutyrate are seen in ketosis and ketoacidosis.,0,0.767,0.0,0.0,0.0,0.0024,0.0,0.023,0.1431,3-Hydroxybutyrate,1.11,14658,-0.49 <= 3-Hydroxybutyrate < -0.02,0.0,0.0,2
Acetoacetate,C0000988,Acetoacetates,Acetoacetates. Salts and derivatives of acetoacetic acid.,0,0.86,0.0,0.0,0.0,0.0023,0.0,0.034,0.1366,Acetoacetate,1.24,9070,Acetoacetate >= 0.62,-0.0,-0.0,2
Concentration of IDL Particles,C0086045,Mental concentration,"Mental concentration. The act or process of concentrating, focusing the attention and mental energy on a single object to the exclusion of others.",0,0.152,0.0,0.0,0.0,0.0022,0.0,-0.033,0.0604,Concentration of IDL Particles,1.43,2252,-3.80 <= Concentration of IDL Particles < -2.40,0.01,0.09,2
Cholesterol in IDL,,,,0,1.0,0.0,0.0,0.0,0.0021,0.0,-0.038,0.0679,Cholesterol in IDL,1.76,1026,-4.60 <= Cholesterol in IDL < -3.20,0.29,0.29,2
Concentration of Very Large VLDL Particles,C0023825,Very low density lipoprotein,"Very low density lipoprotein. A class of lipoproteins of very light (0.93-1.006 g/ml) large size (30-80 nm) particles with a core composed mainly of TRIGLYCERIDES and a surface monolayer of PHOSPHOLIPIDS and CHOLESTEROL into which are imbedded the apolipoproteins B, E, and C. VLDL facilitates the transport of endogenously made triglycerides to extrahepatic tissues. As triglycerides and Apo C are removed, VLDL is converted to INTERMEDIATE-DENSITY LIPOPROTEINS, then to LOW-DENSITY LIPOPROTEINS from which cholesterol is delivered to the extrahepatic tissues.",0,0.631,0.0,0.0,0.0,0.0019,0.0,0.029,0.0705,Concentration of Very Large VLDL Particles,1.4,2817,2.10 <= Concentration of Very Large VLDL Particles < 5.40,-0.02,0.07,2
Concentration of HDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0013,0.1116,0.002,0.0387,Concentration of HDL Particles,1.21,2381,Concentration of HDL Particles < -2.30,0.07,0.12,2
Circulatory disease NEC,C0135615,Proprotein Convertase 1,Proprotein Convertase 1. A CALCIUM-dependent endopeptidase that has specificity for cleavage at ARGININE that is near paired basic residues. It cleaves a variety of prohormones including PRO-OPIOMELANOCORTIN; PRORENIN; proenkephalins; prodynorphin; prosomatostatin; and PROINSULIN.,0,0.161,0.0,0.0,0.0,0.0013,0.039,-0.002,0.0007,Circulatory disease NEC,1.39,1979,-4.80 <= Circulatory disease NEC < -0.20,0.1,0.1,2
M54.56 - Low back pain (Lumbar region),C0024031,Low Back Pain,"Low Back Pain. Acute or chronic pain in the lumbar or sacral regions, which may be associated with musculo-ligamentous SPRAINS AND STRAINS; INTERVERTEBRAL DISK DISPLACEMENT; and other conditions.",0,0.463,0.0,0.0,0.0,0.0013,0.0004,0.012,0.0002,M54.56 - Low back pain (Lumbar region),1.0,91086,-17.00 <= M54.56 - Low back pain (Lumbar region) < 0.75,0.05,0.05,2
M47.82 - Other spondylosis (Cervical region),C0556956,Cervical region (surface region of back),Cervical region (surface region of back). ,0,0.414,0.0,0.0,0.0,0.0011,0.1002,-0.005,0.0002,M47.82 - Other spondylosis (Cervical region),1.0,90852,-0.73 <= M47.82 - Other spondylosis (Cervical region) < 0.34,0.18,0.19,99
Fluid intelligence score,,,,0,1.0,0.0,0.0,0.0,0.0011,0.0108,-0.008,0.0001,Fluid intelligence score,1.26,1102,-3.60 <= Fluid intelligence score < -2.80,-0.01,-0.01,2
Average Diameter for VLDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.421,0.0,0.0,0.0,0.0011,0.0,0.031,0.0285,Average Diameter for VLDL Particles,1.87,986,3.30 <= Average Diameter for VLDL Particles < 5.90,-0.02,0.02,2
M25.56 - Pain in joint (Lower leg),C0030193,Pain,Pain. An unpleasant sensation induced by noxious stimuli which are detected by NERVE ENDINGS of NOCICEPTIVE NEURONS.,1,0.213,0.0,0.0,0.0,0.001,0.0548,0.008,0.0003,M25.56 - Pain in joint (Lower leg),0.99,90802,-0.65 <= M25.56 - Pain in joint (Lower leg) < 0.29,0.02,0.02,1
Pneumococcal pneumonia,C0032300,Lobar Pneumonia,Lobar Pneumonia. ,0,0.591,0.0,0.0,0.0,0.001,0.1003,-0.004,0.0002,Pneumococcal pneumonia,1.0,90494,-4.70 <= Pneumococcal pneumonia < 5.00,0.12,0.12,2
Average Diameter for HDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.455,0.0,0.0,0.0,0.0009,0.0,-0.021,0.03,Average Diameter for HDL Particles,1.15,7281,-3.00 <= Average Diameter for HDL Particles < -0.96,0.05,0.06,2
Concentration of Small LDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0009,0.0,-0.017,0.0486,Concentration of Small LDL Particles,1.0,80534,-2.80 <= Concentration of Small LDL Particles < 0.19,0.03,0.15,2
Average Diameter for LDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.466,0.0,0.0,0.0,0.0009,0.0,-0.027,0.0039,Average Diameter for LDL Particles,1.21,7036,-5.50 <= Average Diameter for LDL Particles < -0.75,0.01,0.11,2
Cholesterol in Small VLDL,,,,0,1.0,0.0,0.0,0.0,0.0008,0.001,-0.012,0.0544,Cholesterol in Small VLDL,1.0,81085,-3.70 <= Cholesterol in Small VLDL < 0.00,0.18,0.18,2
Z96.6 - Presence of orthopaedic joint implants,C3854307,Presence (property),Presence (property). ,0,0.242,0.0,0.0,0.0,0.0008,0.0006,-0.007,0.0003,Z96.6 - Presence of orthopaedic joint implants,1.33,1458,-6.30 <= Z96.6 - Presence of orthopaedic joint implants < -0.35,0.09,0.2,99
Concentration of Large HDL Particles,C0549177,Large,"Large. Of considerable or relatively great size, extent, or capacity.",0,0.245,0.0,0.0,0.0,0.0008,0.0,-0.025,0.0679,Concentration of Large HDL Particles,1.47,954,-3.10 <= Concentration of Large HDL Particles < -2.30,0.07,0.15,2
Osteoarthritis; localized,C0029408,Degenerative polyarthritis,"Degenerative polyarthritis. A progressive, degenerative joint disease, the most common form of arthritis, especially in older persons. The disease is thought to result not from the aging process but from biochemical changes and biomechanical stresses affecting articular cartilage. In the foreign literature it is often called osteoarthrosis deformans.",0,0.621,0.0,0.0,0.0,0.0006,0.018,-0.004,0.0002,Osteoarthritis; localized,1.12,947,-5.50 <= Osteoarthritis; localized < -0.13,0.22,0.32,2
"Other diseases of respiratory system, NEC",C0029896,Otorhinolaryngologic Diseases,"Otorhinolaryngologic Diseases. Pathological processes of the ear, the nose, and the throat, also known as the ENT diseases.",0,0.353,0.0,0.0,0.0,0.0006,0.0058,-0.006,0.0003,"Other diseases of respiratory system, NEC",1.01,1693,"Other diseases of respiratory system, NEC >= 2.10",0.22,0.31,2
Concentration of Medium HDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0005,0.0026,0.004,0.06,Concentration of Medium HDL Particles,1.18,1085,3.70 <= Concentration of Medium HDL Particles < 8.70,0.05,0.09,2
Phlebitis and thrombophlebitis of lower extremities,C0031542,Phlebitis,"Phlebitis. Inflammation of a vein, often a vein in the leg. Phlebitis associated with a blood clot is called (THROMBOPHLEBITIS).",0,0.801,0.0,0.0,0.0,0.0005,0.079,-0.004,0.0003,Phlebitis and thrombophlebitis of lower extremities,1.0,90658,-2.20 <= Phlebitis and thrombophlebitis of lower extremities < 6.70,0.11,0.16,2
Congenital anomalies of great vessels,C0000768,Congenital Abnormality,Congenital Abnormality. Malformations of organs or body parts during development in utero.,0,0.48,0.0,0.0,0.0,0.0005,0.1697,0.005,0.0002,Congenital anomalies of great vessels,1.0,90650,-2.30 <= Congenital anomalies of great vessels < 0.41,0.03,0.03,2
Complications of transplants and reattached limbs,,,,0,1.0,0.0,0.0,0.0,0.0004,0.1044,-0.002,0.0002,Complications of transplants and reattached limbs,0.99,89350,-1.40 <= Complications of transplants and reattached limbs < 0.39,0.15,0.17,2
Concentration of Large LDL Particles,C0549177,Large,"Large. Of considerable or relatively great size, extent, or capacity.",0,0.272,0.0,0.0,0.0,0.0003,0.0,-0.024,0.0683,Concentration of Large LDL Particles,1.16,7437,-3.50 <= Concentration of Large LDL Particles < -0.85,0.04,0.19,2
Y83.6 - Removal of other organ (partial) (total),,,,0,1.0,0.0,0.0,0.0,0.0002,0.0694,-0.006,0.0002,Y83.6 - Removal of other organ (partial) (total),1.0,90691,-6.50 <= Y83.6 - Removal of other organ (partial) (total) < 3.20,0.12,0.12,2
Concentration of VLDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0002,0.0074,0.004,0.0524,Concentration of VLDL Particles,1.22,962,3.60 <= Concentration of VLDL Particles < 6.20,-0.05,0.05,2
Occlusion of cerebral arteries,C0001168,Complete obstruction,Complete obstruction. ,1,0.316,0.0,2.0,0.4,0.0002,0.0176,-0.005,0.0002,Occlusion of cerebral arteries,1.0,90341,-2.60 <= Occlusion of cerebral arteries < 0.04,0.08,0.21,1
Bacterial infection NOS,C0004623,Bacterial Infections,"Bacterial Infections. Infections by bacteria, general or unspecified.",1,0.959,1.0,1.0,1.0,0.0002,0.1737,-0.0,0.0004,Bacterial infection NOS,1.32,1113,0.04 <= Bacterial infection NOS < 7.50,0.16,0.16,1
