feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Vascular/heart problems diagnosed by doctor High blood pressure,C0020538,Hypertensive disease,"Hypertensive disease. Persistently high systemic arterial BLOOD PRESSURE. Based on multiple readings (BLOOD PRESSURE DETERMINATION), hypertension is currently defined as when SYSTOLIC PRESSURE is consistently greater than 140 mm Hg or when DIASTOLIC PRESSURE is consistently 90 mm Hg or more.",1,0.582,1.0,1.0,1.0,0.0042,0.0028,,0.004,Vascular/heart problems diagnosed by doctor_High blood pressure,1.05,5137,Vascular/heart problems diagnosed by doctor_High blood pressure >= 0.50,0.07,0.07,1,0,0.0
(HBA1C DF) glycated haemoglobin genetic risk,C0017853,"Hemoglobin, Glycosylated","Hemoglobin, Glycosylated. Products of non-enzymatic reactions between GLUCOSE and HEMOGLOBIN (occurring as a minor fraction of the hemoglobin of ERYTHROCYTES.) It generally refers to glycated HEMOGLOBIN A. Hemoglobin A1c (Hb A1c) is hemoglobin A with GLYCATION on a terminal VALINE of the beta chain. Glycated hemoglobin A is used as an index of the average blood sugar level over a lifetime of erythrocytes.",0,0.525,0.0,0.0,0.0,0.0042,0.0735,,0.0084,(HBA1C_DF) glycated haemoglobin genetic risk,1.17,278,(HBA1C_DF) glycated haemoglobin genetic risk >= 2.20,0.06,0.13,2,0,0.0
"Medication for cholesterol, blood pressure or diabetes Medication None of the above",C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",3,0.346,0.0,1.0,0.2,0.0041,0.0,,0.0004,"Medication for cholesterol, blood pressure or diabetes Medication_None of the above",1.02,13848,"Medication for cholesterol, blood pressure or diabetes Medication_None of the above < 0.50",0.2,0.2,1,128,0.03
Mental health conditions ever diagnosed by a professional group group,C0687744,Social group,"Social group. A collection of two or more people who share a common identity as defined by beliefs, codes of conduct, CULTURE and SOCIAL NORMS.",0,0.226,0.0,0.0,0.0,0.004,0.0,,0.002,Mental health conditions ever diagnosed by a professional__group group,1.11,496,0.31 <= Mental health conditions ever diagnosed by a professional__group group < 0.33,0.07,0.07,2,95,0.46
"dietary changes in the last 5 years Yes, because of illness",C0012155,Diet,Diet. Regular course of eating and drinking adopted by a person or animal.,1,0.218,0.0,0.0,0.0,0.004,0.0,,0.0,"Major dietary changes in the last 5 years_Yes, because of illness",1.17,2603,"Major dietary changes in the last 5 years_Yes, because of illness >= 0.50",0.13,0.13,1,234,0.17
Diverticulosis,C1510475,Diverticulosis,"Diverticulosis. A finding indicating the presence of multiple pouches, usually in the colonic or gastric wall.",0,0.798,0.0,0.0,0.0,0.004,0.7757,,0.0038,Diverticulosis,1.33,184,3.30 <= Diverticulosis < 4.10,0.33,0.33,2,8,0.03
Alanine,C0001898,alanine,"alanine. A non-essential amino acid that occurs in high levels in its free state in plasma. It is produced from pyruvate by transamination. It is involved in sugar and acid metabolism, increases IMMUNITY, and provides energy for muscle tissue, BRAIN, and the CENTRAL NERVOUS SYSTEM.",0,0.775,0.0,0.0,0.0,0.0039,0.4624,,0.0066,Alanine,1.13,517,-2.30 <= Alanine < -1.80,0.02,0.02,2,57,0.04
Cholesterol in Medium HDL,,,,0,1.0,0.0,0.0,0.0,0.0035,0.0,,0.0039,Cholesterol in Medium HDL,1.19,1103,-4.00 <= Cholesterol in Medium HDL < -1.40,0.15,0.15,2,80,0.28
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones Blood pressure medication",,,,0,1.0,0.0,0.0,0.0,0.0035,0.0,,0.0,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication",1.16,1311,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication >= 0.50",0.2,0.2,2,80,0.28
avMSE,,,,0,1.0,0.0,0.0,0.0,0.0034,0.9978,,0.0033,avMSE,1.3,188,-0.25 <= avMSE < -0.06,-0.0,-0.0,2,80,0.28
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Hayfever, allergic rhinitis or eczema",C0087086,Thrombus,Thrombus. ,0,0.249,0.0,0.0,0.0,0.0033,0.0054,,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Hayfever, allergic rhinitis or eczema",1.01,14894,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Hayfever, allergic rhinitis or eczema < 0.50",-0.01,-0.01,2,196,0.08
Health satisfaction,,,,0,1.0,0.0,0.0,0.0,0.0032,0.0001,,0.0096,Health satisfaction_None,1.03,11859,Health satisfaction_None >= 0.50,-0.04,-0.04,2,80,0.28
(OP) osteoporosis genetic risk,C0029456,Osteoporosis,"Osteoporosis. Reduction of bone mass without alteration in the composition of bone, leading to fractures. Primary osteoporosis can be of two major types: postmenopausal osteoporosis (OSTEOPOROSIS, POSTMENOPAUSAL) and age-related or senile osteoporosis.",0,0.529,0.0,0.0,0.0,0.0032,0.4709,,0.0056,(OP) osteoporosis genetic risk,1.14,731,-0.12 <= (OP) osteoporosis genetic risk < -0.01,0.15,0.2,2,0,0.0
Leg fat-free mass,C0023216,Lower Extremity,"Lower Extremity. The region of the lower limb in animals, extending from the gluteal region to the FOOT, and including the BUTTOCKS; HIP; and LEG.",0,0.413,0.0,0.0,0.0,0.0032,0.2493,,0.0,Leg fat-free mass (right),1.11,252,Leg fat-free mass (right) < -1.50,-0.03,-0.03,2,0,0.0
Mental health conditions ever diagnosed by a professional nerves,,,,0,1.0,0.0,0.0,0.0,0.0031,0.1467,,0.0,Mental health conditions ever diagnosed by a professional__nerves,1.0,16815,Mental health conditions ever diagnosed by a professional__nerves < 0.13,-0.04,-0.04,2,80,0.28
age,C0001779,Age,Age. How long something has existed; elapsed time since birth.,1,0.737,1.0,1.0,1.0,0.003,0.9456,,0.0011,age,1.06,1294,1.30 <= age < 1.70,0.05,0.07,1,0,0.0
Health satisfaction Moderately happy,C0018592,Happiness,Happiness. Highly pleasant emotion characterized by outward manifestations of gratification.,0,0.518,0.0,0.0,0.0,0.0029,0.0001,,0.0,Health satisfaction_Moderately happy,1.02,14614,Health satisfaction_Moderately happy < 0.50,-0.1,-0.1,2,6,0.04
SHBG,C0036883,Sex Hormone-Binding Globulin,"Sex Hormone-Binding Globulin. A glycoprotein migrating as a beta-globulin. Its molecular weight, 52,000 or 95,000-115,000, indicates that it exists as a dimer. The protein binds testosterone, dihydrotestosterone, and estradiol in the plasma. Sex hormone-binding protein has the same amino acid sequence as ANDROGEN-BINDING PROTEIN. They differ by their sites of synthesis and post-translational oligosaccharide modifications.",0,0.45,0.0,0.0,0.0,0.0028,0.0814,,0.0027,SHBG,1.03,11694,-1.50 <= SHBG < 0.02,0.03,0.1,2,54,0.12
Concentration of Large HDL Particles,C0549177,Large,"Large. Of considerable or relatively great size, extent, or capacity.",0,0.245,0.0,0.0,0.0,0.0028,0.0,,0.0,Concentration of Large HDL Particles,1.14,1623,-2.90 <= Concentration of Large HDL Particles < -0.88,0.07,0.15,2,225,5.77
Total protein,C0555903,Total protein measurement,Total protein measurement. A quantitative measurement of the amount of total protein present in a sample.,0,0.881,0.0,0.0,0.0,0.0027,0.9647,,0.0,Total protein,1.18,542,-1.80 <= Total protein < -1.50,0.04,0.04,3,0,0.0
medication amlodipine,C0051696,amlodipine,amlodipine. A long-acting dihydropyridine calcium channel blocker. It is effective in the treatment of ANGINA PECTORIS and HYPERTENSION.,0,0.897,0.0,0.0,0.0,0.0026,0.0005,,0.0,Treatment/medication code | Array 0__amlodipine,1.16,887,Treatment/medication code | Array 0__amlodipine >= 0.50,0.06,0.06,2,30,0.05
Other specified gastritis,C0017152,Gastritis,"Gastritis. Inflammation of the GASTRIC MUCOSA, a lesion observed in a number of unrelated disorders.",0,0.875,0.0,0.0,0.0,0.0026,0.0927,,0.0018,Other specified gastritis,1.27,237,1.20 <= Other specified gastritis < 6.20,0.26,0.26,2,1,0.0
Apolipoprotein B Blood biochemistry,C0003593,Apolipoproteins B,"Apolipoproteins B. Major structural proteins of triacylglycerol-rich LIPOPROTEINS. There are two forms, apolipoprotein B-100 and apolipoprotein B-48, both derived from a single gene. ApoB-100 expressed in the liver is found in low-density lipoproteins (LIPOPROTEINS, LDL; LIPOPROTEINS, VLDL). ApoB-48 expressed in the intestine is found in CHYLOMICRONS. They are important in the biosynthesis, transport, and metabolism of triacylglycerol-rich lipoproteins. Plasma Apo-B levels are high in atherosclerotic patients but non-detectable in ABETALIPOPROTEINEMIA.",1,0.745,0.0,1.0,0.3,0.0025,0.3973,,0.0031,Apolipoprotein B Blood biochemistry,1.11,190,Apolipoprotein B Blood biochemistry < -2.10,0.2,0.22,1,0,0.0
medication omeprazole,C0028978,omeprazole,"omeprazole. A 4-methoxy-3,5-dimethylpyridyl, 5-methoxybenzimidazole derivative of timoprazole that is used in the therapy of STOMACH ULCERS and ZOLLINGER-ELLISON SYNDROME. The drug inhibits an H(+)-K(+)-EXCHANGING ATPASE which is found in GASTRIC PARIETAL CELLS.",0,0.823,0.0,0.0,0.0,0.0025,0.0,,0.0026,Treatment/medication code | Array 0__omeprazole,1.39,217,Treatment/medication code | Array 0__omeprazole >= 0.50,0.05,0.05,2,48,0.07
Age high blood pressure diagnosed,C0001779,Age,Age. How long something has existed; elapsed time since birth.,1,0.375,1.0,1.0,1.0,0.0023,0.0002,,0.0021,Age high blood pressure diagnosed_50,1.23,510,Age high blood pressure diagnosed_50 >= 0.50,0.02,0.11,1,0,0.0
Vascular/heart problems diagnosed by doctor None of the above,,,,0,1.0,0.0,0.0,0.0,0.0023,0.0,,0.0,Vascular/heart problems diagnosed by doctor_None of the above,1.07,6671,Vascular/heart problems diagnosed by doctor_None of the above < 0.50,0.05,0.05,2,80,0.28
medication aspirin,C0004057,aspirin,"aspirin. The prototypical analgesic used in the treatment of mild to moderate pain. It has anti-inflammatory and antipyretic properties and acts as an inhibitor of cyclooxygenase which results in the inhibition of the biosynthesis of prostaglandins. Aspirin also inhibits platelet aggregation and is used in the prevention of arterial and venous thrombosis. (From Martindale, The Extra Pharmacopoeia, 30th ed, p5)",1,0.879,1.0,1.0,1.0,0.0023,0.156,,0.0,Treatment/medication code | Array 0__aspirin,1.0,15439,Treatment/medication code | Array 0__aspirin < 0.13,0.1,0.1,1,0,0.0
"Average total household income before tax Less than 18,000",,,,0,1.0,0.0,0.0,0.0,0.0023,0.002,,0.0033,"Average total household income before tax_Less than 18,000",1.06,4190,"Average total household income before tax_Less than 18,000 >= 0.50",-0.03,-0.03,2,80,0.28
Other mental disorder,C0004936,Mental disorders,"Mental disorders. Psychiatric illness or diseases manifested by breakdowns in the adaptational process expressed primarily as abnormalities of thought, feeling, and behavior producing either distress or impairment of function.",0,0.636,0.0,0.0,0.0,0.0023,0.1873,,0.0,Other mental disorder,1.23,272,2.40 <= Other mental disorder < 3.40,0.13,0.2,2,0,0.0
Eye problems/disorders,,,,0,1.0,0.0,0.0,0.0,0.0022,0.1103,,0.0039,Eye problems/disorders_None,1.01,11354,Eye problems/disorders_None >= 0.50,0.21,0.21,2,80,0.28
Eosinophill percentage,,,,0,1.0,0.0,0.0,0.0,0.0022,0.4452,,0.0025,Eosinophill percentage,1.03,8134,-0.17 <= Eosinophill percentage < 1.70,-0.11,-0.11,2,80,0.28
"Medication for cholesterol, blood pressure or diabetes Medication Cholesterol lowering medication",,,,0,1.0,0.0,0.0,0.0,0.0022,0.0481,,0.0,"Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication",1.0,17077,"Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication < 0.50",0.27,0.27,2,80,0.28
(MS) multiple sclerosis genetic risk,C0026221,Mississippi (geographic location),"Mississippi (geographic location). State bounded on the north by Tennessee, on the east by Alabama, on the south by Louisiana and Gulf of Mexico, and on the west by Arkansas and Louisiana.",0,0.234,0.0,0.0,0.0,0.0021,0.7029,,0.0045,(MS) multiple sclerosis genetic risk,1.01,15813,(MS) multiple sclerosis genetic risk >= -1.20,0.08,0.1,99,0,0.0
Chest pain due to walking ceases when standing still,C0008031,Chest Pain,"Chest Pain. Pressure, burning, or numbness in the chest.",0,0.571,0.0,0.0,0.0,0.0021,0.0,,0.0022,Chest pain due to walking ceases when standing still_None,1.2,1721,Chest pain due to walking ceases when standing still_None < 0.50,-0.03,-0.03,2,135,0.23
Acceptability of each blow result (text) |,C0814633,acceptability,acceptability. ,0,0.467,0.0,0.0,0.0,0.0021,0.3703,,0.0038,Acceptability of each blow result (text) | Array 0,1.0,14249,Acceptability of each blow result (text) | Array 0 >= -0.77,-0.04,-0.04,99,0,0.0
Eye problems/disorders None of the above,,,,0,1.0,0.0,0.0,0.0,0.002,0.0016,,0.0,Eye problems/disorders_None of the above,1.02,13141,Eye problems/disorders_None of the above < 0.50,0.23,0.23,2,80,0.28
Mineral and other dietary supplements Fish oil (including cod liver oil)|Glucosamine,C0026162,Minerals,"Minerals. Native, inorganic or fossilized organic substances having a definite chemical composition and formed by inorganic reactions. They may occur as individual crystals or may be disseminated in some other mineral or rock. (Grant & Hackh's Chemical Dictionary, 5th ed; McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)",0,0.177,0.0,0.0,0.0,0.0019,0.0299,,0.0,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine,1.01,16076,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine < 0.50,0.06,0.06,2,0,0.0
Coffee intake,C0009237,Coffee,Coffee. A beverage made from ground COFFEA beans (SEEDS) infused in hot water. It generally contains CAFFEINE and THEOPHYLLINE unless it is decaffeinated.,0,0.631,0.0,0.0,0.0,0.0019,0.0593,,0.0,Coffee intake,1.04,5472,-1.10 <= Coffee intake < -0.68,-0.02,-0.02,2,90,0.62
Shortness of breath,C0013404,Dyspnea,Dyspnea. Difficult or labored breathing.,0,0.865,0.0,0.0,0.0,0.0019,0.1072,,0.0014,Shortness of breath,0.99,17359,-1.20 <= Shortness of breath < 1.80,0.06,0.06,2,0,0.0
Concentration of Chylomicrons and Extremely Large VLDL Particles,C0008731,Chylomicrons,Chylomicrons. A class of lipoproteins that carry dietary CHOLESTEROL and TRIGLYCERIDES from the SMALL INTESTINE to the tissues. Their density (0.93-1.006 g/ml) is the same as that of VERY-LOW-DENSITY LIPOPROTEINS.,0,0.746,0.0,0.0,0.0,0.0019,0.0122,,0.0,Concentration of Chylomicrons and Extremely Large VLDL Particles,1.27,181,0.01 <= Concentration of Chylomicrons and Extremely Large VLDL Particles < 0.25,0.12,0.17,2,112,0.41
Mental health conditions ever diagnosed by a professional obsessive compulsive,C2698884,Professional Occupation,"Professional Occupation. An occupation requiring special education, especially in the liberal arts or sciences.",0,0.194,0.0,0.0,0.0,0.0018,0.0289,,0.0015,Mental health conditions ever diagnosed by a professional__obsessive compulsive,1.0,17660,Mental health conditions ever diagnosed by a professional__obsessive compulsive < 0.09,0.07,0.07,99,149,inf
Birth weight,C0005612,Birth Weight,Birth Weight. The mass or quantity of heaviness of an individual at BIRTH. It is expressed by units of pounds or kilograms.,0,0.866,0.0,0.0,0.0,0.0018,0.507,,0.0,Birth weight,1.0,16770,-2.00 <= Birth weight < 3.10,0.08,0.08,2,0,0.0
Concentration of Very Small VLDL Particles,C0597177,Particle,Particle. An object with finite mass and size parameters.,0,0.241,0.0,0.0,0.0,0.0018,0.8104,,0.0008,Concentration of Very Small VLDL Particles,1.23,304,-2.40 <= Concentration of Very Small VLDL Particles < -1.90,-0.03,0.04,2,225,0.1
