feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length
(AMD) age-related macular degeneration genetic risk,C0017921,Glycogen storage disease type II,"Glycogen storage disease type II. An autosomal recessively inherited glycogen storage disease caused by GLUCAN 1,4-ALPHA-GLUCOSIDASE deficiency. Large amounts of GLYCOGEN accumulate in the LYSOSOMES of skeletal muscle (MUSCLE, SKELETAL); HEART; LIVER; SPINAL CORD; and BRAIN. Three forms have been described: infantile, childhood, and adult. The infantile form is fatal in infancy and presents with hypotonia and a hypertrophic cardiomyopathy (CARDIOMYOPATHY, HYPERTROPHIC). The childhood form usually presents in the second year of life with proximal weakness and respiratory symptoms. The adult form consists of a slowly progressive proximal myopathy. (From Muscle Nerve 1995;3:S61-9; Menkes, Textbook of Child Neurology, 5th ed, pp73-4)",0,0.415,0.0,0.0,0.0,0.0082,0.1648,0.005,0.3066,(AMD) age-related macular degeneration genetic risk,1.09,6753,-1.20 <= (AMD) age-related macular degeneration genetic risk < -0.88,0.14,0.14,2
Date of all cause dementia report,C0015127,Etiology aspects,Etiology aspects. Used with diseases for causative agents including microorganisms and includes environmental and social factors and personal habits as contributing factors. It includes pathogenesis.,0,0.161,0.0,0.0,0.0,0.0081,0.0,-0.023,0.0019,Date of all cause dementia report,1.0,91105,-5.20 <= Date of all cause dementia report < 1.10,-0.06,-0.06,99
Neuroticism score,,,,0,1.0,0.0,0.0,0.0,0.0076,0.2536,0.003,0.0001,Neuroticism score,1.13,6228,0.23 <= Neuroticism score < 0.58,-0.05,-0.05,2
Congestive heart failure (CHF) NOS,C0018802,Congestive heart failure,"Congestive heart failure. Heart failure accompanied by EDEMA, such as swelling of the legs and ankles and congestion in the lungs.",0,0.712,0.0,0.0,0.0,0.0074,0.07,0.007,0.0016,Congestive heart failure (CHF) NOS,0.98,90159,-0.20 <= Congestive heart failure (CHF) NOS < 0.76,0.07,0.07,2
Pulse wave reflection index,,,,0,1.0,0.0,0.0,0.0,0.0058,0.6607,-0.001,0.0009,Pulse wave reflection index,1.07,4830,-2.20 <= Pulse wave reflection index < -0.67,-0.01,-0.01,2
Meat substitutes - vegetarian,C0042441,Vegetarian (finding,"Vegetarian (finding. A person who eats no meat; some may eat fish, eggs, or dairy products.",0,0.727,0.0,0.0,0.0,0.0048,0.255,0.004,0.0001,Meat substitutes - vegetarian,1.01,80042,-0.18 <= Meat substitutes - vegetarian < 3.10,0.01,0.16,2
(VTE) venous thromboembolic disease genetic risk,C1997614,Thromboembolism of vein,Thromboembolism of vein. ,0,0.361,0.0,0.0,0.0,0.0045,0.7621,0.001,0.3077,(VTE) venous thromboembolic disease genetic risk,1.0,91418,(VTE) venous thromboembolic disease genetic risk < 3.60,0.1,0.1,2
3-Hydroxybutyrate,C0106006,3-Hydroxybutyrate,3-Hydroxybutyrate. A hydroxy fatty acid anion and ketone body synthesized in the liver from acetyl-Coenzyme A (acetyl-CoA) by the enzyme 3-hydroxybutyrate dehydrogenase. 3-hydroxybutyrate can be used as an energy source when glucose levels drop. Elevated urine and serum levels of 3-hydroxybutyrate are seen in ketosis and ketoacidosis.,0,0.767,0.0,0.0,0.0,0.0044,0.0,0.023,0.1431,3-Hydroxybutyrate,1.11,14658,-0.49 <= 3-Hydroxybutyrate < -0.02,-0.1,-0.1,2
Cholesterol in IDL,C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",0,0.494,0.0,0.0,0.0,0.0038,0.0,-0.038,0.0679,Cholesterol in IDL,1.76,1026,-4.60 <= Cholesterol in IDL < -3.20,-0.05,-0.05,2
(AD) alzheimer's disease genetic risk,C0002395,Alzheimer's Disease,"Alzheimer's Disease. A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA. Impairment of MEMORY, judgment, attention span, and problem solving skills are followed by severe APRAXIAS and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of SENILE PLAQUES; NEUROFIBRILLARY TANGLES; and NEUROPIL THREADS. (From Adams et al., Principles of Neurology, 6th ed, pp1049-57)",0,0.675,0.0,0.0,0.0,0.0038,0.2627,-0.003,0.3071,(AD) alzheimer's disease genetic risk,1.01,5427,(AD) alzheimer's disease genetic risk >= 1.80,-0.01,-0.01,2
Apolipoprotein B to Apolipoprotein A1 ratio,C0003593,Apolipoproteins B,"Apolipoproteins B. Major structural proteins of triacylglycerol-rich LIPOPROTEINS. There are two forms, apolipoprotein B-100 and apolipoprotein B-48, both derived from a single gene. ApoB-100 expressed in the liver is found in low-density lipoproteins (LIPOPROTEINS, LDL; LIPOPROTEINS, VLDL). ApoB-48 expressed in the intestine is found in CHYLOMICRONS. They are important in the biosynthesis, transport, and metabolism of triacylglycerol-rich lipoproteins. Plasma Apo-B levels are high in atherosclerotic patients but non-detectable in ABETALIPOPROTEINEMIA.",0,0.692,0.0,0.0,0.0,0.0033,0.0,-0.033,0.1361,Apolipoprotein B to Apolipoprotein A1 ratio,1.28,5102,-2.50 <= Apolipoprotein B to Apolipoprotein A1 ratio < -1.60,-0.12,-0.12,2
Concentration of Very Large VLDL Particles,C0023825,Very low density lipoprotein,"Very low density lipoprotein. A class of lipoproteins of very light (0.93-1.006 g/ml) large size (30-80 nm) particles with a core composed mainly of TRIGLYCERIDES and a surface monolayer of PHOSPHOLIPIDS and CHOLESTEROL into which are imbedded the apolipoproteins B, E, and C. VLDL facilitates the transport of endogenously made triglycerides to extrahepatic tissues. As triglycerides and Apo C are removed, VLDL is converted to INTERMEDIATE-DENSITY LIPOPROTEINS, then to LOW-DENSITY LIPOPROTEINS from which cholesterol is delivered to the extrahepatic tissues.",0,0.631,0.0,1.0,0.5,0.0032,0.0,0.029,0.0705,Concentration of Very Large VLDL Particles,1.4,2817,2.10 <= Concentration of Very Large VLDL Particles < 5.40,-0.06,-0.06,2
Acetoacetate,C0000988,Acetoacetates,Acetoacetates. Salts and derivatives of acetoacetic acid.,0,0.86,0.0,0.0,0.0,0.0032,0.0,0.034,0.1366,Acetoacetate,1.24,9070,Acetoacetate >= 0.62,-0.06,-0.06,2
Sleep - Overall average,C0037313,Sleep,"Sleep. A readily reversible suspension of sensorimotor interaction with the environment, usually associated with recumbency and immobility.",0,0.635,0.0,0.0,0.0,0.0027,0.5912,0.009,0.0357,Sleep - Overall average,1.02,80971,-0.12 <= Sleep - Overall average < 2.60,-0.0,-0.0,2
Concentration of Medium LDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0027,0.0,-0.017,0.0594,Concentration of Medium LDL Particles,1.38,1141,-3.70 <= Concentration of Medium LDL Particles < -2.80,-0.01,-0.01,2
Concentration of IDL Particles,C0086045,Mental concentration,"Mental concentration. The act or process of concentrating, focusing the attention and mental energy on a single object to the exclusion of others.",0,0.152,0.0,0.0,0.0,0.0025,0.0,-0.033,0.0604,Concentration of IDL Particles,1.43,2252,-3.80 <= Concentration of IDL Particles < -2.40,0.04,0.04,2
Cholesterol in Very Large HDL,C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",0,0.593,0.0,0.0,0.0,0.0021,0.0,-0.043,0.0699,Cholesterol in Very Large HDL,1.97,1192,-4.10 <= Cholesterol in Very Large HDL < -2.50,-0.0,-0.0,2
Concentration of Small LDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0018,0.0,-0.017,0.0486,Concentration of Small LDL Particles,1.0,80534,-2.80 <= Concentration of Small LDL Particles < 0.19,-0.11,-0.11,2
Concentration of Very Large HDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0016,0.0,-0.032,0.0566,Concentration of Very Large HDL Particles,1.36,1434,-2.80 <= Concentration of Very Large HDL Particles < -2.10,-0.04,-0.04,2
M79.66 - Pain in limb (Lower leg),C0030193,Pain,Pain. An unpleasant sensation induced by noxious stimuli which are detected by NERVE ENDINGS of NOCICEPTIVE NEURONS.,0,0.307,0.0,0.0,0.0,0.0016,0.1388,0.006,0.0002,M79.66 - Pain in limb (Lower leg),1.0,90618,-0.49 <= M79.66 - Pain in limb (Lower leg) < 0.39,0.06,0.06,2
Z87.4 - Personal history of diseases of the genito-urinary system,C0262926,Medical History,"Medical History. A record of a patient's background regarding health and the occurrence of disease events of the individual. In addition, personal medical history may be a variable in epidemiologic studies.",0,0.242,0.0,0.0,0.0,0.0016,0.7627,0.003,0.0002,Z87.4 - Personal history of diseases of the genito-urinary system,0.99,89488,-2.00 <= Z87.4 - Personal history of diseases of the genito-urinary system < 0.02,0.02,0.02,2
Concentration of Very Small VLDL Particles,C0597177,Particle,Particle. An object with finite mass and size parameters.,1,0.241,1.0,1.0,1.0,0.0015,0.001,-0.01,0.066,Concentration of Very Small VLDL Particles,1.12,7399,-3.90 <= Concentration of Very Small VLDL Particles < -0.95,-0.08,-0.08,1
M54.56 - Low back pain (Lumbar region),C0024031,Low Back Pain,"Low Back Pain. Acute or chronic pain in the lumbar or sacral regions, which may be associated with musculo-ligamentous SPRAINS AND STRAINS; INTERVERTEBRAL DISK DISPLACEMENT; and other conditions.",0,0.463,0.0,0.0,0.0,0.0015,0.0004,0.012,0.0002,M54.56 - Low back pain (Lumbar region),1.0,91086,-17.00 <= M54.56 - Low back pain (Lumbar region) < 0.75,0.01,0.01,2
Circulatory disease NEC,C0135615,Proprotein Convertase 1,Proprotein Convertase 1. A CALCIUM-dependent endopeptidase that has specificity for cleavage at ARGININE that is near paired basic residues. It cleaves a variety of prohormones including PRO-OPIOMELANOCORTIN; PRORENIN; proenkephalins; prodynorphin; prosomatostatin; and PROINSULIN.,0,0.161,0.0,0.0,0.0,0.0015,0.039,-0.002,0.0007,Circulatory disease NEC,1.39,1979,-4.80 <= Circulatory disease NEC < -0.20,0.03,0.03,2
Cholesterol in Very Small VLDL,C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",0,0.461,0.0,0.0,0.0,0.0014,0.0,-0.029,0.0525,Cholesterol in Very Small VLDL,1.29,6102,-4.60 <= Cholesterol in Very Small VLDL < -1.30,-0.11,-0.11,2
Average Diameter for VLDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.421,0.0,0.0,0.0,0.0014,0.0,0.031,0.0285,Average Diameter for VLDL Particles,1.87,986,3.30 <= Average Diameter for VLDL Particles < 5.90,-0.02,-0.02,2
Concentration of Medium VLDL Particles,C0597177,Particle,Particle. An object with finite mass and size parameters.,1,0.244,1.0,1.0,1.0,0.0014,0.1198,-0.007,0.0656,Concentration of Medium VLDL Particles,0.99,89332,-2.90 <= Concentration of Medium VLDL Particles < 3.90,-0.01,-0.01,1
M25.56 - Pain in joint (Lower leg),C0030193,Pain,Pain. An unpleasant sensation induced by noxious stimuli which are detected by NERVE ENDINGS of NOCICEPTIVE NEURONS.,0,0.213,0.0,0.0,0.0,0.0012,0.0548,0.008,0.0003,M25.56 - Pain in joint (Lower leg),0.99,90802,-0.65 <= M25.56 - Pain in joint (Lower leg) < 0.29,-0.01,-0.01,2
Pneumococcal pneumonia,C0032300,Lobar Pneumonia,Lobar Pneumonia. ,0,0.591,0.0,0.0,0.0,0.001,0.1003,-0.004,0.0002,Pneumococcal pneumonia,1.0,90494,-4.70 <= Pneumococcal pneumonia < 5.00,-0.04,-0.04,2
Rash and other nonspecific skin eruption,C0015230,Exanthema,"Exanthema. Diseases in which skin eruptions or rashes are a prominent manifestation. Classically, six such diseases were described with similar rashes; they were numbered in the order in which they were reported. Only the fourth (Duke's disease), fifth (ERYTHEMA INFECTIOSUM), and sixth (EXANTHEMA SUBITUM) numeric designations survive as occasional synonyms in current terminology.",0,0.679,0.0,0.0,0.0,0.001,0.0733,-0.004,0.0002,Rash and other nonspecific skin eruption,1.0,90827,-1.00 <= Rash and other nonspecific skin eruption < 0.34,-0.09,-0.09,2
Osteoarthritis; localized,C0029408,Degenerative polyarthritis,"Degenerative polyarthritis. A progressive, degenerative joint disease, the most common form of arthritis, especially in older persons. The disease is thought to result not from the aging process but from biochemical changes and biomechanical stresses affecting articular cartilage. In the foreign literature it is often called osteoarthrosis deformans.",0,0.621,0.0,0.0,0.0,0.001,0.018,-0.004,0.0002,Osteoarthritis; localized,1.12,947,-5.50 <= Osteoarthritis; localized < -0.13,-0.01,-0.01,2
M47.82 - Other spondylosis (Cervical region),C0556956,Cervical region (surface region of back),Cervical region (surface region of back). ,0,0.414,0.0,0.0,0.0,0.001,0.1002,-0.005,0.0002,M47.82 - Other spondylosis (Cervical region),1.0,90852,-0.73 <= M47.82 - Other spondylosis (Cervical region) < 0.34,0.14,0.19,99
Average Diameter for LDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.466,0.0,0.0,0.0,0.0009,0.0,-0.027,0.0039,Average Diameter for LDL Particles,1.21,7036,-5.50 <= Average Diameter for LDL Particles < -0.75,-0.06,-0.06,2
Concentration of Small HDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0009,0.0,0.01,0.0542,Concentration of Small HDL Particles,1.44,1117,2.10 <= Concentration of Small HDL Particles < 2.70,-0.04,-0.04,2
Altered mental status,C0392747,Changing,Changing. The act of alteration or modification; changed or altered in form or character.,0,0.394,0.0,0.0,0.0,0.0008,0.1685,-0.005,0.0001,Altered mental status,1.0,90929,-13.00 <= Altered mental status < 2.40,-0.07,-0.07,99
Z96.6 - Presence of orthopaedic joint implants,C3854307,Presence (property),Presence (property). ,0,0.242,0.0,0.0,0.0,0.0008,0.0006,-0.007,0.0003,Z96.6 - Presence of orthopaedic joint implants,1.33,1458,-6.30 <= Z96.6 - Presence of orthopaedic joint implants < -0.35,0.06,0.07,99
Concentration of HDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0008,0.1116,0.002,0.0387,Concentration of HDL Particles,1.21,2381,Concentration of HDL Particles < -2.30,-0.04,-0.04,2
Concentration of Large LDL Particles,C0549177,Large,"Large. Of considerable or relatively great size, extent, or capacity.",0,0.272,0.0,0.0,0.0,0.0008,0.0,-0.024,0.0683,Concentration of Large LDL Particles,1.16,7437,-3.50 <= Concentration of Large LDL Particles < -0.85,-0.1,-0.1,2
Concentration of Medium HDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0007,0.0026,0.004,0.06,Concentration of Medium HDL Particles,1.18,1085,3.70 <= Concentration of Medium HDL Particles < 8.70,0.04,0.04,2
Umbilical hernia,C0019322,Umbilical hernia,Umbilical hernia. Protrusion of the abdominal cavity contents through the abdominal wall at the umbilicus.,0,0.952,0.0,0.0,0.0,0.0006,0.0074,-0.005,0.0002,Umbilical hernia,1.0,89838,-1.20 <= Umbilical hernia < 0.56,-0.0,-0.0,2
Fluid intelligence score,,,,0,1.0,0.0,0.0,0.0,0.0006,0.0108,-0.008,0.0001,Fluid intelligence score,1.26,1102,-3.60 <= Fluid intelligence score < -2.80,-0.1,-0.1,2
Average Diameter for HDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.455,0.0,0.0,0.0,0.0006,0.0,-0.021,0.03,Average Diameter for HDL Particles,1.15,7281,-3.00 <= Average Diameter for HDL Particles < -0.96,0.01,0.01,2
Complications of transplants and reattached limbs,,,,0,1.0,0.0,0.0,0.0,0.0006,0.1044,-0.002,0.0002,Complications of transplants and reattached limbs,0.99,89350,-1.40 <= Complications of transplants and reattached limbs < 0.39,0.06,0.06,2
"Other diseases of respiratory system, NEC",C0029896,Otorhinolaryngologic Diseases,"Otorhinolaryngologic Diseases. Pathological processes of the ear, the nose, and the throat, also known as the ENT diseases.",0,0.353,0.0,0.0,0.0,0.0006,0.0058,-0.006,0.0003,"Other diseases of respiratory system, NEC",1.01,1693,"Other diseases of respiratory system, NEC >= 2.10",0.07,0.07,2
Other specified cardiac dysrhythmias,C0003811,Cardiac Arrhythmia,"Cardiac Arrhythmia. Any disturbances of the normal rhythmic beating of the heart or MYOCARDIAL CONTRACTION. Cardiac arrhythmias can be classified by the abnormalities in HEART RATE, disorders of electrical impulse generation, or impulse conduction.",0,0.768,0.0,0.0,0.0,0.0004,0.1626,0.006,0.0003,Other specified cardiac dysrhythmias,0.99,90042,-0.12 <= Other specified cardiac dysrhythmias < 0.98,0.08,0.11,2
Cholesterol in Large HDL,C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",0,0.656,0.0,0.0,0.0,0.0004,0.0,-0.031,0.0636,Cholesterol in Large HDL,1.21,8276,-2.80 <= Cholesterol in Large HDL < -0.90,-0.02,-0.02,2
Congenital anomalies of great vessels,C0000768,Congenital Abnormality,Congenital Abnormality. Malformations of organs or body parts during development in utero.,0,0.48,0.0,0.0,0.0,0.0004,0.1697,0.005,0.0002,Congenital anomalies of great vessels,1.0,90650,-2.30 <= Congenital anomalies of great vessels < 0.41,0.1,0.1,2
Occlusion of cerebral arteries,C0001168,Complete obstruction,Complete obstruction. ,0,0.316,0.0,0.0,0.0,0.0004,0.0176,-0.005,0.0002,Occlusion of cerebral arteries,1.0,90341,-2.60 <= Occlusion of cerebral arteries < 0.04,-0.02,-0.02,2
Chronic ulcer of skin,C0333297,Chronic ulcer,Chronic ulcer. ,0,0.818,0.0,0.0,0.0,0.0004,0.1227,0.009,0.0002,Chronic ulcer of skin,1.0,90946,-3.30 <= Chronic ulcer of skin < 1.10,0.04,0.04,2
Calculus of bile duct,C0006736,Calculi,"Calculi. An abnormal concretion occurring mostly in the urinary and biliary tracts, usually composed of mineral salts. Also called stones.",0,0.602,0.0,0.0,0.0,0.0003,0.1227,0.004,0.0001,Calculus of bile duct,1.0,91266,-16.00 <= Calculus of bile duct < 6.80,0.02,0.02,2
Other disorders of male genital organs,C0086582,Males,"Males. A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both.",2,0.351,0.0,1.0,0.3,0.0003,0.1992,-0.004,0.0001,Other disorders of male genital organs,1.0,90778,-0.17 <= Other disorders of male genital organs < 8.00,0.04,0.04,1
"Z13.9 - Special screening examination, unspecified",,,,0,1.0,0.0,0.0,0.0,0.0003,0.0989,-0.002,0.0002,"Z13.9 - Special screening examination, unspecified",1.0,91232,"Z13.9 - Special screening examination, unspecified >= -0.92",0.02,0.02,2
