name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,cui_nomenclature,feature_level_min_kg_hits,feature_level_sum_kg_hits,sim_score
"Long-standing illness, disability or infirmity_Yes",0.03759,0.0,0.106,0.106,26530,0.00673,"Long-standing illness, disability or infirmity_Yes",1.42,9598,51.45,"Long-standing illness, disability or infirmity_Yes >= 0.50","Long-standing illness, disability or infirmity_Yes","Long-standing illness, disability or infirmity_Yes",0,0,0.0
Home area population density - urban or rural_Scotland - Large Urban Area,0.03721,0.0,-0.044,-0.044,26530,0.0,Home area population density - urban or rural_Scotland - Large Urban Area,1.03,25142,97.74,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,Home area population density - urban or rural_Scotland - Large Urban Area,Home area population density - urban or rural_Scotland - Large Urban Area,0,0,0.0
Diaphragmatic hernia,0.02745,0.46976,0.005,0.005,26530,0.00388,Diaphragmatic hernia,1.98,399,2.98,3.00 <= Diaphragmatic hernia < 4.40,Diaphragmatic hernia,Diaphragmatic hernia,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 disease",0.02712,0.0,0.217,0.216,26530,0.022,"Non-cancer illness code, self-reported | Array 0__disease",8.71,326,10.7,"0.40 <= Non-cancer illness code, self-reported | Array 0__disease < 0.42","Non-cancer illness code, self-reported | Array 0 disease","Non-cancer illness code, self-reported | Array 0 disease",0,0,0.0
Noninfectious gastroenteritis,0.02629,0.7553,0.009,0.009,26530,0.00232,Noninfectious gastroenteritis,1.9,479,3.43,Noninfectious gastroenteritis < -1.20,Noninfectious gastroenteritis,Noninfectious gastroenteritis,0,0,0.0
"Never eat eggs, dairy, wheat, sugar_Wheat products|Sugar or foods/drinks containing sugar",0.02493,0.0,0.124,0.124,26530,0.00597,"Never eat eggs, dairy, wheat, sugar_Wheat products|Sugar or foods/drinks containing sugar",0.97,26305,95.74,"Never eat eggs, dairy, wheat, sugar_Wheat products|Sugar or foods/drinks containing sugar < 0.50","Never eat eggs, dairy, wheat, sugar_Wheat products|Sugar or foods/drinks containing sugar","Never eat eggs, dairy, wheat, sugar_Wheat products|Sugar or foods/drinks containing sugar",0,0,0.0
Symptoms involving digestive system,0.02428,0.27205,0.006,0.006,26530,0.00417,Symptoms involving digestive system,2.01,507,3.84,Symptoms involving digestive system >= 1.70,Symptoms involving digestive system,Symptoms involving digestive system,0,0,0.0
(RA) rheumatoid arthritis genetic risk,0.02331,0.0,-0.035,-0.029,26530,0.00147,(RA) rheumatoid arthritis genetic risk,1.26,333,1.58,0.94 <= (RA) rheumatoid arthritis genetic risk < 0.99,(RA) rheumatoid arthritis genetic risk,(RA) rheumatoid arthritis genetic risk,0,0,0.0
"Non-cancer illness code, self-reported | Array 1 disease",0.02186,0.0,0.181,0.18,26530,0.01583,"Non-cancer illness code, self-reported | Array 1__disease",0.93,26072,91.22,"Non-cancer illness code, self-reported | Array 1__disease < 0.12","Non-cancer illness code, self-reported | Array 1 disease","Non-cancer illness code, self-reported | Array 1 disease",0,0,0.0
Duodenitis,0.02185,0.00016,0.028,0.028,26530,0.00278,Duodenitis,0.96,25892,94.08,-0.02 <= Duodenitis < 0.54,Duodenitis,Duodenitis,0,0,0.0
Other anemias,0.0197,0.06218,-0.001,-0.001,26530,0.00273,Other anemias,1.83,437,3.02,0.27 <= Other anemias < 4.90,Other anemias,Other anemias,0,0,0.0
Acetone,0.01892,0.0,-0.031,-0.027,26530,0.00252,Acetone,1.13,8121,34.72,-1.20 <= Acetone < -0.08,Acetone,Acetone,0,0,0.0
"Age hay fever, rhinitis or eczema diagnosed_None",0.01519,0.0,-0.035,-0.035,26530,0.00325,"Age hay fever, rhinitis or eczema diagnosed_None",1.19,6318,28.27,"Age hay fever, rhinitis or eczema diagnosed_None < 0.50","Age hay fever, rhinitis or eczema diagnosed_None","Age hay fever, rhinitis or eczema diagnosed_None",0,0,0.0
"Never eat eggs, dairy, wheat, sugar_I eat all of the above",0.01497,0.0,-0.158,-0.158,26530,0.01636,"Never eat eggs, dairy, wheat, sugar_I eat all of the above",1.78,7231,48.4,"Never eat eggs, dairy, wheat, sugar_I eat all of the above < 0.50","Never eat eggs, dairy, wheat, sugar_I eat all of the above","Never eat eggs, dairy, wheat, sugar_I eat all of the above",0,0,0.0
A09.9 - Gastroenteritis and colitis of unspecified origin,0.01483,0.1916,0.017,0.017,26530,0.00171,A09.9 - Gastroenteritis and colitis of unspecified origin,0.98,26102,96.16,-0.78 <= A09.9 - Gastroenteritis and colitis of unspecified origin < 1.30,A09.9 - Gastroenteritis and colitis of unspecified origin,A09.9 - Gastroenteritis and colitis of unspecified origin,0,0,0.0
(PSO) psoriasis genetic risk,0.01453,0.0,-0.055,-0.045,26530,0.00161,(PSO) psoriasis genetic risk,1.49,435,2.45,(PSO) psoriasis genetic risk < -1.70,(PSO) psoriasis genetic risk,(PSO) psoriasis genetic risk,0,0,0.0
Diverticulosis,0.01185,0.00087,0.022,0.022,26530,0.00462,Diverticulosis,1.61,647,3.92,Diverticulosis >= 2.60,Diverticulosis,Diverticulosis,0,0,0.0
Hemorrhoids,0.01179,0.29256,-0.002,-0.002,26530,0.0,Hemorrhoids,1.19,848,3.81,0.06 <= Hemorrhoids < 6.00,Hemorrhoids,Hemorrhoids,0,0,0.0
Personal history of diseases of digestive system,0.01137,0.72268,0.009,0.009,26530,0.00104,Personal history of diseases of digestive system,1.76,500,3.32,-11.00 <= Personal history of diseases of digestive system < -0.28,Personal history of diseases of digestive system,Personal history of diseases of digestive system,0,0,0.0
Number of self-reported non-cancer illnesses,0.01124,0.0,0.098,0.087,26530,0.00427,Number of self-reported non-cancer illnesses,2.01,482,3.66,Number of self-reported non-cancer illnesses >= 2.80,Number of self-reported non-cancer illnesses,Number of self-reported non-cancer illnesses,0,0,0.0
Sodium in urine,0.00937,0.0,-0.037,-0.03,26530,0.00298,Sodium in urine,1.34,1268,6.41,Sodium in urine < -1.30,Sodium in urine,Sodium in urine,0,0,0.0
"Long-standing illness, disability or infirmity_No",0.00924,0.0,-0.103,-0.103,26530,0.01033,"Long-standing illness, disability or infirmity_No",1.39,10405,54.35,"Long-standing illness, disability or infirmity_No < 0.50","Long-standing illness, disability or infirmity_No","Long-standing illness, disability or infirmity_No",0,0,0.0
"Symptoms concerning nutrition, metabolism, and development",0.0088,0.12024,0.014,0.014,26530,0.00184,"Symptoms concerning nutrition, metabolism, and development",0.97,25956,95.1,"-0.03 <= Symptoms concerning nutrition, metabolism, and development < 0.67","Symptoms concerning nutrition, metabolism, and development","Symptoms concerning nutrition, metabolism, and development",0,0,0.0
Z03.8 - Observation for other suspected diseases and conditions,0.00849,0.60561,0.001,0.001,26530,0.00024,Z03.8 - Observation for other suspected diseases and conditions,0.98,26069,96.42,-1.60 <= Z03.8 - Observation for other suspected diseases and conditions < 0.19,Z03.8 - Observation for other suspected diseases and conditions,Z03.8 - Observation for other suspected diseases and conditions,0,0,0.0
Tea intake,0.00806,0.0,0.035,0.031,26530,0.00172,Tea intake,1.52,387,2.22,Tea intake >= 2.70,Tea intake,Tea intake,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 coeliac",0.00764,0.0,0.287,0.287,26530,0.02034,"Non-cancer illness code, self-reported | Array 0__coeliac",8.71,326,10.7,"Non-cancer illness code, self-reported | Array 0__coeliac >= 0.23","Non-cancer illness code, self-reported | Array 0 coeliac","Non-cancer illness code, self-reported | Array 0 coeliac",0,0,0.0
Concentration of Very Large HDL Particles,0.0074,0.03915,-0.015,-0.014,26530,0.0,Concentration of Very Large HDL Particles,1.02,24528,93.89,-3.20 <= Concentration of Very Large HDL Particles < 0.60,Concentration of Very Large HDL Particles,Concentration of Very Large HDL Particles,0,0,0.0
Concentration of Small HDL Particles,0.00737,0.0,-0.048,-0.045,26530,0.00246,Concentration of Small HDL Particles,1.37,671,3.47,-2.60 <= Concentration of Small HDL Particles < -1.70,Concentration of Small HDL Particles,Concentration of Small HDL Particles,0,0,0.0
(EBMDT) estimated bone mineral density t-score genetic risk,0.0073,0.03592,-0.01,-0.008,26530,0.00161,(EBMDT) estimated bone mineral density t-score genetic risk,1.01,21887,83.42,-2.20 <= (EBMDT) estimated bone mineral density t-score genetic risk < 0.98,(EBMDT) estimated bone mineral density t-score genetic risk,(EBMDT) estimated bone mineral density t-score genetic risk,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 malabsorption",0.00706,0.0,0.287,0.287,26530,0.02067,"Non-cancer illness code, self-reported | Array 0__malabsorption",8.71,326,10.7,"Non-cancer illness code, self-reported | Array 0__malabsorption >= 0.23","Non-cancer illness code, self-reported | Array 0 malabsorption","Non-cancer illness code, self-reported | Array 0 malabsorption",0,0,0.0
"Never eat eggs, dairy, wheat, sugar_Dairy products",0.007,0.0006,0.021,0.021,26530,0.00056,"Never eat eggs, dairy, wheat, sugar_Dairy products",0.99,26289,98.49,"Never eat eggs, dairy, wheat, sugar_Dairy products < 0.50","Never eat eggs, dairy, wheat, sugar_Dairy products","Never eat eggs, dairy, wheat, sugar_Dairy products",0,0,0.0
avMSE,0.00669,0.55697,-0.012,-0.011,26530,0.0,avMSE,1.17,435,1.92,avMSE < -3.30,avMSE,avMSE,0,0,0.0
"Major dietary changes in the last 5 years_Yes, because of illness",0.00661,0.0,0.117,0.117,26530,0.00875,"Major dietary changes in the last 5 years_Yes, because of illness",1.89,3573,25.41,"Major dietary changes in the last 5 years_Yes, because of illness >= 0.50","Major dietary changes in the last 5 years_Yes, because of illness","Major dietary changes in the last 5 years_Yes, because of illness",0,0,0.0
Other specified gastritis,0.00655,0.15038,0.013,0.013,26530,0.00129,Other specified gastritis,1.78,292,1.96,Other specified gastritis < -0.71,Other specified gastritis,Other specified gastritis,0,0,0.0
Average Diameter for LDL Particles,0.00652,0.13206,0.016,0.015,26530,0.0018,Average Diameter for LDL Particles,1.2,791,3.58,0.05 <= Average Diameter for LDL Particles < 0.67,Average Diameter for LDL Particles,Average Diameter for LDL Particles,0,0,0.0
Age diabetes diagnosed,0.0064,0.00124,-0.011,-0.01,26530,0.00047,Age diabetes diagnosed,1.0,25721,96.57,-4.50 <= Age diabetes diagnosed < 1.60,Age diabetes diagnosed,Age diabetes diagnosed,0,0,0.0
"Iron deficiency anemias, unspecified or not due to blood loss",0.00619,0.00058,0.032,0.032,26530,0.00101,"Iron deficiency anemias, unspecified or not due to blood loss",0.96,25767,93.18,"-0.30 <= Iron deficiency anemias, unspecified or not due to blood loss < 0.00","Iron deficiency anemias, unspecified or not due to blood loss","Iron deficiency anemias, unspecified or not due to blood loss",0,0,0.0
(HBA1C_DF) glycated haemoglobin genetic risk,0.00617,0.0,0.067,0.055,26530,0.00394,(HBA1C_DF) glycated haemoglobin genetic risk,1.85,650,4.52,2.00 <= (HBA1C_DF) glycated haemoglobin genetic risk < 3.10,(HBA1C_DF) glycated haemoglobin genetic risk,(HBA1C_DF) glycated haemoglobin genetic risk,0,0,0.0
"Non-cancer illness code, self-reported | Array 2 crohns",0.00605,0.0,0.031,0.031,26530,0.00226,"Non-cancer illness code, self-reported | Array 2__crohns",1.0,26497,99.55,"Non-cancer illness code, self-reported | Array 2__crohns < 0.19","Non-cancer illness code, self-reported | Array 2 crohns","Non-cancer illness code, self-reported | Array 2 crohns",0,0,0.0
"Non-cancer illness code, self-reported | Array 2 disease",0.00585,0.0,0.103,0.102,26530,0.00469,"Non-cancer illness code, self-reported | Array 2__disease",0.97,26240,95.7,"Non-cancer illness code, self-reported | Array 2__disease < 0.17","Non-cancer illness code, self-reported | Array 2 disease","Non-cancer illness code, self-reported | Array 2 disease",0,0,0.0
Concentration of HDL Particles,0.0057,0.0,-0.047,-0.045,26530,0.00251,Concentration of HDL Particles,1.57,753,4.45,-3.40 <= Concentration of HDL Particles < -2.00,Concentration of HDL Particles,Concentration of HDL Particles,0,0,0.0
Most recent bowel cancer screening_15,0.0056,0.00058,0.021,0.021,26530,0.00098,Most recent bowel cancer screening_15,1.0,26445,99.32,Most recent bowel cancer screening_15 < 0.50,Most recent bowel cancer screening_15,Most recent bowel cancer screening_15,0,0,0.0
Other serious medical condition/disability diagnosed by doctor_No,0.00558,0.0,-0.105,-0.105,26530,0.01047,Other serious medical condition/disability diagnosed by doctor_No,1.53,6909,39.8,Other serious medical condition/disability diagnosed by doctor_No < 0.50,Other serious medical condition/disability diagnosed by doctor_No,Other serious medical condition/disability diagnosed by doctor_No,0,0,0.0
Irritable Bowel Syndrome,0.00548,0.0319,0.002,0.002,26530,0.00066,Irritable Bowel Syndrome,0.98,26043,96.27,-2.00 <= Irritable Bowel Syndrome < 0.02,Irritable Bowel Syndrome,Irritable Bowel Syndrome,0,0,0.0
Concentration of Medium LDL Particles,0.00538,0.0,-0.028,-0.026,26530,0.00218,Concentration of Medium LDL Particles,1.15,3013,13.08,Concentration of Medium LDL Particles < -0.25,Concentration of Medium LDL Particles,Concentration of Medium LDL Particles,0,0,0.0
Ever had bowel cancer screening_No,0.00509,0.0,-0.063,-0.063,26530,0.00752,Ever had bowel cancer screening_No,1.25,9838,46.21,Ever had bowel cancer screening_No < 0.50,Ever had bowel cancer screening_No,Ever had bowel cancer screening_No,0,0,0.0
(AST) asthma genetic risk,0.00492,0.0,0.043,0.035,26530,0.00331,(AST) asthma genetic risk,1.11,13477,56.28,-0.02 <= (AST) asthma genetic risk < 2.20,(AST) asthma genetic risk,(AST) asthma genetic risk,0,0,0.0
GERD,0.00489,0.55909,0.012,0.012,26530,0.00216,GERD,1.76,455,3.02,2.00 <= GERD < 4.80,GERD,GERD,0,0,0.0
"Never eat eggs, dairy, wheat, sugar_Dairy products|Wheat products",0.00488,0.0,0.076,0.076,26530,0.00106,"Never eat eggs, dairy, wheat, sugar_Dairy products|Wheat products",0.99,26450,98.45,"Never eat eggs, dairy, wheat, sugar_Dairy products|Wheat products < 0.50","Never eat eggs, dairy, wheat, sugar_Dairy products|Wheat products","Never eat eggs, dairy, wheat, sugar_Dairy products|Wheat products",0,0,0.0
Birth weight,0.00484,0.76132,-0.001,-0.001,26530,0.00418,Birth weight,1.31,1045,5.16,-3.20 <= Birth weight < -1.80,Birth weight,Birth weight,0,0,0.0
"Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar",0.00483,0.0,-0.047,-0.047,26530,0.00055,"Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar",1.06,22100,88.54,"Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar < 0.50","Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar","Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar",0,0,0.0
"Age hay fever, rhinitis or eczema diagnosed_5",0.0048,0.0,0.032,0.032,26530,0.0,"Age hay fever, rhinitis or eczema diagnosed_5",0.99,26433,99.06,"Age hay fever, rhinitis or eczema diagnosed_5 < 0.50","Age hay fever, rhinitis or eczema diagnosed_5","Age hay fever, rhinitis or eczema diagnosed_5",0,0,0.0
"Non-cancer illness code, self-reported | Array 0 malabsorption coeliac",0.00472,0.0,0.287,0.287,26530,0.01951,"Non-cancer illness code, self-reported | Array 0__malabsorption coeliac",8.71,326,10.7,"Non-cancer illness code, self-reported | Array 0__malabsorption coeliac >= 0.23","Non-cancer illness code, self-reported | Array 0 malabsorption coeliac","Non-cancer illness code, self-reported | Array 0 malabsorption coeliac",0,0,0.0
Overall health rating_Excellent,0.00461,0.0,-0.042,-0.042,26530,0.00285,Overall health rating_Excellent,1.05,22575,89.56,Overall health rating_Excellent < 0.50,Overall health rating_Excellent,Overall health rating_Excellent,0,0,0.0
Fluid intelligence score,0.00455,0.30942,0.001,0.001,26530,0.0,Fluid intelligence score,1.28,698,3.35,2.10 <= Fluid intelligence score < 3.80,Fluid intelligence score,Fluid intelligence score,0,0,0.0
Lipoprotein A Blood biochemistry,0.00451,0.08649,-0.01,-0.009,26530,0.00099,Lipoprotein A Blood biochemistry,1.21,1707,7.76,Lipoprotein A Blood biochemistry < -0.93,Lipoprotein A Blood biochemistry,Lipoprotein A Blood biochemistry,0,0,0.0
Concentration of Small VLDL Particles,0.00447,0.00876,-0.01,-0.01,26530,0.0,Concentration of Small VLDL Particles,1.47,312,1.73,-3.90 <= Concentration of Small VLDL Particles < -2.80,Concentration of Small VLDL Particles,Concentration of Small VLDL Particles,0,0,0.0
"Never eat eggs, dairy, wheat, sugar_Dairy products|Wheat products|Sugar or foods/drinks containing sugar",0.00412,0.00096,0.02,0.02,26530,0.0,"Never eat eggs, dairy, wheat, sugar_Dairy products|Wheat products|Sugar or foods/drinks containing sugar",1.0,26480,99.55,"Never eat eggs, dairy, wheat, sugar_Dairy products|Wheat products|Sugar or foods/drinks containing sugar < 0.50","Never eat eggs, dairy, wheat, sugar_Dairy products|Wheat products|Sugar or foods/drinks containing sugar","Never eat eggs, dairy, wheat, sugar_Dairy products|Wheat products|Sugar or foods/drinks containing sugar",0,0,0.0
had_disease_past,0.00407,0.0,0.104,0.104,26530,0.00184,had_disease_past,0.99,26480,98.45,had_disease_past < 11.00,had_disease_past,had_disease_past,0,0,0.0
Acetoacetate,0.00403,2e-05,-0.025,-0.022,26530,0.0033,Acetoacetate,1.47,621,3.43,Acetoacetate < -1.20,Acetoacetate,Acetoacetate,0,0,0.0
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_None of the above",0.00389,0.0,-0.038,-0.038,26530,0.00444,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_None of the above",1.16,9039,39.5,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_None of the above < 0.50","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_None of the above","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_None of the above",0,0,0.0
Basophill count,0.00376,0.19123,0.007,0.006,26530,0.0,Basophill count,1.02,18593,71.47,-0.57 <= Basophill count < 1.30,Basophill count,Basophill count,0,0,0.0
Standing height,0.00356,0.25547,-0.005,-0.005,26530,0.00108,Standing height,1.2,1372,6.22,0.74 <= Standing height < 0.96,Standing height,Standing height,0,0,0.0
Albumin,0.00354,0.0,-0.033,-0.029,26530,0.00026,Albumin,1.38,1397,7.27,-3.80 <= Albumin < -1.60,Albumin,Albumin,0,0,0.0
Mouth/teeth dental problems_None of the above,0.00335,0.13368,-0.009,-0.009,26530,0.0014,Mouth/teeth dental problems_None of the above,1.03,11208,43.61,Mouth/teeth dental problems_None of the above < 0.50,Mouth/teeth dental problems_None of the above,Mouth/teeth dental problems_None of the above,0,0,0.0
Ethnic background_British,0.00316,1e-05,0.027,0.027,26530,0.00492,Ethnic background_British,1.03,23527,91.26,Ethnic background_British >= 0.50,Ethnic background_British,Ethnic background_British,0,0,0.0
Z53.8 - Procedure not carried out for other reasons,0.0031,0.12657,-0.007,-0.007,26530,0.00143,Z53.8 - Procedure not carried out for other reasons,0.99,25685,96.16,-1.50 <= Z53.8 - Procedure not carried out for other reasons < 2.10,Z53.8 - Procedure not carried out for other reasons,Z53.8 - Procedure not carried out for other reasons,0,0,0.0
Frequency of tiredness / lethargy in last 2 weeks_Not at all,0.00309,0.0,-0.038,-0.038,26530,0.00322,Frequency of tiredness / lethargy in last 2 weeks_Not at all,1.1,15243,63.06,Frequency of tiredness / lethargy in last 2 weeks_Not at all < 0.50,Frequency of tiredness / lethargy in last 2 weeks_Not at all,Frequency of tiredness / lethargy in last 2 weeks_Not at all,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 coeliac disease",0.00305,0.0,0.287,0.287,26530,0.01947,"Non-cancer illness code, self-reported | Array 0__coeliac disease",8.71,326,10.7,"Non-cancer illness code, self-reported | Array 0__coeliac disease >= 0.23","Non-cancer illness code, self-reported | Array 0 coeliac disease","Non-cancer illness code, self-reported | Array 0 coeliac disease",0,0,0.0
(POAG) primary open angle glaucoma genetic risk,0.00304,0.0,-0.05,-0.041,26530,0.00419,(POAG) primary open angle glaucoma genetic risk,1.66,277,1.73,-0.73 <= (POAG) primary open angle glaucoma genetic risk < -0.69,(POAG) primary open angle glaucoma genetic risk,(POAG) primary open angle glaucoma genetic risk,0,0,0.0
Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer,0.00277,0.0,0.106,0.106,26530,0.00259,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer,1.57,6244,36.98,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer >= 0.50,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer,0,0,0.0
"Non-cancer illness code, self-reported | Array 1 coeliac disease",0.00262,0.0,0.235,0.235,26530,0.01184,"Non-cancer illness code, self-reported | Array 1__coeliac disease",0.94,26333,93.22,"Non-cancer illness code, self-reported | Array 1__coeliac disease < 0.23","Non-cancer illness code, self-reported | Array 1 coeliac disease","Non-cancer illness code, self-reported | Array 1 coeliac disease",0,0,0.0
Z90.4 - Acquired absence of other parts of digestive tract,0.0026,0.79739,0.008,0.008,26530,0.00039,Z90.4 - Acquired absence of other parts of digestive tract,0.98,25989,96.19,-0.71 <= Z90.4 - Acquired absence of other parts of digestive tract < 0.08,Z90.4 - Acquired absence of other parts of digestive tract,Z90.4 - Acquired absence of other parts of digestive tract,0,0,0.0
Chemotherapy,0.00257,0.15881,0.004,0.004,26530,1e-05,Chemotherapy,1.42,289,1.55,-4.20 <= Chemotherapy < -1.00,Chemotherapy,Chemotherapy,0,0,0.0
Mineral and other dietary supplements_Fish oil (including cod liver oil),0.00253,1e-05,-0.028,-0.028,26530,0.00057,Mineral and other dietary supplements_Fish oil (including cod liver oil),1.04,22297,87.07,Mineral and other dietary supplements_Fish oil (including cod liver oil) < 0.50,Mineral and other dietary supplements_Fish oil (including cod liver oil),Mineral and other dietary supplements_Fish oil (including cod liver oil),0,0,0.0
Concentration of IDL Particles,0.00235,3e-05,-0.022,-0.021,26530,0.0,Concentration of IDL Particles,1.21,2190,10.03,Concentration of IDL Particles < -0.94,Concentration of IDL Particles,Concentration of IDL Particles,0,0,0.0
Other intestinal obstruction,0.00234,0.28714,0.012,0.012,26530,0.00013,Other intestinal obstruction,0.99,26269,98.0,-0.83 <= Other intestinal obstruction < 2.20,Other intestinal obstruction,Other intestinal obstruction,0,0,0.0
Concentration of Large LDL Particles,0.00231,0.00049,-0.021,-0.02,26530,0.00071,Concentration of Large LDL Particles,1.15,2572,11.16,-3.30 <= Concentration of Large LDL Particles < -0.49,Concentration of Large LDL Particles,Concentration of Large LDL Particles,0,0,0.0
Concentration of Very Small VLDL Particles,0.00229,0.00103,-0.014,-0.013,26530,0.00082,Concentration of Very Small VLDL Particles,1.35,768,3.92,-1.90 <= Concentration of Very Small VLDL Particles < -1.20,Concentration of Very Small VLDL Particles,Concentration of Very Small VLDL Particles,0,0,0.0
Sex,0.00229,0.1007,0.01,0.01,26530,0.00179,Sex,1.02,16622,64.12,Sex >= -0.26,Sex,Sex,0,0,0.0
"Poisoning by analgesics, antipyretics, and antirheumatics",0.0021,0.42651,-0.003,-0.003,26530,0.0,"Poisoning by analgesics, antipyretics, and antirheumatics",0.99,26114,97.51,"-3.30 <= Poisoning by analgesics, antipyretics, and antirheumatics < 1.70","Poisoning by analgesics, antipyretics, and antirheumatics","Poisoning by analgesics, antipyretics, and antirheumatics",0,0,0.0
Treatment/medication code | Array 0 75mg tablet,0.00208,0.10206,-0.01,-0.01,26530,0.00153,Treatment/medication code | Array 0__75mg tablet,1.0,26408,99.74,Treatment/medication code | Array 0__75mg tablet < 0.26,Treatment/medication code | Array 0 75mg tablet,Treatment/medication code | Array 0 75mg tablet,0,0,0.0
