feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,Novel/Interesting?,Makes Sense?,COMMENTS
"Long-standing illness, disability or infirmity_No","Long-standing illness, disability or infirmity_No",0.009,0.0,-0.103,0.01,6,1.39,"Long-standing illness, disability or infirmity_No < 0.50",22771,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Symptoms concerning nutrition, metabolism, and development","Symptoms concerning nutrition, metabolism, and development",0.009,0.12,0.014,0.002,2,0.97,"-0.03 <= Symptoms concerning nutrition, metabolism, and development < 0.67",355,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Tea intake,Tea intake,0.008,0.0,0.035,0.002,3,1.52,Tea intake >= 2.70,3971,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Concentration of Small HDL Particles,Concentration of Small HDL Particles,0.007,0.0,-0.048,0.002,0,1.37,-2.60 <= Concentration of Small HDL Particles < -1.70,880,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Concentration of Very Large HDL Particles,Concentration of Very Large HDL Particles,0.007,0.039,-0.015,0.0,0,1.02,-3.20 <= Concentration of Very Large HDL Particles < 0.60,736,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Average Diameter for LDL Particles,Average Diameter for LDL Particles,0.007,0.132,0.016,0.002,0,1.2,0.05 <= Average Diameter for LDL Particles < 0.67,58,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 crohns","Non-cancer illness code, self-reported | Array 2__crohns",0.006,0.0,0.031,0.002,3,1.0,"Non-cancer illness code, self-reported | Array 2__crohns < 0.19",192,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
(HBA1C_DF) glycated haemoglobin genetic risk,(HBA1C_DF) glycated haemoglobin genetic risk,0.006,0.0,0.067,0.004,0,1.85,2.00 <= (HBA1C_DF) glycated haemoglobin genetic risk < 3.10,41,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Concentration of HDL Particles,Concentration of HDL Particles,0.006,0.0,-0.047,0.003,0,1.57,-3.40 <= Concentration of HDL Particles < -2.00,2966,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Age hay fever, rhinitis or eczema diagnosed_5","Age hay fever, rhinitis or eczema diagnosed_5",0.005,0.0,0.032,0.0,4,0.99,"Age hay fever, rhinitis or eczema diagnosed_5 < 0.50",1883,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Overall health rating_Excellent,Overall health rating_Excellent,0.005,0.0,-0.042,0.003,2,1.05,Overall health rating_Excellent < 0.50,6069,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Lipoprotein A Blood biochemistry,Lipoprotein A Blood biochemistry,0.005,0.086,-0.01,0.001,1,1.21,Lipoprotein A Blood biochemistry < -0.93,585,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Fluid intelligence score,Fluid intelligence score,0.005,0.309,0.001,0.0,0,1.28,2.10 <= Fluid intelligence score < 3.80,836,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Concentration of Medium LDL Particles,Concentration of Medium LDL Particles,0.005,0.0,-0.028,0.002,0,1.15,Concentration of Medium LDL Particles < -0.25,236,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Concentration of Small VLDL Particles,Concentration of Small VLDL Particles,0.004,0.009,-0.01,0.0,0,1.47,-3.90 <= Concentration of Small VLDL Particles < -2.80,395,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
had_disease_past,had_disease_past,0.004,0.0,0.104,0.002,6,0.99,had_disease_past < 11.00,259,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Acetoacetate,Acetoacetate,0.004,0.0,-0.025,0.003,3,1.47,Acetoacetate < -1.20,5088,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Standing height,Standing height,0.004,0.255,-0.005,0.001,3,1.2,0.74 <= Standing height < 0.96,6065,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Ethnic background_British,Ethnic background_British,0.003,0.0,0.027,0.005,8,1.03,Ethnic background_British >= 0.50,4672,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
(POAG) primary open angle glaucoma genetic risk,(POAG) primary open angle glaucoma genetic risk,0.003,0.0,-0.05,0.004,0,1.66,-0.73 <= (POAG) primary open angle glaucoma genetic risk < -0.69,904,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Concentration of Large LDL Particles,Concentration of Large LDL Particles,0.002,0.0,-0.021,0.001,0,1.15,-3.30 <= Concentration of Large LDL Particles < -0.49,709,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Concentration of Very Small VLDL Particles,Concentration of Very Small VLDL Particles,0.002,0.001,-0.014,0.001,0,1.35,-1.90 <= Concentration of Very Small VLDL Particles < -1.20,395,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Other diseases of respiratory system, NEC","Other diseases of respiratory system, NEC",0.002,0.381,0.01,0.001,0,1.0,"-2.80 <= Other diseases of respiratory system, NEC < 3.90",35,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
(BD) bipolar disorder genetic risk,(BD) bipolar disorder genetic risk,0.002,0.0,-0.03,0.002,0,1.21,(BD) bipolar disorder genetic risk < -1.40,974,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
(SCZ) schizophrenia genetic risk,(SCZ) schizophrenia genetic risk,0.002,0.0,-0.072,0.003,0,1.57,(SCZ) schizophrenia genetic risk < -1.60,772,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Complications of transplants and reattached limbs,Complications of transplants and reattached limbs,0.002,0.086,-0.014,0.003,0,1.0,-1.60 <= Complications of transplants and reattached limbs < 1.50,21,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 crohns","Non-cancer illness code, self-reported | Array 1__crohns",0.002,0.0,0.047,0.0,5,0.99,"Non-cancer illness code, self-reported | Array 1__crohns < 0.19",225,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Bacterial infection NOS,Bacterial infection NOS,0.002,0.149,0.016,0.0,0,0.99,-0.32 <= Bacterial infection NOS < 1.70,1090105,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Cholesterol in Medium HDL,Cholesterol in Medium HDL,0.002,0.0,-0.038,0.0,0,1.38,-2.90 <= Cholesterol in Medium HDL < -2.00,1260,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Cholesterol in Medium VLDL,Cholesterol in Medium VLDL,0.002,0.0,-0.027,0.0,0,1.15,Cholesterol in Medium VLDL < -0.75,412,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Prolapse of vaginal walls,Prolapse of vaginal walls,0.002,0.256,0.008,0.0,0,1.0,Prolapse of vaginal walls < 0.25,140,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Concentration of IDL Particles,Concentration of IDL Particles,0.002,0.0,-0.022,0.0,0,1.21,Concentration of IDL Particles < -0.94,296,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Average Diameter for VLDL Particles,Average Diameter for VLDL Particles,0.002,0.222,-0.012,0.0,0,1.12,Average Diameter for VLDL Particles < -1.20,27,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 syndrome","Non-cancer illness code, self-reported | Array 1__syndrome",0.002,0.0,0.024,0.003,7,0.99,"Non-cancer illness code, self-reported | Array 1__syndrome < 0.22",5776,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Poisoning by analgesics, antipyretics, and antirheumatics","Poisoning by analgesics, antipyretics, and antirheumatics",0.002,0.427,-0.003,0.0,1,0.99,"-3.30 <= Poisoning by analgesics, antipyretics, and antirheumatics < 1.70",1198,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Circulatory disease NEC,Circulatory disease NEC,0.002,0.571,0.002,0.0,1,1.0,-0.78 <= Circulatory disease NEC < 4.10,61,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 ear","Non-cancer illness code, self-reported | Array 2__ear",0.001,0.043,0.012,0.0,2,1.0,"Non-cancer illness code, self-reported | Array 2__ear < 0.23",1141,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Mineral and other dietary supplements_Iron,Mineral and other dietary supplements_Iron,0.001,0.0,0.03,0.0,2,1.75,Mineral and other dietary supplements_Iron >= 0.50,265,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 allergy","Non-cancer illness code, self-reported | Array 1__allergy",0.001,0.042,0.015,0.0,4,1.0,"Non-cancer illness code, self-reported | Array 1__allergy < 0.17",1899,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 4 arthritis","Non-cancer illness code, self-reported | Array 4__arthritis",0.001,0.052,-0.012,0.0,3,1.0,"Non-cancer illness code, self-reported | Array 4__arthritis < 0.50",789,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Cholesterol in Very Small VLDL,Cholesterol in Very Small VLDL,0.001,0.0,-0.025,0.001,3,1.19,Cholesterol in Very Small VLDL < -1.20,1167,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Average Diameter for HDL Particles,Average Diameter for HDL Particles,0.001,0.012,-0.013,0.0,0,1.14,-3.60 <= Average Diameter for HDL Particles < -1.50,49,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 high cholesterol","Non-cancer illness code, self-reported | Array 2__high cholesterol",0.001,0.073,-0.011,0.0,1,1.01,"Non-cancer illness code, self-reported | Array 2__high cholesterol < 0.29",410,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Senile cataract,Senile cataract,0.001,0.175,-0.005,0.0,1,1.0,Senile cataract >= -2.10,2198,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 colitis","Non-cancer illness code, self-reported | Array 1__colitis",0.001,0.0,0.027,0.001,3,1.0,"Non-cancer illness code, self-reported | Array 1__colitis < 0.29",377,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 food","Non-cancer illness code, self-reported | Array 1__food",0.001,0.0,0.031,0.001,9,1.0,"Non-cancer illness code, self-reported | Array 1__food < 0.21",7657,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 unclassifiable","Non-cancer illness code, self-reported | Array 1__unclassifiable",0.001,0.022,0.014,0.002,0,1.36,"Non-cancer illness code, self-reported | Array 1__unclassifiable >= 0.50",122,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 hernia","Non-cancer illness code, self-reported | Array 1__hernia",0.001,0.005,0.017,0.001,0,1.0,"Non-cancer illness code, self-reported | Array 1__hernia < 0.28",152,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 infection","Non-cancer illness code, self-reported | Array 2__infection",0.001,0.002,0.019,0.0,5,1.0,"Non-cancer illness code, self-reported | Array 2__infection < 0.37",10499,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 allergy","Non-cancer illness code, self-reported | Array 2__allergy",0.001,0.0,0.025,0.002,5,0.99,"Non-cancer illness code, self-reported | Array 2__allergy < 0.17",1648,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Dizziness and giddiness (Light-headedness and vertigo),Dizziness and giddiness (Light-headedness and vertigo),0.001,0.136,0.012,0.003,0,0.99,-0.07 <= Dizziness and giddiness (Light-headedness and vertigo) < 0.77,27,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Mineral and other dietary supplements_None,Mineral and other dietary supplements_None,0.001,0.136,0.009,0.001,0,1.27,Mineral and other dietary supplements_None >= 0.50,101,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Cholesterol in IDL,Cholesterol in IDL,0.001,0.0,-0.035,0.001,0,1.39,-3.90 <= Cholesterol in IDL < -1.20,1207,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Qualifications_None,Qualifications_None,0.001,0.118,0.01,0.0,0,1.28,Qualifications_None >= 0.50,744,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 food","Non-cancer illness code, self-reported | Array 2__food",0.001,0.0,0.03,0.0,7,1.0,"Non-cancer illness code, self-reported | Array 2__food < 0.20",6744,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Osteoarthrosis NOS,Osteoarthrosis NOS,0.001,0.11,-0.005,0.0,0,1.12,Osteoarthrosis NOS >= 0.44,120489,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 problem","Non-cancer illness code, self-reported | Array 2__problem",0.001,0.001,0.012,0.0,2,1.0,"Non-cancer illness code, self-reported | Array 2__problem < 0.11",3781,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 reaction food","Non-cancer illness code, self-reported | Array 2__reaction food",0.001,0.0,0.027,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 2__reaction food < 0.21",912,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 cholelithiasis","Non-cancer illness code, self-reported | Array 2__cholelithiasis",0.0,0.032,0.013,0.001,0,1.0,"Non-cancer illness code, self-reported | Array 2__cholelithiasis < 0.22",31,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Most recent bowel cancer screening_infrequent_,Most recent bowel cancer screening_infrequent_,0.0,0.0,0.03,0.001,0,0.99,Most recent bowel cancer screening_infrequent_ < 0.50,37,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Home area population density - urban or rural_Scotland - Other Urban Area,Home area population density - urban or rural_Scotland - Other Urban Area,0.0,0.072,-0.011,0.001,0,1.0,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,282,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 3 arthritis","Non-cancer illness code, self-reported | Array 3__arthritis",0.0,0.008,0.013,0.001,3,1.0,"Non-cancer illness code, self-reported | Array 3__arthritis < 0.20",916,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 ulcerative colitis","Non-cancer illness code, self-reported | Array 1__ulcerative colitis",0.0,0.0,0.027,0.0,3,1.0,"Non-cancer illness code, self-reported | Array 1__ulcerative colitis < 0.19",208,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 hypersensitivity","Non-cancer illness code, self-reported | Array 2__hypersensitivity",0.0,0.006,0.017,0.001,4,1.0,"Non-cancer illness code, self-reported | Array 2__hypersensitivity < 0.23",976,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 ulcerative","Non-cancer illness code, self-reported | Array 2__ulcerative",0.0,0.008,0.019,0.0,4,1.0,"Non-cancer illness code, self-reported | Array 2__ulcerative < 0.19",487,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Most recent bowel cancer screening_8,Most recent bowel cancer screening_8,0.0,0.016,0.015,0.0,4,1.0,Most recent bowel cancer screening_8 < 0.50,1455,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Age hay fever, rhinitis or eczema diagnosed_13","Age hay fever, rhinitis or eczema diagnosed_13",0.0,0.016,0.015,0.0,4,1.0,"Age hay fever, rhinitis or eczema diagnosed_13 < 0.50",1882,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 4 problem","Non-cancer illness code, self-reported | Array 4__problem",0.0,0.001,0.021,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 4__problem < 0.17",2389,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 3 fracture","Non-cancer illness code, self-reported | Array 3__fracture",0.0,0.097,-0.01,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 3__fracture < 0.34",528,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 urinary","Non-cancer illness code, self-reported | Array 2__urinary",0.0,0.081,0.016,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 2__urinary < 0.20",2060,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 renal","Non-cancer illness code, self-reported | Array 1__renal",0.0,0.02,0.009,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 1__renal < 0.24",2382,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 reaction food","Non-cancer illness code, self-reported | Array 1__reaction food",0.0,0.0,0.027,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 1__reaction food < 0.21",1018,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 ovarian","Non-cancer illness code, self-reported | Array 1__ovarian",0.0,0.036,0.01,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 1__ovarian < 0.22",1860,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 heart arrhythmia","Non-cancer illness code, self-reported | Array 1__heart arrhythmia",0.0,0.077,-0.011,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 1__heart arrhythmia < 0.31",632,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Age hay fever, rhinitis or eczema diagnosed_36","Age hay fever, rhinitis or eczema diagnosed_36",0.0,0.191,0.008,0.0,8,1.0,"Age hay fever, rhinitis or eczema diagnosed_36 < 0.50",2755,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 atrial","Non-cancer illness code, self-reported | Array 1__atrial",0.0,0.083,0.009,0.001,0,1.0,"Non-cancer illness code, self-reported | Array 1__atrial < 0.29",554,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Mouth/teeth dental problems_Mouth ulcers|Toothache,Mouth/teeth dental problems_Mouth ulcers|Toothache,0.0,0.078,0.011,0.0,0,1.0,Mouth/teeth dental problems_Mouth ulcers|Toothache < 0.50,4356,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Age asthma diagnosed_28,Age asthma diagnosed_28,0.0,0.025,0.014,0.0,9,1.0,Age asthma diagnosed_28 < 0.50,2665,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 3 chronic","Non-cancer illness code, self-reported | Array 3__chronic",0.0,0.044,0.011,0.0,7,1.0,"Non-cancer illness code, self-reported | Array 3__chronic < 0.60",3993,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 reaction","Non-cancer illness code, self-reported | Array 1__reaction",0.0,0.0,0.021,0.0,7,1.0,"Non-cancer illness code, self-reported | Array 1__reaction < 0.18",21805,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Age hay fever, rhinitis or eczema diagnosed_38","Age hay fever, rhinitis or eczema diagnosed_38",0.0,0.013,0.015,0.0,7,1.0,"Age hay fever, rhinitis or eczema diagnosed_38 < 0.50",2540,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 crohns disease","Non-cancer illness code, self-reported | Array 1__crohns disease",0.0,0.0,0.034,0.0,5,1.0,"Non-cancer illness code, self-reported | Array 1__crohns disease < 0.33",219,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Age asthma diagnosed_42,Age asthma diagnosed_42,0.0,0.008,0.016,0.0,8,1.0,Age asthma diagnosed_42 < 0.50,2112,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Most recent bowel cancer screening_9,Most recent bowel cancer screening_9,0.0,0.0,0.023,0.0,9,1.0,Most recent bowel cancer screening_9 < 0.50,1395,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 5 fracture","Non-cancer illness code, self-reported | Array 5__fracture",0.0,0.001,0.02,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 5__fracture < 0.50",403,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Long-standing illness, disability or infirmity_None","Long-standing illness, disability or infirmity_None",0.0,0.063,-0.011,0.0,0,1.0,"Long-standing illness, disability or infirmity_None < 0.50",204,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Atrial fibrillation and flutter,Atrial fibrillation and flutter,0.0,0.094,-0.006,0.0,0,1.17,2.20 <= Atrial fibrillation and flutter < 6.80,7439,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Mineral and other dietary supplements_Calcium,Mineral and other dietary supplements_Calcium,0.0,0.0,0.074,0.004,1,2.32,Mineral and other dietary supplements_Calcium >= 0.50,617,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
