name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,cui_nomenclature,feature_level_min_kg_hits,feature_level_sum_kg_hits,sim_score
"Non-cancer illness code, self-reported | Array 4 gout",0.0095,0.0,0.113,0.113,1,0.00336,"Non-cancer illness code, self-reported | Array 4__gout",0.98,91252,97.58,"Non-cancer illness code, self-reported | Array 4__gout < 0.50","Non-cancer illness code, self-reported | Array 4 gout","Non-cancer illness code, self-reported | Array 4 gout",0,0,0.0
SHBG,0.00886,0.0,-0.071,-0.058,1,0.05111,SHBG,1.68,2712,4.98,SHBG < -1.40,SHBG,SHBG,0,0,0.0
Townsend deprivation index at recruitment,0.00856,0.0,0.025,0.02,1,0.00937,Townsend deprivation index at recruitment,1.19,10276,13.4,1.40 <= Townsend deprivation index at recruitment < 2.90,Townsend deprivation index at recruitment,Townsend deprivation index at recruitment,0,0,0.0
Total protein,0.00856,0.0,0.039,0.032,1,0.01649,Total protein,1.47,941,1.51,Total protein >= 2.70,Total protein,Total protein,0,0,0.0
"N18.3 - Chronic kidney disease, stage 3",0.00832,0.17868,0.012,0.012,1,0.00113,"N18.3 - Chronic kidney disease, stage 3",0.98,90180,96.5,"-0.83 <= N18.3 - Chronic kidney disease, stage 3 < 1.20","N18.3 - Chronic kidney disease, stage 3","N18.3 - Chronic kidney disease, stage 3",0,0,0.0
Date of all cause dementia report,0.0083,1e-05,-0.023,-0.023,1,0.0019,Date of all cause dementia report,1.0,91105,98.98,-5.20 <= Date of all cause dementia report < 1.10,Date of all cause dementia report,Date of all cause dementia report,0,0,0.0
Congestive heart failure (CHF) NOS,0.00822,0.06995,0.007,0.007,1,0.00159,Congestive heart failure (CHF) NOS,0.98,90159,96.12,-0.20 <= Congestive heart failure (CHF) NOS < 0.76,Congestive heart failure (CHF) NOS,Congestive heart failure (CHF) NOS,0,0,0.0
Acetone,0.00813,0.0,0.024,0.021,1,0.08163,Acetone,1.36,2195,3.26,2.40 <= Acetone < 10.00,Acetone,Acetone,0,0,0.0
Z53.8 - Procedure not carried out for other reasons,0.00798,0.14778,-0.006,-0.006,1,0.00032,Z53.8 - Procedure not carried out for other reasons,1.47,1325,2.13,-5.30 <= Z53.8 - Procedure not carried out for other reasons < -0.68,Z53.8 - Procedure not carried out for other reasons,Z53.8 - Procedure not carried out for other reasons,0,0,0.0
(HT) hypertension genetic risk,0.00798,0.0,0.035,0.029,1,0.30736,(HT) hypertension genetic risk,1.23,10112,13.62,(HT) hypertension genetic risk >= 1.20,(HT) hypertension genetic risk,(HT) hypertension genetic risk,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 hypertension",0.00765,0.0,0.084,0.084,1,0.00337,"Non-cancer illness code, self-reported | Array 0__hypertension",1.36,29822,44.25,"Non-cancer illness code, self-reported | Array 0__hypertension >= 0.61","Non-cancer illness code, self-reported | Array 0 hypertension","Non-cancer illness code, self-reported | Array 0 hypertension",0,0,0.0
(T2D) type 2 diabetes genetic risk,0.00747,0.0,0.02,0.016,1,0.30711,(T2D) type 2 diabetes genetic risk,1.11,10538,12.8,(T2D) type 2 diabetes genetic risk >= 1.20,(T2D) type 2 diabetes genetic risk,(T2D) type 2 diabetes genetic risk,0,0,0.0
"Other chronic ischemic heart disease, unspecified",0.00713,0.2562,0.012,0.012,1,0.00166,"Other chronic ischemic heart disease, unspecified",1.57,3125,5.35,"Other chronic ischemic heart disease, unspecified >= 1.30","Other chronic ischemic heart disease, unspecified","Other chronic ischemic heart disease, unspecified",0,0,0.0
Neuroticism score,0.00705,0.25363,0.003,0.003,1,0.00015,Neuroticism score,1.13,6228,7.68,0.23 <= Neuroticism score < 0.58,Neuroticism score,Neuroticism score,0,0,0.0
Abdominal pain,0.00689,0.76785,0.0,0.0,1,0.00055,Abdominal pain,1.2,3232,4.25,0.06 <= Abdominal pain < 2.80,Abdominal pain,Abdominal pain,0,0,0.0
Type 2 diabetes,0.00678,0.62051,0.001,0.001,1,0.00083,Type 2 diabetes,1.44,937,1.47,Type 2 diabetes < -4.70,Type 2 diabetes,Type 2 diabetes,0,0,0.0
Pulse wave reflection index,0.00602,0.66075,-0.001,-0.001,1,0.00093,Pulse wave reflection index,1.07,4830,5.64,-2.20 <= Pulse wave reflection index < -0.67,Pulse wave reflection index,Pulse wave reflection index,0,0,0.0
Treatment/medication code | Array 0 tablet,0.00575,0.00102,-0.008,-0.008,1,0.00098,Treatment/medication code | Array 0__tablet,1.06,2375,2.75,0.26 <= Treatment/medication code | Array 0__tablet < 0.41,Treatment/medication code | Array 0 tablet,Treatment/medication code | Array 0 tablet,0,0,0.0
3-Hydroxybutyrate,0.00544,4e-05,0.023,0.02,1,0.14307,3-Hydroxybutyrate,1.11,14658,17.73,-0.49 <= 3-Hydroxybutyrate < -0.02,3-Hydroxybutyrate,3-Hydroxybutyrate,0,0,0.0
"I48.9 - Atrial fibrillation and atrial flutter, unspecified",0.00539,0.40921,0.008,0.008,1,0.00035,"I48.9 - Atrial fibrillation and atrial flutter, unspecified",0.99,89925,97.06,"-2.70 <= I48.9 - Atrial fibrillation and atrial flutter, unspecified < 1.10","I48.9 - Atrial fibrillation and atrial flutter, unspecified","I48.9 - Atrial fibrillation and atrial flutter, unspecified",0,0,0.0
Overall health rating_Poor,0.00526,0.0,0.056,0.056,1,0.00139,Overall health rating_Poor,1.6,6756,11.8,Overall health rating_Poor >= 0.50,Overall health rating_Poor,Overall health rating_Poor,0,0,0.0
Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,0.00521,0.0067,0.009,0.009,1,4e-05,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,1.1,5915,7.12,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse >= 0.50,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,0,0,0.0
Mental health conditions ever diagnosed by a professional group group,0.005,0.0,-0.036,-0.035,1,0.00098,Mental health conditions ever diagnosed by a professional__group group,1.06,68835,79.89,Mental health conditions ever diagnosed by a professional__group group < 0.03,Mental health conditions ever diagnosed by a professional group group,Mental health conditions ever diagnosed by a professional group group,0,0,0.0
Home area population density - urban or rural_England/Wales - Urban - less sparse,0.00484,0.0,0.034,0.034,1,0.00062,Home area population density - urban or rural_England/Wales - Urban - less sparse,1.05,73086,83.94,Home area population density - urban or rural_England/Wales - Urban - less sparse >= 0.50,Home area population density - urban or rural_England/Wales - Urban - less sparse,Home area population density - urban or rural_England/Wales - Urban - less sparse,0,0,0.0
Asthma,0.00482,0.03556,-0.005,-0.005,1,0.00034,Asthma,1.14,1677,2.1,-2.60 <= Asthma < -0.08,Asthma,Asthma,0,0,0.0
Other serious medical condition/disability diagnosed by doctor_No,0.00469,0.0,-0.062,-0.062,1,0.00184,Other serious medical condition/disability diagnosed by doctor_No,1.3,25187,35.81,Other serious medical condition/disability diagnosed by doctor_No < 0.50,Other serious medical condition/disability diagnosed by doctor_No,Other serious medical condition/disability diagnosed by doctor_No,0,0,0.0
"Major dietary changes in the last 5 years_Yes, because of other reasons",0.00468,0.00652,-0.009,-0.009,1,4e-05,"Major dietary changes in the last 5 years_Yes, because of other reasons",1.02,67117,74.47,"Major dietary changes in the last 5 years_Yes, because of other reasons < 0.50","Major dietary changes in the last 5 years_Yes, because of other reasons","Major dietary changes in the last 5 years_Yes, because of other reasons",0,0,0.0
Major dietary changes in the last 5 years_No,0.00468,0.0,-0.033,-0.033,1,0.00053,Major dietary changes in the last 5 years_No,1.11,39187,47.65,Major dietary changes in the last 5 years_No < 0.50,Major dietary changes in the last 5 years_No,Major dietary changes in the last 5 years_No,0,0,0.0
Alcohol intake frequency._Three or four times a week,0.00464,0.00425,0.009,0.009,1,4e-05,Alcohol intake frequency._Three or four times a week,1.05,21264,24.41,Alcohol intake frequency._Three or four times a week >= 0.50,Alcohol intake frequency._Three or four times a week,Alcohol intake frequency._Three or four times a week,0,0,0.0
(AD) alzheimer's disease genetic risk,0.0044,0.2627,-0.003,-0.002,1,0.30708,(AD) alzheimer's disease genetic risk,1.01,5427,5.98,(AD) alzheimer's disease genetic risk >= 1.80,(AD) alzheimer's disease genetic risk,(AD) alzheimer's disease genetic risk,0,0,0.0
Mean platelet (thrombocyte) volume,0.00428,0.00092,0.009,0.007,1,0.00458,Mean platelet (thrombocyte) volume,1.17,2852,3.66,0.86 <= Mean platelet (thrombocyte) volume < 1.00,Mean platelet (thrombocyte) volume,Mean platelet (thrombocyte) volume,0,0,0.0
Age diabetes diagnosed,0.00427,1e-05,0.027,0.026,1,0.00122,Age diabetes diagnosed,1.52,1339,2.23,Age diabetes diagnosed >= 2.50,Age diabetes diagnosed,Age diabetes diagnosed,0,0,0.0
Concentration of Very Large VLDL Particles,0.00409,0.0,0.029,0.027,1,0.07048,Concentration of Very Large VLDL Particles,1.4,2817,4.29,2.10 <= Concentration of Very Large VLDL Particles < 5.40,Concentration of Very Large VLDL Particles,Concentration of Very Large VLDL Particles,0,0,0.0
Apolipoprotein B to Apolipoprotein A1 ratio,0.00406,0.0,-0.033,-0.029,1,0.13612,Apolipoprotein B to Apolipoprotein A1 ratio,1.28,5102,7.11,-2.50 <= Apolipoprotein B to Apolipoprotein A1 ratio < -1.60,Apolipoprotein B to Apolipoprotein A1 ratio,Apolipoprotein B to Apolipoprotein A1 ratio,0,0,0.0
Cancer of prostate,0.00399,0.79642,0.0,0.0,1,0.00034,Cancer of prostate,1.01,88093,97.06,-0.14 <= Cancer of prostate < 0.15,Cancer of prostate,Cancer of prostate,0,0,0.0
Other ill-defined and unknown causes of morbidity and mortality,0.00398,0.7584,-0.005,-0.005,1,0.00052,Other ill-defined and unknown causes of morbidity and mortality,1.46,1258,2.01,Other ill-defined and unknown causes of morbidity and mortality >= 3.00,Other ill-defined and unknown causes of morbidity and mortality,Other ill-defined and unknown causes of morbidity and mortality,0,0,0.0
"M15.9 - Polyarthrosis, unspecified",0.00383,0.01274,0.01,0.01,1,0.00023,"M15.9 - Polyarthrosis, unspecified",0.99,90102,97.82,"-0.16 <= M15.9 - Polyarthrosis, unspecified < 0.86","M15.9 - Polyarthrosis, unspecified","M15.9 - Polyarthrosis, unspecified",0,0,0.0
Acetoacetate,0.0038,0.0,0.034,0.03,1,0.13656,Acetoacetate,1.24,9070,12.28,Acetoacetate >= 0.62,Acetoacetate,Acetoacetate,0,0,0.0
Diverticulosis,0.00358,0.73667,0.002,0.002,1,0.00071,Diverticulosis,1.38,1508,2.27,-1.40 <= Diverticulosis < -0.09,Diverticulosis,Diverticulosis,0,0,0.0
Job code at visit assistants,0.00354,0.01602,-0.009,-0.009,1,0.00011,Job code at visit__assistants,1.01,87221,95.83,Job code at visit__assistants < 0.11,Job code at visit assistants,Job code at visit assistants,0,0,0.0
Apolipoprotein B,0.0035,0.0,-0.038,-0.033,1,0.12893,Apolipoprotein B,1.37,4622,6.9,Apolipoprotein B < -1.70,Apolipoprotein B,Apolipoprotein B,0,0,0.0
Alcohol intake frequency._Special occasions only,0.00338,0.0,-0.022,-0.022,1,0.00026,Alcohol intake frequency._Special occasions only,1.02,82186,91.75,Alcohol intake frequency._Special occasions only < 0.50,Alcohol intake frequency._Special occasions only,Alcohol intake frequency._Special occasions only,0,0,0.0
Qualifications_None,0.00336,0.00484,0.009,0.009,1,4e-05,Qualifications_None,1.27,986,1.36,Qualifications_None >= 0.50,Qualifications_None,Qualifications_None,0,0,0.0
Treatment/medication code | Array 0 diclofenac,0.00331,1e-05,0.015,0.015,1,0.00011,Treatment/medication code | Array 0__diclofenac,1.0,90740,98.65,Treatment/medication code | Array 0__diclofenac < 0.37,Treatment/medication code | Array 0 diclofenac,Treatment/medication code | Array 0 diclofenac,0,0,0.0
Concentration of Very Large HDL Particles,0.00318,0.0,-0.032,-0.031,1,0.05661,Concentration of Very Large HDL Particles,1.36,1434,2.13,-2.80 <= Concentration of Very Large HDL Particles < -2.10,Concentration of Very Large HDL Particles,Concentration of Very Large HDL Particles,0,0,0.0
(VTE) venous thromboembolic disease genetic risk,0.00318,0.76214,0.001,0.001,1,0.3077,(VTE) venous thromboembolic disease genetic risk,1.0,91418,99.89,(VTE) venous thromboembolic disease genetic risk < 3.60,(VTE) venous thromboembolic disease genetic risk,(VTE) venous thromboembolic disease genetic risk,0,0,0.0
Basophill percentage,0.00305,0.61658,-0.005,-0.004,1,0.00293,Basophill percentage,1.21,1897,2.5,-0.52 <= Basophill percentage < -0.48,Basophill percentage,Basophill percentage,0,0,0.0
Coronary atherosclerosis,0.00299,0.01245,-0.005,-0.005,1,0.00135,Coronary atherosclerosis,1.55,2721,4.62,-4.90 <= Coronary atherosclerosis < -0.93,Coronary atherosclerosis,Coronary atherosclerosis,0,0,0.0
Hypercholesterolemia,0.00296,0.0,-0.008,-0.008,1,0.00106,Hypercholesterolemia,1.58,2708,4.68,-5.60 <= Hypercholesterolemia < -2.00,Hypercholesterolemia,Hypercholesterolemia,0,0,0.0
"Non-cancer illness code, self-reported | Array 5 gout",0.00293,0.0,0.08,0.08,1,0.0017,"Non-cancer illness code, self-reported | Array 5__gout",0.99,91417,98.77,"Non-cancer illness code, self-reported | Array 5__gout < 0.50","Non-cancer illness code, self-reported | Array 5 gout","Non-cancer illness code, self-reported | Array 5 gout",0,0,0.0
Diaphragmatic hernia,0.00276,0.34848,0.002,0.002,1,0.00013,Diaphragmatic hernia,1.13,2977,3.67,-4.40 <= Diaphragmatic hernia < -0.05,Diaphragmatic hernia,Diaphragmatic hernia,0,0,0.0
Secondary malignancy of lymph nodes,0.00275,0.01311,-0.007,-0.007,1,0.00068,Secondary malignancy of lymph nodes,1.01,90047,99.3,-0.31 <= Secondary malignancy of lymph nodes < 0.12,Secondary malignancy of lymph nodes,Secondary malignancy of lymph nodes,0,0,0.0
Chemotherapy,0.0026,0.02662,0.011,0.011,1,0.00037,Chemotherapy,1.0,86391,94.72,-0.03 <= Chemotherapy < 0.72,Chemotherapy,Chemotherapy,0,0,0.0
Alanine,0.00259,0.0,0.025,0.022,1,0.10662,Alanine,1.4,1058,1.62,Alanine >= 3.10,Alanine,Alanine,0,0,0.0
Other peripheral nerve disorders,0.00251,0.03872,0.008,0.008,1,0.0004,Other peripheral nerve disorders,1.11,1588,1.92,-11.00 <= Other peripheral nerve disorders < -0.25,Other peripheral nerve disorders,Other peripheral nerve disorders,0,0,0.0
