feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,Novel/Interesting?,Makes Sense?,COMMENTS
Concentration of IDL Particles,Concentration of IDL Particles,0.007,0.002,-0.016,0.001,0,1.36,-2.70 <= Concentration of IDL Particles < -1.40,296,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 1 glaucoma","Non-cancer illness code, self-reported | Array 1__glaucoma",0.006,0.0,0.083,0.002,2,0.98,"Non-cancer illness code, self-reported | Array 1__glaucoma < 0.50",221,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Varicose veins of lower extremity,Varicose veins of lower extremity,0.006,0.098,0.013,0.0,1,1.0,-4.30 <= Varicose veins of lower extremity < 5.80,3743,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 1 disease","Non-cancer illness code, self-reported | Array 1__disease",0.006,0.0,0.031,0.003,10,0.99,"Non-cancer illness code, self-reported | Array 1__disease < 0.19",34662,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Cholesterol in Very Small VLDL,Cholesterol in Very Small VLDL,0.006,0.004,-0.023,0.002,0,1.56,-0.32 <= Cholesterol in Very Small VLDL < -0.07,1167,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Fluid intelligence score,Fluid intelligence score,0.006,0.698,0.005,0.0,0,1.26,Fluid intelligence score < -2.80,836,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Benign neoplasm of colon,Benign neoplasm of colon,0.006,0.099,0.011,0.0,6,1.0,-2.30 <= Benign neoplasm of colon < 4.40,150142,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Apolipoprotein B to Apolipoprotein A1 ratio,Apolipoprotein B to Apolipoprotein A1 ratio,0.006,0.008,-0.026,0.005,1,1.68,Apolipoprotein B to Apolipoprotein A1 ratio < -2.00,1541,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Average Diameter for LDL Particles,Average Diameter for LDL Particles,0.005,0.029,-0.017,0.0,0,1.53,2.30 <= Average Diameter for LDL Particles < 2.60,58,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Concentration of Very Small VLDL Particles,Concentration of Very Small VLDL Particles,0.005,0.061,-0.014,0.003,0,1.56,Concentration of Very Small VLDL Particles < -2.40,395,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Medium and low fat cheese,Medium and low fat cheese,0.005,0.493,-0.007,0.001,0,1.08,Medium and low fat cheese < -0.40,40,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Z82.4 - Family history of ischaemic heart disease and other diseases of the circulatory system,Z82.4 - Family history of ischaemic heart disease and other diseases of the circulatory system,0.005,0.141,0.007,0.002,1,1.67,-5.70 <= Z82.4 - Family history of ischaemic heart disease and other diseases of the circulatory system < -0.43,152,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Other abnormal blood chemistry,Other abnormal blood chemistry,0.004,0.125,0.017,0.001,0,0.98,-2.60 <= Other abnormal blood chemistry < 3.70,3855,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Other disorders of bladder,Other disorders of bladder,0.004,0.025,0.022,0.001,0,1.23,0.15 <= Other disorders of bladder < 5.30,9293,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Home area population density - urban or rural_England/Wales - Urban - less sparse,Home area population density - urban or rural_England/Wales - Urban - less sparse,0.004,0.0,0.036,0.003,0,1.05,Home area population density - urban or rural_England/Wales - Urban - less sparse >= 0.50,278,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 1 soft","Non-cancer illness code, self-reported | Array 1__soft",0.004,0.033,-0.019,0.004,0,1.0,"Non-cancer illness code, self-reported | Array 1__soft < 0.21",2169,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Concentration of Medium LDL Particles,Concentration of Medium LDL Particles,0.004,0.07,-0.019,0.006,0,1.79,-1.40 <= Concentration of Medium LDL Particles < -1.10,236,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Other mental disorder,Other mental disorder,0.004,0.093,0.01,0.002,6,1.39,1.60 <= Other mental disorder < 2.20,260025,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs","Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs",0.004,0.006,0.024,0.0,0,1.62,"Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs >= 0.50",4205,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Cholesterol in Small VLDL,Cholesterol in Small VLDL,0.004,0.101,-0.015,0.001,0,1.63,-0.95 <= Cholesterol in Small VLDL < -0.61,1167,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Cholesterol in Small LDL,Cholesterol in Small LDL,0.004,0.029,-0.021,0.001,1,1.49,-3.60 <= Cholesterol in Small LDL < -2.80,6022,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 1 tissue","Non-cancer illness code, self-reported | Array 1__tissue",0.004,0.032,-0.019,0.0,3,1.0,"Non-cancer illness code, self-reported | Array 1__tissue < 0.21",31156,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Home area population density - urban or rural_Scotland - Other Urban Area,Home area population density - urban or rural_Scotland - Other Urban Area,0.004,0.005,-0.025,0.0,0,1.01,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,282,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Cholesterol in Large LDL,Cholesterol in Large LDL,0.004,0.014,-0.016,0.006,3,1.47,Cholesterol in Large LDL < -2.20,6408,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Atrial fibrillation and flutter,Atrial fibrillation and flutter,0.004,0.512,-0.001,0.003,3,1.56,-5.50 <= Atrial fibrillation and flutter < -0.09,7439,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Angina pectoris,Angina pectoris,0.004,0.652,0.01,0.0,7,1.55,Angina pectoris >= 3.60,52818,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Osteoarthrosis NOS,Osteoarthrosis NOS,0.003,0.216,-0.003,0.003,0,0.99,-0.53 <= Osteoarthrosis NOS < 1.40,120489,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Coffee intake,Coffee intake,0.003,0.781,-0.004,0.003,0,1.28,1.70 <= Coffee intake < 2.70,3917,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Gastritis and duodenitis,Gastritis and duodenitis,0.003,0.035,0.022,0.0,0,1.4,Gastritis and duodenitis >= 2.90,6252,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 2 osteoporosis","Non-cancer illness code, self-reported | Array 2__osteoporosis",0.003,0.013,0.022,0.002,0,1.0,"Non-cancer illness code, self-reported | Array 2__osteoporosis < 0.50",222,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Urinary tract infection,Urinary tract infection,0.003,0.053,0.017,0.0,4,1.22,0.12 <= Urinary tract infection < 5.10,83339,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Time spend outdoors in summer_10,Time spend outdoors in summer_10,0.003,0.027,0.02,0.0,0,1.41,Time spend outdoors in summer_10 >= 0.50,27,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Back pain,Back pain,0.002,0.217,0.012,0.0,4,1.0,Back pain < 0.13,92926,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 1 heart","Non-cancer illness code, self-reported | Array 1__heart",0.002,0.02,0.021,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 1__heart < 0.28",5245,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Other peripheral nerve disorders,Other peripheral nerve disorders,0.002,0.471,-0.005,0.002,7,1.0,Other peripheral nerve disorders < 0.19,24926,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Other non-epithelial cancer of skin,Other non-epithelial cancer of skin,0.002,0.504,0.004,0.002,0,1.0,Other non-epithelial cancer of skin >= -0.61,29,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Age hay fever, rhinitis or eczema diagnosed_50","Age hay fever, rhinitis or eczema diagnosed_50",0.002,0.003,0.027,0.002,1,0.99,"Age hay fever, rhinitis or eczema diagnosed_50 < 0.50",1884,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Symptoms concerning nutrition, metabolism, and development","Symptoms concerning nutrition, metabolism, and development",0.002,0.065,0.029,0.0,0,0.99,"-0.51 <= Symptoms concerning nutrition, metabolism, and development < 1.00",355,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 1 chronic bronchitis","Non-cancer illness code, self-reported | Array 1__chronic bronchitis",0.002,0.075,-0.016,0.001,0,1.0,"Non-cancer illness code, self-reported | Array 1__chronic bronchitis < 0.23",27,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Ethnic background_Any other white background,Ethnic background_Any other white background,0.002,0.067,-0.016,0.0,0,1.01,Ethnic background_Any other white background < 0.50,6432,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Age asthma diagnosed_infrequent_,Age asthma diagnosed_infrequent_,0.002,0.273,-0.01,0.0,0,1.01,Age asthma diagnosed_infrequent_ < 0.50,140,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 2 rheumatoid","Non-cancer illness code, self-reported | Array 2__rheumatoid",0.002,0.042,-0.018,0.001,0,1.0,"Non-cancer illness code, self-reported | Array 2__rheumatoid < 0.30",501,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Cardiomegaly,Cardiomegaly,0.002,0.029,0.029,0.001,7,0.99,-4.20 <= Cardiomegaly < 0.40,62041,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Dysphagia,Dysphagia,0.002,0.446,0.001,0.0,2,1.0,Dysphagia < 2.40,82160,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 2 cholesterol","Non-cancer illness code, self-reported | Array 2__cholesterol",0.002,0.0,0.036,0.007,0,1.51,"Non-cancer illness code, self-reported | Array 2__cholesterol >= 0.29",899,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 3 heart","Non-cancer illness code, self-reported | Array 3__heart",0.002,0.082,0.014,0.003,0,1.0,"Non-cancer illness code, self-reported | Array 3__heart < 0.85",3809,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Duodenitis,Duodenitis,0.002,0.17,-0.016,0.0,2,0.99,-1.60 <= Duodenitis < 5.90,129410,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Other symptoms/disorders or the urinary system,Other symptoms/disorders or the urinary system,0.002,0.351,-0.009,0.003,1,1.0,-1.10 <= Other symptoms/disorders or the urinary system < 2.50,101885,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 1 muscle","Non-cancer illness code, self-reported | Array 1__muscle",0.001,0.033,-0.019,0.003,0,1.0,"Non-cancer illness code, self-reported | Array 1__muscle < 0.21",5517,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 2 osteoarthritis","Non-cancer illness code, self-reported | Array 2__osteoarthritis",0.001,0.041,0.018,0.003,0,1.35,"Non-cancer illness code, self-reported | Array 2__osteoarthritis >= 0.50",328,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Mineral and other dietary supplements_Fish oil (including cod liver oil)|Zinc,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Zinc,0.001,0.066,0.016,0.001,3,1.0,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Zinc < 0.50,198234,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Mouth/teeth dental problems_Mouth ulcers|Bleeding gums,Mouth/teeth dental problems_Mouth ulcers|Bleeding gums,0.001,0.013,-0.022,0.002,2,1.01,Mouth/teeth dental problems_Mouth ulcers|Bleeding gums < 0.50,3899,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 2 glaucoma","Non-cancer illness code, self-reported | Array 2__glaucoma",0.001,0.0,0.043,0.0,2,0.99,"Non-cancer illness code, self-reported | Array 2__glaucoma < 0.50",190,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 2 type diabetes","Non-cancer illness code, self-reported | Array 2__type diabetes",0.001,0.0,0.047,0.003,2,0.99,"Non-cancer illness code, self-reported | Array 2__type diabetes < 0.31",1961,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 1 hypertension","Non-cancer illness code, self-reported | Array 1__hypertension",0.001,0.004,0.026,0.002,2,1.35,"Non-cancer illness code, self-reported | Array 1__hypertension >= 0.50",1244,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 3 osteoarthritis","Non-cancer illness code, self-reported | Array 3__osteoarthritis",0.001,0.001,0.029,0.002,0,1.73,"Non-cancer illness code, self-reported | Array 3__osteoarthritis >= 0.50",288,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Overall health rating_Fair,Overall health rating_Fair,0.001,0.0,0.036,0.001,0,1.19,Overall health rating_Fair >= 0.50,3361,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Mouth/teeth dental problems_Mouth ulcers|Dentures,Mouth/teeth dental problems_Mouth ulcers|Dentures,0.001,0.063,0.017,0.003,0,1.38,Mouth/teeth dental problems_Mouth ulcers|Dentures >= 0.50,55846,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 6 problem","Non-cancer illness code, self-reported | Array 6__problem",0.001,0.684,0.004,0.002,0,1.0,"Non-cancer illness code, self-reported | Array 6__problem < 0.50",1973,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Age hay fever, rhinitis or eczema diagnosed_14","Age hay fever, rhinitis or eczema diagnosed_14",0.001,0.03,-0.019,0.001,1,1.0,"Age hay fever, rhinitis or eczema diagnosed_14 < 0.50",3328,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 2 disc","Non-cancer illness code, self-reported | Array 2__disc",0.001,0.044,0.014,0.001,1,1.0,"Non-cancer illness code, self-reported | Array 2__disc < 0.33",349,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Osteoporosis NOS,Osteoporosis NOS,0.001,0.011,0.011,0.001,1,0.99,-0.07 <= Osteoporosis NOS < 6.10,109458,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 4 problem","Non-cancer illness code, self-reported | Array 4__problem",0.001,0.0,0.034,0.003,1,0.99,"Non-cancer illness code, self-reported | Array 4__problem < 0.32",2389,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Age hay fever, rhinitis or eczema diagnosed_None","Age hay fever, rhinitis or eczema diagnosed_None",0.001,0.381,0.008,0.004,1,1.01,"Age hay fever, rhinitis or eczema diagnosed_None >= 0.50",2309,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 3 high cholesterol","Non-cancer illness code, self-reported | Array 3__high cholesterol",0.001,0.016,0.022,0.0,0,1.4,"Non-cancer illness code, self-reported | Array 3__high cholesterol >= 0.29",326,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 4 bowel","Non-cancer illness code, self-reported | Array 4__bowel",0.001,0.001,0.025,0.001,0,1.0,"Non-cancer illness code, self-reported | Array 4__bowel < 0.22",1007,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 3 oesophageal","Non-cancer illness code, self-reported | Array 3__oesophageal",0.001,0.042,-0.018,0.0,0,1.01,"Non-cancer illness code, self-reported | Array 3__oesophageal < 0.14",575,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 2 hypertension","Non-cancer illness code, self-reported | Array 2__hypertension",0.001,0.016,0.022,0.0,1,1.52,"Non-cancer illness code, self-reported | Array 2__hypertension >= 0.50",1095,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 3 pneumonia","Non-cancer illness code, self-reported | Array 3__pneumonia",0.001,0.003,0.026,0.0,1,1.0,"Non-cancer illness code, self-reported | Array 3__pneumonia < 0.50",756,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Age angina diagnosed_56,Age angina diagnosed_56,0.001,0.182,0.012,0.0,1,1.0,Age angina diagnosed_56 < 0.50,1133,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 2 rheumatoid arthritis","Non-cancer illness code, self-reported | Array 2__rheumatoid arthritis",0.001,0.042,-0.018,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 2__rheumatoid arthritis < 0.30",522,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
