feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Ever had surgery for glaucoma or high eye pressure,C0038894,Surgery specialty,Surgery specialty. The branch of medical science that treats disease or injury by operative procedures.,0,0.298,0.0,1.0,0.2,0.0,0.9506,0.0,0.0,Ever had surgery for glaucoma or high eye pressure_Do not know,0.16,0.16,99,12,inf
Ever had surgery for glaucoma or high eye pressure,C0038895,Surgical aspects,"Surgical aspects. Used for operative procedures on organs, regions, or tissues in the treatment of diseases, including tissue section by lasers. It excludes transplantation, for which ""transplantation"" is used.",0,0.347,0.0,1.0,0.2,0.0,0.9506,0.0,0.0,Ever had surgery for glaucoma or high eye pressure_Do not know,0.16,0.16,99,0,0.0
Ever had surgery for glaucoma or high eye pressure,C0017601,Glaucoma,"Glaucoma. An ocular disease, occurring in many forms, having as its primary characteristics an unstable or a sustained increase in the intraocular pressure which the eye cannot withstand without damage to its structure or impairment of its function. The consequences of the increased pressure may be manifested in a variety of symptoms, depending upon type and severity, such as excavation of the optic disk, hardness of the eyeball, corneal anesthesia, reduced visual acuity, seeing of colored halos around lights, disturbed dark adaptation, visual field defects, and headaches. (Dictionary of Visual Science, 4th ed)",0,0.635,0.0,1.0,0.2,0.0,0.9506,0.0,0.0,Ever had surgery for glaucoma or high eye pressure_Do not know,0.16,0.16,2,0,0.0
Ever had surgery for glaucoma or high eye pressure,C0234708,Raised intraocular pressure (finding),Raised intraocular pressure (finding). Increased pressure of the intraocular fluid in the eye.,0,0.592,0.0,1.0,0.2,0.0,0.9506,0.0,0.0,Ever had surgery for glaucoma or high eye pressure_Do not know,0.16,0.16,2,4,0.02
Aphakia and other disorders of lens,C0003534,Aphakia,"Aphakia. Absence of crystalline lens totally or partially from field of vision, from any cause except after cataract extraction. Aphakia is mainly congenital or as result of LENS DISLOCATION AND SUBLUXATION.",0,0.845,0.0,0.0,0.0,0.0001,0.9472,0.002,0.0004,Aphakia and other disorders of lens,0.25,0.34,2,9,0.11
Aphakia and other disorders of lens,C0023317,"Lens, Crystalline","Lens, Crystalline. A transparent, biconvex structure of the EYE, enclosed in a capsule and situated behind the IRIS and in front of the vitreous humor (VITREOUS BODY). It is slightly overlapped at its margin by the ciliary processes. Adaptation by the CILIARY BODY is crucial for OCULAR ACCOMMODATION.",0,0.515,0.0,0.0,0.0,0.0001,0.9472,0.002,0.0004,Aphakia and other disorders of lens,0.25,0.34,2,17,0.01
Aphakia and other disorders of lens,C0023318,Lens (device),Lens (device). Pieces of glass or other transparent materials used for magnification or increased visual acuity.,0,0.591,0.0,0.0,0.0,0.0001,0.9472,0.002,0.0004,Aphakia and other disorders of lens,0.25,0.34,3,25,1.04
Aphakia and other disorders of lens,C0996842,Genus Lens,Genus Lens. ,0,0.495,0.0,0.0,0.0,0.0001,0.9472,0.002,0.0004,Aphakia and other disorders of lens,0.25,0.34,99,14,inf
"Panic attack caused by medical condition, medication, drugs or alcohol Prefer not to answer",C0086769,Panic Attacks,"Panic Attacks. An episode of intense fear accompanied by symptoms such as heart palpitations, sweating and chills or hot flushes, a sensation of dyspnea, chest pain, abdominal distress, depersonalization, fear of going crazy, and fear of dying.",0,0.679,0.0,0.0,0.0,0.0,0.942,-0.0,0.0003,"Panic attack caused by medical condition, medication, drugs or alcohol_Prefer not to answer",-0.12,-0.12,2,0,0.0
"Panic attack caused by medical condition, medication, drugs or alcohol Prefer not to answer",C4745084,Medical Condition,Medical Condition. Any kind of illness or circumstance which requires medical monitoring.,0,0.196,0.0,0.0,0.0,0.0,0.942,-0.0,0.0003,"Panic attack caused by medical condition, medication, drugs or alcohol_Prefer not to answer",-0.12,-0.12,2,12,0.08
Z86.1 - Personal history of infectious and parasitic diseases,C0262926,Medical History,"Medical History. A record of a patient's background regarding health and the occurrence of disease events of the individual. In addition, personal medical history may be a variable in epidemiologic studies.",0,0.304,0.0,0.0,0.0,0.0009,0.9377,0.004,0.0005,Z86.1 - Personal history of infectious and parasitic diseases,0.06,0.06,2,0,0.0
Z86.1 - Personal history of infectious and parasitic diseases,C0424945,Social and personal history,Social and personal history. ,0,0.295,0.0,0.0,0.0,0.0009,0.9377,0.004,0.0005,Z86.1 - Personal history of infectious and parasitic diseases,0.06,0.06,99,22,inf
Z86.1 - Personal history of infectious and parasitic diseases,C0009450,Communicable Diseases,"Communicable Diseases. An illness caused by an infectious agent or its toxins that occurs through the direct or indirect transmission of the infectious agent or its products from an infected individual or via an animal, vector or the inanimate environment to a susceptible animal or human host.",0,0.396,0.0,0.0,0.0,0.0009,0.9377,0.004,0.0005,Z86.1 - Personal history of infectious and parasitic diseases,0.06,0.06,2,0,0.0
Z86.1 - Personal history of infectious and parasitic diseases,C1550587,infectious - Entity Risk,infectious - Entity Risk. <p>Material known to be infectious with human pathogenic microorganisms. Those who handle this material must take precautions for their protection.</p>,0,0.283,0.0,0.0,0.0,0.0009,0.9377,0.004,0.0005,Z86.1 - Personal history of infectious and parasitic diseases,0.06,0.06,99,17,inf
Z86.1 - Personal history of infectious and parasitic diseases,C0030499,Parasitic Diseases,"Parasitic Diseases. Infections or infestations with PARASITES. They are often contracted through contact with an intermediate vector, but may occur as the result of direct exposure.",0,0.307,0.0,0.0,0.0,0.0009,0.9377,0.004,0.0005,Z86.1 - Personal history of infectious and parasitic diseases,0.06,0.06,2,13,0.02
Glaucoma,C0017601,Glaucoma,"Glaucoma. An ocular disease, occurring in many forms, having as its primary characteristics an unstable or a sustained increase in the intraocular pressure which the eye cannot withstand without damage to its structure or impairment of its function. The consequences of the increased pressure may be manifested in a variety of symptoms, depending upon type and severity, such as excavation of the optic disk, hardness of the eyeball, corneal anesthesia, reduced visual acuity, seeing of colored halos around lights, disturbed dark adaptation, visual field defects, and headaches. (Dictionary of Visual Science, 4th ed)",0,0.857,0.0,0.0,0.0,0.0003,0.9346,0.003,0.0001,Glaucoma,0.21,0.31,2,0,0.0
Syncope and collapse,C0039070,Syncope,"Syncope. A transient loss of consciousness and postural tone caused by diminished blood flow to the brain (i.e., BRAIN ISCHEMIA). Presyncope refers to the sensation of lightheadedness and loss of strength that precedes a syncopal event or accompanies an incomplete syncope. (From Adams et al., Principles of Neurology, 6th ed, pp367-9)",0,0.682,0.0,0.0,0.0,0.001,0.931,0.001,0.001,Syncope and collapse,0.04,0.04,2,18,0.03
Syncope and collapse,C3541349,Syncope (amphibian),Syncope (amphibian). ,0,0.662,0.0,0.0,0.0,0.001,0.931,0.001,0.001,Syncope and collapse,0.04,0.04,99,0,0.0
Syncope and collapse,C0036974,Shock,Shock. A pathological condition manifested by failure to perfuse or oxygenate vital organs.,0,0.411,0.0,0.0,0.0,0.001,0.931,0.001,0.001,Syncope and collapse,0.04,0.04,2,2,0.0
Syncope and collapse,C0332521,Collapse (morphologic abnormality),Collapse (morphologic abnormality). ,0,0.403,0.0,0.0,0.0,0.001,0.931,0.001,0.001,Syncope and collapse,0.04,0.04,99,0,0.0
Syncope and collapse,C0344329,Collapse (finding),Collapse (finding). Failure of a physiologic function or system.,0,0.654,0.0,0.0,0.0,0.001,0.931,0.001,0.001,Syncope and collapse,0.04,0.04,2,16,0.73
Thyrotoxicosis with or without goiter,C0040156,Thyrotoxicosis,Thyrotoxicosis. A hypermetabolic syndrome caused by excess THYROID HORMONES which may come from endogenous or exogenous sources. The endogenous source of hormone may be thyroid HYPERPLASIA; THYROID NEOPLASMS; or hormone-producing extrathyroidal tissue. Thyrotoxicosis is characterized by NERVOUSNESS; TACHYCARDIA; FATIGUE; WEIGHT LOSS; heat intolerance; and excessive SWEATING.,0,0.854,0.0,0.0,0.0,0.0001,0.9271,0.0,0.0003,Thyrotoxicosis with or without goiter,0.18,0.18,2,18,0.04
Thyrotoxicosis with or without goiter,C0018021,Goiter,"Goiter. Enlargement of the THYROID GLAND that may increase from about 20 grams to hundreds of grams in human adults. Goiter is observed in individuals with normal thyroid function (euthyroidism), thyroid deficiency (HYPOTHYROIDISM), or hormone overproduction (HYPERTHYROIDISM). Goiter may be congenital or acquired, sporadic or endemic (GOITER, ENDEMIC).",0,0.699,0.0,0.0,0.0,0.0001,0.9271,0.0,0.0003,Thyrotoxicosis with or without goiter,0.18,0.18,2,5,0.01
Ileostomy status,C0260684,Ileostomy status,Ileostomy status. ,0,0.984,0.0,0.0,0.0,0.0,0.9233,-0.0,0.0,Ileostomy status,-0.07,-0.07,99,13,inf
Candidiasis,C0006840,Candidiasis,"Candidiasis. Infection with a fungus of the genus CANDIDA. It is usually a superficial infection of the moist areas of the body and is generally caused by CANDIDA ALBICANS. (Dorland, 27th ed)",0,0.775,0.0,0.0,0.0,0.0001,0.903,0.003,0.0,Candidiasis,0.08,0.08,2,0,0.0
Candidiasis,C0006849,Oral candidiasis,"Oral candidiasis. Infection of the mucous membranes of the mouth by a fungus of the genus CANDIDA. (Dorland, 27th ed)",0,0.649,0.0,0.0,0.0,0.0001,0.903,0.003,0.0,Candidiasis,0.08,0.08,2,5,0.02
Z95.8 - Presence of other cardiac and vascular implants and grafts,C0018787,Heart,"Heart. The hollow, muscular organ that maintains the circulation of the blood.",0,0.396,0.0,0.0,0.0,0.0,0.8965,0.003,0.0003,Z95.8 - Presence of other cardiac and vascular implants and grafts,0.01,0.01,2,13,0.0
Z95.8 - Presence of other cardiac and vascular implants and grafts,C1522601,Cardiac - anatomy qualifier,Cardiac - anatomy qualifier. ,0,0.452,0.0,0.0,0.0,0.0,0.8965,0.003,0.0003,Z95.8 - Presence of other cardiac and vascular implants and grafts,0.01,0.01,3,15,0.2
Z95.8 - Presence of other cardiac and vascular implants and grafts,C0181074,Graft material,"Graft material. Tissues obtained from a donor or produced artificially that are intended to replace a patient's diseased or injured tissue (i.e., grafts). Grafts used in humans may be of biological origin, obtained from the body of the same person (i.e., autograft), from another person (i.e., allograft), or from a different species (i.e., xenografts); of artificial origin, made from synthetic (e.g., Dacron, ceramic) materials; or made from a combination of natural and synthetic materials, including living elements and synthetic materials developed using bioengineering techniques (i.e., bioartificial). Dedicated grafts for particular tissues are available, including bone, skin, blood vessel, tendon, and dura mater.",0,0.34,0.0,0.0,0.0,0.0,0.8965,0.003,0.0003,Z95.8 - Presence of other cardiac and vascular implants and grafts,0.01,0.01,2,26,0.38
Z95.8 - Presence of other cardiac and vascular implants and grafts,C0332835,Transplanted tissue,"Transplanted tissue. Organs, tissues, or cells taken from the body for grafting into another area of the same body or into another individual.",0,0.371,0.0,0.0,0.0,0.0,0.8965,0.003,0.0003,Z95.8 - Presence of other cardiac and vascular implants and grafts,0.01,0.01,2,14,0.01
Z95.8 - Presence of other cardiac and vascular implants and grafts,C1527362,grafting qualifier,grafting qualifier. ,0,0.513,0.0,0.0,0.0,0.0,0.8965,0.003,0.0003,Z95.8 - Presence of other cardiac and vascular implants and grafts,0.01,0.01,99,1,inf
Allergy/adverse effect of penicillin,C0030842,penicillins,"penicillins. A group of antibiotics that contain 6-aminopenicillanic acid with a side chain attached to the 6-amino group. The penicillin nucleus is the chief structural requirement for biological activity. The side-chain structure determines many of the antibacterial and pharmacological characteristics. (Goodman and Gilman's The Pharmacological Basis of Therapeutics, 8th ed, p1065)",0,0.517,0.0,0.0,0.0,0.022,0.8852,0.004,0.0007,Allergy/adverse effect of penicillin,0.04,0.14,2,19,0.03
Allergy/adverse effect of penicillin,C0030827,penicillin G,penicillin G. A penicillin derivative commonly used in the form of its sodium or potassium salts in the treatment of a variety of infections. It is effective against most gram-positive bacteria and against gram-negative cocci. It has also been used as an experimental convulsant because of its actions on GAMMA-AMINOBUTYRIC ACID mediated synaptic transmission.,0,0.433,0.0,0.0,0.0,0.022,0.8852,0.004,0.0007,Allergy/adverse effect of penicillin,0.04,0.14,2,8,0.02
Other symptoms,C0683368,Symptoms aspect,Symptoms aspect. ,0,0.791,0.0,0.0,0.0,0.0007,0.8813,0.002,0.0,Other symptoms,0.14,0.14,99,3,inf
Other symptoms,C1457887,Symptoms,Symptoms. Subjective evidence of disease perceived by the patient.,0,0.739,0.0,0.0,0.0,0.0007,0.8813,0.002,0.0,Other symptoms,0.14,0.14,2,0,0.0
Sebaceous cyst,C0014511,Epithelial cyst,"Epithelial cyst. Intradermal or subcutaneous saclike structure, the wall of which is stratified epithelium containing keratohyalin granules.",0,0.835,0.0,0.0,0.0,0.0001,0.881,-0.0,0.0,Sebaceous cyst,0.07,0.07,2,15,0.04
"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag Below limit of quantification",C0008377,cholesterol,"cholesterol. The principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.",0,0.337,0.0,0.0,0.0,0.0,0.8806,-0.0,0.0008,"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag_Below limit of quantification",-0.0,0.19,2,12,0.0
"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag Below limit of quantification",C0008387,Cholesterol Esters,Cholesterol Esters. Fatty acid esters of cholesterol which constitute about two-thirds of the cholesterol in the plasma. The accumulation of cholesterol esters in the arterial intima is a characteristic feature of atherosclerosis.,0,0.331,0.0,0.0,0.0,0.0,0.8806,-0.0,0.0008,"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag_Below limit of quantification",-0.0,0.19,2,21,0.03
"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag Below limit of quantification",C0023779,Lipids,"Lipids. A generic term for fats and lipoids, the alcohol-ether-soluble constituents of protoplasm, which are insoluble in water. They comprise the fats, fatty oils, essential oils, waxes, phospholipids, glycolipids, sulfolipids, aminolipids, chromolipids (lipochromes), and fatty acids. (Grant & Hackh's Chemical Dictionary, 5th ed)",0,0.215,0.0,0.0,0.0,0.0,0.8806,-0.0,0.0008,"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag_Below limit of quantification",-0.0,0.19,2,2,0.0
"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag Below limit of quantification",C0523744,Lipids measurement,"Lipids measurement. A quantitative measurement of the amount of lipids (cholesterol, lipoproteins, and triglycerides) present in a sample.",0,0.344,0.0,0.0,0.0,0.0,0.8806,-0.0,0.0008,"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag_Below limit of quantification",-0.0,0.19,3,14,1.75
"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag Below limit of quantification",C0008731,Chylomicrons,Chylomicrons. A class of lipoproteins that carry dietary CHOLESTEROL and TRIGLYCERIDES from the SMALL INTESTINE to the tissues. Their density (0.93-1.006 g/ml) is the same as that of VERY-LOW-DENSITY LIPOPROTEINS.,0,0.404,0.0,0.0,0.0,0.0,0.8806,-0.0,0.0008,"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag_Below limit of quantification",-0.0,0.19,2,11,0.04
"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag Below limit of quantification",C1325761,chylomicron location,"chylomicron location. A large lipoprotein particle (diameter 75-1200 nm) composed of a central core of triglycerides and cholesterol surrounded by a protein-phospholipid coating. The proteins include one molecule of apolipoprotein B-48 and may include a variety of apolipoproteins, including APOAs, APOCs and APOE. Chylomicrons are found in blood or lymph and carry lipids from the intestines into other body tissues. [GOC:jl, GOC:rl, PMID:10580165]",0,0.37,0.0,0.0,0.0,0.0,0.8806,-0.0,0.0008,"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag_Below limit of quantification",-0.0,0.19,99,2,inf
"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag Below limit of quantification",C0023825,Very low density lipoprotein,"Very low density lipoprotein. A class of lipoproteins of very light (0.93-1.006 g/ml) large size (30-80 nm) particles with a core composed mainly of TRIGLYCERIDES and a surface monolayer of PHOSPHOLIPIDS and CHOLESTEROL into which are imbedded the apolipoproteins B, E, and C. VLDL facilitates the transport of endogenously made triglycerides to extrahepatic tissues. As triglycerides and Apo C are removed, VLDL is converted to INTERMEDIATE-DENSITY LIPOPROTEINS, then to LOW-DENSITY LIPOPROTEINS from which cholesterol is delivered to the extrahepatic tissues.",0,0.494,0.0,0.0,0.0,0.0,0.8806,-0.0,0.0008,"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag_Below limit of quantification",-0.0,0.19,2,14,0.03
"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag Below limit of quantification",C1419183,QPCT gene,QPCT gene. This gene is involved in protein modification.,0,0.36,0.0,0.0,0.0,0.0,0.8806,-0.0,0.0008,"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag_Below limit of quantification",-0.0,0.19,99,23,inf
"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag Below limit of quantification",C3538813,"QPCT wt Allele, Human","QPCT wt Allele, Human. Human QPCT wild-type allele is located in the vicinity of 2p22.2 and is approximately 29 kb in length. This allele, which encodes glutaminyl-peptide cyclotransferase protein, plays a role in the post-translational protein modification.",0,0.264,0.0,0.0,0.0,0.0,0.8806,-0.0,0.0008,"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag_Below limit of quantification",-0.0,0.19,2,1,0.04
"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag Below limit of quantification",C5441616,"QPCT protein, human","QPCT protein, human. Glutaminyl-peptide cyclotransferase (361 aa, ~41 kDa) is encoded by the human QPCT gene. This protein is involved in the synthesis of cyclic glutamyl peptides.",0,0.304,0.0,0.0,0.0,0.0,0.8806,-0.0,0.0008,"Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag_Below limit of quantification",-0.0,0.19,99,28,inf
Birth weight known,C0005612,Birth Weight,Birth Weight. The mass or quantity of heaviness of an individual at BIRTH. It is expressed by units of pounds or kilograms.,0,0.782,0.0,0.0,0.0,0.0,0.879,0.0,0.0,Birth weight known_None,-0.03,-0.03,2,11,0.04
Birth weight known,C0024032,Low Birth Weights,Low Birth Weights. A birth weight that is less than 2500 grams.,0,0.667,0.0,0.0,0.0,0.0,0.879,0.0,0.0,Birth weight known_None,-0.03,-0.03,2,24,0.04
(LDL SF) low density lipoprotein cholesterol genetic risk,C0023824,LDL Cholesterol Lipoproteins,"LDL Cholesterol Lipoproteins. Cholesterol which is contained in or bound to low density lipoproteins (LDL), including CHOLESTEROL ESTERS and free cholesterol.",0,0.541,0.0,0.0,0.0,0.008,0.8605,0.001,0.0003,(LDL_SF) low density lipoprotein cholesterol genetic risk,0.1,0.2,2,0,0.0
(LDL SF) low density lipoprotein cholesterol genetic risk,C0023826,Very low density lipoprotein cholesterol,"Very low density lipoprotein cholesterol. Cholesterol which is contained in or bound to very low density lipoproteins (VLDL). High circulating levels of VLDL cholesterol are found in HYPERLIPOPROTEINEMIA TYPE IIB. The cholesterol on the VLDL is eventually delivered by LOW-DENSITY LIPOPROTEINS to the tissues after the catabolism of VLDL to INTERMEDIATE-DENSITY LIPOPROTEINS, then to LDL.",0,0.673,0.0,0.0,0.0,0.008,0.8605,0.001,0.0003,(LDL_SF) low density lipoprotein cholesterol genetic risk,0.1,0.2,2,20,0.22
(LDL SF) low density lipoprotein cholesterol genetic risk,C0202117,Low density lipoprotein cholesterol measurement,Low density lipoprotein cholesterol measurement. The determination of the amount of low-density lipoprotein cholesterol present in a sample.,0,0.635,0.0,0.0,0.0,0.008,0.8605,0.001,0.0003,(LDL_SF) low density lipoprotein cholesterol genetic risk,0.1,0.2,2,3,0.05
(LDL SF) low density lipoprotein cholesterol genetic risk,C1517512,Genetic Risk,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.728,0.0,0.0,0.0,0.008,0.8605,0.001,0.0003,(LDL_SF) low density lipoprotein cholesterol genetic risk,0.1,0.2,3,23,5.75
Disorders of lacrimal system,C0022903,Lacrimal Apparatus,"Lacrimal Apparatus. The tear-forming and tear-conducting system which includes the lacrimal glands, eyelid margins, conjunctival sac, and the tear drainage system.",0,0.76,0.0,0.0,0.0,0.0011,0.8545,0.002,0.0003,Disorders of lacrimal system,0.26,0.26,2,3,0.04
"Disorders of uterus, NEC",C0042131,Uterine Diseases,Uterine Diseases. Pathological processes involving any part of the UTERUS.,0,0.943,0.0,0.0,0.0,0.0001,0.8535,-0.002,0.0,"Disorders of uterus, NEC",0.21,0.21,2,10,0.12
Ongoing addiction or dependence on illicit or recreational drugs,C0085281,Addictive Behavior,"Addictive Behavior. The observable, measurable, and often pathological activity of an organism that portrays its inability to overcome a habit resulting in an insatiable craving for a substance or for performing certain acts. The addictive behavior includes the emotional and physical overdependence on the object of habit in increasing amount or frequency.",0,0.655,0.0,0.0,0.0,0.0,0.852,-0.0,0.0,Ongoing addiction or dependence on illicit or recreational drugs_No,0.16,0.18,2,0,0.0
Ongoing addiction or dependence on illicit or recreational drugs,C0332266,Illicit,Illicit. ,0,0.321,0.0,0.0,0.0,0.0,0.852,-0.0,0.0,Ongoing addiction or dependence on illicit or recreational drugs_No,0.16,0.18,99,1,inf
