feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,shortest_path_length,simple_path_length,Novel/Interesting?,Makes Sense?,COMMENTS
SHBG,SHBG,0.01,0,-0.015,0,0,1.34,#NAME?,2252,(Cholelithiasis) OR (Gallbladder disease),0.518,99,0,,,
VTE venous thromboembolic disease genetic risk,(VTE) venous thromboembolic disease genetic risk,0.009,0.002,0.007,0.001,0,1.06,#NAME?,1242,(Cholelithiasis) OR (Gallbladder disease),0.361,2,0,,,
BD bipolar disorder genetic risk,(BD) bipolar disorder genetic risk,0.009,0.009,-0.007,0,0,1.03,(BD) bipolar disorder genetic risk < 0.05,1008,(Cholelithiasis) OR (Gallbladder disease),0.204,99,69,,,
Vitamin D,Vitamin D,0.008,0,-0.023,0.001,0,1.3,#NAME?,9312,(Cholelithiasis) OR (Gallbladder disease),0.567,99,28,,,
Other serious medical condition disability diagnosed by doctor,Other serious medical condition/disability diagnosed by doctor_No,0.007,0,-0.036,0.035,0,1.19,Other serious medical condition/disability diagnosed by doctor_No < 0.50,43,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Salt added to food Never/rarely,Salt added to food_Never/rarely,0.007,0,-0.014,0.027,0,1.05,Salt added to food_Never/rarely < 0.50,3031,(Cholelithiasis) OR (Gallbladder disease),0.245,99,55,,,
medication atorvastatin,Treatment/medication code | Array 0__atorvastatin,0.006,0.002,-0.007,0.002,0,1,Treatment/medication code | Array 0__atorvastatin < 0.50,5465,(Cholelithiasis) OR (Gallbladder disease),0.885,2,77,,,
(AMD) age-related macular degeneration genetic risk,(AMD) age-related macular degeneration genetic risk,0.006,0.006,0.006,0,0,1.22,#NAME?,2424,(Cholelithiasis) OR (Gallbladder disease),0.415,2,23,,,
Fed up feelings,Fed-up feelings_No,0.005,0,-0.028,0.03,0,1.1,Fed-up feelings_No < 0.50,101,(Cholelithiasis) OR (Gallbladder disease),0.412,2,24,,,
"Never eat eggs, dairy, wheat, sugar Sugar or foods/drinks containing sugar","Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar",0.005,0.167,-0.003,0.002,0,1,"Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar < 0.50",5672,(Cholelithiasis) OR (Gallbladder disease),0.365,99,2,,,
EBMDT estimated bone mineral density t score genetic risk,(EBMDT) estimated bone mineral density t-score genetic risk,0.005,0.028,-0.005,0.001,0,1.26,#NAME?,59,(Cholelithiasis) OR (Gallbladder disease),0.502,99,266,,,
Leg pain on walking,Leg pain on walking_None,0.004,0,0.01,0.032,0,1.02,Leg pain on walking_None >= 0.50,2125,(Cholelithiasis) OR (Gallbladder disease),0.754,2,0,,,
EOC epithelial ovarian cancer genetic risk,(EOC) epithelial ovarian cancer genetic risk,0.004,0.039,-0.005,0.001,0,1.3,0.50 <= (EOC) epithelial ovarian cancer genetic risk < 0.50,344,(Cholelithiasis) OR (Gallbladder disease),0.688,2,0,,,
SCZ schizophrenia genetic risk,(SCZ) schizophrenia genetic risk,0.004,0.145,-0.003,0,0,1.07,(SCZ) schizophrenia genetic risk < -3.40,808,(Cholelithiasis) OR (Gallbladder disease),0.402,2,134,,,
Pulse wave reflection index,Pulse wave reflection index,0.004,0.081,-0.011,0,0,1.19,#NAME?,1732,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Cochlear implant,Cochlear implant_None,0.003,0,0.01,0.032,0,1.02,Cochlear implant_None >= 0.50,22633,(Cholelithiasis) OR (Gallbladder disease),0.909,2,3,,,
Standing height,Standing height,0.003,0,-0.022,0.002,0,1.11,Standing height < -0.99,6392,(Cholelithiasis) OR (Gallbladder disease),0.981,99,26,,,
PSO psoriasis genetic risk,(PSO) psoriasis genetic risk,0.003,0.163,0.003,0.001,0,1.75,#NAME?,49,(Cholelithiasis) OR (Gallbladder disease),0.623,3,65,,,
MEL melanoma genetic risk,(MEL) melanoma genetic risk,0.003,0.682,-0.001,0.001,0,1.25,(MEL) melanoma genetic risk < -2.50,21,(Cholelithiasis) OR (Gallbladder disease),0.277,2,0,,,
Average Diameter for HDL Particles,Average Diameter for HDL Particles,0.003,0,-0.018,0.001,0,1.54,#NAME?,50,(Cholelithiasis) OR (Gallbladder disease),0.455,2,0,,,
Started insulin within one year diagnosis of diabetes,Started insulin within one year diagnosis of diabetes_No,0.003,0,0.012,0,0,1.15,Started insulin within one year diagnosis of diabetes_No >= 0.50,202,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
POAG primary open angle glaucoma genetic risk,(POAG) primary open angle glaucoma genetic risk,0.003,0.168,-0.002,0,0,1.34,1.80 <= (POAG) primary open angle glaucoma genetic risk < 1.80,926,(Cholelithiasis) OR (Gallbladder disease),0.612,2,6,,,
Home area population density  urban or rural England Wales  Village  less sparse,Home area population density - urban or rural_England/Wales - Village - less sparse,0.003,0,-0.014,0,0,1.01,Home area population density - urban or rural_England/Wales - Village - less sparse < 0.50,277,(Cholelithiasis) OR (Gallbladder disease),0.236,2,170,,,
HBA1C DF glycated haemoglobin genetic risk,(HBA1C_DF) glycated haemoglobin genetic risk,0.003,0.162,0.003,0,0,1.54,(HBA1C_DF) glycated haemoglobin genetic risk >= 3.30,41,(Cholelithiasis) OR (Gallbladder disease),0.525,2,0,,,
(HT) hypertension genetic risk,(HT) hypertension genetic risk,0.003,0.002,0.007,0,0,1.02,(HT) hypertension genetic risk >= -0.65,4066,(Cholelithiasis) OR (Gallbladder disease),0.622,2,71,,,
Surgery on leg arteries other than for varicose veins,Surgery on leg arteries (other than for varicose veins)_No,0.002,0,0.009,0.001,0,1.09,Surgery on leg arteries (other than for varicose veins)_No >= 0.50,41,(Cholelithiasis) OR (Gallbladder disease),0.418,99,118,,,
OP osteoporosis genetic risk,(OP) osteoporosis genetic risk,0.002,0.775,0.001,0.001,0,1.44,#NAME?,192,(Cholelithiasis) OR (Gallbladder disease),0.529,2,0,,,
Date of all cause dementia report,Date of all cause dementia report,0.002,0,-0.022,0.001,0,8.2,Date of all cause dementia report < -7.40,837,(Cholelithiasis) OR (Gallbladder disease),0.161,99,99,,,
Concentration of Very Large HDL Particles,Concentration of Very Large HDL Particles,0.002,0,-0.019,0.001,0,1.11,Concentration of Very Large HDL Particles < -0.27,750,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Concentration of Large VLDL Particles,Concentration of Large VLDL Particles,0.002,0,0.015,0.001,0,1.46,1.10 <= Concentration of Large VLDL Particles < 1.40,390,(Cholelithiasis) OR (Gallbladder disease),0.182,2,228,,,
Concentration of Chylomicrons and Extremely Large VLDL Particles,Concentration of Chylomicrons and Extremely Large VLDL Particles,0.002,0,0.016,0.001,0,1.96,0.20 <= Concentration of Chylomicrons and Extremely Large VLDL Particles < 0.22,124,(Cholelithiasis) OR (Gallbladder disease),0.62,99,115,,,
medication 10mg capsule,Treatment/medication code | Array 0__10mg capsule,0.002,0,0.01,0,0,1.81,Treatment/medication code | Array 0__10mg capsule >= 0.36,64,(Cholelithiasis) OR (Gallbladder disease),0.197,2,267,,,
Qualifications College or University degree Other professional qualifications eg nursing teaching,"Qualifications_College or University degree|Other professional qualifications eg: nursing, teaching",0.002,0,-0.013,0,0,1.01,"Qualifications_College or University degree|Other professional qualifications eg: nursing, teaching < 0.50",2734,(Cholelithiasis) OR (Gallbladder disease),0.425,3,317,,,
IOP intraocular pressure genetic risk,(IOP) intraocular pressure genetic risk,0.002,0.713,0.001,0,0,1.01,#NAME?,865,(Cholelithiasis) OR (Gallbladder disease),0.55,2,200,,,
Home area population density  urban or rural England Wales  Urban  less sparse,Home area population density - urban or rural_England/Wales - Urban - less sparse,0.001,0.021,0.005,0.034,0,1.01,Home area population density - urban or rural_England/Wales - Urban - less sparse >= 0.50,277,(Cholelithiasis) OR (Gallbladder disease),0.229,2,170,,,
Variation in diet Sometimes,Variation in diet_Sometimes,0.001,0.001,0.008,0.03,0,1.02,Variation in diet_Sometimes >= 0.50,109,(Cholelithiasis) OR (Gallbladder disease),0.242,99,1,,,
Hearing difficulty problems,Hearing difficulty/problems_Yes,0.001,0.006,0.006,0.008,0,1.03,Hearing difficulty/problems_Yes >= 0.50,1258,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Skin colour Light olive,Skin colour_Light olive,0.001,0.104,-0.004,0.002,0,1.01,Skin colour_Light olive < 0.50,24,(Cholelithiasis) OR (Gallbladder disease),0.631,2,16,,,
Skin colour Black,Skin colour_Black,0.001,0,-0.014,0.001,0,1,Skin colour_Black < 0.50,2174,(Cholelithiasis) OR (Gallbladder disease),0.671,2,16,,,
Frequency of friend family visits Almost daily,Frequency of friend/family visits_Almost daily,0.001,0,0.016,0.001,0,1.13,Frequency of friend/family visits_Almost daily >= 0.50,50,(Cholelithiasis) OR (Gallbladder disease),0.712,99,0,,,
Alcohol drinker status Never,Alcohol drinker status_Never,0.001,0,0.017,0.001,0,1.23,Alcohol drinker status_Never >= 0.50,248,(Cholelithiasis) OR (Gallbladder disease),0.764,2,169,,,
Other diseases of respiratory system NEC,"Other diseases of respiratory system, NEC",0.001,0.023,0.007,0,0,1.57,"2.90 <= Other diseases of respiratory system, NEC < 4.60",36,(Cholelithiasis) OR (Gallbladder disease),0.353,2,238,,,
Hypothyroidism NOS,Hypothyroidism NOS,0.001,0.14,0.005,0,0,1.48,Hypothyroidism NOS >= 5.70,57,(Cholelithiasis) OR (Gallbladder disease),0.705,2,155,,,
Concentration of VLDL Particles,Concentration of VLDL Particles,0.001,0,0.007,0,0,1.42,3.80 <= Concentration of VLDL Particles < 4.40,1409,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Concentration of IDL Particles,Concentration of IDL Particles,0.001,0.074,-0.002,0,0,2.12,4.80 <= Concentration of IDL Particles < 4.90,301,(Cholelithiasis) OR (Gallbladder disease),0.152,2,0,,,
(AF) atrial fibrillation genetic risk,(AF) atrial fibrillation genetic risk,0.001,0.098,0.003,0,0,1.83,#NAME?,80,(Cholelithiasis) OR (Gallbladder disease),0.184,3,9,,,
Bipolar disorder status,Bipolar disorder status_None,0,0.004,-0.007,0.048,0,1.36,Bipolar disorder status_None < 0.50,8935,(Cholelithiasis) OR (Gallbladder disease),0.746,2,0,,,
Frequency of depressed mood in last 2 weeks Not at all,Frequency of depressed mood in last 2 weeks_Not at all,0,0,-0.023,0.034,0,1.11,Frequency of depressed mood in last 2 weeks_Not at all < 0.50,39,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Bipolar and major depression status,Bipolar and major depression status_None,0,0,0.011,0.034,0,1.02,Bipolar and major depression status_None >= 0.50,4103,(Cholelithiasis) OR (Gallbladder disease),0.688,3,131,,,
"Never eat eggs, dairy, wheat, sugar I eat all of the above","Never eat eggs, dairy, wheat, sugar_I eat all of the above",0,0.002,-0.007,0.033,0,1.04,"Never eat eggs, dairy, wheat, sugar_I eat all of the above < 0.50",5672,(Cholelithiasis) OR (Gallbladder disease),0.369,99,2,,,
Mood swings,Mood swings_No,0,0,-0.023,0.027,0,1.07,Mood swings_No < 0.50,1677,(Cholelithiasis) OR (Gallbladder disease),0.823,2,0,,,
Alcohol drinker status Current,Alcohol drinker status_Current,0,0,-0.026,0.027,0,1.26,Alcohol drinker status_Current < 0.50,716,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Oily fish intake Once a week,Oily fish intake_Once a week,0,0,-0.011,0.016,0,1.03,Oily fish intake_Once a week < 0.50,44,(Cholelithiasis) OR (Gallbladder disease),0.617,2,230,,,
Stiffness method Direct entry,Stiffness method_Direct entry,0,0,-0.01,0.01,0,1.02,Stiffness method_Direct entry < 0.50,24,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
hypertension,"Non-cancer illness code, self-reported | Array 0__hypertension",0,0,0.009,0.009,0,1.35,"0.18 <= Non-cancer illness code, self-reported | Array 0__hypertension < 0.61",4066,(Cholelithiasis) OR (Gallbladder disease),0.622,2,71,,,
Vascular heart problems diagnosed by doctor High blood pressure,Vascular/heart problems diagnosed by doctor_High blood pressure,0,0,0.009,0.007,0,1.04,Vascular/heart problems diagnosed by doctor_High blood pressure >= 0.50,27,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Doctor diagnosed asbestosis,Doctor diagnosed asbestosis_No,0,0,-0.016,0.005,0,1.03,Doctor diagnosed asbestosis_No < 0.50,68,(Cholelithiasis) OR (Gallbladder disease),0.584,2,6,,,
Doctor diagnosed alpha 1 antitrypsin deficiency,Doctor diagnosed alpha-1 antitrypsin deficiency_No,0,0,-0.016,0.005,0,1.03,Doctor diagnosed alpha-1 antitrypsin deficiency_No < 0.50,106,(Cholelithiasis) OR (Gallbladder disease),0.685,2,283,,,
Hot drink temperature Warm,Hot drink temperature_Warm,0,0,0.01,0.004,0,1.08,Hot drink temperature_Warm >= 0.50,129,(Cholelithiasis) OR (Gallbladder disease),0.849,99,77,,,
Hot drink temperature Very hot,Hot drink temperature_Very hot,0,0.016,-0.006,0.004,0,1.01,Hot drink temperature_Very hot < 0.50,1605,(Cholelithiasis) OR (Gallbladder disease),0.782,99,77,,,
Health satisfaction Moderately happy,Health satisfaction_Moderately happy,0,0.022,-0.005,0.003,0,1.01,Health satisfaction_Moderately happy < 0.50,207,(Cholelithiasis) OR (Gallbladder disease),0.518,2,37,,,
medication amlodipine,Treatment/medication code | Array 0__amlodipine,0,0.002,0.007,0.002,0,1.1,Treatment/medication code | Array 0__amlodipine >= 0.50,3224,(Cholelithiasis) OR (Gallbladder disease),0.897,2,0,,,
Salt added to food Usually,Salt added to food_Usually,0,0.002,0.007,0.002,0,1.06,Salt added to food_Usually >= 0.50,56,(Cholelithiasis) OR (Gallbladder disease),0.472,2,74,,,
Myopia diagnosis non myopic,Myopia diagnosis_non-myopic,0,0.001,-0.008,0.002,0,1.01,Myopia diagnosis_non-myopic < 0.50,6538,(Cholelithiasis) OR (Gallbladder disease),0.616,2,0,,,
Average Diameter for VLDL Particles,Average Diameter for VLDL Particles,0,0,0.017,0.002,0,1.14,0.17 <= Average Diameter for VLDL Particles < 3.30,27,(Cholelithiasis) OR (Gallbladder disease),0.421,2,0,,,
ureter,"Non-cancer illness code, self-reported | Array 1__ureter",0,0.008,0.006,0.001,0,1.39,"Non-cancer illness code, self-reported | Array 1__ureter >= 0.12",21,(Cholelithiasis) OR (Gallbladder disease),0.776,99,253,,,
soft tissue,"Non-cancer illness code, self-reported | Array 5__soft tissue",0,0.03,0.005,0.001,0,1.22,"0.19 <= Non-cancer illness code, self-reported | Array 5__soft tissue < 0.37",57,(Cholelithiasis) OR (Gallbladder disease),0.547,99,0,,,
medication gaviscon,Treatment/medication code | Array 0__gaviscon,0,0.012,0.006,0.001,0,1.47,Treatment/medication code | Array 0__gaviscon >= 0.29,2812,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication elleste duet,Treatment/medication code | Array 0__elleste duet,0,0.007,0.006,0.001,0,1.59,Treatment/medication code | Array 0__elleste duet >= 0.21,200,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication chondroitin product,Treatment/medication code | Array 0__chondroitin product,0,0.014,-0.006,0.001,0,1,Treatment/medication code | Array 0__chondroitin product < 0.31,836,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication 5mg capsule,Treatment/medication code | Array 0__5mg capsule,0,0.006,0.006,0.001,0,1.37,Treatment/medication code | Array 0__5mg capsule >= 0.48,74,(Cholelithiasis) OR (Gallbladder disease),0.225,2,267,,,
head,"Non-cancer illness code, self-reported | Array 3__head",0,0.024,0.005,0.001,0,1.67,"Non-cancer illness code, self-reported | Array 3__head >= 0.36",5429,(Cholelithiasis) OR (Gallbladder disease),0.486,99,38,,,
food,"Non-cancer illness code, self-reported | Array 5__food",0,0.036,0.004,0.001,0,1,"Non-cancer illness code, self-reported | Array 5__food < 0.21",3031,(Cholelithiasis) OR (Gallbladder disease),0.533,99,55,,,
Time spend outdoors in summer,Time spend outdoors in summer_Do not know,0,0,0.011,0.001,0,1.13,Time spend outdoors in summer_Do not know >= 0.50,108,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Other open wound of head and face,Other open wound of head and face,0,0.047,0.004,0.001,0,1.8,0.32 <= Other open wound of head and face < 1.80,107,(Cholelithiasis) OR (Gallbladder disease),0.539,2,328,,,
"Never eat eggs, dairy, wheat, sugar Eggs or foods containing eggs|Dairy products","Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs|Dairy products",0,0.037,0.005,0.001,0,1.33,"Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs|Dairy products >= 0.50",5672,(Cholelithiasis) OR (Gallbladder disease),0.404,99,2,,,
Mineral and other dietary supplements Zinc Selenium,Mineral and other dietary supplements_Zinc|Selenium,0,0.034,0.005,0.001,0,1.53,Mineral and other dietary supplements_Zinc|Selenium >= 0.50,108,(Cholelithiasis) OR (Gallbladder disease),0.275,2,46,,,
Mineral and other dietary supplements Fish oil (including cod liver oil)|Glucosamine|Calcium|Zinc|Selenium,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Calcium|Zinc|Selenium,0,0.021,0.005,0.001,0,1.54,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Calcium|Zinc|Selenium >= 0.50,1113,(Cholelithiasis) OR (Gallbladder disease),0.444,99,100,,,
Health satisfaction Very unhappy,Health satisfaction_Very unhappy,0,0,0.012,0.001,0,1.34,Health satisfaction_Very unhappy >= 0.50,449,(Cholelithiasis) OR (Gallbladder disease),0.547,99,0,,,
Health satisfaction Moderately unhappy,Health satisfaction_Moderately unhappy,0,0,0.01,0.001,0,1.16,Health satisfaction_Moderately unhappy >= 0.50,26,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Frequency of depressed mood in last 2 weeks,Frequency of depressed mood in last 2 weeks_Do not know,0,0,0.011,0.001,0,1.16,Frequency of depressed mood in last 2 weeks_Do not know >= 0.50,62,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Eye problems disorders Diabetes related eye disease Cataract,Eye problems/disorders_Diabetes related eye disease|Cataract,0,0.002,0.007,0.001,0,1.55,Eye problems/disorders_Diabetes related eye disease|Cataract >= 0.50,56,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Bipolar and major depression status Bipolar I Disorder,Bipolar and major depression status_Bipolar I Disorder,0,0.004,0.007,0.001,0,1.5,Bipolar and major depression status_Bipolar I Disorder >= 0.50,4100,(Cholelithiasis) OR (Gallbladder disease),0.607,3,131,,,
Age angina diagnosed infrequent,Age angina diagnosed_infrequent_,0,0.026,0.005,0.001,0,1.58,Age angina diagnosed_infrequent_ >= 0.50,38,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
wrist,"Non-cancer illness code, self-reported | Array 3__wrist",0,0.032,-0.005,0,0,1,"Non-cancer illness code, self-reported | Array 3__wrist < 0.26",20945,(Cholelithiasis) OR (Gallbladder disease),0.484,2,185,,,
spine,"Non-cancer illness code, self-reported | Array 4__spine",0,0,0.008,0,0,1.79,"Non-cancer illness code, self-reported | Array 4__spine >= 0.23",20370,(Cholelithiasis) OR (Gallbladder disease),0.424,99,0,,,
non UK origin Country of Birth united,(non-UK origin) Country of Birth__united,0,0.167,-0.003,0,0,1,(non-UK origin) Country of Birth__united < 0.29,52,(Cholelithiasis) OR (Gallbladder disease),0.688,2,77,,,
nasal,"Non-cancer illness code, self-reported | Array 2__nasal",0,0.049,-0.004,0,0,1,"Non-cancer illness code, self-reported | Array 2__nasal < 0.29",6601,(Cholelithiasis) OR (Gallbladder disease),0.646,99,4,,,
medication oil capsule,Treatment/medication code | Array 0__oil capsule,0,0.004,-0.007,0,0,1,Treatment/medication code | Array 0__oil capsule < 0.19,1852,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication lansoprazole,Treatment/medication code | Array 0__lansoprazole,0,0,0.009,0,0,1.31,Treatment/medication code | Array 0__lansoprazole >= 0.50,1273,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication glucosamine product,Treatment/medication code | Array 0__glucosamine product,0,0,-0.008,0,0,1,Treatment/medication code | Array 0__glucosamine product < 0.31,746,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication gaviscon liquid,Treatment/medication code | Array 0__gaviscon liquid,0,0.012,0.006,0,0,1.47,Treatment/medication code | Array 0__gaviscon liquid >= 0.29,155,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication duet,Treatment/medication code | Array 0__duet,0,0.007,0.006,0,0,1.59,Treatment/medication code | Array 0__duet >= 0.21,200,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication d3 5g,Treatment/medication code | Array 0__d3 5g,0,0.013,0.006,0,0,1.21,Treatment/medication code | Array 0__d3 5g >= 0.16,75,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication conti tablet,Treatment/medication code | Array 0__conti tablet,0,0.007,0.006,0,0,1.59,Treatment/medication code | Array 0__conti tablet >= 0.21,588,(Cholelithiasis) OR (Gallbladder disease),0.43,99,3,,,
medication citalopram,Treatment/medication code | Array 0__citalopram,0,0.017,0.005,0,0,1.17,Treatment/medication code | Array 0__citalopram >= 0.50,3921,(Cholelithiasis) OR (Gallbladder disease),0.791,2,6,,,
medication chewable tablet,Treatment/medication code | Array 0__chewable tablet,0,0.048,0.005,0,0,1.26,0.32 <= Treatment/medication code | Array 0__chewable tablet < 0.37,394,(Cholelithiasis) OR (Gallbladder disease),0.519,2,104,,,
medication betahistine,Treatment/medication code | Array 0__betahistine,0,0.046,0.005,0,0,1.35,Treatment/medication code | Array 0__betahistine >= 0.50,287,(Cholelithiasis) OR (Gallbladder disease),0.769,2,295,,,
medication bendroflumethiazide,Treatment/medication code | Array 0__bendroflumethiazide,0,0.04,0.005,0,0,1.09,Treatment/medication code | Array 0__bendroflumethiazide >= 0.84,224,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication atenolol,Treatment/medication code | Array 0__atenolol,0,0,0.008,0,0,1.2,Treatment/medication code | Array 0__atenolol >= 0.87,2683,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication arthrotec tablet,Treatment/medication code | Array 0__arthrotec tablet,0,0.007,0.006,0,0,1.51,Treatment/medication code | Array 0__arthrotec tablet >= 0.34,787,(Cholelithiasis) OR (Gallbladder disease),0.391,2,104,,,
medication 60 tablet,Treatment/medication code | Array 0__60 tablet,0,0.037,0.005,0,0,1.43,Treatment/medication code | Array 0__60 tablet >= 0.25,588,(Cholelithiasis) OR (Gallbladder disease),0.378,99,3,,,
eyelid problem,"Non-cancer illness code, self-reported | Array 3__eyelid problem",0,0.02,0.005,0,0,1.47,"Non-cancer illness code, self-reported | Array 3__eyelid problem >= 0.24",1690,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
disc slipped,"Non-cancer illness code, self-reported | Array 6__disc slipped",0,0,0.008,0,0,1,"Non-cancer illness code, self-reported | Array 6__disc slipped < 0.17",190,(Cholelithiasis) OR (Gallbladder disease),0.729,2,88,,,
disc,"Non-cancer illness code, self-reported | Array 0__disc",0,0.046,0.004,0,0,1.19,"0.33 <= Non-cancer illness code, self-reported | Array 0__disc < 0.72",332,(Cholelithiasis) OR (Gallbladder disease),0.622,99,4,,,
airways,"Non-cancer illness code, self-reported | Array 2__airways",0,0.045,0.005,0,0,1.44,"Non-cancer illness code, self-reported | Array 2__airways >= 0.17",13112,(Cholelithiasis) OR (Gallbladder disease),0.57,2,0,,,
Z37.0 - Single live birth,Z37.0 - Single live birth,0,0.008,-0.006,0,0,1.33,#NAME?,4232,(Cholelithiasis) OR (Gallbladder disease),0.783,2,169,,,
Urinary incontinence,Urinary incontinence,0,0.024,0.004,0,0,1.68,Urinary incontinence >= 7.80,5170,(Cholelithiasis) OR (Gallbladder disease),0.834,2,9,,,
Tachycardia NOS,Tachycardia NOS,0,0.007,0.006,0,0,1.78,9.70 <= Tachycardia NOS < 13.00,69,(Cholelithiasis) OR (Gallbladder disease),0.755,2,0,,,
Skin colour Brown,Skin colour_Brown,0,0,-0.009,0,0,1.01,Skin colour_Brown < 0.50,1267,(Cholelithiasis) OR (Gallbladder disease),0.671,2,16,,,
Salt added to food Always,Salt added to food_Always,0,0,0.015,0,0,1.2,Salt added to food_Always >= 0.50,3031,(Cholelithiasis) OR (Gallbladder disease),0.269,99,55,,,
Rash and other nonspecific skin eruption,Rash and other nonspecific skin eruption,0,0.021,0.004,0,0,1.67,6.90 <= Rash and other nonspecific skin eruption < 8.20,29,(Cholelithiasis) OR (Gallbladder disease),0.679,2,379,,,
Qualifications A levels/AS levels or equivalent|O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,0,0.043,-0.005,0,0,1,Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent < 0.50,289,(Cholelithiasis) OR (Gallbladder disease),0.158,2,212,,,
PSA Time since last prostate specific antigen test,(PSA) Time since last prostate specific antigen test_8,0,0.003,-0.007,0,0,1,(PSA) Time since last prostate specific antigen test_8 < 0.50,60,(Cholelithiasis) OR (Gallbladder disease),0.66,2,213,,,
