feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Z51.5 - Palliative care,C0030231,Palliative Care,"Palliative Care. Care alleviating symptoms without curing the underlying disease. (Stedman, 25th ed)",0,0.642,0.0,0.0,0.0,0.023,0.553,-0.002,0.0018,Z51.5 - Palliative care,1.01,187531,-0.63 <= Z51.5 - Palliative care < 1.00,-0.02,-0.02,2,0,0.0
Z51.5 - Palliative care,C0557533,Hospice and Palliative Care Nursing,"Hospice and Palliative Care Nursing. A nursing specialty concerned with care of patients facing serious or life-threatening illnesses. The goal of palliative nursing is to prevent and relieve suffering, and to support the best possible quality of life for patients and their families. Hospice nursing is palliative care for people in their final stages of life.",0,0.529,0.0,0.0,0.0,0.023,0.553,-0.002,0.0018,Z51.5 - Palliative care,1.01,187531,-0.63 <= Z51.5 - Palliative care < 1.00,-0.02,-0.02,3,0,0.0
Apolipoprotein A1,C0085201,Apolipoprotein A-I,"Apolipoprotein A-I. The most abundant protein component of HIGH DENSITY LIPOPROTEINS or HDL. This protein serves as an acceptor for CHOLESTEROL released from cells thus promoting efflux of cholesterol to HDL then to the LIVER for excretion from the body (reverse cholesterol transport). It also acts as a cofactor for LECITHIN CHOLESTEROL ACYLTRANSFERASE that forms CHOLESTEROL ESTERS on the HDL particles. Mutations of this gene APOA1 cause HDL deficiency, such as in FAMILIAL ALPHA LIPOPROTEIN DEFICIENCY DISEASE and in some patients with TANGIER DISEASE.",0,0.887,0.0,0.0,0.0,0.0186,0.0,-0.029,0.0012,Apolipoprotein A1,1.87,399,-2.50 <= Apolipoprotein A1 < -2.40,0.11,0.11,2,0,0.0
Apolipoprotein A1,C1412468,APOA1 gene,APOA1 gene. This gene is involved in cholesterol transport and metabolism.,0,0.758,0.0,0.0,0.0,0.0186,0.0,-0.029,0.0012,Apolipoprotein A1,1.87,399,-2.50 <= Apolipoprotein A1 < -2.40,0.11,0.11,2,2,0.08
Apolipoprotein A1,C1677784,"APOA1 protein, human","APOA1 protein, human. Apolipoprotein A-I (267 aa, ~31 kDa) is encoded by the human APOA1 gene. This protein is involved in the transport and metabolism of cholesterol.",0,0.845,0.0,0.0,0.0,0.0186,0.0,-0.029,0.0012,Apolipoprotein A1,1.87,399,-2.50 <= Apolipoprotein A1 < -2.40,0.11,0.11,99,140,inf
Chest pain or discomfort,C0008031,Chest Pain,"Chest Pain. Pressure, burning, or numbness in the chest.",0,0.894,0.0,0.0,0.0,0.0182,0.0,-0.036,0.0344,Chest pain or discomfort_No,1.23,37609,Chest pain or discomfort_No < 0.50,0.15,0.15,2,149,0.25
Chest pain or discomfort,C2364135,Discomfort,"Discomfort. A feeling of mental or physical uneasiness, pain, or distress.",0,0.498,0.0,0.0,0.0,0.0182,0.0,-0.036,0.0344,Chest pain or discomfort_No,1.23,37609,Chest pain or discomfort_No < 0.50,0.15,0.15,2,0,0.0
Weight change compared with 1 year ago Yes - lost weight,C0005911,Body Weight Changes,Body Weight Changes. A clinical manifestation consisting of alterations in an individual's weight from his or her norm.,0,0.614,0.0,1.0,0.2,0.0173,0.0,0.02,0.0024,Weight change compared with 1 year ago_Yes - lost weight,1.15,30206,Weight change compared with 1 year ago_Yes - lost weight >= 0.50,0.06,0.1,2,0,0.0
Weight change compared with 1 year ago Yes - lost weight,C1546945,Yes - Event Seriousness,Yes - Event Seriousness. ,0,0.19,0.0,1.0,0.2,0.0173,0.0,0.02,0.0024,Weight change compared with 1 year ago_Yes - lost weight,1.15,30206,Weight change compared with 1 year ago_Yes - lost weight >= 0.50,0.06,0.1,99,245,inf
Weight change compared with 1 year ago Yes - lost weight,C0043100,Weight,Weight. The vertical force exerted by a mass as a result of gravity.,0,0.156,0.0,1.0,0.2,0.0173,0.0,0.02,0.0024,Weight change compared with 1 year ago_Yes - lost weight,1.15,30206,Weight change compared with 1 year ago_Yes - lost weight >= 0.50,0.06,0.1,2,148,2.03
dietary changes in the last 5 years,C0392747,Changing,Changing. The act of alteration or modification; changed or altered in form or character.,0,0.251,0.0,1.0,0.3,0.0173,0.0,-0.033,0.031,Major dietary changes in the last 5 years_No,1.12,82699,Major dietary changes in the last 5 years_No < 0.50,0.09,0.09,99,0,0.0
dietary changes in the last 5 years,C0443172,Changed status,Changed status. ,0,0.222,0.0,1.0,0.3,0.0173,0.0,-0.033,0.031,Major dietary changes in the last 5 years_No,1.12,82699,Major dietary changes in the last 5 years_No < 0.50,0.09,0.09,99,95,inf
Overall health rating Excellent,C1548784,Excellent - Specimen Quality,Excellent - Specimen Quality. ,0,0.34,0.0,0.0,0.0,0.0172,0.0,-0.036,0.0033,Overall health rating_Excellent,1.04,166044,Overall health rating_Excellent < 0.50,-0.02,-0.02,99,284,inf
Overall health rating Excellent,C1551022,Excellent - LanguageAbilityProficiency,Excellent - LanguageAbilityProficiency. ,0,0.216,0.0,0.0,0.0,0.0172,0.0,-0.036,0.0033,Overall health rating_Excellent,1.04,166044,Overall health rating_Excellent < 0.50,-0.02,-0.02,99,0,0.0
Overall health rating Excellent,C1961136,Excellent (qualifier value),Excellent (qualifier value). Conforming to the highest quality or standard.,0,0.509,0.0,0.0,0.0,0.0172,0.0,-0.036,0.0033,Overall health rating_Excellent,1.04,166044,Overall health rating_Excellent < 0.50,-0.02,-0.02,99,99,inf
Testosterone,C0039601,testosterone,"testosterone. A potent androgenic steroid and major product secreted by the LEYDIG CELLS of the TESTIS. Its production is stimulated by LUTEINIZING HORMONE from the PITUITARY GLAND. In turn, testosterone exerts feedback control of the pituitary LH and FSH secretion. Depending on the tissues, testosterone can be further converted to DIHYDROTESTOSTERONE or ESTRADIOL.",0,0.768,0.0,0.0,0.0,0.0155,0.0,-0.018,0.0,Testosterone,1.68,98,0.35 <= Testosterone < 0.36,-0.04,-0.04,2,15,0.0
Testosterone,C4721537,Therapeutic Testosterone,"Therapeutic Testosterone. A synthetic form of the endogenous androgenic steroid testosterone. In vivo, testosterone is irreversibly converted to dihydrotestosterone (DHT) in target tissues by the enzyme 5-alpha reductase. Testosterone or DHT ligand-androgen receptor complexes act as transcription factor complexes, stimulating the expression of various responsive genes. DHT binds with higher affinity to androgen receptors than testosterone, activating gene expression more efficiently. In addition, testosterone is irreversibly converted to estradiol by the enzyme complex aromatase, particularly in the liver and adipose tissue. Testosterone and DHT promote the development and maintenance of male sex characteristics related to the internal and external genitalia, skeletal muscle, and hair follicles; estradiol promotes epiphyseal maturation and bone mineralization. Due to rapid metabolism by the liver, therapeutic testosterone is generally administered as an ester derivative.",0,0.646,0.0,0.0,0.0,0.0155,0.0,-0.018,0.0,Testosterone,1.68,98,0.35 <= Testosterone < 0.36,-0.04,-0.04,99,224,inf
Testosterone,C0523912,Testosterone measurement,Testosterone measurement. The determination of the amount of testosterone present in a sample.,0,0.758,0.0,0.0,0.0,0.0155,0.0,-0.018,0.0,Testosterone,1.68,98,0.35 <= Testosterone < 0.36,-0.04,-0.04,2,22,0.18
Number of self-reported non-cancer illnesses,C2700446,Self-Report,Self-Report. An individual's perspective or subjective interpretation of an event or information.,0,0.411,0.0,0.0,0.0,0.0151,0.0,0.048,0.0058,Number of self-reported non-cancer illnesses,1.6,2330,Number of self-reported non-cancer illnesses >= 3.10,0.03,0.03,2,0,0.0
Gastritis and duodenitis,C0017152,Gastritis,"Gastritis. Inflammation of the GASTRIC MUCOSA, a lesion observed in a number of unrelated disorders.",0,0.733,0.0,0.0,0.0,0.0145,0.0,0.017,0.0007,Gastritis and duodenitis,2.24,495,Gastritis and duodenitis >= 5.20,0.34,0.34,2,16,0.03
Gastritis and duodenitis,C0013298,Duodenitis,"Duodenitis. Inflammation of the DUODENUM section of the small intestine (INTESTINE, SMALL). Erosive duodenitis may cause bleeding in the UPPER GI TRACT and PEPTIC ULCER.",0,0.746,0.0,0.0,0.0,0.0145,0.0,0.017,0.0007,Gastritis and duodenitis,2.24,495,Gastritis and duodenitis >= 5.20,0.34,0.34,2,113,1.95
Gastritis and duodenitis,C1522057,Acute Enteritis of the Mouse Intestinal Tract,Acute Enteritis of the Mouse Intestinal Tract. ,0,0.499,0.0,0.0,0.0,0.0145,0.0,0.017,0.0007,Gastritis and duodenitis,2.24,495,Gastritis and duodenitis >= 5.20,0.34,0.34,2,165,1.41
Had major operations,C0038895,Surgical aspects,"Surgical aspects. Used for operative procedures on organs, regions, or tissues in the treatment of diseases, including tissue section by lasers. It excludes transplantation, for which ""transplantation"" is used.",0,0.54,0.0,0.0,0.0,0.0145,0.0,-0.025,0.0027,Had major operations_No,1.03,164614,Had major operations_No < 0.50,0.14,0.17,99,83,inf
Had major operations,C3241922,Operation Activity,Operation Activity. Performance of a practical work or of something involving the practical application of principles or processes.,0,0.339,0.0,0.0,0.0,0.0145,0.0,-0.025,0.0027,Had major operations_No,1.03,164614,Had major operations_No < 0.50,0.14,0.17,99,0,0.0
Water intake,C0013123,Water consumption,Water consumption. A measurement of a subject's water intake.,0,0.816,0.0,0.0,0.0,0.0143,0.0234,-0.005,0.0035,Water intake,1.04,27699,-1.40 <= Water intake < -0.94,-0.03,0.06,2,222,0.29
Sleep - Overall average,C0037313,Sleep,"Sleep. A readily reversible suspension of sensorimotor interaction with the environment, usually associated with recumbency and immobility.",0,0.635,0.0,0.0,0.0,0.0143,0.0032,0.015,0.0,Sleep - Overall average,1.39,1989,1.50 <= Sleep - Overall average < 4.80,-0.08,-0.08,2,0,0.0
Sleep - Overall average,C0723362,Sleep brand of diphenhydramine hydrochloride,Sleep brand of diphenhydramine hydrochloride. ,0,0.35,0.0,0.0,0.0,0.0143,0.0032,0.015,0.0,Sleep - Overall average,1.39,1989,1.50 <= Sleep - Overall average < 4.80,-0.08,-0.08,99,53,inf
Sleep - Overall average,C0037322,"Sleep, REM","Sleep, REM. A stage of sleep characterized by rapid movements of the eye and low voltage fast pattern EEG. It is usually associated with dreaming.",0,0.542,0.0,0.0,0.0,0.0143,0.0032,0.015,0.0,Sleep - Overall average,1.39,1989,1.50 <= Sleep - Overall average < 4.80,-0.08,-0.08,2,0,0.0
Oily fish intake Never,C0453017,Fatty fish,Fatty fish. ,0,0.532,0.0,0.0,0.0,0.0142,0.0,0.026,0.002,Oily fish intake_Never,1.23,20998,Oily fish intake_Never >= 0.50,0.09,0.1,2,230,38.33
Oily fish intake Never,C3251814,Fluid Intake Measurement,Fluid Intake Measurement. Actions performed to measure the amount of fluid volume taken into the body,0,0.157,0.0,0.0,0.0,0.0142,0.0,0.026,0.002,Oily fish intake_Never,1.23,20998,Oily fish intake_Never >= 0.50,0.09,0.1,99,0,0.0
Mental health conditions ever diagnosed by a professional group group,C0687744,Social group,"Social group. A collection of two or more people who share a common identity as defined by beliefs, codes of conduct, CULTURE and SOCIAL NORMS.",0,0.226,0.0,0.0,0.0,0.0128,0.0,-0.027,0.0056,Mental health conditions ever diagnosed by a professional__group group,1.05,139336,Mental health conditions ever diagnosed by a professional__group group < 0.12,0.06,0.06,2,36,0.17
Nonspecific chest pain,C0008031,Chest Pain,"Chest Pain. Pressure, burning, or numbness in the chest.",0,0.793,0.0,0.0,0.0,0.0124,0.004,0.006,0.0016,Nonspecific chest pain,1.73,644,Nonspecific chest pain >= 4.90,0.19,0.19,2,149,0.25
Diaphragmatic hernia,C0019284,Diaphragmatic Hernia,Diaphragmatic Hernia. Protrusion of abdominal structures into the THORAX as a result of congenital or traumatic defects in the respiratory DIAPHRAGM.,0,0.889,0.0,0.0,0.0,0.0123,0.0001,0.014,0.0016,Diaphragmatic hernia,1.66,2276,Diaphragmatic hernia >= 3.70,0.2,0.24,2,38,0.31
Diaphragmatic hernia,C0235833,Congenital diaphragmatic hernia,Congenital diaphragmatic hernia. Diaphragmatic hernia that is present at birth.,0,0.825,0.0,0.0,0.0,0.0123,0.0001,0.014,0.0016,Diaphragmatic hernia,1.66,2276,Diaphragmatic hernia >= 3.70,0.2,0.24,2,24,0.09
Diaphragmatic hernia,C1840643,DIAPHRAGMATIC HERNIA 1,DIAPHRAGMATIC HERNIA 1. ,0,0.912,0.0,0.0,0.0,0.0123,0.0001,0.014,0.0016,Diaphragmatic hernia,1.66,2276,Diaphragmatic hernia >= 3.70,0.2,0.24,99,17,inf
Had other major operations,C0038895,Surgical aspects,"Surgical aspects. Used for operative procedures on organs, regions, or tissues in the treatment of diseases, including tissue section by lasers. It excludes transplantation, for which ""transplantation"" is used.",0,0.521,0.0,0.0,0.0,0.012,0.0,-0.024,0.017,Had other major operations_None,1.06,111784,Had other major operations_None < 0.50,0.13,0.17,99,83,inf
Had other major operations,C3241922,Operation Activity,Operation Activity. Performance of a practical work or of something involving the practical application of principles or processes.,0,0.325,0.0,0.0,0.0,0.012,0.0,-0.024,0.017,Had other major operations_None,1.06,111784,Had other major operations_None < 0.50,0.13,0.17,99,0,0.0
Haemoglobin concentration,C0019046,Hemoglobin,Hemoglobin. The oxygen-carrying proteins of ERYTHROCYTES. They are found in all vertebrates and some invertebrates. The number of globin subunits in the hemoglobin quaternary structure differs between species. Structures range from monomeric to a variety of multimeric arrangements.,0,0.724,0.0,0.0,0.0,0.0118,0.0639,-0.006,0.0,Haemoglobin concentration,1.53,395,2.10 <= Haemoglobin concentration < 2.20,-0.02,-0.02,2,188,0.06
Haemoglobin concentration,C0019016,Hemoglobin A,Hemoglobin A. Normal adult human hemoglobin. The globin moiety consists of two alpha and two beta chains.,0,0.479,0.0,0.0,0.0,0.0118,0.0639,-0.006,0.0,Haemoglobin concentration,1.53,395,2.10 <= Haemoglobin concentration < 2.20,-0.02,-0.02,2,165,0.59
Haemoglobin concentration,C0019020,Hemoglobin C,Hemoglobin C. A commonly occurring abnormal hemoglobin in which lysine replaces a glutamic acid residue at the sixth position of the beta chains. It results in reduced plasticity of erythrocytes.,0,0.614,0.0,0.0,0.0,0.0118,0.0639,-0.006,0.0,Haemoglobin concentration,1.53,395,2.10 <= Haemoglobin concentration < 2.20,-0.02,-0.02,2,358,7.31
(BMI) Body mass index (p21001),C0578022,Finding of body mass index,Finding of body mass index. The result of a body mass index measurement.,0,0.663,0.0,1.0,0.5,0.0116,0.0,0.044,0.0009,(BMI) Body mass index (p21001),1.72,781,(BMI) Body mass index (p21001) >= 3.80,0.06,0.08,2,57,0.15
Leg fat-free mass,C0023216,Lower Extremity,"Lower Extremity. The region of the lower limb in animals, extending from the gluteal region to the FOOT, and including the BUTTOCKS; HIP; and LEG.",0,0.413,0.0,0.0,0.0,0.0115,0.0005,-0.007,0.0006,Leg fat-free mass (right),1.09,40869,-0.53 <= Leg fat-free mass (right) < 0.07,-0.02,-0.02,2,49,0.02
Leg fat-free mass,C1140621,Leg,Leg. The inferior part of the lower extremity between the KNEE and the ANKLE.,0,0.487,0.0,0.0,0.0,0.0115,0.0005,-0.007,0.0006,Leg fat-free mass (right),1.09,40869,-0.53 <= Leg fat-free mass (right) < 0.07,-0.02,-0.02,2,83,0.06
"dietary changes in the last 5 years Yes, because of illness",C0392747,Changing,Changing. The act of alteration or modification; changed or altered in form or character.,0,0.297,0.0,0.0,0.0,0.0113,0.0,0.035,0.0031,"Major dietary changes in the last 5 years_Yes, because of illness",1.28,26010,"Major dietary changes in the last 5 years_Yes, because of illness >= 0.50",0.17,0.17,99,0,0.0
"dietary changes in the last 5 years Yes, because of illness",C0443172,Changed status,Changed status. ,0,0.271,0.0,0.0,0.0,0.0113,0.0,0.035,0.0031,"Major dietary changes in the last 5 years_Yes, because of illness",1.28,26010,"Major dietary changes in the last 5 years_Yes, because of illness >= 0.50",0.17,0.17,99,95,inf
(AD) alzheimer's disease genetic risk,C0002395,Alzheimer's Disease,"Alzheimer's Disease. A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA. Impairment of MEMORY, judgment, attention span, and problem solving skills are followed by severe APRAXIAS and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of SENILE PLAQUES; NEUROFIBRILLARY TANGLES; and NEUROPIL THREADS. (From Adams et al., Principles of Neurology, 6th ed, pp1049-57)",0,0.675,0.0,0.0,0.0,0.0113,0.001,-0.006,0.0005,(AD) alzheimer's disease genetic risk,1.24,1629,(AD) alzheimer's disease genetic risk < -2.00,0.16,0.16,2,0,0.0
(AD) alzheimer's disease genetic risk,C1863052,"ALZHEIMER DISEASE, FAMILIAL, 1","ALZHEIMER DISEASE, FAMILIAL, 1. Alzheimer's disease caused by mutation(s) in the APP gene, encoding amyloid-beta A4 protein. The onset of this condition typically occurs before age 65.",0,0.763,0.0,0.0,0.0,0.0113,0.001,-0.006,0.0005,(AD) alzheimer's disease genetic risk,1.24,1629,(AD) alzheimer's disease genetic risk < -2.00,0.16,0.16,99,105,inf
(AD) alzheimer's disease genetic risk,C1843013,"Alzheimer disease, familial, type 3","Alzheimer disease, familial, type 3. Alzheimer's disease with an early onset (starts before the age of 65). It is caused by mutations in the PSEN1 gene.",0,0.664,0.0,0.0,0.0,0.0113,0.001,-0.006,0.0005,(AD) alzheimer's disease genetic risk,1.24,1629,(AD) alzheimer's disease genetic risk < -2.00,0.16,0.16,2,32,2.91
(AD) alzheimer's disease genetic risk,C1517512,Genetic Risk,Genetic Risk. Risk of developing a disease based on a patient's heredity,0,0.622,0.0,0.0,0.0,0.0113,0.001,-0.006,0.0005,(AD) alzheimer's disease genetic risk,1.24,1629,(AD) alzheimer's disease genetic risk < -2.00,0.16,0.16,3,65,16.25
Oily fish intake Less than once a week,C0453017,Fatty fish,Fatty fish. ,0,0.509,0.0,0.0,0.0,0.0112,0.0002,0.009,0.0101,Oily fish intake_Less than once a week,1.04,61105,Oily fish intake_Less than once a week >= 0.50,0.07,0.09,2,230,38.33
Oily fish intake Less than once a week,C3251814,Fluid Intake Measurement,Fluid Intake Measurement. Actions performed to measure the amount of fluid volume taken into the body,0,0.162,0.0,0.0,0.0,0.0112,0.0002,0.009,0.0101,Oily fish intake_Less than once a week,1.04,61105,Oily fish intake_Less than once a week >= 0.50,0.07,0.09,99,0,0.0
