Query,name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,feature_level_sum_kg_hits,sim_score,KG_Hits,cui,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
Age high blood pressure diagnosed_Do not know,Age high blood pressure diagnosed_Do not know,0.002,0.0,0.03,0.03,1,0.0,Age high blood pressure diagnosed_Do not know,1.47,3201,5.15,Age high blood pressure diagnosed_Do not know >= 0.50,Age high blood pressure diagnosed_Do not know,0,0.0,0,,oesophagus cancer,124255,80017,81,0.0,-1.73,0,1
Age high blood pressure diagnosed_None,Age high blood pressure diagnosed_None,0.011,0.0,-0.112,-0.112,1,0.006,Age high blood pressure diagnosed_None,1.41,36638,56.45,Age high blood pressure diagnosed_None < 0.50,Age high blood pressure diagnosed_None,0,0.0,0,,oesophagus cancer,6888,80017,4,0.001,-1.897,0,1
Alanine,Alanine,0.002,0.0,0.025,0.022,1,0.107,Alanine,1.4,1058,1.62,Alanine >= 3.10,Alanine,0,0.0,0,,oesophagus cancer,143614,80017,91,0.0,-1.771,0,1
Alcohol intake frequency._Daily or almost daily,Alcohol intake frequency._Daily or almost daily,0.042,0.0,0.057,0.057,1,0.002,Alcohol intake frequency._Daily or almost daily,1.31,21296,30.42,Alcohol intake frequency._Daily or almost daily >= 0.50,Alcohol intake frequency._Daily or almost daily,0,0.0,0,,oesophagus cancer,742117,80017,1202,0.0,-0.417,0,1
Alcohol intake frequency._Special occasions only,Alcohol intake frequency._Special occasions only,0.004,0.0,-0.022,-0.022,1,0.0,Alcohol intake frequency._Special occasions only,1.02,82186,91.75,Alcohol intake frequency._Special occasions only < 0.50,Alcohol intake frequency._Special occasions only,0,0.0,0,,oesophagus cancer,99,80017,0,0.807,0.0,0,0
Altered mental status,Altered mental status,0.001,0.169,-0.005,-0.005,1,0.0,Altered mental status,1.0,90929,99.41,-13.00 <= Altered mental status < 2.40,Altered mental status,0,0.0,0,,oesophagus cancer,8587,80017,7,0.002,-1.408,0,1
(AMD) age-related macular degeneration genetic risk,(AMD) age-related macular degeneration genetic risk,0.008,0.165,0.005,0.004,1,0.307,(AMD) age-related macular degeneration genetic risk,1.09,6753,8.01,-1.20 <= (AMD) age-related macular degeneration genetic risk < -0.88,(AMD) age-related macular degeneration genetic risk,0,0.0,0,,oesophagus cancer,2129,80017,0,0.01,0.0,0,0
Angina pectoris,Angina pectoris,0.003,0.044,-0.003,-0.003,1,0.001,Angina pectoris,1.54,1582,2.66,Angina pectoris < -3.20,Angina pectoris,0,0.0,0,,oesophagus cancer,52818,80017,24,0.0,-2.251,0,1
Apolipoprotein A1,Apolipoprotein A1,0.013,0.007,0.004,0.003,1,0.056,Apolipoprotein A1,1.31,2405,3.43,2.40 <= Apolipoprotein A1 < 5.30,Apolipoprotein A1,0,0.0,0,,oesophagus cancer,15543,80017,4,0.0,-3.071,0,1
Apolipoprotein A Blood biochemistry,Apolipoprotein A Blood biochemistry,0.054,0.013,-0.012,-0.01,1,0.01,Apolipoprotein A Blood biochemistry,1.15,7980,10.0,-2.10 <= Apolipoprotein A Blood biochemistry < -1.20,Apolipoprotein A Blood biochemistry,0,0.0,0,,oesophagus cancer,1135,80017,2,0.555,-0.295,0,1
Apolipoprotein B,Apolipoprotein B,0.004,0.0,-0.038,-0.033,1,0.129,Apolipoprotein B,1.37,4622,6.9,Apolipoprotein B < -1.70,Apolipoprotein B,0,0.0,0,,oesophagus cancer,17902,80017,15,0.0,-1.368,0,1
Apolipoprotein B to Apolipoprotein A1 ratio,Apolipoprotein B to Apolipoprotein A1 ratio,0.003,0.0,-0.033,-0.029,1,0.136,Apolipoprotein B to Apolipoprotein A1 ratio,1.28,5102,7.11,-2.50 <= Apolipoprotein B to Apolipoprotein A1 ratio < -1.60,Apolipoprotein B to Apolipoprotein A1 ratio,0,0.0,0,,oesophagus cancer,1541,80017,0,0.036,0.0,0,0
Arm fat percentage (left),Arm fat percentage (left),0.047,0.203,0.016,0.013,1,0.004,Arm fat percentage (left),1.18,16282,20.9,-0.01 <= Arm fat percentage (left) < 0.61,Arm fat percentage (left),0,0.0,0,,oesophagus cancer,41,80017,0,0.915,0.0,0,0
Arthropathy NOS,Arthropathy NOS,0.017,0.095,-0.004,-0.004,1,0.001,Arthropathy NOS,1.52,1456,2.41,-4.50 <= Arthropathy NOS < -1.90,Arthropathy NOS,0,0.0,0,,oesophagus cancer,497622,80017,162,0.0,-2.732,0,1
Asthma,Asthma,0.004,0.036,-0.005,-0.005,1,0.0,Asthma,1.14,1677,2.1,-2.60 <= Asthma < -0.08,Asthma,0,0.0,0,,oesophagus cancer,224834,80017,88,0.0,-2.466,0,1
Atrial fibrillation and flutter,Atrial fibrillation and flutter,0.012,0.197,-0.001,-0.001,1,0.002,Atrial fibrillation and flutter,2.0,1394,3.05,-5.10 <= Atrial fibrillation and flutter < -1.20,Atrial fibrillation and flutter,0,0.0,0,,oesophagus cancer,7439,80017,2,0.0,-3.008,0,1
Average Diameter for HDL Particles,Average Diameter for HDL Particles,0.001,0.0,-0.021,-0.02,1,0.03,Average Diameter for HDL Particles,1.15,7281,9.12,-3.00 <= Average Diameter for HDL Particles < -0.96,Average Diameter for HDL Particles,0,0.0,0,,oesophagus cancer,49,80017,0,0.899,0.0,0,0
Average Diameter for LDL Particles,Average Diameter for LDL Particles,0.001,0.0,-0.027,-0.025,1,0.004,Average Diameter for LDL Particles,1.21,7036,9.26,-5.50 <= Average Diameter for LDL Particles < -0.75,Average Diameter for LDL Particles,0,0.0,0,,oesophagus cancer,58,80017,0,0.882,0.0,0,0
Average Diameter for VLDL Particles,Average Diameter for VLDL Particles,0.001,0.0,0.031,0.03,1,0.028,Average Diameter for VLDL Particles,1.87,986,2.01,3.30 <= Average Diameter for VLDL Particles < 5.90,Average Diameter for VLDL Particles,0,0.0,0,,oesophagus cancer,27,80017,0,0.943,0.0,0,0
Birth weight,Birth weight,0.014,0.0,-0.017,-0.015,1,0.002,Birth weight,1.03,72146,81.36,-3.70 <= Birth weight < 0.07,Birth weight,0,0.0,0,,oesophagus cancer,130664,80017,16,0.0,-4.142,0,1
Calculus of bile duct,Calculus of bile duct,0.0,0.123,0.004,0.004,1,0.0,Calculus of bile duct,1.0,91266,99.62,-16.00 <= Calculus of bile duct < 6.80,Calculus of bile duct,0,0.0,0,,oesophagus cancer,7611,80017,9,0.034,-0.871,0,1
Cholesterol in IDL,Cholesterol in IDL,0.004,0.0,-0.038,-0.036,1,0.068,Cholesterol in IDL,1.76,1026,1.98,-4.60 <= Cholesterol in IDL < -3.20,Cholesterol in IDL,0,0.0,0,,oesophagus cancer,1207,80017,0,0.073,0.0,0,0
Cholesterol in Large HDL,Cholesterol in Large HDL,0.0,0.0,-0.031,-0.029,1,0.064,Cholesterol in Large HDL,1.21,8276,10.96,-2.80 <= Cholesterol in Large HDL < -0.90,Cholesterol in Large HDL,0,0.0,0,,oesophagus cancer,5909,80017,0,0.0,0.0,0,0
Cholesterol in Very Large HDL,Cholesterol in Very Large HDL,0.002,0.0,-0.043,-0.04,1,0.07,Cholesterol in Very Large HDL,1.97,1192,2.57,-4.10 <= Cholesterol in Very Large HDL < -2.50,Cholesterol in Very Large HDL,0,0.0,0,,oesophagus cancer,5903,80017,0,0.0,0.0,0,0
Cholesterol in Very Small VLDL,Cholesterol in Very Small VLDL,0.001,0.0,-0.029,-0.027,1,0.052,Cholesterol in Very Small VLDL,1.29,6102,8.61,-4.60 <= Cholesterol in Very Small VLDL < -1.30,Cholesterol in Very Small VLDL,0,0.0,0,,oesophagus cancer,1167,80017,0,0.08,0.0,0,0
Chronic renal failure [CKD],Chronic renal failure [CKD],0.014,0.066,0.025,0.025,1,0.003,Chronic renal failure [CKD],0.97,89920,94.89,-0.59 <= Chronic renal failure [CKD] < 0.34,Chronic renal failure [CKD],0,0.0,0,,oesophagus cancer,140300,80017,49,0.0,-2.63,0,1
Chronic ulcer of skin,Chronic ulcer of skin,0.0,0.123,0.009,0.009,1,0.0,Chronic ulcer of skin,1.0,90946,99.02,-3.30 <= Chronic ulcer of skin < 1.10,Chronic ulcer of skin,0,0.0,0,,oesophagus cancer,8151,80017,4,0.0,-2.14,0,1
Circulatory disease NEC,Circulatory disease NEC,0.001,0.039,-0.002,-0.002,1,0.001,Circulatory disease NEC,1.39,1979,3.01,-4.80 <= Circulatory disease NEC < -0.20,Circulatory disease NEC,0,0.0,0,,oesophagus cancer,61,80017,1,0.992,2.922,0,0
Complications of transplants and reattached limbs,Complications of transplants and reattached limbs,0.001,0.104,-0.002,-0.002,1,0.0,Complications of transplants and reattached limbs,0.99,89350,97.0,-1.40 <= Complications of transplants and reattached limbs < 0.39,Complications of transplants and reattached limbs,0,0.0,0,,oesophagus cancer,21,80017,0,0.956,0.0,0,0
Concentration of HDL Particles,Concentration of HDL Particles,0.001,0.112,0.002,0.002,1,0.039,Concentration of HDL Particles,1.21,2381,3.16,Concentration of HDL Particles < -2.30,Concentration of HDL Particles,0,0.0,0,,oesophagus cancer,2966,80017,0,0.002,0.0,0,0
Concentration of IDL Particles,Concentration of IDL Particles,0.002,0.0,-0.033,-0.031,1,0.06,Concentration of IDL Particles,1.43,2252,3.52,-3.80 <= Concentration of IDL Particles < -2.40,Concentration of IDL Particles,0,0.0,0,,oesophagus cancer,296,80017,0,0.527,0.0,0,0
Concentration of Large LDL Particles,Concentration of Large LDL Particles,0.001,0.0,-0.024,-0.022,1,0.068,Concentration of Large LDL Particles,1.16,7437,9.46,-3.50 <= Concentration of Large LDL Particles < -0.85,Concentration of Large LDL Particles,0,0.0,0,,oesophagus cancer,709,80017,0,0.215,0.0,0,0
Concentration of Medium HDL Particles,Concentration of Medium HDL Particles,0.001,0.003,0.004,0.004,1,0.06,Concentration of Medium HDL Particles,1.18,1085,1.4,3.70 <= Concentration of Medium HDL Particles < 8.70,Concentration of Medium HDL Particles,0,0.0,0,,oesophagus cancer,232,80017,0,0.605,0.0,0,0
Concentration of Medium LDL Particles,Concentration of Medium LDL Particles,0.003,0.0,-0.017,-0.016,1,0.059,Concentration of Medium LDL Particles,1.38,1141,1.73,-3.70 <= Concentration of Medium LDL Particles < -2.80,Concentration of Medium LDL Particles,0,0.0,0,,oesophagus cancer,236,80017,0,0.6,0.0,0,0
Concentration of Medium VLDL Particles,Concentration of Medium VLDL Particles,0.001,0.12,-0.007,-0.006,1,0.066,Concentration of Medium VLDL Particles,0.99,89332,96.89,-2.90 <= Concentration of Medium VLDL Particles < 3.90,Concentration of Medium VLDL Particles,0,0.0,0,,oesophagus cancer,154,80017,0,0.716,0.0,0,0
Concentration of Small HDL Particles,Concentration of Small HDL Particles,0.001,0.0,0.01,0.01,1,0.054,Concentration of Small HDL Particles,1.44,1117,1.76,2.10 <= Concentration of Small HDL Particles < 2.70,Concentration of Small HDL Particles,0,0.0,0,,oesophagus cancer,880,80017,0,0.149,0.0,0,0
Concentration of Small LDL Particles,Concentration of Small LDL Particles,0.002,0.0,-0.017,-0.016,1,0.049,Concentration of Small LDL Particles,1.0,80534,87.97,-2.80 <= Concentration of Small LDL Particles < 0.19,Concentration of Small LDL Particles,0,0.0,0,,oesophagus cancer,992,80017,0,0.117,0.0,0,0
Concentration of Very Large HDL Particles,Concentration of Very Large HDL Particles,0.002,0.0,-0.032,-0.031,1,0.057,Concentration of Very Large HDL Particles,1.36,1434,2.13,-2.80 <= Concentration of Very Large HDL Particles < -2.10,Concentration of Very Large HDL Particles,0,0.0,0,,oesophagus cancer,736,80017,0,0.203,0.0,0,0
Concentration of Very Large VLDL Particles,Concentration of Very Large VLDL Particles,0.003,0.0,0.029,0.027,1,0.07,Concentration of Very Large VLDL Particles,1.4,2817,4.29,2.10 <= Concentration of Very Large VLDL Particles < 5.40,Concentration of Very Large VLDL Particles,0,0.0,0,,oesophagus cancer,385,80017,0,0.435,0.0,0,0
Concentration of Very Small VLDL Particles,Concentration of Very Small VLDL Particles,0.001,0.001,-0.01,-0.01,1,0.066,Concentration of Very Small VLDL Particles,1.12,7399,9.05,-3.90 <= Concentration of Very Small VLDL Particles < -0.95,Concentration of Very Small VLDL Particles,0,0.0,0,,oesophagus cancer,395,80017,0,0.425,0.0,0,0
Congenital anomalies of great vessels,Congenital anomalies of great vessels,0.0,0.17,0.005,0.005,1,0.0,Congenital anomalies of great vessels,1.0,90650,98.57,-2.30 <= Congenital anomalies of great vessels < 0.41,Congenital anomalies of great vessels,0,0.0,0,,oesophagus cancer,10418,80017,1,0.0,-4.494,0,0
Congestive heart failure (CHF) NOS,Congestive heart failure (CHF) NOS,0.007,0.07,0.007,0.007,1,0.002,Congestive heart failure (CHF) NOS,0.98,90159,96.12,-0.20 <= Congestive heart failure (CHF) NOS < 0.76,Congestive heart failure (CHF) NOS,0,0.0,0,,oesophagus cancer,473,80017,0,0.359,0.0,0,0
Coronary atherosclerosis,Coronary atherosclerosis,0.002,0.012,-0.005,-0.005,1,0.001,Coronary atherosclerosis,1.55,2721,4.62,-4.90 <= Coronary atherosclerosis < -0.93,Coronary atherosclerosis,0,0.0,0,,oesophagus cancer,224940,80017,78,0.0,-2.641,0,1
(CVD) cardiovascular disease genetic risk,(CVD) cardiovascular disease genetic risk,0.01,0.0,0.028,0.022,1,0.308,(CVD) cardiovascular disease genetic risk,1.09,30971,37.0,0.38 <= (CVD) cardiovascular disease genetic risk < 3.00,(CVD) cardiovascular disease genetic risk,0,0.0,0,,oesophagus cancer,71879,80017,0,0.0,0.0,0,0
Date of all cause dementia report,Date of all cause dementia report,0.008,0.0,-0.023,-0.023,1,0.002,Date of all cause dementia report,1.0,91105,98.98,-5.20 <= Date of all cause dementia report < 1.10,Date of all cause dementia report,0,0.0,0,,oesophagus cancer,803,80017,0,0.176,0.0,0,0
Dental caries,Dental caries,0.001,0.066,-0.004,-0.004,1,0.0,Dental caries,1.0,90780,98.73,-1.90 <= Dental caries < 3.40,Dental caries,0,0.0,0,,oesophagus cancer,68626,80017,12,0.0,-3.629,0,1
Direct bilirubin,Direct bilirubin,0.011,0.0,0.032,0.027,1,0.004,Direct bilirubin,1.29,2668,3.77,2.20 <= Direct bilirubin < 6.50,Direct bilirubin,0,0.0,0,,oesophagus cancer,5170,80017,7,0.132,-0.676,0,1
Enthesopathy,Enthesopathy,0.001,0.297,0.006,0.006,1,0.0,Enthesopathy,0.99,89803,97.4,-3.50 <= Enthesopathy < 0.08,Enthesopathy,0,0.0,0,,oesophagus cancer,1206,80017,0,0.073,0.0,0,0
Essential hypertension,Essential hypertension,0.012,0.0,-0.021,-0.019,1,0.004,Essential hypertension,1.68,5491,10.09,-3.90 <= Essential hypertension < -1.50,Essential hypertension,0,0.0,0,,oesophagus cancer,37844,80017,11,0.0,-2.895,0,1
Fluid intelligence score,Fluid intelligence score,0.001,0.011,-0.008,-0.007,1,0.0,Fluid intelligence score,1.26,1102,1.52,-3.60 <= Fluid intelligence score < -2.80,Fluid intelligence score,0,0.0,0,,oesophagus cancer,836,80017,0,0.164,0.0,0,0
had_disease_past,had_disease_past,0.013,0.0,0.122,0.122,1,0.004,had_disease_past,0.98,91355,97.89,had_disease_past < 9.80,had_disease_past,0,0.0,0,,oesophagus cancer,259,80017,0,0.571,0.0,0,0
Haemoglobin concentration,Haemoglobin concentration,0.036,0.0,-0.01,-0.009,1,0.006,Haemoglobin concentration,1.64,1465,2.62,-2.80 <= Haemoglobin concentration < -2.10,Haemoglobin concentration,0,0.0,0,,oesophagus cancer,51275,80017,35,0.0,-1.664,0,1
(HDL) high density lipoprotein cholesterol genetic risk,(HDL) high density lipoprotein cholesterol genetic risk,0.014,0.0,-0.021,-0.017,1,0.307,(HDL) high density lipoprotein cholesterol genetic risk,1.15,7182,9.05,(HDL) high density lipoprotein cholesterol genetic risk < -1.40,(HDL) high density lipoprotein cholesterol genetic risk,0,0.0,0,,oesophagus cancer,5729,80017,2,0.0,-2.631,0,1
Hearing loss,Hearing loss,0.001,0.413,0.006,0.006,1,0.0,Hearing loss,1.0,90120,97.99,-0.47 <= Hearing loss < 0.54,Hearing loss,0,0.0,0,,oesophagus cancer,108740,80017,17,0.0,-3.79,0,1
Hemorrhage or hematoma complicating a procedure,Hemorrhage or hematoma complicating a procedure,0.003,0.003,-0.004,-0.004,1,0.0,Hemorrhage or hematoma complicating a procedure,1.24,938,1.27,0.28 <= Hemorrhage or hematoma complicating a procedure < 9.30,Hemorrhage or hematoma complicating a procedure,0,0.0,0,,oesophagus cancer,5682367,80017,9765,0.0,-0.332,0,1
Hip circumference,Hip circumference,0.095,0.0,0.022,0.018,1,0.002,Hip circumference,1.21,1302,1.73,2.80 <= Hip circumference < 4.50,Hip circumference,0,0.0,0,,oesophagus cancer,10022,80017,22,0.584,0.022,0,1
Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,0.004,0.007,0.009,0.009,1,0.0,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,1.1,5915,7.12,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse >= 0.50,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,0,0.0,0,,oesophagus cancer,278,80017,0,0.548,0.0,0,0
Home area population density - urban or rural_England/Wales - Urban - less sparse,Home area population density - urban or rural_England/Wales - Urban - less sparse,0.004,0.0,0.034,0.034,1,0.001,Home area population density - urban or rural_England/Wales - Urban - less sparse,1.05,73086,83.94,Home area population density - urban or rural_England/Wales - Urban - less sparse >= 0.50,Home area population density - urban or rural_England/Wales - Urban - less sparse,0,0.0,0,,oesophagus cancer,278,80017,0,0.548,0.0,0,0
Home area population density - urban or rural_Scotland - Large Urban Area,Home area population density - urban or rural_Scotland - Large Urban Area,0.08,0.0,-0.052,-0.052,1,0.002,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,98.46,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,Home area population density - urban or rural_Scotland - Large Urban Area,0,0.0,0,,oesophagus cancer,285,80017,0,0.54,0.0,0,0
Home area population density - urban or rural_Scotland - Other Urban Area,Home area population density - urban or rural_Scotland - Other Urban Area,0.013,0.0,-0.027,-0.027,1,0.0,Home area population density - urban or rural_Scotland - Other Urban Area,1.01,90570,99.73,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,Home area population density - urban or rural_Scotland - Other Urban Area,0,0.0,0,,oesophagus cancer,282,80017,0,0.543,0.0,0,0
(HT) hypertension genetic risk,(HT) hypertension genetic risk,0.009,0.0,0.035,0.029,1,0.307,(HT) hypertension genetic risk,1.23,10112,13.62,(HT) hypertension genetic risk >= 1.20,(HT) hypertension genetic risk,0,0.0,0,,oesophagus cancer,19216,80017,1,0.0,-5.377,0,0
Hypercholesterolemia,Hypercholesterolemia,0.003,0.0,-0.008,-0.008,1,0.001,Hypercholesterolemia,1.58,2708,4.68,-5.60 <= Hypercholesterolemia < -2.00,Hypercholesterolemia,0,0.0,0,,oesophagus cancer,50957,80017,13,0.0,-3.084,0,1
LDL direct Blood biochemistry,LDL direct Blood biochemistry,0.046,0.0,-0.06,-0.049,1,0.03,LDL direct Blood biochemistry,1.34,9470,13.9,-2.70 <= LDL direct Blood biochemistry < -1.30,LDL direct Blood biochemistry,0,0.0,0,,oesophagus cancer,284,80017,0,0.541,0.0,0,0
"Long-standing illness, disability or infirmity_No","Long-standing illness, disability or infirmity_No",0.038,0.0,-0.087,-0.087,1,0.004,"Long-standing illness, disability or infirmity_No",1.28,42073,58.95,"Long-standing illness, disability or infirmity_No < 0.50","Long-standing illness, disability or infirmity_No",0,0.0,0,,oesophagus cancer,22771,80017,15,0.0,-1.715,0,1
"Long-standing illness, disability or infirmity_Yes","Long-standing illness, disability or infirmity_Yes",0.028,0.0,0.087,0.087,1,0.004,"Long-standing illness, disability or infirmity_Yes",1.3,39404,55.98,"Long-standing illness, disability or infirmity_Yes >= 0.50","Long-standing illness, disability or infirmity_Yes",0,0.0,0,,oesophagus cancer,205,80017,0,0.642,0.0,0,0
M25.56 - Pain in joint (Lower leg),M25.56 - Pain in joint (Lower leg),0.001,0.055,0.008,0.008,1,0.0,M25.56 - Pain in joint (Lower leg),0.99,90802,98.5,-0.65 <= M25.56 - Pain in joint (Lower leg) < 0.29,M25.56 - Pain in joint (Lower leg),0,0.0,0,,oesophagus cancer,3680,80017,0,0.0,0.0,0,0
M47.82 - Other spondylosis (Cervical region),M47.82 - Other spondylosis (Cervical region),0.001,0.1,-0.005,-0.005,1,0.0,M47.82 - Other spondylosis (Cervical region),1.0,90852,98.83,-0.73 <= M47.82 - Other spondylosis (Cervical region) < 0.34,M47.82 - Other spondylosis (Cervical region),0,0.0,0,,oesophagus cancer,79,80017,0,0.843,0.0,0,0
M54.56 - Low back pain (Lumbar region),M54.56 - Low back pain (Lumbar region),0.001,0.0,0.012,0.012,1,0.0,M54.56 - Low back pain (Lumbar region),1.0,91086,99.17,-17.00 <= M54.56 - Low back pain (Lumbar region) < 0.75,M54.56 - Low back pain (Lumbar region),0,0.0,0,,oesophagus cancer,3127,80017,0,0.001,0.0,0,0
M79.66 - Pain in limb (Lower leg),M79.66 - Pain in limb (Lower leg),0.002,0.139,0.006,0.006,1,0.0,M79.66 - Pain in limb (Lower leg),1.0,90618,98.5,-0.49 <= M79.66 - Pain in limb (Lower leg) < 0.39,M79.66 - Pain in limb (Lower leg),0,0.0,0,,oesophagus cancer,9586,80017,2,0.0,-3.374,0,1
Meat substitutes - vegetarian,Meat substitutes - vegetarian,0.005,0.255,0.004,0.004,1,0.0,Meat substitutes - vegetarian,1.01,80042,87.96,-0.18 <= Meat substitutes - vegetarian < 3.10,Meat substitutes - vegetarian,0,0.0,0,,oesophagus cancer,64,80017,0,0.871,0.0,0,0
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication",0.001,0.0,0.014,0.014,1,0.0,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication",1.23,3018,4.04,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication",0,0.0,0,,oesophagus cancer,8272,80017,0,0.0,0.0,0,0
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication",0.001,0.0,0.03,0.03,1,0.0,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication",1.5,2844,4.67,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication",0,0.0,0,,oesophagus cancer,222205,80017,113,0.0,-2.088,0,1
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None",0.006,0.0,0.035,0.035,1,0.001,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None",1.05,72610,83.49,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None >= 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None",0,0.0,0,,oesophagus cancer,8277,80017,0,0.0,0.0,0,0
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above",0.001,0.0,-0.067,-0.067,1,0.003,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above",1.07,81774,95.46,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above < 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above",0,0.0,0,,oesophagus cancer,8270,80017,0,0.0,0.0,0,0
"Medication for cholesterol, blood pressure or diabetes_Blood pressure medication","Medication for cholesterol, blood pressure or diabetes_Blood pressure medication",0.0,0.0,0.055,0.055,1,0.001,"Medication for cholesterol, blood pressure or diabetes_Blood pressure medication",1.49,9276,15.1,"Medication for cholesterol, blood pressure or diabetes_Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure or diabetes_Blood pressure medication",0,0.0,0,,oesophagus cancer,19083,80017,6,0.0,-2.782,0,1
