Query,feature_name,cui,cui_def,KG_Hits,sim_score,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
acetate,Acetate,C0000975,"acetate. Salt or ester form of acetic acid. Acetate is the most common building block for biosynthesis, such as fatty acids.",0,0.788,0.0,0.0,0.004,0.164,-0.012,0.0,Acetate,1.25,1069,0.18 <= Acetate < 0.20,-0.07,-0.07,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),386872,75025,244,0.0,-1.685,0.0,1.0
Acetoacetate,Acetoacetate,,Acetoacetates. Salts and derivatives of acetoacetic acid.,0,0.86,0.0,0.0,0.0,0.443,-0.002,0.001,Acetoacetate,1.24,2176,-0.23 <= Acetoacetate < -0.18,-0.02,-0.02,2,154,2.96,(Cholelithiasis) OR (Gallbladder disease),5170,75025,1,0.0,-3.39,0.0,0.0
Acetoacetate measurement,Acetoacetate,C0392886,Acetoacetate measurement. The determination of the amount of acetoacetic acid present in a sample.,0,0.665,0.0,0.0,0.0,0.443,-0.002,0.001,Acetoacetate,1.24,2176,-0.23 <= Acetoacetate < -0.18,-0.02,-0.02,99,55,inf,(Cholelithiasis) OR (Gallbladder disease),961,75025,0,0.142,0.0,0.0,0.0
Acetoacetates,Acetoacetate,C0000988,Acetoacetates. Salts and derivatives of acetoacetic acid.,0,0.86,0.0,0.0,0.0,0.443,-0.002,0.001,Acetoacetate,1.24,2176,-0.23 <= Acetoacetate < -0.18,-0.02,-0.02,2,154,2.96,(Cholelithiasis) OR (Gallbladder disease),5170,75025,1,0.0,-3.39,0.0,0.0
acetone,Acetone,C0001002,acetone. A colorless liquid used as a solvent and an antiseptic. It is one of the ketone bodies produced during ketoacidosis.,0,0.864,0.0,0.0,0.002,0.0,-0.012,0.001,Acetone,1.78,161,-1.00 <= Acetone < -1.00,0.03,0.03,2,179,0.22,(Cholelithiasis) OR (Gallbladder disease),32627,75025,11,0.0,-2.588,0.0,1.0
AD alzheimer s disease genetic risk,AD alzheimer s disease genetic risk,,"Alzheimer's Disease. A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA. Impairment of MEMORY, judgment, attention span, and problem solving skills are followed by severe APRAXIAS and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of SENILE PLAQUES; NEUROFIBRILLARY TANGLES; and NEUROPIL THREADS. (From Adams et al., Principles of Neurology, 6th ed, pp1049-57)",0,0.675,0.0,0.0,0.011,0.001,-0.006,0.0,(AD) alzheimer's disease genetic risk,1.24,1629,(AD) alzheimer's disease genetic risk < -2.00,0.16,0.16,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),10041,75025,3,0.0,-2.763,0.0,1.0
addict,Ever addicted to any substance or behaviour,C0858354,addict. ,0,0.685,0.0,0.0,0.0,0.0,-0.017,0.007,Ever addicted to any substance or behaviour_No,1.03,139381,Ever addicted to any substance or behaviour_No < 0.50,0.03,0.08,2,36,0.07,(Cholelithiasis) OR (Gallbladder disease),160265,75025,29,0.0,-3.486,0.0,1.0
AF atrial fibrillation genetic risk,AF atrial fibrillation genetic risk,,PSMD4 gene. This gene is involved in protein degradation.,0,0.184,1.0,0.2,0.001,0.098,0.003,0.0,(AF) atrial fibrillation genetic risk,1.83,96,-1.80 <= (AF) atrial fibrillation genetic risk < -1.80,-0.05,0.1,3,9,9.0,(Cholelithiasis) OR (Gallbladder disease),2505,75025,1,0.038,-2.345,0.0,0.0
African American,Ethnic background African,C0085756,African American. Denotes a person of African ancestral origins whose family settled in America.,0,0.774,2.0,0.7,0.003,0.0,-0.014,0.0,Ethnic background_African,1.0,188359,Ethnic background_African < 0.50,-0.02,-0.02,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),111191,75025,88,0.0,-1.357,0.0,1.0
Age angina diagnosed,Age angina diagnosed,,,0,1.0,0.0,0.0,0.0,0.022,0.005,0.0,Age angina diagnosed_65,1.53,187,Age angina diagnosed_65 >= 0.50,0.08,0.08,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),9587,75025,10,0.014,-0.959,0.0,1.0
Age angina diagnosed infrequent,Age angina diagnosed infrequent,,,0,1.0,0.0,0.0,0.0,0.026,0.005,0.001,Age angina diagnosed_infrequent_,1.58,146,Age angina diagnosed_infrequent_ >= 0.50,0.03,0.03,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),38,75025,0,0.926,0.0,0.0,0.0
Age asthma diagnosed,Age asthma diagnosed,,,0,1.0,0.0,0.0,0.0,0.0,0.009,0.0,Age asthma diagnosed_23,1.91,184,Age asthma diagnosed_23 >= 0.50,0.05,0.07,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),22110,75025,15,0.0,-1.58,0.0,1.0
Age cataract diagnosed,Age cataract diagnosed,,,0,1.0,0.0,0.0,0.0,0.028,0.005,0.0,Age cataract diagnosed_54,1.0,189557,Age cataract diagnosed_54 < 0.50,0.1,0.2,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),10674,75025,10,0.004,-1.114,0.0,1.0
Age emphysema chronic bronchitis diagnosed,Age emphysema chronic bronchitis diagnosed,,,0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,Age emphysema/chronic bronchitis diagnosed_15,1.0,189576,Age emphysema/chronic bronchitis diagnosed_15 < 0.50,0.16,0.26,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),413,75025,1,0.795,0.256,0.0,0.0
Age hay fever rhinitis or eczema diagnosed,Age hay fever rhinitis or eczema diagnosed,,Hay fever. Allergic rhinitis caused by outdoor allergens.,0,0.678,1.0,0.2,0.0,0.023,-0.005,0.0,"Age hay fever, rhinitis or eczema diagnosed_18",1.0,188488,"Age hay fever, rhinitis or eczema diagnosed_18 < 0.50",-0.11,-0.11,2,62,0.15,(Cholelithiasis) OR (Gallbladder disease),13495,75025,7,0.0,-1.967,0.0,1.0
Age other serious eye condition diagnosed,Age other serious eye condition diagnosed,,,0,1.0,0.0,0.0,0.0,0.045,0.005,0.0,Age other serious eye condition diagnosed_55,1.0,189569,Age other serious eye condition diagnosed_55 < 0.50,0.17,0.17,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),137,75025,0,0.757,0.0,0.0,0.0
Age related macular degeneration,(AMD) age-related macular degeneration genetic risk,C0242383,"Age related macular degeneration. Age-related loss of vision in the central portion of the retina (macula), secondary to retinal degeneration.",0,0.76,0.0,0.0,0.006,0.006,0.006,0.0,(AMD) age-related macular degeneration genetic risk,1.22,207,-0.01 <= (AMD) age-related macular degeneration genetic risk < -0.01,0.11,0.16,2,144,0.12,(Cholelithiasis) OR (Gallbladder disease),45333,75025,2,0.0,-5.522,0.0,1.0
airway disease,airways disease,C0699949,airway disease. ,0,0.935,0.0,0.0,0.0,0.045,0.005,0.0,"Non-cancer illness code, self-reported | Array 2__airways disease",1.44,206,"Non-cancer illness code, self-reported | Array 2__airways disease >= 0.17",0.26,0.3,2,3,0.01,(Cholelithiasis) OR (Gallbladder disease),95950,75025,36,0.0,-2.434,0.0,1.0
airways,airways,,"Artificial Airways. Devices designed to permit the passage of gases (e.g., air, oxygen) to the lungs while preventing obstruction of the patient's upper airway. These airways include a variety of devices according to the technique used to facilitate the passage of gases, the intended application, and the expected time of use. In emergency and/or for short-time use, esophageal obturation with one- or two-lumen tubes and oropharyngeal artificial airways are typically used. For a few days of intubation, nasopharyngeal artificial airways are the most commonly used devices, while for longer periods (up to three weeks) endotracheal tubes are the preferred devices. When long-term mechanical ventilation is needed, tracheostomy tubes are used. Artificial airways are available in a variety of configurations from newborn to adult sizes.",0,0.353,0.0,0.0,0.0,0.045,0.005,0.0,"Non-cancer illness code, self-reported | Array 2__airways",1.44,206,"Non-cancer illness code, self-reported | Array 2__airways >= 0.17",0.13,0.13,2,260,0.68,(Cholelithiasis) OR (Gallbladder disease),227236,75025,53,0.0,-3.12,0.0,1.0
airways disease,airways disease,,airway disease. ,0,0.935,0.0,0.0,0.0,0.045,0.005,0.0,"Non-cancer illness code, self-reported | Array 2__airways disease",1.44,206,"Non-cancer illness code, self-reported | Array 2__airways disease >= 0.17",0.26,0.3,2,3,0.01,(Cholelithiasis) OR (Gallbladder disease),95950,75025,36,0.0,-2.434,0.0,1.0
Airway structure,airways,C0458827,Airway structure. The part of the respiratory system between the nose or mouth and the lungs.,0,0.57,0.0,0.0,0.0,0.045,0.005,0.0,"Non-cancer illness code, self-reported | Array 2__airways",1.44,206,"Non-cancer illness code, self-reported | Array 2__airways >= 0.17",0.13,0.13,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),13112,75025,0,0.0,0.0,0.0,0.0
ALB gene,Albumin,C1412332,ALB gene. ,0,0.596,0.0,0.0,0.009,0.0,-0.019,0.0,Albumin,1.41,3512,Albumin < -2.40,0.03,0.03,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),1692,75025,3,0.552,-0.194,0.0,1.0
Albumin,Albumin,,"Albumins. Water-soluble proteins found in egg whites, blood, lymph, and other tissues and fluids. They coagulate upon heating.",0,0.835,0.0,0.0,0.009,0.0,-0.019,0.0,Albumin,1.41,3512,Albumin < -2.40,0.03,0.03,2,98,0.04,(Cholelithiasis) OR (Gallbladder disease),318332,75025,503,0.0,-0.36,0.0,1.0
Albumins,Albumin,C0001924,"Albumins. Water-soluble proteins found in egg whites, blood, lymph, and other tissues and fluids. They coagulate upon heating.",0,0.835,0.0,0.0,0.009,0.0,-0.019,0.0,Albumin,1.41,3512,Albumin < -2.40,0.03,0.03,2,98,0.04,(Cholelithiasis) OR (Gallbladder disease),318332,75025,503,0.0,-0.36,0.0,1.0
Alcohol drinker status Current,Alcohol drinker status Current,,,0,1.0,0.0,0.0,0.0,0.0,-0.026,0.027,Alcohol drinker status_Current,1.26,18018,Alcohol drinker status_Current < 0.50,0.0,0.12,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),716,75025,0,0.234,0.0,0.0,0.0
Alcohol drinker status Never,Alcohol drinker status Never,,Current non-drinker of alcohol. An individual who does not drink at the present time. This is a heterogeneous group comprising both lifelong teetotallers and ex-drinkers.,0,0.764,0.0,0.0,0.001,0.0,0.017,0.001,Alcohol drinker status_Never,1.23,9548,Alcohol drinker status_Never >= 0.50,0.02,0.02,2,169,6.04,(Cholelithiasis) OR (Gallbladder disease),248,75025,0,0.604,0.0,0.0,0.0
Alcohol drinker status Previous,Alcohol drinker status Previous,,Current non-drinker of alcohol. An individual who does not drink at the present time. This is a heterogeneous group comprising both lifelong teetotallers and ex-drinkers.,0,0.616,0.0,0.0,0.0,0.0,0.02,0.0,Alcohol drinker status_Previous,1.31,7809,Alcohol drinker status_Previous >= 0.50,0.03,0.1,2,169,6.04,(Cholelithiasis) OR (Gallbladder disease),199,75025,1,0.938,1.309,0.0,0.0
Alcohol intake frequency Daily or almost daily,Alcohol intake frequency Daily or almost daily,,Daily or Almost Daily Response. A subjective response that something happens daily or almost daily.,0,0.461,1.0,0.5,0.058,0.0,-0.041,0.004,Alcohol intake frequency._Daily or almost daily,1.06,153690,Alcohol intake frequency._Daily or almost daily < 0.50,-0.02,0.13,99,0,0.0,(Cholelithiasis) OR (Gallbladder disease),734060,75025,647,0.0,-1.202,0.0,1.0
Alcohol intake frequency One to three times a month,Alcohol intake frequency One to three times a month,,,0,1.0,0.0,0.0,0.011,0.0,0.021,0.001,Alcohol intake frequency._One to three times a month,1.18,22237,Alcohol intake frequency._One to three times a month >= 0.50,-0.0,0.09,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),195,75025,0,0.673,0.0,0.0,0.0
Alcohol intake frequency Three or four times a week,Alcohol intake frequency Three or four times a week,,,0,1.0,0.0,0.0,0.024,0.0,-0.026,0.005,Alcohol intake frequency._Three or four times a week,1.04,149726,Alcohol intake frequency._Three or four times a week < 0.50,-0.0,0.11,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),40151,75025,75,0.259,-0.118,0.0,1.0
Alive,Z60.2 - Living alone,C4551704,Alive. Showing characteristics of life; displaying signs of life.,0,0.269,0.0,0.0,0.0,0.084,0.006,0.001,Z60.2 - Living alone,2.0,165,11.00 <= Z60.2 - Living alone < 13.00,-0.06,-0.06,99,213,inf,(Cholelithiasis) OR (Gallbladder disease),64553,75025,353,1.0,1.431,0.0,1.0
Allergic,allergic,C0700624,"Allergic. Pertaining to, caused by, affected with or of the nature of allergy.",0,0.833,0.0,0.0,0.0,0.004,-0.007,0.0,"Non-cancer illness code, self-reported | Array 0__allergic",1.0,187071,"Non-cancer illness code, self-reported | Array 0__allergic < 0.22",0.02,0.02,99,0,0.0,(Cholelithiasis) OR (Gallbladder disease),163917,75025,103,0.0,-1.69,0.0,1.0
allergic rhinitis,allergic rhinitis,,"Allergic rhinitis (disorder). Inflammation of the nasal mucous membranes caused by an IgE-mediated response to external allergens. The inflammation may also involve the mucous membranes of the sinuses, eyes, middle ear, and pharynx. Symptoms include sneezing, nasal congestion, rhinorrhea, and itching. It may lead to fatigue, drowsiness, and malaise thus causing impairment of the quality of life.",0,0.871,0.0,0.0,0.0,0.004,-0.007,0.0,"Non-cancer illness code, self-reported | Array 0__allergic rhinitis",1.0,187071,"Non-cancer illness code, self-reported | Array 0__allergic rhinitis < 0.22",-0.08,-0.08,2,92,46.0,(Cholelithiasis) OR (Gallbladder disease),37637,75025,8,0.0,-3.254,0.0,1.0
Allergic rhinitis (disorder),allergic rhinitis,C2607914,"Allergic rhinitis (disorder). Inflammation of the nasal mucous membranes caused by an IgE-mediated response to external allergens. The inflammation may also involve the mucous membranes of the sinuses, eyes, middle ear, and pharynx. Symptoms include sneezing, nasal congestion, rhinorrhea, and itching. It may lead to fatigue, drowsiness, and malaise thus causing impairment of the quality of life.",0,0.871,0.0,0.0,0.0,0.004,-0.007,0.0,"Non-cancer illness code, self-reported | Array 0__allergic rhinitis",1.0,187071,"Non-cancer illness code, self-reported | Array 0__allergic rhinitis < 0.22",-0.08,-0.08,2,92,46.0,(Cholelithiasis) OR (Gallbladder disease),37637,75025,3,0.0,-4.669,0.0,6.0
Allergic rhinitis (disorder),"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",C2607914,"Allergic rhinitis (disorder). Inflammation of the nasal mucous membranes caused by an IgE-mediated response to external allergens. The inflammation may also involve the mucous membranes of the sinuses, eyes, middle ear, and pharynx. Symptoms include sneezing, nasal congestion, rhinorrhea, and itching. It may lead to fatigue, drowsiness, and malaise thus causing impairment of the quality of life.",0,0.265,0.0,0.0,0.0,0.0,0.009,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",1.53,577,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema >= 0.50",0.06,0.06,2,92,46.0,(Cholelithiasis) OR (Gallbladder disease),37637,75025,3,0.0,-4.669,0.0,6.0
Allergic rhinitis (disorder),"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Emphysema/chronic bronchitis|Hayfever, allergic rhinitis or eczema",C2607914,"Allergic rhinitis (disorder). Inflammation of the nasal mucous membranes caused by an IgE-mediated response to external allergens. The inflammation may also involve the mucous membranes of the sinuses, eyes, middle ear, and pharynx. Symptoms include sneezing, nasal congestion, rhinorrhea, and itching. It may lead to fatigue, drowsiness, and malaise thus causing impairment of the quality of life.",0,0.314,0.0,0.0,0.0,0.003,0.007,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Hayfever, allergic rhinitis or eczema",1.51,350,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Hayfever, allergic rhinitis or eczema >= 0.50",0.05,0.05,2,92,46.0,(Cholelithiasis) OR (Gallbladder disease),37637,75025,3,0.0,-4.669,0.0,6.0
Allergic rhinitis (disorder),"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Hayfever, allergic rhinitis or eczema",C2607914,"Allergic rhinitis (disorder). Inflammation of the nasal mucous membranes caused by an IgE-mediated response to external allergens. The inflammation may also involve the mucous membranes of the sinuses, eyes, middle ear, and pharynx. Symptoms include sneezing, nasal congestion, rhinorrhea, and itching. It may lead to fatigue, drowsiness, and malaise thus causing impairment of the quality of life.",0,0.416,0.0,0.0,0.0,0.0,-0.009,0.003,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Hayfever, allergic rhinitis or eczema",1.01,158765,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Hayfever, allergic rhinitis or eczema < 0.50",-0.04,-0.04,2,92,46.0,(Cholelithiasis) OR (Gallbladder disease),37637,75025,3,0.0,-4.669,0.0,6.0
Allergic rhinitis (disorder),"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Asthma|Hayfever, allergic rhinitis or eczema",C2607914,"Allergic rhinitis (disorder). Inflammation of the nasal mucous membranes caused by an IgE-mediated response to external allergens. The inflammation may also involve the mucous membranes of the sinuses, eyes, middle ear, and pharynx. Symptoms include sneezing, nasal congestion, rhinorrhea, and itching. It may lead to fatigue, drowsiness, and malaise thus causing impairment of the quality of life.",0,0.31,0.0,0.0,0.0,0.01,0.006,0.002,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Asthma|Hayfever, allergic rhinitis or eczema",1.08,9629,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Asthma|Hayfever, allergic rhinitis or eczema >= 0.50",-0.0,-0.0,2,92,46.0,(Cholelithiasis) OR (Gallbladder disease),37637,75025,3,0.0,-4.669,0.0,6.0
Allergic rhinitis (disorder),"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",C2607914,"Allergic rhinitis (disorder). Inflammation of the nasal mucous membranes caused by an IgE-mediated response to external allergens. The inflammation may also involve the mucous membranes of the sinuses, eyes, middle ear, and pharynx. Symptoms include sneezing, nasal congestion, rhinorrhea, and itching. It may lead to fatigue, drowsiness, and malaise thus causing impairment of the quality of life.",0,0.163,0.0,0.0,0.0,0.013,0.006,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",1.0,189568,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema < 0.50",0.02,0.02,2,92,46.0,(Cholelithiasis) OR (Gallbladder disease),37637,75025,3,0.0,-4.669,0.0,6.0
allergy,allergy,,Allergy Specialty. ,0,0.694,0.0,0.0,0.0,0.063,-0.004,0.0,"Non-cancer illness code, self-reported | Array 0__allergy",1.0,188965,"Non-cancer illness code, self-reported | Array 0__allergy < 0.17",0.04,0.04,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),612343,75025,374,0.0,-1.731,0.0,1.0
Allergy adverse effect of penicillin,Allergy adverse effect of penicillin,,"penicillins. A group of antibiotics that contain 6-aminopenicillanic acid with a side chain attached to the 6-amino group. The penicillin nucleus is the chief structural requirement for biological activity. The side-chain structure determines many of the antibacterial and pharmacological characteristics. (Goodman and Gilman's The Pharmacological Basis of Therapeutics, 8th ed, p1065)",0,0.517,0.0,0.0,0.001,0.766,0.003,0.0,Allergy/adverse effect of penicillin,1.72,519,Allergy/adverse effect of penicillin >= 5.30,0.06,0.06,2,11,0.02,(Cholelithiasis) OR (Gallbladder disease),4319,75025,8,0.488,-0.131,0.0,1.0
allergy anaphylactic,allergy anaphylactic,,,0,1.0,0.0,0.0,0.0,0.021,0.005,0.0,"Non-cancer illness code, self-reported | Array 3__allergy anaphylactic",1.52,116,"0.18 <= Non-cancer illness code, self-reported | Array 3__allergy anaphylactic < 0.37",-0.16,-0.16,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),10010,75025,10,0.009,-1.021,0.0,1.0
allergy hypersensitivity,allergy hypersensitivity,,,0,1.0,0.0,0.0,0.0,0.004,0.007,0.0,"Non-cancer illness code, self-reported | Array 6__allergy hypersensitivity",1.0,189566,"Non-cancer illness code, self-reported | Array 6__allergy hypersensitivity < 0.23",-0.03,-0.03,2,74,0.26,(Cholelithiasis) OR (Gallbladder disease),448672,75025,283,0.0,-1.685,0.0,1.0
Allergy Specialty,allergy,C0002111,Allergy Specialty. ,0,0.694,0.0,0.0,0.0,0.063,-0.004,0.0,"Non-cancer illness code, self-reported | Array 0__allergy",1.0,188965,"Non-cancer illness code, self-reported | Array 0__allergy < 0.17",0.04,0.04,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Emphysema/chronic bronchitis|Asthma",C0002111,Allergy Specialty. ,0,0.338,0.0,0.0,0.0,0.0,0.01,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma",1.5,816,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma >= 0.50",0.1,0.1,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
Allergy Specialty,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",C0002111,Allergy Specialty. ,0,0.341,0.0,0.0,0.0,0.0,0.009,0.0,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",1.53,577,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema >= 0.50",0.06,0.06,99,26,inf,(Cholelithiasis) OR (Gallbladder disease),150170,75025,37,0.0,-3.041,0.0,17.0
