Query,name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,feature_level_sum_kg_hits,sim_score,KG_Hits,cui,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
Concentration of IDL Particles,Concentration of IDL Particles,0.002,0.0,-0.033,-0.031,1,0.06,Concentration of IDL Particles,1.43,2252,3.52,-3.80 <= Concentration of IDL Particles < -2.40,Concentration of IDL Particles,0,0.0,0,,Gout,296,23360,0,0.829,0.0,0,0
Concentration of Large HDL Particles,Concentration of Large HDL Particles,0.002,0.0,-0.025,-0.024,1,0.068,Concentration of Large HDL Particles,1.47,954,1.53,-3.10 <= Concentration of Large HDL Particles < -2.30,Concentration of Large HDL Particles,0,0.0,0,,Gout,736,23360,0,0.628,0.0,0,0
Concentration of Medium LDL Particles,Concentration of Medium LDL Particles,0.002,0.0,-0.017,-0.016,1,0.059,Concentration of Medium LDL Particles,1.38,1141,1.73,-3.70 <= Concentration of Medium LDL Particles < -2.80,Concentration of Medium LDL Particles,0,0.0,0,,Gout,236,23360,0,0.862,0.0,0,0
Concentration of Small HDL Particles,Concentration of Small HDL Particles,0.001,0.0,0.01,0.01,1,0.054,Concentration of Small HDL Particles,1.44,1117,1.76,2.10 <= Concentration of Small HDL Particles < 2.70,Concentration of Small HDL Particles,0,0.0,0,,Gout,880,23360,0,0.574,0.0,0,0
Concentration of Small LDL Particles,Concentration of Small LDL Particles,0.001,0.0,-0.017,-0.016,1,0.049,Concentration of Small LDL Particles,1.0,80534,87.97,-2.80 <= Concentration of Small LDL Particles < 0.19,Concentration of Small LDL Particles,0,0.0,0,,Gout,992,23360,0,0.534,0.0,0,0
Concentration of Very Large HDL Particles,Concentration of Very Large HDL Particles,0.003,0.0,-0.032,-0.031,1,0.057,Concentration of Very Large HDL Particles,1.36,1434,2.13,-2.80 <= Concentration of Very Large HDL Particles < -2.10,Concentration of Very Large HDL Particles,0,0.0,0,,Gout,736,23360,0,0.628,0.0,0,0
Concentration of Very Large VLDL Particles,Concentration of Very Large VLDL Particles,0.004,0.0,0.029,0.027,1,0.07,Concentration of Very Large VLDL Particles,1.4,2817,4.29,2.10 <= Concentration of Very Large VLDL Particles < 5.40,Concentration of Very Large VLDL Particles,0,0.0,0,,Gout,385,23360,0,0.784,0.0,0,0
Concentration of Very Small VLDL Particles,Concentration of Very Small VLDL Particles,0.001,0.001,-0.01,-0.01,1,0.066,Concentration of Very Small VLDL Particles,1.12,7399,9.05,-3.90 <= Concentration of Very Small VLDL Particles < -0.95,Concentration of Very Small VLDL Particles,0,0.0,0,,Gout,395,23360,0,0.779,0.0,0,0
Concentration of VLDL Particles,Concentration of VLDL Particles,0.002,0.007,0.004,0.003,1,0.052,Concentration of VLDL Particles,1.22,962,1.28,3.60 <= Concentration of VLDL Particles < 6.20,Concentration of VLDL Particles,0,0.0,0,,Gout,1398,23360,0,0.414,0.0,0,0
Congenital anomalies of great vessels,Congenital anomalies of great vessels,0.001,0.17,0.005,0.005,1,0.0,Congenital anomalies of great vessels,1.0,90650,98.57,-2.30 <= Congenital anomalies of great vessels < 0.41,Congenital anomalies of great vessels,0,0.0,0,,Gout,10418,23360,0,0.001,0.0,0,0
Congestive heart failure (CHF) NOS,Congestive heart failure (CHF) NOS,0.008,0.07,0.007,0.007,1,0.002,Congestive heart failure (CHF) NOS,0.98,90159,96.12,-0.20 <= Congestive heart failure (CHF) NOS < 0.76,Congestive heart failure (CHF) NOS,0,0.0,0,,Gout,473,23360,0,0.742,0.0,0,0
(CVD) cardiovascular disease genetic risk,(CVD) cardiovascular disease genetic risk,0.01,0.0,0.028,0.022,1,0.308,(CVD) cardiovascular disease genetic risk,1.09,30971,37.0,0.38 <= (CVD) cardiovascular disease genetic risk < 3.00,(CVD) cardiovascular disease genetic risk,0,0.0,0,,Gout,71879,23360,8,0.0,-2.504,0,1
Date of all cause dementia report,Date of all cause dementia report,0.008,0.0,-0.023,-0.023,1,0.002,Date of all cause dementia report,1.0,91105,98.98,-5.20 <= Date of all cause dementia report < 1.10,Date of all cause dementia report,0,0.0,0,,Gout,803,23360,1,0.908,0.98,0,0
Dental caries,Dental caries,0.001,0.066,-0.004,-0.004,1,0.0,Dental caries,1.0,90780,98.73,-1.90 <= Dental caries < 3.40,Dental caries,0,0.0,0,,Gout,68626,23360,14,0.0,-1.63,0,1
Diaphragmatic hernia,Diaphragmatic hernia,0.003,0.348,0.002,0.002,1,0.0,Diaphragmatic hernia,1.13,2977,3.67,-4.40 <= Diaphragmatic hernia < -0.05,Diaphragmatic hernia,0,0.0,0,,Gout,22535,23360,0,0.0,0.0,0,0
Diverticulosis,Diverticulosis,0.004,0.737,0.002,0.002,1,0.001,Diverticulosis,1.38,1508,2.27,-1.40 <= Diverticulosis < -0.09,Diverticulosis,0,0.0,0,,Gout,25728,23360,7,0.009,-1.214,0,1
Epistaxis or throat hemorrhage,Epistaxis or throat hemorrhage,0.001,0.002,-0.005,-0.005,1,0.0,Epistaxis or throat hemorrhage,0.99,90943,98.68,-0.65 <= Epistaxis or throat hemorrhage < 8.90,Epistaxis or throat hemorrhage,0,0.0,0,,Gout,24794,23360,11,0.145,-0.509,0,1
Fluid intelligence score,Fluid intelligence score,0.002,0.011,-0.008,-0.007,1,0.0,Fluid intelligence score,1.26,1102,1.52,-3.60 <= Fluid intelligence score < -2.80,Fluid intelligence score,0,0.0,0,,Gout,836,23360,1,0.901,0.922,0,0
Gastritis and duodenitis,Gastritis and duodenitis,0.002,0.205,0.008,0.008,1,0.0,Gastritis and duodenitis,1.27,2228,3.1,0.49 <= Gastritis and duodenitis < 4.60,Gastritis and duodenitis,0,0.0,0,,Gout,6252,23360,3,0.444,-0.396,0,1
GERD,GERD,0.0,0.092,-0.005,-0.005,1,0.0,GERD,1.0,89393,97.39,-0.63 <= GERD < 4.40,GERD,0,0.0,0,,Gout,41586,23360,15,0.013,-0.808,0,1
had_disease_past,had_disease_past,0.013,0.0,0.122,0.122,1,0.004,had_disease_past,0.98,91355,97.89,had_disease_past < 9.80,had_disease_past,0,0.0,0,,Gout,259,23360,1,0.988,2.612,0,0
(HDL) high density lipoprotein cholesterol genetic risk,(HDL) high density lipoprotein cholesterol genetic risk,0.016,0.0,-0.021,-0.017,1,0.307,(HDL) high density lipoprotein cholesterol genetic risk,1.15,7182,9.05,(HDL) high density lipoprotein cholesterol genetic risk < -1.40,(HDL) high density lipoprotein cholesterol genetic risk,0,0.0,0,,Gout,5729,23360,4,0.703,0.145,0,1
Hearing loss,Hearing loss,0.001,0.413,0.006,0.006,1,0.0,Hearing loss,1.0,90120,97.99,-0.47 <= Hearing loss < 0.54,Hearing loss,0,0.0,0,,Gout,108740,23360,47,0.004,-0.547,0,1
Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,0.005,0.007,0.009,0.009,1,0.0,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,1.1,5915,7.12,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse >= 0.50,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,0,0.0,0,,Gout,278,23360,0,0.839,0.0,0,0
Home area population density - urban or rural_England/Wales - Urban - less sparse,Home area population density - urban or rural_England/Wales - Urban - less sparse,0.005,0.0,0.034,0.034,1,0.001,Home area population density - urban or rural_England/Wales - Urban - less sparse,1.05,73086,83.94,Home area population density - urban or rural_England/Wales - Urban - less sparse >= 0.50,Home area population density - urban or rural_England/Wales - Urban - less sparse,0,0.0,0,,Gout,278,23360,0,0.839,0.0,0,0
Home area population density - urban or rural_Scotland - Accessible Rural,Home area population density - urban or rural_Scotland - Accessible Rural,0.001,0.0,-0.012,-0.012,1,0.0,Home area population density - urban or rural_Scotland - Accessible Rural,1.0,91322,99.9,Home area population density - urban or rural_Scotland - Accessible Rural < 0.50,Home area population density - urban or rural_Scotland - Accessible Rural,0,0.0,0,,Gout,300,23360,0,0.827,0.0,0,0
Home area population density - urban or rural_Scotland - Large Urban Area,Home area population density - urban or rural_Scotland - Large Urban Area,0.081,0.0,-0.052,-0.052,1,0.002,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,98.46,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,Home area population density - urban or rural_Scotland - Large Urban Area,0,0.0,0,,Gout,285,23360,0,0.835,0.0,0,0
Home area population density - urban or rural_Scotland - Other Urban Area,Home area population density - urban or rural_Scotland - Other Urban Area,0.013,0.0,-0.027,-0.027,1,0.0,Home area population density - urban or rural_Scotland - Other Urban Area,1.01,90570,99.73,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,Home area population density - urban or rural_Scotland - Other Urban Area,0,0.0,0,,Gout,282,23360,0,0.837,0.0,0,0
(HT) hypertension genetic risk,(HT) hypertension genetic risk,0.008,0.0,0.035,0.029,1,0.307,(HT) hypertension genetic risk,1.23,10112,13.62,(HT) hypertension genetic risk >= 1.20,(HT) hypertension genetic risk,0,0.0,0,,Gout,19216,23360,0,0.0,0.0,0,0
LDL direct Blood biochemistry,LDL direct Blood biochemistry,0.056,0.0,-0.06,-0.049,1,0.03,LDL direct Blood biochemistry,1.34,9470,13.9,-2.70 <= LDL direct Blood biochemistry < -1.30,LDL direct Blood biochemistry,0,0.0,0,,Gout,284,23360,0,0.836,0.0,0,0
Leg fat-free mass (right),Leg fat-free mass (right),0.021,0.0,0.038,0.031,1,0.002,Leg fat-free mass (right),1.27,7049,9.74,1.40 <= Leg fat-free mass (right) < 3.70,Leg fat-free mass (right),0,0.0,0,,Gout,42,23360,0,0.974,0.0,0,0
"Long-standing illness, disability or infirmity_Yes","Long-standing illness, disability or infirmity_Yes",0.021,0.0,0.087,0.087,1,0.004,"Long-standing illness, disability or infirmity_Yes",1.3,39404,55.98,"Long-standing illness, disability or infirmity_Yes >= 0.50","Long-standing illness, disability or infirmity_Yes",0,0.0,0,,Gout,205,23360,0,0.879,0.0,0,0
M47.82 - Other spondylosis (Cervical region),M47.82 - Other spondylosis (Cervical region),0.001,0.1,-0.005,-0.005,1,0.0,M47.82 - Other spondylosis (Cervical region),1.0,90852,98.83,-0.73 <= M47.82 - Other spondylosis (Cervical region) < 0.34,M47.82 - Other spondylosis (Cervical region),0,0.0,0,,Gout,79,23360,1,0.999,4.325,0,0
M54.56 - Low back pain (Lumbar region),M54.56 - Low back pain (Lumbar region),0.002,0.0,0.012,0.012,1,0.0,M54.56 - Low back pain (Lumbar region),1.0,91086,99.17,-17.00 <= M54.56 - Low back pain (Lumbar region) < 0.75,M54.56 - Low back pain (Lumbar region),0,0.0,0,,Gout,3127,23360,0,0.139,0.0,0,0
M79.66 - Pain in limb (Lower leg),M79.66 - Pain in limb (Lower leg),0.002,0.139,0.006,0.006,1,0.0,M79.66 - Pain in limb (Lower leg),1.0,90618,98.5,-0.49 <= M79.66 - Pain in limb (Lower leg) < 0.39,M79.66 - Pain in limb (Lower leg),0,0.0,0,,Gout,9586,23360,8,0.842,0.403,0,1
Mean platelet (thrombocyte) volume,Mean platelet (thrombocyte) volume,0.004,0.001,0.009,0.007,1,0.005,Mean platelet (thrombocyte) volume,1.17,2852,3.66,0.86 <= Mean platelet (thrombocyte) volume < 1.00,Mean platelet (thrombocyte) volume,0,0.0,0,,Gout,3279,23360,0,0.126,0.0,0,0
Meat substitutes - vegetarian,Meat substitutes - vegetarian,0.002,0.255,0.004,0.004,1,0.0,Meat substitutes - vegetarian,1.01,80042,87.96,-0.18 <= Meat substitutes - vegetarian < 3.10,Meat substitutes - vegetarian,0,0.0,0,,Gout,64,23360,0,0.96,0.0,0,0
Microalbumin in urine,Microalbumin in urine,0.032,0.0,0.016,0.014,1,0.022,Microalbumin in urine,2.64,1415,4.07,0.85 <= Microalbumin in urine < 7.50,Microalbumin in urine,0,0.0,0,,Gout,899,23360,3,0.997,2.402,0,1
(MS) multiple sclerosis genetic risk,(MS) multiple sclerosis genetic risk,0.021,0.001,0.011,0.009,1,0.307,(MS) multiple sclerosis genetic risk,1.18,2699,3.48,(MS) multiple sclerosis genetic risk >= 2.10,(MS) multiple sclerosis genetic risk,0,0.0,0,,Gout,3798,23360,2,0.57,-0.262,0,1
Neuroticism score,Neuroticism score,0.007,0.254,0.003,0.003,1,0.0,Neuroticism score,1.13,6228,7.68,0.23 <= Neuroticism score < 0.58,Neuroticism score,0,0.0,0,,Gout,3686,23360,1,0.325,-1.219,0,0
"Non-cancer illness code, self-reported | Array 1 diabetes","Non-cancer illness code, self-reported | Array 1 diabetes",0.001,0.0,0.022,0.022,1,0.0,"Non-cancer illness code, self-reported | Array 1__diabetes",1.33,3899,5.66,"Non-cancer illness code, self-reported | Array 1__diabetes >= 0.43","Non-cancer illness code, self-reported | Array 1 diabetes",0,0.0,0,,Gout,3395,23360,8,1.0,1.9,0,1
"Non-cancer illness code, self-reported | Array 1 gout","Non-cancer illness code, self-reported | Array 1 gout",0.062,0.0,0.223,0.223,1,0.013,"Non-cancer illness code, self-reported | Array 1__gout",6.78,1215,9.0,"Non-cancer illness code, self-reported | Array 1__gout >= 0.50","Non-cancer illness code, self-reported | Array 1 gout",0,0.0,0,,Gout,58,23360,56,1.0,10.579,0,1
"Non-cancer illness code, self-reported | Array 1 hypothyroidism","Non-cancer illness code, self-reported | Array 1 hypothyroidism",0.0,0.125,-0.005,-0.005,1,0.0,"Non-cancer illness code, self-reported | Array 1__hypothyroidism",1.0,90531,99.01,"Non-cancer illness code, self-reported | Array 1__hypothyroidism < 0.29","Non-cancer illness code, self-reported | Array 1 hypothyroidism",0,0.0,0,,Gout,120,23360,0,0.927,0.0,0,0
"Non-cancer illness code, self-reported | Array 1 osteoarthritis","Non-cancer illness code, self-reported | Array 1 osteoarthritis",0.001,0.0,0.012,0.012,1,0.0,"Non-cancer illness code, self-reported | Array 1__osteoarthritis",1.2,2704,3.54,"Non-cancer illness code, self-reported | Array 1__osteoarthritis >= 0.50","Non-cancer illness code, self-reported | Array 1 osteoarthritis",0,0.0,0,,Gout,429,23360,3,1.0,3.469,0,1
"Non-cancer illness code, self-reported | Array 1 renal","Non-cancer illness code, self-reported | Array 1 renal",0.001,0.0,0.044,0.043,1,0.001,"Non-cancer illness code, self-reported | Array 1__renal",0.99,91368,99.12,"Non-cancer illness code, self-reported | Array 1__renal < 0.16","Non-cancer illness code, self-reported | Array 1 renal",0,0.0,0,,Gout,2382,23360,5,0.996,1.733,0,1
"Non-cancer illness code, self-reported | Array 2 embolism","Non-cancer illness code, self-reported | Array 2 embolism",0.001,0.0,0.026,0.026,1,0.0,"Non-cancer illness code, self-reported | Array 2__embolism",1.0,91326,99.29,"Non-cancer illness code, self-reported | Array 2__embolism < 0.23","Non-cancer illness code, self-reported | Array 2 embolism",0,0.0,0,,Gout,157,23360,0,0.906,0.0,0,0
"Non-cancer illness code, self-reported | Array 2 failure","Non-cancer illness code, self-reported | Array 2 failure",0.0,0.0,0.035,0.035,1,0.0,"Non-cancer illness code, self-reported | Array 2__failure",1.0,91470,99.49,"Non-cancer illness code, self-reported | Array 2__failure < 0.18","Non-cancer illness code, self-reported | Array 2 failure",0,0.0,0,,Gout,3664,23360,3,0.797,0.375,0,1
"Non-cancer illness code, self-reported | Array 2 gout","Non-cancer illness code, self-reported | Array 2 gout",0.039,0.0,0.193,0.193,1,0.01,"Non-cancer illness code, self-reported | Array 2__gout",6.61,968,6.99,"Non-cancer illness code, self-reported | Array 2__gout >= 0.50","Non-cancer illness code, self-reported | Array 2 gout",0,0.0,0,,Gout,56,23360,54,1.0,10.577,0,1
"Non-cancer illness code, self-reported | Array 2 pulmonary","Non-cancer illness code, self-reported | Array 2 pulmonary",0.0,0.0,0.032,0.032,1,0.0,"Non-cancer illness code, self-reported | Array 2__pulmonary",0.99,91295,99.14,"Non-cancer illness code, self-reported | Array 2__pulmonary < 0.22","Non-cancer illness code, self-reported | Array 2 pulmonary",0,0.0,0,,Gout,5714,23360,3,0.514,-0.266,0,1
"Non-cancer illness code, self-reported | Array 3 chronic","Non-cancer illness code, self-reported | Array 3 chronic",0.0,0.168,0.006,0.006,1,0.0,"Non-cancer illness code, self-reported | Array 3__chronic",1.0,91265,99.54,"Non-cancer illness code, self-reported | Array 3__chronic < 0.14","Non-cancer illness code, self-reported | Array 3 chronic",0,0.0,0,,Gout,3993,23360,6,0.985,1.251,0,1
"Non-cancer illness code, self-reported | Array 3 depression","Non-cancer illness code, self-reported | Array 3 depression",0.0,0.001,0.011,0.011,1,0.0,"Non-cancer illness code, self-reported | Array 3__depression",1.0,90891,98.94,"Non-cancer illness code, self-reported | Array 3__depression < 0.35","Non-cancer illness code, self-reported | Array 3 depression",0,0.0,0,,Gout,877,23360,0,0.575,0.0,0,0
"Non-cancer illness code, self-reported | Array 3 gout","Non-cancer illness code, self-reported | Array 3 gout",0.024,0.0,0.162,0.162,1,0.007,"Non-cancer illness code, self-reported | Array 3__gout",0.96,90981,95.38,"Non-cancer illness code, self-reported | Array 3__gout < 0.50","Non-cancer illness code, self-reported | Array 3 gout",0,0.0,0,,Gout,49,23360,47,1.0,10.569,0,1
"Non-cancer illness code, self-reported | Array 3 kidney","Non-cancer illness code, self-reported | Array 3 kidney",0.0,0.0,0.029,0.029,1,0.0,"Non-cancer illness code, self-reported | Array 3__kidney",0.99,91272,99.14,"Non-cancer illness code, self-reported | Array 3__kidney < 0.11","Non-cancer illness code, self-reported | Array 3 kidney",0,0.0,0,,Gout,2253,23360,5,0.997,1.814,0,1
