Query,name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,feature_level_sum_kg_hits,sim_score,KG_Hits,cui,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
Arm fat percentage (left),Arm fat percentage (left),0.04,0.203,0.016,0.013,1,0.004,Arm fat percentage (left),1.18,16282,20.9,-0.01 <= Arm fat percentage (left) < 0.61,Arm fat percentage (left),0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),41,100459,0,0.895,0.0,0,0
Arthropathy NOS,Arthropathy NOS,0.01,0.095,-0.004,-0.004,1,0.001,Arthropathy NOS,1.52,1456,2.41,-4.50 <= Arthropathy NOS < -1.90,Arthropathy NOS,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),497622,100459,618,0.0,-1.128,0,1
Asthma,Asthma,0.004,0.036,-0.005,-0.005,1,0.0,Asthma,1.14,1677,2.1,-2.60 <= Asthma < -0.08,Asthma,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),224834,100459,192,0.0,-1.669,0,1
Atrial fibrillation and flutter,Atrial fibrillation and flutter,0.012,0.197,-0.001,-0.001,1,0.002,Atrial fibrillation and flutter,2.0,1394,3.05,-5.10 <= Atrial fibrillation and flutter < -1.20,Atrial fibrillation and flutter,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),7439,100459,3,0.0,-2.751,0,1
Average Diameter for HDL Particles,Average Diameter for HDL Particles,0.001,0.0,-0.021,-0.02,1,0.03,Average Diameter for HDL Particles,1.15,7281,9.12,-3.00 <= Average Diameter for HDL Particles < -0.96,Average Diameter for HDL Particles,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),49,100459,0,0.875,0.0,0,0
Average Diameter for LDL Particles,Average Diameter for LDL Particles,0.001,0.0,-0.027,-0.025,1,0.004,Average Diameter for LDL Particles,1.21,7036,9.26,-5.50 <= Average Diameter for LDL Particles < -0.75,Average Diameter for LDL Particles,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),58,100459,0,0.854,0.0,0,0
Average Diameter for VLDL Particles,Average Diameter for VLDL Particles,0.001,0.0,0.031,0.03,1,0.028,Average Diameter for VLDL Particles,1.87,986,2.01,3.30 <= Average Diameter for VLDL Particles < 5.90,Average Diameter for VLDL Particles,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),27,100459,0,0.929,0.0,0,0
Bacterial infection NOS,Bacterial infection NOS,0.0,0.174,-0.0,-0.0,1,0.0,Bacterial infection NOS,1.32,1113,1.6,0.04 <= Bacterial infection NOS < 7.50,Bacterial infection NOS,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1090105,100459,4,0.0,-9.531,0,1
Birth weight,Birth weight,0.013,0.0,-0.017,-0.015,1,0.002,Birth weight,1.03,72146,81.36,-3.70 <= Birth weight < 0.07,Birth weight,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),130664,100459,67,0.0,-2.405,0,1
Cancer of bronchus; lung,Cancer of bronchus; lung,0.002,0.426,0.005,0.005,1,0.0,Cancer of bronchus; lung,1.0,90707,99.5,-0.09 <= Cancer of bronchus; lung < 0.51,Cancer of bronchus; lung,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),90986,100459,49,0.0,-2.334,0,1
Cancer of prostate,Cancer of prostate,0.002,0.796,0.0,0.0,1,0.0,Cancer of prostate,1.01,88093,97.06,-0.14 <= Cancer of prostate < 0.15,Cancer of prostate,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),217170,100459,287,0.0,-1.039,0,1
Chemotherapy,Chemotherapy,0.003,0.027,0.011,0.011,1,0.0,Chemotherapy,1.0,86391,94.72,-0.03 <= Chemotherapy < 0.72,Chemotherapy,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),4052496,100459,10893,0.134,-0.014,0,1
Cholesterol in IDL,Cholesterol in IDL,0.002,0.0,-0.038,-0.036,1,0.068,Cholesterol in IDL,1.76,1026,1.98,-4.60 <= Cholesterol in IDL < -3.20,Cholesterol in IDL,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1207,100459,1,0.161,-1.712,0,0
Cholesterol in Small VLDL,Cholesterol in Small VLDL,0.001,0.001,-0.012,-0.012,1,0.054,Cholesterol in Small VLDL,1.0,81085,88.96,-3.70 <= Cholesterol in Small VLDL < 0.00,Cholesterol in Small VLDL,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1167,100459,8,0.995,1.336,0,1
Chronic renal failure [CKD],Chronic renal failure [CKD],0.013,0.066,0.025,0.025,1,0.003,Chronic renal failure [CKD],0.97,89920,94.89,-0.59 <= Chronic renal failure [CKD] < 0.34,Chronic renal failure [CKD],0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),140300,100459,289,0.0,-0.398,0,1
Circulatory disease NEC,Circulatory disease NEC,0.001,0.039,-0.002,-0.002,1,0.001,Circulatory disease NEC,1.39,1979,3.01,-4.80 <= Circulatory disease NEC < -0.20,Circulatory disease NEC,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),61,100459,0,0.847,0.0,0,0
Complications of transplants and reattached limbs,Complications of transplants and reattached limbs,0.0,0.104,-0.002,-0.002,1,0.0,Complications of transplants and reattached limbs,0.99,89350,97.0,-1.40 <= Complications of transplants and reattached limbs < 0.39,Complications of transplants and reattached limbs,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),21,100459,0,0.945,0.0,0,0
Concentration of HDL Particles,Concentration of HDL Particles,0.001,0.112,0.002,0.002,1,0.039,Concentration of HDL Particles,1.21,2381,3.16,Concentration of HDL Particles < -2.30,Concentration of HDL Particles,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),2966,100459,3,0.041,-1.425,0,1
Concentration of IDL Particles,Concentration of IDL Particles,0.002,0.0,-0.033,-0.031,1,0.06,Concentration of IDL Particles,1.43,2252,3.52,-3.80 <= Concentration of IDL Particles < -2.40,Concentration of IDL Particles,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),296,100459,0,0.447,0.0,0,0
Concentration of Large HDL Particles,Concentration of Large HDL Particles,0.001,0.0,-0.025,-0.024,1,0.068,Concentration of Large HDL Particles,1.47,954,1.53,-3.10 <= Concentration of Large HDL Particles < -2.30,Concentration of Large HDL Particles,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),736,100459,1,0.406,-0.999,0,0
Concentration of Large LDL Particles,Concentration of Large LDL Particles,0.0,0.0,-0.024,-0.022,1,0.068,Concentration of Large LDL Particles,1.16,7437,9.46,-3.50 <= Concentration of Large LDL Particles < -0.85,Concentration of Large LDL Particles,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),709,100459,1,0.426,-0.945,0,0
Concentration of Medium HDL Particles,Concentration of Medium HDL Particles,0.0,0.003,0.004,0.004,1,0.06,Concentration of Medium HDL Particles,1.18,1085,1.4,3.70 <= Concentration of Medium HDL Particles < 8.70,Concentration of Medium HDL Particles,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),232,100459,0,0.532,0.0,0,0
Concentration of Small LDL Particles,Concentration of Small LDL Particles,0.001,0.0,-0.017,-0.016,1,0.049,Concentration of Small LDL Particles,1.0,80534,87.97,-2.80 <= Concentration of Small LDL Particles < 0.19,Concentration of Small LDL Particles,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),992,100459,1,0.249,-1.429,0,0
Concentration of Very Large VLDL Particles,Concentration of Very Large VLDL Particles,0.002,0.0,0.029,0.027,1,0.07,Concentration of Very Large VLDL Particles,1.4,2817,4.29,2.10 <= Concentration of Very Large VLDL Particles < 5.40,Concentration of Very Large VLDL Particles,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),385,100459,0,0.351,0.0,0,0
Concentration of VLDL Particles,Concentration of VLDL Particles,0.0,0.007,0.004,0.003,1,0.052,Concentration of VLDL Particles,1.22,962,1.28,3.60 <= Concentration of VLDL Particles < 6.20,Concentration of VLDL Particles,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1398,100459,0,0.022,0.0,0,0
Congenital anomalies of great vessels,Congenital anomalies of great vessels,0.0,0.17,0.005,0.005,1,0.0,Congenital anomalies of great vessels,1.0,90650,98.57,-2.30 <= Congenital anomalies of great vessels < 0.41,Congenital anomalies of great vessels,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),10418,100459,4,0.0,-2.822,0,1
Congestive heart failure (CHF) NOS,Congestive heart failure (CHF) NOS,0.008,0.07,0.007,0.007,1,0.002,Congestive heart failure (CHF) NOS,0.98,90159,96.12,-0.20 <= Congestive heart failure (CHF) NOS < 0.76,Congestive heart failure (CHF) NOS,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),473,100459,0,0.276,0.0,0,0
Coronary atherosclerosis,Coronary atherosclerosis,0.001,0.012,-0.005,-0.005,1,0.001,Coronary atherosclerosis,1.55,2721,4.62,-4.90 <= Coronary atherosclerosis < -0.93,Coronary atherosclerosis,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),224940,100459,268,0.0,-1.188,0,1
(CVD) cardiovascular disease genetic risk,(CVD) cardiovascular disease genetic risk,0.009,0.0,0.028,0.022,1,0.308,(CVD) cardiovascular disease genetic risk,1.09,30971,37.0,0.38 <= (CVD) cardiovascular disease genetic risk < 3.00,(CVD) cardiovascular disease genetic risk,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),71879,100459,2,0.0,-6.609,0,1
Date of all cause dementia report,Date of all cause dementia report,0.007,0.0,-0.023,-0.023,1,0.002,Date of all cause dementia report,1.0,91105,98.98,-5.20 <= Date of all cause dementia report < 1.10,Date of all cause dementia report,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),803,100459,0,0.113,0.0,0,0
Dental caries,Dental caries,0.0,0.066,-0.004,-0.004,1,0.0,Dental caries,1.0,90780,98.73,-1.90 <= Dental caries < 3.40,Dental caries,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),68626,100459,19,0.0,-3.294,0,1
Epistaxis or throat hemorrhage,Epistaxis or throat hemorrhage,0.001,0.002,-0.005,-0.005,1,0.0,Epistaxis or throat hemorrhage,0.99,90943,98.68,-0.65 <= Epistaxis or throat hemorrhage < 8.90,Epistaxis or throat hemorrhage,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),24794,100459,47,0.006,-0.518,0,1
Essential hypertension,Essential hypertension,0.005,0.0,-0.021,-0.019,1,0.004,Essential hypertension,1.68,5491,10.09,-3.90 <= Essential hypertension < -1.50,Essential hypertension,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),37844,100459,65,0.0,-0.661,0,1
Fluid intelligence score,Fluid intelligence score,0.001,0.011,-0.008,-0.007,1,0.0,Fluid intelligence score,1.26,1102,1.52,-3.60 <= Fluid intelligence score < -2.80,Fluid intelligence score,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),836,100459,1,0.337,-1.183,0,0
had_disease_past,had_disease_past,0.013,0.0,0.122,0.122,1,0.004,had_disease_past,0.98,91355,97.89,had_disease_past < 9.80,had_disease_past,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),259,100459,2,0.966,1.508,0,1
Haemoglobin concentration,Haemoglobin concentration,0.031,0.0,-0.01,-0.009,1,0.006,Haemoglobin concentration,1.64,1465,2.62,-2.80 <= Haemoglobin concentration < -2.10,Haemoglobin concentration,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),51275,100459,62,0.0,-1.167,0,1
Hemorrhage or hematoma complicating a procedure,Hemorrhage or hematoma complicating a procedure,0.002,0.003,-0.004,-0.004,1,0.0,Hemorrhage or hematoma complicating a procedure,1.24,938,1.27,0.28 <= Hemorrhage or hematoma complicating a procedure < 9.30,Hemorrhage or hematoma complicating a procedure,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),5682367,100459,15358,0.271,-0.007,0,1
Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,0.002,0.007,0.009,0.009,1,0.0,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,1.1,5915,7.12,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse >= 0.50,Home area population density - urban or rural_England/Wales - Town and Fringe - less sparse,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),278,100459,0,0.47,0.0,0,0
Home area population density - urban or rural_England/Wales - Urban - less sparse,Home area population density - urban or rural_England/Wales - Urban - less sparse,0.005,0.0,0.034,0.034,1,0.001,Home area population density - urban or rural_England/Wales - Urban - less sparse,1.05,73086,83.94,Home area population density - urban or rural_England/Wales - Urban - less sparse >= 0.50,Home area population density - urban or rural_England/Wales - Urban - less sparse,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),278,100459,0,0.47,0.0,0,0
Home area population density - urban or rural_Scotland - Accessible Rural,Home area population density - urban or rural_Scotland - Accessible Rural,0.0,0.0,-0.012,-0.012,1,0.0,Home area population density - urban or rural_Scotland - Accessible Rural,1.0,91322,99.9,Home area population density - urban or rural_Scotland - Accessible Rural < 0.50,Home area population density - urban or rural_Scotland - Accessible Rural,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),300,100459,0,0.442,0.0,0,0
Home area population density - urban or rural_Scotland - Accessible Small Town,Home area population density - urban or rural_Scotland - Accessible Small Town,0.0,0.029,-0.007,-0.007,1,0.0,Home area population density - urban or rural_Scotland - Accessible Small Town,1.0,91323,99.83,Home area population density - urban or rural_Scotland - Accessible Small Town < 0.50,Home area population density - urban or rural_Scotland - Accessible Small Town,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),278,100459,0,0.47,0.0,0,0
Home area population density - urban or rural_Scotland - Large Urban Area,Home area population density - urban or rural_Scotland - Large Urban Area,0.078,0.0,-0.052,-0.052,1,0.002,Home area population density - urban or rural_Scotland - Large Urban Area,1.04,87079,98.46,Home area population density - urban or rural_Scotland - Large Urban Area < 0.50,Home area population density - urban or rural_Scotland - Large Urban Area,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),285,100459,0,0.461,0.0,0,0
Home area population density - urban or rural_Scotland - Other Urban Area,Home area population density - urban or rural_Scotland - Other Urban Area,0.014,0.0,-0.027,-0.027,1,0.0,Home area population density - urban or rural_Scotland - Other Urban Area,1.01,90570,99.73,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,Home area population density - urban or rural_Scotland - Other Urban Area,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),282,100459,0,0.465,0.0,0,0
(HT) hypertension genetic risk,(HT) hypertension genetic risk,0.008,0.0,0.035,0.029,1,0.307,(HT) hypertension genetic risk,1.23,10112,13.62,(HT) hypertension genetic risk >= 1.20,(HT) hypertension genetic risk,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),19216,100459,0,0.0,0.0,0,0
Hypertensive chronic kidney disease,Hypertensive chronic kidney disease,0.001,0.008,0.014,0.014,1,0.002,Hypertensive chronic kidney disease,0.98,90787,97.12,-0.60 <= Hypertensive chronic kidney disease < 0.03,Hypertensive chronic kidney disease,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),36470,100459,63,0.0,-0.652,0,1
"Long-standing illness, disability or infirmity_No","Long-standing illness, disability or infirmity_No",0.044,0.0,-0.087,-0.087,1,0.004,"Long-standing illness, disability or infirmity_No",1.28,42073,58.95,"Long-standing illness, disability or infirmity_No < 0.50","Long-standing illness, disability or infirmity_No",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),22771,100459,15,0.0,-2.043,0,1
"Long-standing illness, disability or infirmity_Yes","Long-standing illness, disability or infirmity_Yes",0.023,0.0,0.087,0.087,1,0.004,"Long-standing illness, disability or infirmity_Yes",1.3,39404,55.98,"Long-standing illness, disability or infirmity_Yes >= 0.50","Long-standing illness, disability or infirmity_Yes",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),205,100459,0,0.573,0.0,0,0
M25.56 - Pain in joint (Lower leg),M25.56 - Pain in joint (Lower leg),0.001,0.055,0.008,0.008,1,0.0,M25.56 - Pain in joint (Lower leg),0.99,90802,98.5,-0.65 <= M25.56 - Pain in joint (Lower leg) < 0.29,M25.56 - Pain in joint (Lower leg),0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),3680,100459,5,0.067,-0.999,0,1
M47.82 - Other spondylosis (Cervical region),M47.82 - Other spondylosis (Cervical region),0.001,0.1,-0.005,-0.005,1,0.0,M47.82 - Other spondylosis (Cervical region),1.0,90852,98.83,-0.73 <= M47.82 - Other spondylosis (Cervical region) < 0.34,M47.82 - Other spondylosis (Cervical region),0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),79,100459,0,0.807,0.0,0,0
M54.56 - Low back pain (Lumbar region),M54.56 - Low back pain (Lumbar region),0.001,0.0,0.012,0.012,1,0.0,M54.56 - Low back pain (Lumbar region),1.0,91086,99.17,-17.00 <= M54.56 - Low back pain (Lumbar region) < 0.75,M54.56 - Low back pain (Lumbar region),0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),3127,100459,1,0.002,-3.086,0,0
Meat substitutes - vegetarian,Meat substitutes - vegetarian,0.003,0.255,0.004,0.004,1,0.0,Meat substitutes - vegetarian,1.01,80042,87.96,-0.18 <= Meat substitutes - vegetarian < 3.10,Meat substitutes - vegetarian,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),64,100459,0,0.84,0.0,0,0
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication",0.002,0.0,0.014,0.014,1,0.0,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication",1.23,3018,4.04,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),8272,100459,13,0.022,-0.789,0,1
