name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split
Sex,0.00844,0.0,0.024,0.024,189607,0.01733,Sex,1.06,111998,62.86,Sex >= -0.18
Vitamin D,0.00828,0.0,-0.023,-0.019,189607,0.00063,Vitamin D,1.3,2610,1.79,-1.60 <= Vitamin D < -1.50
"Medication for cholesterol, blood pressure or diabetes Medication_None",0.00817,0.0,0.024,0.024,189607,0.03177,"Medication for cholesterol, blood pressure or diabetes Medication_None",1.06,112841,63.22,"Medication for cholesterol, blood pressure or diabetes Medication_None >= 0.50"
Alcohol intake frequency._Special occasions only,0.00798,0.0,0.03,0.03,189607,0.00145,Alcohol intake frequency._Special occasions only,1.24,25375,16.66,Alcohol intake frequency._Special occasions only >= 0.50
Myopia diagnosis_None,0.00736,0.0,0.012,0.012,189607,0.03252,Myopia diagnosis_None,1.02,147766,79.49,Myopia diagnosis_None >= 0.50
Number of treatments/medications taken,0.00724,0.0,0.045,0.039,189607,0.00629,Number of treatments/medications taken,1.52,4585,3.67,2.60 <= Number of treatments/medications taken < 6.00
Weight change compared with 1 year ago_No - weigh about the same,0.00721,0.0,-0.029,-0.029,189607,0.0267,Weight change compared with 1 year ago_No - weigh about the same,1.09,94757,54.62,Weight change compared with 1 year ago_No - weigh about the same < 0.50
Salt added to food_Never/rarely,0.0072,0.0,-0.014,-0.014,189607,0.02682,Salt added to food_Never/rarely,1.05,87463,48.29,Salt added to food_Never/rarely < 0.50
Other serious medical condition/disability diagnosed by doctor_No,0.00704,0.0,-0.036,-0.036,189607,0.03501,Other serious medical condition/disability diagnosed by doctor_No,1.19,48991,30.78,Other serious medical condition/disability diagnosed by doctor_No < 0.50
Diverticulosis,0.00688,0.3174,0.008,0.008,189607,0.00045,Diverticulosis,2.14,118,0.13,0.53 <= Diverticulosis < 0.80
Treatment/medication code | Array 0 atorvastatin,0.00643,0.00182,-0.007,-0.007,189607,0.00166,Treatment/medication code | Array 0__atorvastatin,1.0,187631,99.19,Treatment/medication code | Array 0__atorvastatin < 0.50
Hip circumference,0.00634,0.0,0.035,0.029,189607,0.00214,Hip circumference,1.35,11744,8.38,1.70 <= Hip circumference < 5.70
Cholelithiasis,0.00633,1e-05,0.006,0.006,189607,0.00116,Cholelithiasis,1.0,186571,98.87,-0.14 <= Cholelithiasis < 0.65
(AMD) age-related macular degeneration genetic risk,0.00625,0.00622,0.006,0.005,189607,1e-05,(AMD) age-related macular degeneration genetic risk,1.22,207,0.13,-0.01 <= (AMD) age-related macular degeneration genetic risk < -0.01
Mean platelet (thrombocyte) volume,0.00619,0.59585,-0.001,-0.001,189607,0.00017,Mean platelet (thrombocyte) volume,1.51,95,0.08,-1.70 <= Mean platelet (thrombocyte) volume < -1.60
Ethnic background_Caribbean,0.00618,0.0,-0.015,-0.015,189607,0.0,Ethnic background_Caribbean,1.0,187777,99.48,Ethnic background_Caribbean < 0.50
(CVD) cardiovascular disease genetic risk,0.00586,0.87262,0.0,0.0,189607,0.0,(CVD) cardiovascular disease genetic risk,1.0,189215,99.83,(CVD) cardiovascular disease genetic risk >= -2.90
Other specified gastritis,0.00561,0.0,0.013,0.013,189607,0.00076,Other specified gastritis,2.18,303,0.35,Other specified gastritis >= 7.00
(ISS) ischaemic stroke genetic risk,0.00534,0.0,0.011,0.009,189607,0.0,(ISS) ischaemic stroke genetic risk,1.59,347,0.29,0.49 <= (ISS) ischaemic stroke genetic risk < 0.50
(AAM) age at menopause genetic risk,0.00528,0.00437,-0.006,-0.005,189607,0.0,(AAM) age at menopause genetic risk,1.62,102,0.09,0.78 <= (AAM) age at menopause genetic risk < 0.78
Urate,0.00527,3e-05,0.009,0.008,189607,0.0003,Urate,1.04,81487,44.72,-0.55 <= Urate < 0.52
Weight (p21002),0.00524,0.0,0.027,0.022,189607,0.00047,Weight (p21002),1.19,2993,1.89,0.18 <= Weight (p21002) < 0.23
Calculus of kidney,0.0051,0.10225,0.003,0.003,189607,0.00014,Calculus of kidney,2.47,129,0.17,4.30 <= Calculus of kidney < 6.10
Other mental disorder,0.00506,0.00388,0.01,0.01,189607,0.0,Other mental disorder,1.39,1635,1.2,-1.20 <= Other mental disorder < -0.28
Fed-up feelings_No,0.00504,0.0,-0.028,-0.028,189607,0.03003,Fed-up feelings_No,1.1,84621,49.03,Fed-up feelings_No < 0.50
Nausea and vomiting,0.0049,0.0,0.013,0.013,189607,0.00047,Nausea and vomiting,2.46,380,0.49,Nausea and vomiting >= 6.40
Had other major operations_No,0.00477,0.44241,0.002,0.002,189607,0.00288,Had other major operations_No,1.01,32787,17.5,Had other major operations_No >= 0.50
Had major operations_None,0.00471,0.0,0.024,0.024,189607,0.03048,Had major operations_None,1.06,112165,62.92,Had major operations_None >= 0.50
(EBMDT) estimated bone mineral density t-score genetic risk,0.00464,0.02824,-0.005,-0.004,189607,0.00068,(EBMDT) estimated bone mineral density t-score genetic risk,1.26,280,0.19,-0.88 <= (EBMDT) estimated bone mineral density t-score genetic risk < -0.88
Cholecystitis without cholelithiasis,0.00461,0.0,0.018,0.018,189607,6e-05,Cholecystitis without cholelithiasis,4.07,100,0.21,15.00 <= Cholecystitis without cholelithiasis < 16.00
"Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar",0.0046,0.16674,-0.003,-0.003,189607,0.00196,"Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar",1.0,154814,82.04,"Never eat eggs, dairy, wheat, sugar_Sugar or foods/drinks containing sugar < 0.50"
Alcohol intake frequency._Never,0.00457,0.0,0.027,0.027,189607,0.00184,Alcohol intake frequency._Never,1.27,17425,11.63,Alcohol intake frequency._Never >= 0.50
Obesity,0.00448,0.0812,0.009,0.009,189607,0.00059,Obesity,1.75,239,0.22,Obesity < -12.00
(EOC) epithelial ovarian cancer genetic risk,0.00447,0.03863,-0.005,-0.004,189607,0.00122,(EOC) epithelial ovarian cancer genetic risk,1.3,253,0.17,0.50 <= (EOC) epithelial ovarian cancer genetic risk < 0.50
Age diabetes diagnosed,0.00441,0.22575,-0.002,-0.002,189607,0.00083,Age diabetes diagnosed,1.78,99,0.09,-3.00 <= Age diabetes diagnosed < -2.80
Pulse wave reflection index,0.00435,0.08132,-0.011,-0.01,189607,0.0,Pulse wave reflection index,1.19,3268,2.05,-1.60 <= Pulse wave reflection index < -1.20
Overall health rating_Good,0.00432,0.0,-0.028,-0.028,189607,0.02877,Overall health rating_Good,1.1,84422,48.89,Overall health rating_Good < 0.50
"Average total household income before tax_Greater than 100,000",0.00413,0.0,-0.021,-0.021,189607,0.0,"Average total household income before tax_Greater than 100,000",1.01,183491,97.95,"Average total household income before tax_Greater than 100,000 < 0.50"
"Non-cancer illness code, self-reported | Array 1 gall stones",0.00411,0.0,0.018,0.018,189607,0.00021,"Non-cancer illness code, self-reported | Array 1__gall stones",1.72,1128,1.02,"Non-cancer illness code, self-reported | Array 1__gall stones >= 0.22"
Abnormal results of function study of liver,0.00403,0.00027,0.013,0.013,189607,0.00036,Abnormal results of function study of liver,2.86,146,0.22,Abnormal results of function study of liver >= 11.00
Leg pain on walking_None,0.00401,2e-05,0.01,0.01,189607,0.03175,Leg pain on walking_None,1.02,126069,67.94,Leg pain on walking_None >= 0.50
Chest pain due to walking ceases when standing still_None,0.00386,0.0,-0.035,-0.035,189607,0.02712,Chest pain due to walking ceases when standing still_None,1.36,15844,11.4,Chest pain due to walking ceases when standing still_None < 0.50
(RA) rheumatoid arthritis genetic risk,0.00386,0.00161,0.006,0.005,189607,3e-05,(RA) rheumatoid arthritis genetic risk,1.66,205,0.18,(RA) rheumatoid arthritis genetic risk < -2.80
Acetate,0.00383,0.1636,-0.012,-0.01,189607,3e-05,Acetate,1.25,1069,0.7,0.18 <= Acetate < 0.20
Townsend deprivation index at recruitment,0.00371,0.0,0.022,0.018,189607,0.00131,Townsend deprivation index at recruitment,1.85,125,0.12,0.47 <= Townsend deprivation index at recruitment < 0.47
(T2D) type 2 diabetes genetic risk,0.00368,0.0,0.017,0.014,189607,0.0,(T2D) type 2 diabetes genetic risk,1.04,110759,60.93,-0.18 <= (T2D) type 2 diabetes genetic risk < 3.70
(SCZ) schizophrenia genetic risk,0.00368,0.14488,-0.003,-0.003,189607,0.0,(SCZ) schizophrenia genetic risk,1.07,103,0.06,(SCZ) schizophrenia genetic risk < -3.40
Chest pain or discomfort_Yes,0.00367,0.0,0.034,0.034,189607,0.00294,Chest pain or discomfort_Yes,1.23,34850,22.58,Chest pain or discomfort_Yes >= 0.50
"Non-cancer illness code, self-reported | Array 0 gall",0.00363,0.0,0.021,0.021,189607,0.00016,"Non-cancer illness code, self-reported | Array 0__gall",1.91,950,0.96,"0.22 <= Non-cancer illness code, self-reported | Array 0__gall < 0.52"
Potassium in urine,0.00361,0.27494,-0.001,-0.0,189607,0.0,Potassium in urine,1.48,312,0.24,0.50 <= Potassium in urine < 0.50
Cholesterol in Large HDL,0.00358,0.0,-0.022,-0.021,189607,0.0,Cholesterol in Large HDL,1.54,1188,0.96,Cholesterol in Large HDL < -2.70
Treatment/medication code | Array 0 omeprazole,0.00347,0.0,0.016,0.016,189607,0.00018,Treatment/medication code | Array 0__omeprazole,1.47,2025,1.57,Treatment/medication code | Array 0__omeprazole >= 0.50
Coffee intake,0.0034,0.00096,-0.012,-0.011,189607,0.00426,Coffee intake,1.36,396,0.28,Coffee intake < -1.20
"Non-cancer illness code, self-reported | Array 1 cholelithiasis",0.00333,0.0,0.018,0.018,189607,0.00012,"Non-cancer illness code, self-reported | Array 1__cholelithiasis",1.72,1128,1.02,"Non-cancer illness code, self-reported | Array 1__cholelithiasis >= 0.22"
(MS) multiple sclerosis genetic risk,0.00332,0.94198,0.001,0.001,189607,0.00033,(MS) multiple sclerosis genetic risk,1.18,1671,1.04,-1.90 <= (MS) multiple sclerosis genetic risk < -1.80
"Non-cancer illness code, self-reported | Array 0 gall stones",0.00328,0.0,0.02,0.02,189607,0.0,"Non-cancer illness code, self-reported | Array 0__gall stones",1.91,950,0.96,"Non-cancer illness code, self-reported | Array 0__gall stones >= 0.22"
"Non-cancer illness code, self-reported | Array 1 stones",0.00327,0.0,0.018,0.018,189607,0.00054,"Non-cancer illness code, self-reported | Array 1__stones",1.72,1128,1.02,"Non-cancer illness code, self-reported | Array 1__stones >= 0.22"
GERD,0.00326,0.09628,0.007,0.007,189607,0.0,GERD,1.7,668,0.6,GERD >= 4.80
Mental health conditions ever diagnosed by a professional group,0.00322,0.0,-0.025,-0.024,189607,0.00505,Mental health conditions ever diagnosed by a professional__group,1.05,139298,77.14,Mental health conditions ever diagnosed by a professional__group < 0.23
(POAG) primary open angle glaucoma genetic risk,0.00321,0.16835,-0.002,-0.002,189607,4e-05,(POAG) primary open angle glaucoma genetic risk,1.34,328,0.23,1.80 <= (POAG) primary open angle glaucoma genetic risk < 1.80
(AST) asthma genetic risk,0.00319,0.01214,0.005,0.004,189607,0.00104,(AST) asthma genetic risk,1.09,10009,5.76,(AST) asthma genetic risk >= 1.60
Cochlear implant_None,0.00315,3e-05,0.01,0.01,189607,0.0324,Cochlear implant_None,1.02,126133,67.96,Cochlear implant_None >= 0.50
(MEL) melanoma genetic risk,0.00313,0.68179,-0.001,-0.001,189607,0.00072,(MEL) melanoma genetic risk,1.25,826,0.55,(MEL) melanoma genetic risk < -2.50
Started insulin within one year diagnosis of diabetes_No,0.0031,0.0,0.012,0.012,189607,0.00035,Started insulin within one year diagnosis of diabetes_No,1.15,11549,7.01,Started insulin within one year diagnosis of diabetes_No >= 0.50
(PSO) psoriasis genetic risk,0.00308,0.16337,0.003,0.003,189607,0.00061,(PSO) psoriasis genetic risk,1.75,126,0.12,-0.83 <= (PSO) psoriasis genetic risk < -0.83
Home area population density - urban or rural_England/Wales - Village - less sparse,0.00305,0.0,-0.014,-0.014,189607,0.0,Home area population density - urban or rural_England/Wales - Village - less sparse,1.01,181305,96.51,Home area population density - urban or rural_England/Wales - Village - less sparse < 0.50
Frequency of tiredness / lethargy in last 2 weeks_Nearly every day,0.00293,0.0,0.032,0.032,189607,0.00054,Frequency of tiredness / lethargy in last 2 weeks_Nearly every day,1.36,14551,10.4,Frequency of tiredness / lethargy in last 2 weeks_Nearly every day >= 0.50
(CRC) bowel cancer genetic risk,0.00292,0.38048,0.002,0.002,189607,0.00012,(CRC) bowel cancer genetic risk,1.01,171711,91.07,(CRC) bowel cancer genetic risk >= -1.30
Doctor diagnosed asthma_None,0.00292,0.0,0.016,0.016,189607,0.03336,Doctor diagnosed asthma_None,1.03,148026,80.14,Doctor diagnosed asthma_None >= 0.50
Job code at visit managers,0.00284,0.0,-0.016,-0.016,189607,0.00019,Job code at visit__managers,1.3,331,0.23,0.29 <= Job code at visit__managers < 0.31
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above",0.00282,0.28948,0.002,0.002,189607,0.01347,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above",1.01,69576,37.07,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None of the above >= 0.50"
Average Diameter for HDL Particles,0.00276,0.0,-0.018,-0.017,189607,0.00059,Average Diameter for HDL Particles,1.54,599,0.49,-1.10 <= Average Diameter for HDL Particles < -1.00
(HBA1C_DF) glycated haemoglobin genetic risk,0.00275,0.16206,0.003,0.002,189607,0.00042,(HBA1C_DF) glycated haemoglobin genetic risk,1.54,100,0.08,(HBA1C_DF) glycated haemoglobin genetic risk >= 3.30
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None",0.00275,0.0,-0.023,-0.023,189607,0.01828,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None",1.06,110822,62.07,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None < 0.50"
Had other major operations_Yes - you will be asked about this later by an interviewer,0.00271,0.0,0.022,0.022,189607,0.01771,Had other major operations_Yes - you will be asked about this later by an interviewer,1.08,77890,44.54,Had other major operations_Yes - you will be asked about this later by an interviewer >= 0.50
Ethnic background_African,0.00264,0.0,-0.014,-0.014,189607,0.0,Ethnic background_African,1.0,188359,99.71,Ethnic background_African < 0.50
(HT) hypertension genetic risk,0.00257,0.00184,0.007,0.005,189607,0.0,(HT) hypertension genetic risk,1.02,142041,76.1,(HT) hypertension genetic risk >= -0.65
Standing height,0.00257,0.0,-0.022,-0.018,189607,0.00152,Standing height,1.11,32397,18.9,Standing height < -0.99
(CD) crohn's disease genetic risk,0.00254,0.12886,0.003,0.003,189607,0.00057,(CD) crohn's disease genetic risk,2.08,243,0.27,-2.10 <= (CD) crohn's disease genetic risk < -2.10
"Average total household income before tax_Less than 18,000",0.00251,0.0,0.026,0.026,189607,0.00525,"Average total household income before tax_Less than 18,000",1.15,42785,26.02,"Average total household income before tax_Less than 18,000 >= 0.50"
Concentration of Chylomicrons and Extremely Large VLDL Particles,0.0025,0.0,0.016,0.015,189607,0.00094,Concentration of Chylomicrons and Extremely Large VLDL Particles,1.96,101,0.1,0.20 <= Concentration of Chylomicrons and Extremely Large VLDL Particles < 0.22
Mental health conditions ever diagnosed by a professional depression,0.00248,0.00236,0.008,0.008,189607,0.00057,Mental health conditions ever diagnosed by a professional__depression,1.68,197,0.17,0.08 <= Mental health conditions ever diagnosed by a professional__depression < 0.10
Genetic ethnic grouping_Caucasian,0.00246,0.0,0.013,0.013,189607,0.0329,Genetic ethnic grouping_Caucasian,1.02,155258,83.51,Genetic ethnic grouping_Caucasian >= 0.50
Acetone,0.00243,0.0001,-0.012,-0.011,189607,0.00062,Acetone,1.78,161,0.15,-1.00 <= Acetone < -1.00
"Major dietary changes in the last 5 years_Yes, because of other reasons",0.00243,4e-05,0.009,0.009,189607,0.00958,"Major dietary changes in the last 5 years_Yes, because of other reasons",1.05,55703,30.74,"Major dietary changes in the last 5 years_Yes, because of other reasons >= 0.50"
Gastric ulcer,0.00242,0.00046,0.01,0.01,189607,0.00061,Gastric ulcer,2.47,116,0.15,Gastric ulcer >= 10.00
Alcoholism,0.00241,0.06964,0.008,0.008,189607,0.00052,Alcoholism,1.76,300,0.28,Alcoholism >= 6.80
"Average total household income before tax_52,000 to 100,000",0.0024,0.0,-0.024,-0.024,189607,0.00253,"Average total household income before tax_52,000 to 100,000",1.03,163004,88.58,"Average total household income before tax_52,000 to 100,000 < 0.50"
"Qualifications_College or University degree|Other professional qualifications eg: nursing, teaching",0.00239,0.0,-0.013,-0.013,189607,0.00035,"Qualifications_College or University degree|Other professional qualifications eg: nursing, teaching",1.01,184593,98.0,"Qualifications_College or University degree|Other professional qualifications eg: nursing, teaching < 0.50"
Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer,0.00234,0.0,0.033,0.033,189607,0.00568,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer,1.19,44211,27.74,Other serious medical condition/disability diagnosed by doctor_Yes - you will be asked about this later by an interviewer >= 0.50
