feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,Novel/Interesting?,Makes Sense?,COMMENTS
Circulatory disease NEC,Circulatory disease NEC,0.001,0.039,-0.002,0.001,0,1.39,-4.80 <= Circulatory disease NEC < -0.20,61,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Z96.6 - Presence of orthopaedic joint implants,Z96.6 - Presence of orthopaedic joint implants,0.001,0.001,-0.007,0.0,0,1.33,-6.30 <= Z96.6 - Presence of orthopaedic joint implants < -0.35,1189,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Other diseases of respiratory system, NEC","Other diseases of respiratory system, NEC",0.001,0.006,-0.006,0.0,0,1.01,"Other diseases of respiratory system, NEC >= 2.10",35,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Osteoarthritis; localized,Osteoarthritis; localized,0.001,0.018,-0.004,0.0,0,1.12,-5.50 <= Osteoarthritis; localized < -0.13,7024,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 1 depression","Non-cancer illness code, self-reported | Array 1__depression",0.001,0.054,-0.006,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 1__depression < 0.12",1191,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
M47.82 - Other spondylosis (Cervical region),M47.82 - Other spondylosis (Cervical region),0.001,0.1,-0.005,0.0,0,1.0,-0.73 <= M47.82 - Other spondylosis (Cervical region) < 0.34,79,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Concentration of Medium HDL Particles,Concentration of Medium HDL Particles,0.0,0.003,0.004,0.06,0,1.18,3.70 <= Concentration of Medium HDL Particles < 8.70,232,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Concentration of VLDL Particles,Concentration of VLDL Particles,0.0,0.007,0.004,0.052,0,1.22,3.60 <= Concentration of VLDL Particles < 6.20,1398,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Y83.6 - Removal of other organ (partial) (total),Y83.6 - Removal of other organ (partial) (total),0.0,0.069,-0.006,0.0,0,1.0,-6.50 <= Y83.6 - Removal of other organ (partial) (total) < 3.20,99,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 2 pulmonary embolism","Non-cancer illness code, self-reported | Array 2__pulmonary embolism",0.0,0.0,0.026,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 2__pulmonary embolism < 0.23",56,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 2 asthma","Non-cancer illness code, self-reported | Array 2__asthma",0.0,0.0,0.022,0.0,0,1.63,"Non-cancer illness code, self-reported | Array 2__asthma >= 0.50",655,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 1 renal kidney","Non-cancer illness code, self-reported | Array 1__renal kidney",0.0,0.0,0.03,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 1__renal kidney < 0.25",1663,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 1 polycystic","Non-cancer illness code, self-reported | Array 1__polycystic",0.0,0.0,0.026,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 1__polycystic < 0.31",146,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 1 chronic bronchitis","Non-cancer illness code, self-reported | Array 1__chronic bronchitis",0.0,0.0,0.014,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 1__chronic bronchitis < 0.23",27,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Home area population density - urban or rural_Scotland - Accessible Small Town,Home area population density - urban or rural_Scotland - Accessible Small Town,0.0,0.029,-0.007,0.0,0,1.0,Home area population density - urban or rural_Scotland - Accessible Small Town < 0.50,278,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Home area population density - urban or rural_Scotland - Accessible Rural,Home area population density - urban or rural_Scotland - Accessible Rural,0.0,0.0,-0.012,0.0,0,1.0,Home area population density - urban or rural_Scotland - Accessible Rural < 0.50,300,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Complications of transplants and reattached limbs,Complications of transplants and reattached limbs,0.0,0.104,-0.002,0.0,0,0.99,-1.40 <= Complications of transplants and reattached limbs < 0.39,21,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Age angina diagnosed_infrequent_,Age angina diagnosed_infrequent_,0.0,0.0,0.021,0.0,0,1.0,Age angina diagnosed_infrequent_ < 0.50,38,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Age angina diagnosed_35,Age angina diagnosed_35,0.0,0.0,0.013,0.0,0,1.0,Age angina diagnosed_35 < 0.50,1517,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Apolipoprotein B to Apolipoprotein A1 ratio,Apolipoprotein B to Apolipoprotein A1 ratio,0.004,0.0,-0.033,0.136,1,1.28,-2.50 <= Apolipoprotein B to Apolipoprotein A1 ratio < -1.60,1541,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Cholesterol in IDL,Cholesterol in IDL,0.002,0.0,-0.038,0.068,1,1.76,-4.60 <= Cholesterol in IDL < -3.20,1207,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Qualifications_None,Qualifications_None,0.002,0.005,0.009,0.0,1,1.27,Qualifications_None >= 0.50,744,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Concentration of Large HDL Particles,Concentration of Large HDL Particles,0.001,0.0,-0.025,0.068,1,1.47,-3.10 <= Concentration of Large HDL Particles < -2.30,736,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Concentration of Small LDL Particles,Concentration of Small LDL Particles,0.001,0.0,-0.017,0.049,1,1.0,-2.80 <= Concentration of Small LDL Particles < 0.19,992,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
M54.56 - Low back pain (Lumbar region),M54.56 - Low back pain (Lumbar region),0.001,0.0,0.012,0.0,1,1.0,-17.00 <= M54.56 - Low back pain (Lumbar region) < 0.75,3127,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Fluid intelligence score,Fluid intelligence score,0.001,0.011,-0.008,0.0,1,1.26,-3.60 <= Fluid intelligence score < -2.80,836,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Concentration of Large LDL Particles,Concentration of Large LDL Particles,0.0,0.0,-0.024,0.068,1,1.16,-3.50 <= Concentration of Large LDL Particles < -0.85,709,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 4 high cholesterol","Non-cancer illness code, self-reported | Array 4__high cholesterol",0.0,0.0,0.035,0.001,1,1.84,"Non-cancer illness code, self-reported | Array 4__high cholesterol >= 0.29",256,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 1 renal","Non-cancer illness code, self-reported | Array 1__renal",0.0,0.0,0.044,0.001,1,0.99,"Non-cancer illness code, self-reported | Array 1__renal < 0.16",2382,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Occlusion of cerebral arteries,Occlusion of cerebral arteries,0.0,0.018,-0.005,0.0,1,1.0,-2.60 <= Occlusion of cerebral arteries < 0.04,10643,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 6 problem","Non-cancer illness code, self-reported | Array 6__problem",0.0,0.0,0.021,0.0,1,1.0,"Non-cancer illness code, self-reported | Array 6__problem < 0.16",1973,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 3 hernia","Non-cancer illness code, self-reported | Array 3__hernia",0.0,0.001,0.012,0.0,1,1.0,"Non-cancer illness code, self-reported | Array 3__hernia < 0.24",117,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 2 embolism","Non-cancer illness code, self-reported | Array 2__embolism",0.0,0.0,0.026,0.0,1,1.0,"Non-cancer illness code, self-reported | Array 2__embolism < 0.23",157,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 1 atrial","Non-cancer illness code, self-reported | Array 1__atrial",0.0,0.0,0.022,0.0,1,1.0,"Non-cancer illness code, self-reported | Array 1__atrial < 0.29",554,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 1 asthma","Non-cancer illness code, self-reported | Array 1__asthma",0.0,0.0,0.026,0.0,1,1.36,"Non-cancer illness code, self-reported | Array 1__asthma >= 0.50",719,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Microalbumin in urine,Microalbumin in urine,0.028,0.0,0.016,0.022,2,2.64,0.85 <= Microalbumin in urine < 7.50,899,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
had_disease_past,had_disease_past,0.013,0.0,0.122,0.004,2,0.98,had_disease_past < 9.80,259,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
(CVD) cardiovascular disease genetic risk,(CVD) cardiovascular disease genetic risk,0.009,0.0,0.028,0.308,2,1.09,0.38 <= (CVD) cardiovascular disease genetic risk < 3.00,71879,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Acetoacetate,Acetoacetate,0.002,0.0,0.034,0.137,2,1.24,Acetoacetate >= 0.62,5088,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Apolipoprotein B Blood biochemistry,Apolipoprotein B Blood biochemistry,0.039,0.0,-0.036,0.01,3,1.43,-1.60 <= Apolipoprotein B Blood biochemistry < -1.50,903,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Atrial fibrillation and flutter,Atrial fibrillation and flutter,0.012,0.197,-0.001,0.002,3,2.0,-5.10 <= Atrial fibrillation and flutter < -1.20,7439,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
(T2D) type 2 diabetes genetic risk,(T2D) type 2 diabetes genetic risk,0.007,0.0,0.02,0.307,3,1.11,(T2D) type 2 diabetes genetic risk >= 1.20,2719,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
(AD) alzheimer's disease genetic risk,(AD) alzheimer's disease genetic risk,0.003,0.263,-0.003,0.307,3,1.01,(AD) alzheimer's disease genetic risk >= 1.80,15450,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Concentration of HDL Particles,Concentration of HDL Particles,0.001,0.112,0.002,0.039,3,1.21,Concentration of HDL Particles < -2.30,2966,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 3 kidney","Non-cancer illness code, self-reported | Array 3__kidney",0.001,0.0,0.029,0.0,3,0.99,"Non-cancer illness code, self-reported | Array 3__kidney < 0.11",2253,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 1 kidney","Non-cancer illness code, self-reported | Array 1__kidney",0.0,0.0,0.025,0.001,4,0.99,"Non-cancer illness code, self-reported | Array 1__kidney < 0.11",3304,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 2 failure","Non-cancer illness code, self-reported | Array 2__failure",0.0,0.0,0.035,0.0,4,1.0,"Non-cancer illness code, self-reported | Array 2__failure < 0.18",3664,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Congenital anomalies of great vessels,Congenital anomalies of great vessels,0.0,0.17,0.005,0.0,4,1.0,-2.30 <= Congenital anomalies of great vessels < 0.41,10418,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Bacterial infection NOS,Bacterial infection NOS,0.0,0.174,-0.0,0.0,4,1.32,0.04 <= Bacterial infection NOS < 7.50,1090105,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
M25.56 - Pain in joint (Lower leg),M25.56 - Pain in joint (Lower leg),0.001,0.055,0.008,0.0,5,0.99,-0.65 <= M25.56 - Pain in joint (Lower leg) < 0.29,3680,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
(MS) multiple sclerosis genetic risk,(MS) multiple sclerosis genetic risk,0.019,0.001,0.011,0.307,6,1.18,(MS) multiple sclerosis genetic risk >= 2.10,3798,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Overall health rating_Good,Overall health rating_Good,0.01,0.0,-0.048,0.001,6,1.15,Overall health rating_Good < 0.50,16240,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Overall health rating_Fair,Overall health rating_Fair,0.001,0.0,0.05,0.001,6,1.24,Overall health rating_Fair >= 0.50,3361,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 2 pulmonary","Non-cancer illness code, self-reported | Array 2__pulmonary",0.001,0.0,0.032,0.0,7,0.99,"Non-cancer illness code, self-reported | Array 2__pulmonary < 0.22",5714,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Tea intake,Tea intake,0.021,0.0,-0.019,0.001,8,1.09,-1.00 <= Tea intake < 0.09,3971,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
(RA) rheumatoid arthritis genetic risk,(RA) rheumatoid arthritis genetic risk,0.008,0.142,0.003,0.307,8,1.09,1.50 <= (RA) rheumatoid arthritis genetic risk < 3.70,4546,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Overall health rating_Excellent,Overall health rating_Excellent,0.006,0.0,-0.046,0.001,8,1.05,Overall health rating_Excellent < 0.50,6069,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
3-Hydroxybutyrate,3-Hydroxybutyrate,0.002,0.0,0.023,0.143,8,1.11,-0.49 <= 3-Hydroxybutyrate < -0.02,9429,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Cholesterol in Small VLDL,Cholesterol in Small VLDL,0.001,0.001,-0.012,0.054,8,1.0,-3.70 <= Cholesterol in Small VLDL < 0.00,1167,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
"Non-cancer illness code, self-reported | Array 1 diabetes","Non-cancer illness code, self-reported | Array 1__diabetes",0.001,0.0,0.022,0.0,8,1.33,"Non-cancer illness code, self-reported | Array 1__diabetes >= 0.43",3395,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Phlebitis and thrombophlebitis of lower extremities,Phlebitis and thrombophlebitis of lower extremities,0.001,0.079,-0.004,0.0,9,1.0,-2.20 <= Phlebitis and thrombophlebitis of lower extremities < 6.70,3631,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
Pneumococcal pneumonia,Pneumococcal pneumonia,0.001,0.1,-0.004,0.0,10,1.0,-4.70 <= Pneumococcal pneumonia < 5.00,10528,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),0.0,,,
