feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Inguinal hernia,C0019294,"Hernia, Inguinal","Hernia, Inguinal. An abdominal hernia with an external bulge in the GROIN region. It can be classified by the location of herniation. Indirect inguinal hernias occur through the internal inguinal ring. Direct inguinal hernias occur through defects in the ABDOMINAL WALL (transversalis fascia) in Hesselbach's triangle. The former type is commonly seen in children and young adults; the latter in adults.",0,0.921,0.0,0.0,0.0,0.0016,0.8297,-0.004,0.0006,Inguinal hernia,0.08,0.08,2,97,0.38
Inguinal hernia,C0019295,"Inguinal Hernia, Direct","Inguinal Hernia, Direct. A protrusion of the abdominal cavity contents into the inguinal canal through the superficial inguinal ring.",0,0.904,0.0,0.0,0.0,0.0016,0.8297,-0.004,0.0006,Inguinal hernia,0.08,0.08,2,2,0.1
Disorder of skin and subcutaneous tissue NOS,C0004936,Mental disorders,"Mental disorders. Psychiatric illness or diseases manifested by breakdowns in the adaptational process expressed primarily as abnormalities of thought, feeling, and behavior producing either distress or impairment of function.",0,0.202,0.0,1.0,0.2,0.0004,0.8267,-0.001,0.0,Disorder of skin and subcutaneous tissue NOS,0.17,0.18,2,40,0.02
Disorder of skin and subcutaneous tissue NOS,C0444099,Skin Specimen,Skin Specimen. ,0,0.606,0.0,1.0,0.2,0.0004,0.8267,-0.001,0.0,Disorder of skin and subcutaneous tissue NOS,0.17,0.18,2,188,0.53
Disorder of skin and subcutaneous tissue NOS,C1123023,Skin,Skin. The outer covering of the body that protects it from the environment. It is composed of the DERMIS and the EPIDERMIS.,0,0.646,0.0,1.0,0.2,0.0004,0.8267,-0.001,0.0,Disorder of skin and subcutaneous tissue NOS,0.17,0.18,2,84,0.11
Disorder of skin and subcutaneous tissue NOS,C0222331,Subcutaneous Fat,Subcutaneous Fat. Adipose tissue located under the dermis. It binds underlying structures with the skin. The subcutis is important in the regulation of temperature of the skin itself and the body. The size of this layer varies throughout the body and from person to person.,0,0.537,0.0,1.0,0.2,0.0004,0.8267,-0.001,0.0,Disorder of skin and subcutaneous tissue NOS,0.17,0.18,2,14,0.02
Polyp of corpus uteri,C0032584,polyps,"polyps. Discrete abnormal tissue masses that protrude into the lumen of the DIGESTIVE TRACT or the RESPIRATORY TRACT. Polyps can be spheroidal, hemispheroidal, or irregular mound-shaped structures attached to the MUCOUS MEMBRANE of the lumen wall either by a stalk, pedunculus, or by a broad base.",0,0.502,0.0,0.0,0.0,0.0001,0.8264,0.001,0.0,Polyp of corpus uteri,0.06,0.08,2,167,0.24
Polyp of corpus uteri,C0227813,Body of uterus,"Body of uterus. The Corpus uteri, or body of uterus, is the part of the uterus above the isthmus, comprising about two thirds of the non-pregnant organ.",0,0.641,0.0,0.0,0.0,0.0001,0.8264,0.001,0.0,Polyp of corpus uteri,0.06,0.08,2,79,0.14
Z08.0 - Follow-up examination after surgery for malignant neoplasm,C0589120,Follow-up status,Follow-up status. ,0,0.361,0.0,3.0,0.3,0.0004,0.8243,0.001,0.0,Z08.0 - Follow-up examination after surgery for malignant neoplasm,-0.03,-0.03,2,0,0.0
Z08.0 - Follow-up examination after surgery for malignant neoplasm,C3899107,Follow-Up Care,"Follow-Up Care. Any clinical attention received following a diagnosis or treatment, with the specific purpose of monitoring that specific diagnosis or treatment.",0,0.54,0.0,3.0,0.3,0.0004,0.8243,0.001,0.0,Z08.0 - Follow-up examination after surgery for malignant neoplasm,-0.03,-0.03,2,2,0.05
Z08.0 - Follow-up examination after surgery for malignant neoplasm,C0582103,Medical Examination,"Medical Examination. An appraisal or evaluation of a patient's condition by a clinician that is based on a physical exam, medical history, and the patient's account of symptoms.",0,0.221,0.0,3.0,0.3,0.0004,0.8243,0.001,0.0,Z08.0 - Follow-up examination after surgery for malignant neoplasm,-0.03,-0.03,2,122,0.35
Z08.0 - Follow-up examination after surgery for malignant neoplasm,C4321457,Examination,Examination. A formal or careful inspection of an object or subject.,0,0.212,0.0,3.0,0.3,0.0004,0.8243,0.001,0.0,Z08.0 - Follow-up examination after surgery for malignant neoplasm,-0.03,-0.03,99,47,inf
Z08.0 - Follow-up examination after surgery for malignant neoplasm,C0038894,Surgery specialty,Surgery specialty. The branch of medical science that treats disease or injury by operative procedures.,0,0.344,0.0,3.0,0.3,0.0004,0.8243,0.001,0.0,Z08.0 - Follow-up examination after surgery for malignant neoplasm,-0.03,-0.03,99,433,inf
Z08.0 - Follow-up examination after surgery for malignant neoplasm,C0038895,Surgical aspects,"Surgical aspects. Used for operative procedures on organs, regions, or tissues in the treatment of diseases, including tissue section by lasers. It excludes transplantation, for which ""transplantation"" is used.",0,0.442,0.0,3.0,0.3,0.0004,0.8243,0.001,0.0,Z08.0 - Follow-up examination after surgery for malignant neoplasm,-0.03,-0.03,99,16,inf
Z08.0 - Follow-up examination after surgery for malignant neoplasm,C1306459,Primary malignant neoplasm,Primary malignant neoplasm. A malignant tumor at the original site of growth.,0,0.403,0.0,3.0,0.3,0.0004,0.8243,0.001,0.0,Z08.0 - Follow-up examination after surgery for malignant neoplasm,-0.03,-0.03,2,0,0.0
Hypotension NOS,C0020649,Hypotension,Hypotension. Abnormally low BLOOD PRESSURE that can result in inadequate blood flow to the brain and other vital organs. Common symptom is DIZZINESS but greater negative impacts on the body occur when there is prolonged depravation of oxygen and nutrients.,0,0.825,0.0,0.0,0.0,0.0015,0.8174,0.001,0.0002,Hypotension NOS,0.13,0.13,2,297,0.2
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,C1306459,Primary malignant neoplasm,Primary malignant neoplasm. A malignant tumor at the original site of growth.,0,0.408,0.0,2.0,0.3,0.0003,0.7935,0.001,0.0,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,-0.05,-0.05,2,0,0.0
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,C0227435,Digestive organ structure,Digestive organ structure. ,0,0.574,0.0,2.0,0.3,0.0003,0.7935,0.001,0.0,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,-0.05,-0.05,2,226,2.76
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,C4482223,Abdomen>Peritoneum,Abdomen>Peritoneum. ,0,0.409,0.0,2.0,0.3,0.0003,0.7935,0.001,0.0,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,-0.05,-0.05,99,126,inf
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,C4745009,Peritoneum and Retroperitoneum,Peritoneum and Retroperitoneum. A term that refers to the peritoneum and the space behind it (retroperitoneum).,0,0.374,0.0,2.0,0.3,0.0003,0.7935,0.001,0.0,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,-0.05,-0.05,99,72,inf
Z86.1 - Personal history of infectious and parasitic diseases,C0424945,Social and personal history,Social and personal history. ,0,0.295,0.0,2.0,0.4,0.0002,0.7924,0.001,0.0003,Z86.1 - Personal history of infectious and parasitic diseases,-0.02,-0.02,99,102,inf
Z86.1 - Personal history of infectious and parasitic diseases,C1550587,infectious - Entity Risk,infectious - Entity Risk. <p>Material known to be infectious with human pathogenic microorganisms. Those who handle this material must take precautions for their protection.</p>,0,0.283,0.0,2.0,0.4,0.0002,0.7924,0.001,0.0003,Z86.1 - Personal history of infectious and parasitic diseases,-0.02,-0.02,99,0,0.0
Z86.1 - Personal history of infectious and parasitic diseases,C0030499,Parasitic Diseases,"Parasitic Diseases. Infections or infestations with PARASITES. They are often contracted through contact with an intermediate vector, but may occur as the result of direct exposure.",0,0.307,0.0,2.0,0.4,0.0002,0.7924,0.001,0.0003,Z86.1 - Personal history of infectious and parasitic diseases,-0.02,-0.02,2,144,0.18
Calculus of kidney,C0006736,Calculi,"Calculi. An abnormal concretion occurring mostly in the urinary and biliary tracts, usually composed of mineral salts. Also called stones.",0,0.732,0.0,0.0,0.0,0.001,0.7885,0.002,0.0003,Calculus of kidney,0.14,0.44,2,15,0.03
Calculus of kidney,C0392333,Mathematical Calculus,Mathematical Calculus. ,0,0.215,0.0,0.0,0.0,0.001,0.7885,0.002,0.0003,Calculus of kidney,0.14,0.44,99,254,inf
Effects radiation NOS,C1280500,Effect,Effect. A phenomenon that follows and is caused by some previous phenomenon.,0,0.344,0.0,0.0,0.0,0.0005,0.78,-0.003,0.0005,Effects radiation NOS,0.04,0.18,99,77,inf
Effects radiation NOS,C0543419,Sequela of disorder,"Sequela of disorder. A pathologic condition that results from a disease, treatment, or injury.",0,0.323,0.0,0.0,0.0,0.0005,0.78,-0.003,0.0005,Effects radiation NOS,0.04,0.18,2,72,0.04
Effects radiation NOS,C0034519,Electromagnetic Radiation,Electromagnetic Radiation. Waves of oscillating electric and MAGNETIC FIELDS which move at right angles to each other and outward from the source.,0,0.313,0.0,0.0,0.0,0.0005,0.78,-0.003,0.0005,Effects radiation NOS,0.04,0.18,2,8,0.03
Effects radiation NOS,C0560559,Unit of radiation dose,Unit of radiation dose. A unit of measurement of the dose of radiation received or absorbed.,0,0.533,0.0,0.0,0.0,0.0005,0.78,-0.003,0.0005,Effects radiation NOS,0.04,0.18,99,107,inf
Effects radiation NOS,C0851346,Radiation,"Radiation. Emission or propagation of acoustic waves (SOUND), ELECTROMAGNETIC ENERGY waves (such as LIGHT; RADIO WAVES; GAMMA RAYS; or X-RAYS), or a stream of subatomic particles (such as ELECTRONS; NEUTRONS; PROTONS; or ALPHA PARTICLES).",0,0.521,0.0,0.0,0.0,0.0005,0.78,-0.003,0.0005,Effects radiation NOS,0.04,0.18,2,81,0.05
Irritable Bowel Syndrome,C0022104,Irritable Bowel Syndrome,Irritable Bowel Syndrome. Gastrointestinal symptoms characterized by chronic abdominal pain and altered bowel habits in the absence of any organic cause.,0,0.896,0.0,0.0,0.0,0.0006,0.7793,0.001,0.0,Irritable Bowel Syndrome,0.02,0.02,2,63,0.06
"Esophagitis, GERD and related diseases",C0014868,Esophagitis,"Esophagitis. INFLAMMATION, acute or chronic, of the ESOPHAGUS caused by BACTERIA, chemicals, or TRAUMA.",0,0.659,0.0,0.0,0.0,0.0013,0.7781,-0.0,0.0,"Esophagitis, GERD and related diseases",0.36,0.36,2,377,1.11
"Esophagitis, GERD and related diseases",C0017168,Gastroesophageal reflux disease,"Gastroesophageal reflux disease. Retrograde flow of gastric juice (GASTRIC ACID) and/or duodenal contents (BILE ACIDS; PANCREATIC JUICE) into the distal ESOPHAGUS, commonly due to incompetence of the LOWER ESOPHAGEAL SPHINCTER.",0,0.563,0.0,0.0,0.0,0.0013,0.7781,-0.0,0.0,"Esophagitis, GERD and related diseases",0.36,0.36,2,8,0.01
"Esophagitis, GERD and related diseases",C0029896,Otorhinolaryngologic Diseases,"Otorhinolaryngologic Diseases. Pathological processes of the ear, the nose, and the throat, also known as the ENT diseases.",0,0.163,0.0,0.0,0.0,0.0013,0.7781,-0.0,0.0,"Esophagitis, GERD and related diseases",0.36,0.36,2,74,2.85
Malignant neoplasm of female breast,C1306459,Primary malignant neoplasm,Primary malignant neoplasm. A malignant tumor at the original site of growth.,0,0.446,0.0,1.0,0.3,0.0,0.7728,-0.003,0.0,Malignant neoplasm of female breast,-0.04,-0.04,2,0,0.0
Malignant neoplasm of female breast,C0222603,Female breast,Female breast. The organ of milk secretion; one of two hemispheric projections of variable size situated in the subcutaneous layer over the pectoralis major muscle on either side of the chest of the mature female; it is rudimentary in the male.,0,0.62,0.0,1.0,0.3,0.0,0.7728,-0.003,0.0,Malignant neoplasm of female breast,-0.04,-0.04,2,304,2.27
Other non-epithelial cancer of skin,C0444099,Skin Specimen,Skin Specimen. ,0,0.466,0.0,0.0,0.0,0.0027,0.7697,-0.001,0.0,Other non-epithelial cancer of skin,0.12,0.14,2,188,0.53
Other non-epithelial cancer of skin,C1123023,Skin,Skin. The outer covering of the body that protects it from the environment. It is composed of the DERMIS and the EPIDERMIS.,0,0.501,0.0,0.0,0.0,0.0027,0.7697,-0.001,0.0,Other non-epithelial cancer of skin,0.12,0.14,2,84,0.11
Hemorrhage of gastrointestinal tract,C0019080,Hemorrhage,Hemorrhage. Bleeding or escape of blood from a vessel.,0,0.455,0.0,0.0,0.0,0.0003,0.7683,-0.001,0.0,Hemorrhage of gastrointestinal tract,-0.03,-0.03,2,30,0.01
Hemorrhage of gastrointestinal tract,C0029163,Oral Hemorrhage,"Oral Hemorrhage. Bleeding from the blood vessels of the mouth, which may occur as a result of injuries to the mouth, accidents in oral surgery, or diseases of the gums.",0,0.549,0.0,0.0,0.0,0.0003,0.7683,-0.001,0.0,Hemorrhage of gastrointestinal tract,-0.03,-0.03,2,555,16.32
Hemorrhage of gastrointestinal tract,C0426747,Bleeding from anus,Bleeding from anus. Bleeding originating from the anal area.,0,0.643,0.0,0.0,0.0,0.0003,0.7683,-0.001,0.0,Hemorrhage of gastrointestinal tract,-0.03,-0.03,2,0,0.0
Hemorrhage of gastrointestinal tract,C0017189,Gastrointestinal tract structure,"Gastrointestinal tract structure. Generally refers to the digestive structures stretching from the MOUTH to ANUS, but does not include the accessory glandular organs (LIVER; BILIARY TRACT; PANCREAS).",0,0.639,0.0,0.0,0.0,0.0003,0.7683,-0.001,0.0,Hemorrhage of gastrointestinal tract,-0.03,-0.03,2,74,0.38
Hemorrhage of gastrointestinal tract,C4299166,Abdomen+Pelvis>Gastrointestinal tract,Abdomen+Pelvis>Gastrointestinal tract. ,0,0.448,0.0,0.0,0.0,0.0003,0.7683,-0.001,0.0,Hemorrhage of gastrointestinal tract,-0.03,-0.03,99,233,inf
Hemorrhage of gastrointestinal tract,C1333802,Gastrointestinal Stromal Tumor of the Gastrointestinal Tract,"Gastrointestinal Stromal Tumor of the Gastrointestinal Tract. A stromal tumor that originates from the interstitial cells of Cajal. It may involve any part of the gastrointestinal tract. The majority of cases occur in the stomach. Morphologic variants include the epithelioid cell type, spindle cell type, and mixed cell type. Most cases contain KIT- or PDGFRA-activating mutations. Lesions with a diameter greater than 10cm and more than 5 mitotic figures per 50HPF tend to have a more aggressive clinical course. Until recently, surgery has been the only effective therapy for this tumor. However, many patients still experience recurrence. A KIT tyrosine kinase inhibitor, imatinib mesylate (also known as STI-571 or Gleevec), is now effective in the treatment of relapsed and unresectable cases.",0,0.323,0.0,0.0,0.0,0.0003,0.7683,-0.001,0.0,Hemorrhage of gastrointestinal tract,-0.03,-0.03,99,0,0.0
Urinary incontinence,C0042024,Urinary Incontinence,"Urinary Incontinence. Involuntary loss of URINE, such as leaking of urine. It is a symptom of various underlying pathological processes. Major types of incontinence include URINARY URGE INCONTINENCE and URINARY STRESS INCONTINENCE.",0,0.866,0.0,0.0,0.0,0.0007,0.7593,-0.001,0.0,Urinary incontinence,0.13,0.13,2,48,0.06
Urinary incontinence,C0150399,Urinary incontinence care,Urinary incontinence care. Actions performed to control the inability to retain and/or involuntary retain urine,0,0.717,0.0,0.0,0.0,0.0007,0.7593,-0.001,0.0,Urinary incontinence,0.13,0.13,2,0,0.0
